# hostname,interval,timestamp,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked
harvester2,60,2021-12-28 19:41:14,3,290,2.19,1.69,0.96,0
harvester2,60,2021-12-28 19:42:14,1,290,3.13,2.04,1.13,0
harvester2,60,2021-12-28 19:43:14,1,289,3.20,2.27,1.27,2
harvester2,60,2021-12-28 19:44:14,0,289,3.26,2.47,1.40,2
harvester2,60,2021-12-28 19:45:14,0,289,3.19,2.59,1.51,2
harvester2,60,2021-12-28 19:46:14,2,290,3.14,2.67,1.61,0
harvester2,60,2021-12-28 19:47:14,0,290,3.35,2.84,1.74,2
harvester2,60,2021-12-28 19:48:14,0,291,3.06,2.86,1.82,2
harvester2,60,2021-12-28 19:49:14,2,291,3.13,2.93,1.91,1
harvester2,60,2021-12-28 19:50:14,2,291,3.11,2.95,1.98,1
harvester2,60,2021-12-28 19:51:14,0,291,3.34,3.04,2.07,3
harvester2,60,2021-12-28 19:52:14,1,291,3.35,3.13,2.16,2
harvester2,60,2021-12-28 19:53:14,2,292,2.86,3.04,2.20,0
harvester2,60,2021-12-28 19:54:14,1,292,2.21,2.82,2.17,0
harvester2,60,2021-12-28 19:55:14,1,291,2.10,2.67,2.16,1
harvester2,60,2021-12-28 19:56:14,0,292,2.33,2.64,2.18,1
harvester2,60,2021-12-28 19:57:14,1,292,2.10,2.52,2.17,0
harvester2,60,2021-12-28 19:58:14,1,293,2.43,2.54,2.20,2
harvester2,60,2021-12-28 19:59:14,2,292,2.06,2.44,2.18,0
harvester2,60,2021-12-28 20:00:14,1,293,1.96,2.36,2.17,0
harvester2,60,2021-12-28 20:01:14,3,293,2.34,2.37,2.19,0
harvester2,60,2021-12-28 20:02:14,1,293,1.82,2.21,2.14,0
harvester2,60,2021-12-28 20:03:14,1,292,2.15,2.23,2.16,1
harvester2,60,2021-12-28 20:04:14,1,293,2.65,2.38,2.21,0
harvester2,60,2021-12-28 20:05:14,2,294,2.41,2.38,2.22,0
harvester2,60,2021-12-28 20:06:14,1,294,2.56,2.42,2.25,1
harvester2,60,2021-12-28 20:07:14,2,294,2.72,2.51,2.29,1
harvester2,60,2021-12-28 20:08:14,0,297,2.95,2.62,2.34,2
harvester2,60,2021-12-28 20:09:14,0,298,1.92,2.40,2.29,0
harvester2,60,2021-12-28 20:10:14,1,299,1.57,2.20,2.22,0
harvester2,60,2021-12-28 20:11:14,1,298,1.55,2.08,2.18,0
harvester2,60,2021-12-28 20:12:14,1,299,1.71,2.04,2.16,0
harvester2,60,2021-12-28 20:13:14,3,302,1.76,1.98,2.13,1
harvester2,60,2021-12-28 20:14:14,0,302,1.98,2.02,2.13,1
harvester2,60,2021-12-28 20:15:14,0,302,1.90,1.98,2.11,1
harvester2,60,2021-12-28 20:16:14,4,302,4.21,2.72,2.36,0
harvester2,60,2021-12-28 20:17:14,1,302,3.59,2.81,2.41,0
harvester2,60,2021-12-28 20:18:14,2,302,2.40,2.60,2.36,0
harvester2,60,2021-12-28 20:19:14,1,302,2.46,2.57,2.37,0
harvester2,60,2021-12-28 20:20:14,3,301,2.38,2.55,2.37,0
harvester2,60,2021-12-28 20:21:14,4,302,2.40,2.55,2.38,1
harvester2,60,2021-12-28 20:22:14,0,302,2.18,2.47,2.36,1
harvester2,60,2021-12-28 20:23:14,2,302,2.16,2.40,2.35,0
harvester2,60,2021-12-28 20:24:14,1,300,2.16,2.36,2.34,1
harvester2,60,2021-12-28 20:25:14,2,301,2.02,2.28,2.31,0
harvester2,60,2021-12-28 20:26:14,1,301,2.08,2.25,2.30,0
harvester2,60,2021-12-28 20:27:14,0,301,1.96,2.19,2.27,1
harvester2,60,2021-12-28 20:28:14,1,302,1.88,2.11,2.24,1
harvester2,60,2021-12-28 20:29:14,1,303,1.54,1.97,2.18,1
harvester2,60,2021-12-28 20:30:14,6,302,1.76,1.96,2.16,0
harvester2,60,2021-12-28 20:31:14,1,302,2.02,1.98,2.16,0
harvester2,60,2021-12-28 20:32:14,3,303,2.38,2.11,2.19,0
harvester2,60,2021-12-28 20:33:14,1,303,2.65,2.26,2.24,0
harvester2,60,2021-12-28 20:34:14,1,299,2.23,2.20,2.22,0
harvester2,60,2021-12-28 20:35:14,3,301,2.22,2.21,2.22,0
harvester2,60,2021-12-28 20:36:14,2,301,1.98,2.15,2.20,0
harvester2,60,2021-12-28 20:37:14,2,300,2.33,2.22,2.21,0
harvester2,60,2021-12-28 20:38:14,1,301,1.86,2.10,2.17,0
harvester2,60,2021-12-28 20:39:14,1,300,2.25,2.14,2.18,1
harvester2,60,2021-12-28 20:40:14,1,300,2.00,2.08,2.15,0
harvester2,60,2021-12-28 20:41:14,1,302,1.91,2.02,2.13,0
harvester2,60,2021-12-28 20:42:14,1,302,2.16,2.06,2.13,0
