# hostname,interval,timestamp,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad
harvester2,60,2021-12-29 09:38:20,20770812,200704,0.96,104824,52.23
harvester2,60,2021-12-29 09:39:20,20770812,200704,0.96,104828,52.23
harvester2,60,2021-12-29 09:40:20,20770812,200704,0.96,104828,52.23
harvester2,60,2021-12-29 09:41:20,20770812,200704,0.96,104828,52.23
harvester2,60,2021-12-29 09:42:20,20770812,200704,0.96,104832,52.23
harvester2,60,2021-12-29 09:43:20,20770812,200704,0.96,104832,52.23
harvester2,60,2021-12-29 09:44:20,20770812,200704,0.96,104840,52.24
harvester2,60,2021-12-29 09:45:20,20770812,200704,0.96,104840,52.24
harvester2,60,2021-12-29 09:46:20,20770812,200704,0.96,104840,52.24
harvester2,60,2021-12-29 09:47:20,20770812,200704,0.96,104840,52.24
harvester2,60,2021-12-29 09:48:20,20770812,200704,0.96,104996,52.31
harvester2,60,2021-12-29 09:49:20,20770812,200704,0.96,105000,52.32
harvester2,60,2021-12-29 09:50:20,20770812,200704,0.96,105008,52.32
harvester2,60,2021-12-29 09:51:20,20770812,200704,0.96,105008,52.32
harvester2,60,2021-12-29 09:52:20,20770812,200704,0.96,105008,52.32
harvester2,60,2021-12-29 09:53:20,20771068,200448,0.96,104840,52.30
harvester2,60,2021-12-29 09:54:20,20774652,196864,0.94,101076,51.34
harvester2,60,2021-12-29 09:55:20,20778492,193024,0.92,97380,50.45
harvester2,60,2021-12-29 09:56:20,20780284,191232,0.91,95516,49.95
harvester2,60,2021-12-29 09:57:20,20780284,191232,0.91,95508,49.94
harvester2,60,2021-12-29 09:58:20,20780284,191232,0.91,95508,49.94
harvester2,60,2021-12-29 09:59:20,20782076,189440,0.90,93564,49.39
harvester2,60,2021-12-29 10:00:20,20782076,189440,0.90,93568,49.39
harvester2,60,2021-12-29 10:01:20,20784380,187136,0.89,91344,48.81
harvester2,60,2021-12-29 10:02:20,20784380,187136,0.89,91344,48.81
harvester2,60,2021-12-29 10:03:20,20786684,184832,0.88,89136,48.23
harvester2,60,2021-12-29 10:04:20,20786684,184832,0.88,89136,48.23
harvester2,60,2021-12-29 10:05:20,20788988,182528,0.87,86876,47.60
harvester2,60,2021-12-29 10:06:20,20788988,182528,0.87,86876,47.60
harvester2,60,2021-12-29 10:07:20,20788988,182528,0.87,86880,47.60
harvester2,60,2021-12-29 10:08:20,20788988,182528,0.87,86880,47.60
harvester2,60,2021-12-29 10:09:20,20788988,182528,0.87,86880,47.60
harvester2,60,2021-12-29 10:10:20,20788988,182528,0.87,86880,47.60
harvester2,60,2021-12-29 10:11:20,20788988,182528,0.87,86880,47.60
harvester2,60,2021-12-29 10:12:20,20788988,182528,0.87,86880,47.60
harvester2,60,2021-12-29 10:13:20,20788988,182528,0.87,86880,47.60
harvester2,60,2021-12-29 10:14:20,20791292,180224,0.86,84552,46.91
harvester2,60,2021-12-29 10:15:20,20791292,180224,0.86,84552,46.91
harvester2,60,2021-12-29 10:16:20,20791292,180224,0.86,84552,46.91
harvester2,60,2021-12-29 10:17:20,20791292,180224,0.86,84556,46.92
harvester2,60,2021-12-29 10:18:20,20791292,180224,0.86,84560,46.92
harvester2,60,2021-12-29 10:19:20,20791292,180224,0.86,84560,46.92
harvester2,60,2021-12-29 10:20:20,20791292,180224,0.86,84564,46.92
harvester2,60,2021-12-29 10:21:20,20791292,180224,0.86,84564,46.92
harvester2,60,2021-12-29 10:22:20,20792316,179200,0.85,83484,46.59
harvester2,60,2021-12-29 10:23:20,20792316,179200,0.85,83484,46.59
