# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
harvester2;60;2021-12-29 09:38:20;lo;0.03;0.03;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2021-12-29 09:38:20;eth0;5.35;4.18;0.48;2.68;0.00;0.00;1.77;0.00
harvester2;60;2021-12-29 09:38:20;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2021-12-29 09:39:20;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2021-12-29 09:39:20;eth0;4.87;4.13;0.44;2.64;0.00;0.00;1.53;0.00
harvester2;60;2021-12-29 09:39:20;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2021-12-29 09:40:20;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2021-12-29 09:40:20;eth0;4.85;4.00;0.44;2.60;0.00;0.00;1.75;0.00
harvester2;60;2021-12-29 09:40:20;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2021-12-29 09:41:20;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2021-12-29 09:41:20;eth0;4.78;4.02;0.42;2.60;0.00;0.00;1.58;0.00
harvester2;60;2021-12-29 09:41:20;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2021-12-29 09:42:20;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2021-12-29 09:42:20;eth0;4.92;4.07;0.43;2.61;0.00;0.00;1.68;0.00
harvester2;60;2021-12-29 09:42:20;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2021-12-29 09:43:20;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2021-12-29 09:43:20;eth0;5.60;4.03;0.47;2.60;0.00;0.00;1.60;0.00
harvester2;60;2021-12-29 09:43:20;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2021-12-29 09:44:20;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2021-12-29 09:44:20;eth0;6.68;4.02;0.56;2.60;0.00;0.00;1.80;0.00
harvester2;60;2021-12-29 09:44:20;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2021-12-29 09:45:20;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2021-12-29 09:45:20;eth0;6.15;4.03;0.49;2.61;0.00;0.00;1.48;0.00
harvester2;60;2021-12-29 09:45:20;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2021-12-29 09:46:20;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2021-12-29 09:46:20;eth0;6.37;4.08;0.54;2.61;0.00;0.00;1.77;0.00
harvester2;60;2021-12-29 09:46:20;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2021-12-29 09:47:20;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2021-12-29 09:47:20;eth0;5.95;4.05;0.48;2.60;0.00;0.00;1.48;0.00
harvester2;60;2021-12-29 09:47:20;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2021-12-29 09:48:20;lo;0.07;0.07;0.01;0.01;0.00;0.00;0.00;0.00
harvester2;60;2021-12-29 09:48:20;eth0;5.52;4.42;0.50;2.77;0.00;0.00;1.77;0.00
harvester2;60;2021-12-29 09:48:20;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2021-12-29 09:49:20;lo;0.62;0.62;0.17;0.17;0.00;0.00;0.00;0.00
harvester2;60;2021-12-29 09:49:20;eth0;5.38;4.35;0.47;2.70;0.00;0.00;1.55;0.00
harvester2;60;2021-12-29 09:49:20;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2021-12-29 09:50:20;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2021-12-29 09:50:20;eth0;5.23;4.07;0.47;2.61;0.00;0.00;1.70;0.00
harvester2;60;2021-12-29 09:50:20;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2021-12-29 09:51:20;lo;0.32;0.32;0.15;0.15;0.00;0.00;0.00;0.00
harvester2;60;2021-12-29 09:51:20;eth0;9.42;4.07;1.10;2.69;0.00;0.00;4.73;0.00
harvester2;60;2021-12-29 09:51:20;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2021-12-29 09:52:20;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2021-12-29 09:52:20;eth0;7.73;3.82;0.92;2.62;0.00;0.00;4.00;0.00
harvester2;60;2021-12-29 09:52:20;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2021-12-29 09:53:20;lo;2.30;2.30;2.42;2.42;0.00;0.00;0.00;0.00
harvester2;60;2021-12-29 09:53:20;eth0;194.07;69.02;260.95;7.46;0.00;0.00;4.85;0.21
