# hostname,interval,timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
harvester2,60,2021-12-29 09:38:20,-1,8.18,0.00,17.25,18.95,0.00,55.62
harvester2,60,2021-12-29 09:39:20,-1,5.77,0.00,18.48,24.90,0.00,50.85
harvester2,60,2021-12-29 09:40:20,-1,5.75,0.00,11.61,33.51,0.00,49.13
harvester2,60,2021-12-29 09:41:20,-1,5.84,0.00,14.19,30.39,0.00,49.58
harvester2,60,2021-12-29 09:42:20,-1,5.65,0.00,14.56,29.98,0.00,49.82
harvester2,60,2021-12-29 09:43:20,-1,5.76,0.00,12.85,32.54,0.00,48.85
harvester2,60,2021-12-29 09:44:20,-1,5.92,0.00,20.55,23.55,0.00,49.98
harvester2,60,2021-12-29 09:45:20,-1,5.83,0.00,14.53,30.01,0.00,49.64
harvester2,60,2021-12-29 09:46:20,-1,5.77,0.00,13.92,30.21,0.00,50.10
harvester2,60,2021-12-29 09:47:20,-1,5.84,0.00,13.55,31.33,0.00,49.27
harvester2,60,2021-12-29 09:48:20,-1,9.71,0.00,15.23,20.91,0.00,54.15
harvester2,60,2021-12-29 09:49:20,-1,12.13,0.00,15.92,2.54,0.00,69.41
harvester2,60,2021-12-29 09:50:20,-1,7.12,0.00,17.00,3.33,0.00,72.55
harvester2,60,2021-12-29 09:51:20,-1,30.86,0.00,8.90,1.02,0.00,59.22
harvester2,60,2021-12-29 09:52:20,-1,40.83,0.00,5.43,0.06,0.00,53.68
harvester2,60,2021-12-29 09:53:20,-1,18.38,0.00,3.18,0.10,0.00,78.34
harvester2,60,2021-12-29 09:54:20,-1,33.31,0.00,1.88,0.11,0.00,64.71
harvester2,60,2021-12-29 09:55:20,-1,33.23,0.00,1.76,0.09,0.00,64.92
harvester2,60,2021-12-29 09:56:20,-1,33.19,0.00,2.67,0.09,0.00,64.05
harvester2,60,2021-12-29 09:57:20,-1,31.82,0.00,6.48,4.94,0.00,56.76
harvester2,60,2021-12-29 09:58:20,-1,30.08,0.00,7.07,3.08,0.00,59.77
harvester2,60,2021-12-29 09:59:20,-1,35.71,0.00,5.92,0.43,0.00,57.94
harvester2,60,2021-12-29 10:00:20,-1,35.38,0.00,5.23,0.60,0.00,58.79
harvester2,60,2021-12-29 10:01:20,-1,40.43,0.00,5.18,0.40,0.00,53.99
harvester2,60,2021-12-29 10:02:20,-1,37.64,0.00,4.25,1.98,0.00,56.13
harvester2,60,2021-12-29 10:03:20,-1,32.11,0.00,4.90,2.95,0.00,60.04
harvester2,60,2021-12-29 10:04:20,-1,29.96,0.00,6.21,4.27,0.00,59.56
harvester2,60,2021-12-29 10:05:20,-1,36.90,0.00,5.10,1.19,0.00,56.81
harvester2,60,2021-12-29 10:06:20,-1,38.23,0.00,5.33,0.48,0.00,55.96
harvester2,60,2021-12-29 10:07:20,-1,37.10,0.00,5.33,0.89,0.00,56.68
harvester2,60,2021-12-29 10:08:20,-1,37.97,0.00,5.91,0.39,0.00,55.74
harvester2,60,2021-12-29 10:09:20,-1,36.93,0.00,4.58,1.45,0.00,57.04
harvester2,60,2021-12-29 10:10:20,-1,36.82,0.00,4.88,0.29,0.00,58.01
harvester2,60,2021-12-29 10:11:20,-1,36.11,0.00,4.46,0.35,0.00,59.09
harvester2,60,2021-12-29 10:12:20,-1,40.32,0.00,4.06,0.31,0.00,55.31
harvester2,60,2021-12-29 10:13:20,-1,35.01,0.00,5.82,0.46,0.00,58.72
harvester2,60,2021-12-29 10:14:20,-1,38.07,0.00,4.89,0.84,0.00,56.20
harvester2,60,2021-12-29 10:15:20,-1,36.49,0.00,4.78,0.48,0.00,58.25
harvester2,60,2021-12-29 10:16:20,-1,40.11,0.00,4.52,0.35,0.00,55.02
harvester2,60,2021-12-29 10:17:20,-1,29.56,0.00,5.56,1.78,0.00,63.10
harvester2,60,2021-12-29 10:18:20,-1,35.96,0.00,5.79,3.72,0.00,54.54
harvester2,60,2021-12-29 10:19:20,-1,37.46,0.00,7.03,4.25,0.00,51.25
harvester2,60,2021-12-29 10:20:20,-1,39.69,0.00,4.34,0.88,0.00,55.08
harvester2,60,2021-12-29 10:21:20,-1,41.61,0.00,4.73,0.31,0.00,53.35
harvester2,60,2021-12-29 10:22:20,-1,36.97,0.00,5.16,0.45,0.00,57.42
harvester2,60,2021-12-29 10:23:20,-1,39.55,0.00,5.13,0.36,0.00,54.96
harvester2,60,2021-12-29 10:24:20,-1,37.48,0.00,5.18,0.34,0.00,57.00
harvester2,60,2021-12-29 10:25:20,-1,34.94,0.00,5.48,1.86,0.00,57.72
harvester2,60,2021-12-29 10:26:20,-1,25.31,0.00,5.73,1.05,0.00,67.91
harvester2,60,2021-12-29 10:27:20,-1,37.09,0.00,5.84,0.25,0.00,56.82
harvester2,60,2021-12-29 10:28:20,-1,26.69,0.00,5.41,0.28,0.00,67.62
harvester2,60,2021-12-29 10:29:20,-1,34.24,0.00,6.00,1.00,0.00,58.76
harvester2,60,2021-12-29 10:30:20,-1,30.68,0.00,5.60,0.24,0.00,63.48
harvester2,60,2021-12-29 10:31:20,-1,32.39,0.00,5.40,0.24,0.00,61.96
harvester2,60,2021-12-29 10:32:20,-1,38.99,0.00,6.02,0.17,0.00,54.83
harvester2,60,2021-12-29 10:33:20,-1,27.28,0.00,5.09,1.01,0.00,66.61
harvester2,60,2021-12-29 10:34:20,-1,26.90,0.00,5.11,0.23,0.00,67.76
harvester2,60,2021-12-29 10:35:20,-1,33.48,0.00,5.47,2.35,0.00,58.69
harvester2,60,2021-12-29 10:36:20,-1,28.42,0.00,5.31,3.56,0.00,62.70
harvester2,60,2021-12-29 10:37:20,-1,27.89,0.00,4.78,3.36,0.00,63.97
harvester2,60,2021-12-29 10:38:20,-1,33.88,0.00,5.28,3.05,0.00,57.80
harvester2,60,2021-12-29 10:39:20,-1,24.38,0.00,6.02,3.03,0.00,66.57
harvester2,60,2021-12-29 10:40:20,-1,36.09,0.00,5.44,0.17,0.00,58.30
harvester2,60,2021-12-29 10:41:20,-1,34.44,0.00,5.60,0.16,0.00,59.80
harvester2,60,2021-12-29 10:42:20,-1,31.15,0.00,5.17,0.17,0.00,63.51
harvester2,60,2021-12-29 10:43:20,-1,40.52,0.00,7.28,0.20,0.00,51.99
harvester2,60,2021-12-29 10:44:20,-1,30.78,0.00,6.90,0.91,0.00,61.41
harvester2,60,2021-12-29 10:45:20,-1,38.31,0.00,5.43,0.07,0.00,56.19
