# hostname,interval,timestamp,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s
harvester2,60,2021-12-29 15:36:51,310.18,165.78,144.40,0.00,82286.27,67570.67,0.00
harvester2,60,2021-12-29 15:37:51,353.50,170.65,182.85,0.00,86920.13,89153.07,0.00
harvester2,60,2021-12-29 15:38:51,301.07,154.87,146.20,0.00,78891.60,70178.80,0.00
harvester2,60,2021-12-29 15:39:51,229.80,107.87,121.93,0.00,54865.07,58395.20,0.00
harvester2,60,2021-12-29 15:40:51,309.32,148.28,161.03,0.00,75578.93,77119.20,0.00
harvester2,60,2021-12-29 15:41:51,202.08,90.58,111.50,0.00,46056.67,53718.40,0.00
harvester2,60,2021-12-29 15:42:51,178.42,94.18,84.23,0.00,47893.73,39178.53,0.00
harvester2,60,2021-12-29 15:43:51,219.48,90.92,128.57,0.00,46183.25,61649.07,0.00
harvester2,60,2021-12-29 15:44:51,232.15,130.58,101.57,0.00,66544.13,46380.27,0.00
harvester2,60,2021-12-29 15:45:51,253.20,108.82,144.38,0.00,55529.73,69697.47,0.00
harvester2,60,2021-12-29 15:46:51,223.90,98.77,125.13,0.00,48761.73,56979.87,0.00
harvester2,60,2021-12-29 15:47:51,226.62,218.88,7.73,0.00,31625.33,111.20,0.00
harvester2,60,2021-12-29 15:48:51,1023.10,1017.32,5.78,0.00,119427.20,68.67,0.00
harvester2,60,2021-12-29 15:49:51,2098.63,2093.88,4.75,0.00,134990.30,72.79,0.00
harvester2,60,2021-12-29 15:50:51,1886.87,1878.08,8.78,0.00,175012.27,95.87,0.00
harvester2,60,2021-12-29 15:51:51,1961.13,1952.93,8.20,0.00,129978.67,112.53,0.00
harvester2,60,2021-12-29 15:52:51,1868.00,1855.82,12.18,0.00,187288.40,136.53,0.00
harvester2,60,2021-12-29 15:53:51,1875.63,1865.08,10.55,0.00,139998.45,124.13,0.00
harvester2,60,2021-12-29 15:54:51,1769.12,1759.18,9.93,0.00,166296.80,107.20,0.00
harvester2,60,2021-12-29 15:55:51,1816.80,1810.22,6.58,0.00,136119.33,123.73,0.00
harvester2,60,2021-12-29 15:56:51,131.85,82.02,49.83,0.00,1300.80,1388.93,0.00
harvester2,60,2021-12-29 15:57:51,65.93,28.57,37.37,0.00,724.13,919.47,0.00
harvester2,60,2021-12-29 15:58:51,272.03,155.40,116.63,0.00,2336.27,3604.93,0.00
harvester2,60,2021-12-29 15:59:51,124.47,65.80,58.67,0.00,1220.00,1733.60,0.00
harvester2,60,2021-12-29 16:00:51,321.20,177.08,144.12,0.00,2778.67,4740.00,0.00
harvester2,60,2021-12-29 16:01:51,76.40,43.30,33.10,0.00,875.20,881.73,0.00
harvester2,60,2021-12-29 16:02:51,152.60,80.87,71.73,0.00,1421.47,2262.53,0.00
harvester2,60,2021-12-29 16:03:51,96.07,57.73,38.33,0.00,1153.70,1118.80,0.00
harvester2,60,2021-12-29 16:04:51,113.63,52.37,61.27,0.00,1076.93,1898.27,0.00
harvester2,60,2021-12-29 16:05:51,74.15,43.90,30.25,0.00,840.13,868.53,0.00
harvester2,60,2021-12-29 16:06:51,96.43,50.55,45.88,0.00,1043.87,1388.93,0.00
harvester2,60,2021-12-29 16:07:51,63.88,37.07,26.82,0.00,725.87,621.60,0.00
harvester2,60,2021-12-29 16:08:51,78.55,41.33,37.22,0.00,899.33,1082.40,0.00
harvester2,60,2021-12-29 16:09:51,50.40,26.85,23.55,0.00,655.33,623.87,0.00
harvester2,60,2021-12-29 16:10:51,103.85,57.93,45.92,0.00,1019.60,1251.47,0.00
harvester2,60,2021-12-29 16:11:51,92.80,44.95,47.85,0.00,1017.20,1379.87,0.00
harvester2,60,2021-12-29 16:12:51,63.57,34.12,29.45,0.00,763.20,810.80,0.00
harvester2,60,2021-12-29 16:13:51,51.62,25.28,26.33,0.00,661.78,685.33,0.00
harvester2,60,2021-12-29 16:14:51,39.15,22.07,17.08,0.00,597.87,456.27,0.00
harvester2,60,2021-12-29 16:15:51,105.38,53.52,51.87,0.00,1083.60,1503.47,0.00
harvester2,60,2021-12-29 16:16:51,47.63,24.43,23.20,0.00,675.33,853.33,0.00
harvester2,60,2021-12-29 16:17:51,74.45,37.55,36.90,0.00,728.27,749.87,0.00
harvester2,60,2021-12-29 16:18:51,67.62,36.17,31.45,0.00,815.73,809.47,0.00
harvester2,60,2021-12-29 16:19:51,61.55,32.25,29.30,0.00,798.53,846.53,0.00
