# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
harvester2;60;2021-12-30 03:49:46;-1;8.03;0.00;12.17;25.94;0.00;53.87
harvester2;60;2021-12-30 03:50:46;-1;5.89;0.00;17.84;24.90;0.00;51.37
harvester2;60;2021-12-30 03:51:46;-1;6.02;0.00;18.67;25.76;0.00;49.55
harvester2;60;2021-12-30 03:52:46;-1;5.86;0.00;14.63;30.45;0.00;49.05
harvester2;60;2021-12-30 03:53:46;-1;5.88;0.00;14.53;30.47;0.00;49.11
harvester2;60;2021-12-30 03:54:46;-1;5.71;0.00;10.39;35.34;0.00;48.56
harvester2;60;2021-12-30 03:55:46;-1;5.80;0.00;16.68;27.33;0.00;50.18
harvester2;60;2021-12-30 03:56:46;-1;5.71;0.00;14.77;30.21;0.00;49.30
harvester2;60;2021-12-30 03:57:46;-1;5.97;0.00;16.99;27.38;0.00;49.66
harvester2;60;2021-12-30 03:58:46;-1;5.75;0.00;11.23;34.15;0.00;48.88
harvester2;60;2021-12-30 03:59:46;-1;6.03;0.00;13.94;30.62;0.00;49.40
harvester2;60;2021-12-30 04:00:46;-1;15.45;0.00;14.20;8.07;0.00;62.28
harvester2;60;2021-12-30 04:01:46;-1;7.31;0.00;17.16;3.38;0.00;72.14
harvester2;60;2021-12-30 04:02:46;-1;14.12;0.00;14.80;3.25;0.00;67.82
harvester2;60;2021-12-30 04:03:46;-1;17.01;0.00;2.96;0.24;0.00;79.79
harvester2;60;2021-12-30 04:04:46;-1;31.91;0.00;2.39;0.10;0.00;65.60
harvester2;60;2021-12-30 04:05:46;-1;34.44;0.00;2.12;0.31;0.00;63.14
harvester2;60;2021-12-30 04:06:46;-1;33.63;0.00;1.88;0.26;0.00;64.24
harvester2;60;2021-12-30 04:07:46;-1;35.74;0.00;6.07;3.77;0.00;54.42
harvester2;60;2021-12-30 04:08:46;-1;36.38;0.00;7.88;4.09;0.00;51.65
harvester2;60;2021-12-30 04:09:46;-1;38.82;0.00;7.57;0.58;0.00;53.03
harvester2;60;2021-12-30 04:10:46;-1;44.83;0.00;5.52;0.50;0.00;49.15
harvester2;60;2021-12-30 04:11:46;-1;48.88;0.00;5.64;0.80;0.00;44.67
harvester2;60;2021-12-30 04:12:46;-1;43.23;0.00;5.42;0.35;0.00;51.01
harvester2;60;2021-12-30 04:13:46;-1;33.76;0.00;6.41;5.03;0.00;54.80
harvester2;60;2021-12-30 04:14:46;-1;44.97;0.00;5.58;2.78;0.00;46.66
harvester2;60;2021-12-30 04:15:46;-1;44.33;0.00;5.87;0.78;0.00;49.02
harvester2;60;2021-12-30 04:16:46;-1;42.52;0.00;6.50;0.95;0.00;50.03
harvester2;60;2021-12-30 04:17:46;-1;44.11;0.00;6.83;0.41;0.00;48.66
harvester2;60;2021-12-30 04:18:46;-1;44.02;0.00;5.51;0.59;0.00;49.89
harvester2;60;2021-12-30 04:19:46;-1;39.63;0.00;4.96;0.31;0.00;55.10
harvester2;60;2021-12-30 04:20:46;-1;43.97;0.00;4.88;1.01;0.00;50.13
harvester2;60;2021-12-30 04:21:46;-1;43.84;0.00;6.24;0.36;0.00;49.55
harvester2;60;2021-12-30 04:22:46;-1;43.99;0.00;5.81;0.56;0.00;49.64
harvester2;60;2021-12-30 04:23:46;-1;42.99;0.00;7.29;0.47;0.00;49.25
harvester2;60;2021-12-30 04:24:46;-1;52.47;0.00;9.26;2.28;0.00;35.99
harvester2;60;2021-12-30 04:25:46;-1;36.00;0.00;9.65;4.66;0.00;49.69
harvester2;60;2021-12-30 04:26:46;-1;42.50;0.00;8.55;4.82;0.00;44.13
harvester2;60;2021-12-30 04:27:46;-1;43.10;0.00;5.52;2.21;0.00;49.17
harvester2;60;2021-12-30 04:28:46;-1;48.53;0.00;5.36;0.53;0.00;45.58
harvester2;60;2021-12-30 04:29:46;-1;44.20;0.00;5.99;0.41;0.00;49.40
harvester2;60;2021-12-30 04:30:46;-1;47.38;0.00;6.13;0.36;0.00;46.12
harvester2;60;2021-12-30 04:31:46;-1;46.74;0.00;6.27;0.34;0.00;46.65
harvester2;60;2021-12-30 04:32:46;-1;34.12;0.00;6.13;0.84;0.00;58.91
harvester2;60;2021-12-30 04:33:46;-1;26.53;0.00;5.88;0.36;0.00;67.23
harvester2;60;2021-12-30 04:34:46;-1;39.83;0.00;6.13;0.23;0.00;53.81
harvester2;60;2021-12-30 04:35:46;-1;36.42;0.00;6.15;0.27;0.00;57.16
harvester2;60;2021-12-30 04:36:46;-1;25.81;0.00;5.92;0.87;0.00;67.40
harvester2;60;2021-12-30 04:37:46;-1;38.23;0.00;6.56;3.76;0.00;51.44
harvester2;60;2021-12-30 04:38:46;-1;23.81;0.00;5.01;4.09;0.00;67.09
harvester2;60;2021-12-30 04:39:46;-1;41.34;0.00;6.73;3.13;0.00;48.80
harvester2;60;2021-12-30 04:40:46;-1;26.46;0.00;5.31;2.58;0.00;65.66
harvester2;60;2021-12-30 04:41:46;-1;37.08;0.00;6.64;0.36;0.00;55.92
harvester2;60;2021-12-30 04:42:46;-1;31.13;0.00;5.10;0.42;0.00;63.34
harvester2;60;2021-12-30 04:43:46;-1;38.95;0.00;6.31;0.19;0.00;54.55
harvester2;60;2021-12-30 04:44:46;-1;37.97;0.00;5.65;0.17;0.00;56.21
harvester2;60;2021-12-30 04:45:46;-1;26.87;0.00;6.03;0.30;0.00;66.81
harvester2;60;2021-12-30 04:46:46;-1;37.57;0.00;5.59;0.31;0.00;56.53
harvester2;60;2021-12-30 04:47:46;-1;40.98;0.00;6.11;0.11;0.00;52.80
harvester2;60;2021-12-30 04:48:46;-1;27.04;0.00;4.91;0.19;0.00;67.86
harvester2;60;2021-12-30 04:49:46;-1;39.25;0.00;5.66;0.72;0.00;54.37
harvester2;60;2021-12-30 04:50:46;-1;45.61;0.00;8.31;0.14;0.00;45.94
harvester2;60;2021-12-30 04:51:46;-1;29.45;0.00;7.78;0.26;0.00;62.51
harvester2;60;2021-12-30 04:52:46;-1;45.47;0.00;8.89;0.17;0.00;45.48
harvester2;60;2021-12-30 04:53:46;-1;30.17;0.00;7.54;0.34;0.00;61.95
harvester2;60;2021-12-30 04:54:46;-1;42.59;0.00;9.06;0.27;0.00;48.07
harvester2;60;2021-12-30 04:55:46;-1;29.49;0.00;7.87;0.25;0.00;62.39
harvester2;60;2021-12-30 04:56:46;-1;40.85;0.00;5.98;0.18;0.00;52.98
harvester2;60;2021-12-30 04:57:46;-1;34.16;0.00;5.68;3.82;0.00;56.34
harvester2;60;2021-12-30 04:58:46;-1;29.73;0.00;5.16;3.39;0.00;61.72
harvester2;60;2021-12-30 04:59:46;-1;34.95;0.00;5.92;3.80;0.00;55.33
harvester2;60;2021-12-30 05:00:46;-1;26.63;0.00;4.55;2.94;0.00;65.89
harvester2;60;2021-12-30 05:01:46;-1;38.93;0.00;5.36;0.10;0.00;55.61
harvester2;60;2021-12-30 05:02:46;-1;27.28;0.00;5.02;0.29;0.00;67.41
harvester2;60;2021-12-30 05:03:46;-1;37.02;0.00;5.67;0.33;0.00;56.98
harvester2;60;2021-12-30 05:04:46;-1;50.64;0.00;6.22;0.27;0.00;42.87
harvester2;60;2021-12-30 05:05:46;-1;45.99;0.00;4.95;0.28;0.00;48.77
harvester2;60;2021-12-30 05:06:46;-1;46.98;0.00;4.60;0.20;0.00;48.22
harvester2;60;2021-12-30 05:07:46;-1;46.69;0.00;6.06;0.15;0.00;47.10
harvester2;60;2021-12-30 05:08:46;-1;31.31;0.00;4.82;0.11;0.00;63.75
harvester2;60;2021-12-30 05:09:46;-1;40.84;0.00;5.66;0.11;0.00;53.38
harvester2;60;2021-12-30 05:10:46;-1;27.48;0.00;5.77;0.12;0.00;66.63
harvester2;60;2021-12-30 05:11:46;-1;41.02;0.00;5.68;0.10;0.00;53.21
harvester2;60;2021-12-30 05:12:46;-1;39.74;0.00;5.71;0.17;0.00;54.38
harvester2;60;2021-12-30 05:13:46;-1;37.24;0.00;5.88;0.18;0.00;56.70
harvester2;60;2021-12-30 05:14:46;-1;31.65;0.00;4.94;0.12;0.00;63.29
harvester2;60;2021-12-30 05:15:46;-1;42.77;0.00;5.93;0.17;0.00;51.13
harvester2;60;2021-12-30 05:16:46;-1;27.72;0.00;4.56;0.19;0.00;67.53
harvester2;60;2021-12-30 05:17:46;-1;41.24;0.00;5.45;0.11;0.00;53.20
harvester2;60;2021-12-30 05:18:46;-1;41.43;0.00;7.32;0.14;0.00;51.11
harvester2;60;2021-12-30 05:19:46;-1;30.06;0.00;7.24;0.21;0.00;62.50
harvester2;60;2021-12-30 05:20:46;-1;44.37;0.00;8.54;0.14;0.00;46.95
harvester2;60;2021-12-30 05:21:46;-1;32.89;0.00;7.99;2.24;0.00;56.89
harvester2;60;2021-12-30 05:22:46;-1;41.28;0.00;8.24;1.65;0.00;48.83
harvester2;60;2021-12-30 05:23:46;-1;40.19;0.00;8.04;2.09;0.00;49.68
harvester2;60;2021-12-30 05:24:46;-1;29.35;0.00;4.47;0.55;0.00;65.63
harvester2;60;2021-12-30 05:25:46;-1;41.10;0.00;5.25;0.07;0.00;53.58
harvester2;60;2021-12-30 05:26:46;-1;40.99;0.00;5.82;0.09;0.00;53.10
