# hostname,interval,timestamp,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
harvester2,60,2021-12-30 15:36:54,2230272,7140552,460264,5.76,33196,5039684,1139100,3.93,227780,5153364,442312
harvester2,60,2021-12-30 15:37:54,140596,7141948,450704,5.64,33292,7112472,1135036,3.92,228476,7223232,302312
harvester2,60,2021-12-30 15:38:54,141608,7125620,466836,5.84,33404,7084560,1135300,3.92,229040,7210732,566280
harvester2,60,2021-12-30 15:39:54,129948,7125952,466752,5.84,33388,7087468,1135300,3.92,229188,7213316,511564
harvester2,60,2021-12-30 15:40:54,172436,7128740,463816,5.80,33428,7039864,1135300,3.92,229304,7166164,573312
harvester2,60,2021-12-30 15:41:54,135744,7126236,466460,5.83,33464,7064396,1135300,3.92,229428,7191116,372560
harvester2,60,2021-12-30 15:42:54,150512,7123912,468800,5.86,33468,7040544,1135960,3.92,229516,7167876,576372
harvester2,60,2021-12-30 15:43:54,133440,7126140,466444,5.83,33492,7050020,1135960,3.92,229592,7177596,591220
harvester2,60,2021-12-30 15:44:54,146072,7123936,468544,5.86,33456,7026588,1135960,3.92,229660,7154248,547528
harvester2,60,2021-12-30 15:45:54,133884,7125796,466428,5.83,33496,7034136,1135960,3.92,229740,7161188,73404
harvester2,60,2021-12-30 15:46:54,171300,7138152,454072,5.68,33764,7004552,1139996,3.94,235332,7108704,341308
harvester2,60,2021-12-30 15:47:54,4012156,7090828,541172,6.77,3500,3268012,1233952,4.26,161092,3503716,228
harvester2,60,2021-12-30 15:48:54,139664,7095416,533648,6.67,3580,7141604,1233952,4.26,167596,7371232,2148
harvester2,60,2021-12-30 15:49:54,194168,6339992,1286092,16.08,3940,6328752,1999216,6.90,177284,7294560,444
harvester2,60,2021-12-30 15:50:54,142444,6299684,1326292,16.59,4124,6339964,2026156,6.99,178088,7346032,224
harvester2,60,2021-12-30 15:51:54,155892,6027716,1598212,19.99,4212,6054412,2850008,9.84,178880,7330892,220
harvester2,60,2021-12-30 15:52:54,134108,5994384,1631480,20.40,4756,6042316,2878308,9.94,179980,7351592,344
harvester2,60,2021-12-30 15:53:54,138756,5987864,1637976,20.48,5264,6030596,2880816,9.94,184112,7341796,248
harvester2,60,2021-12-30 15:54:54,295408,6153340,1472176,18.41,5360,6038896,3692512,12.75,187848,7178716,620
harvester2,60,2021-12-30 15:55:54,131144,5970316,1653468,20.68,5528,6018536,3692528,12.75,217556,7310748,15208
harvester2,60,2021-12-30 15:56:54,144036,5952952,1669748,20.88,5664,5987200,3692656,12.75,255472,7257920,320
harvester2,60,2021-12-30 15:57:54,135760,5938596,1683844,21.06,5792,5980356,3693084,12.75,275888,7243404,92
harvester2,60,2021-12-30 15:58:54,164732,5930328,1691560,21.15,5904,5942496,3693216,12.75,298160,7188840,320
harvester2,60,2021-12-30 15:59:54,158204,5944676,1676916,20.97,6040,5963032,3694108,12.75,314688,7181880,332
harvester2,60,2021-12-30 16:00:54,161452,5937496,1683584,21.05,6184,5951932,3694248,12.75,333076,7156716,288
harvester2,60,2021-12-30 16:01:54,190240,5927236,1693056,21.17,6316,5911912,3694388,12.75,349416,7108860,104
harvester2,60,2021-12-30 16:02:54,154340,5910036,1709536,21.38,6448,5929804,3694940,12.76,363708,7129188,332
harvester2,60,2021-12-30 16:03:54,132496,5906072,1712508,21.42,6560,5946828,3695072,12.76,375188,7139204,292
harvester2,60,2021-12-30 16:04:54,165536,5889476,1728080,21.61,6696,5895764,3695784,12.76,394628,7084296,9128
harvester2,60,2021-12-30 16:05:54,166736,5882284,1734316,21.69,6840,5886360,3695784,12.76,410736,7062860,480
harvester2,60,2021-12-30 16:06:54,135532,5694548,1921568,24.03,6960,5729160,3696452,12.76,422340,7083740,324
harvester2,60,2021-12-30 16:07:54,129740,5692076,1923292,24.05,7096,5731576,3696452,12.76,438408,7072928,264
harvester2,60,2021-12-30 16:08:54,237008,5661540,1954208,24.44,7200,5592092,3827528,13.21,462400,6934352,268
harvester2,60,2021-12-30 16:09:54,192572,5680996,1933132,24.18,7328,5656324,3696452,12.76,487236,6955644,296
harvester2,60,2021-12-30 16:10:54,218216,5678500,1935012,24.20,7440,5627440,3696452,12.76,499516,6915172,284
harvester2,60,2021-12-30 16:11:54,187288,5677352,1935444,24.20,7576,5656392,3696752,12.76,513684,6930368,308
harvester2,60,2021-12-30 16:12:54,166588,5675852,1936128,24.21,7716,5674608,3696904,12.76,528772,6937384,264
harvester2,60,2021-12-30 16:13:54,322184,5672548,1938828,24.25,7844,5514976,3697044,12.76,544312,6766020,292
harvester2,60,2021-12-30 16:14:54,241708,5667608,1943044,24.30,7964,5589652,3697188,12.76,564304,6822328,276
harvester2,60,2021-12-30 16:15:54,148848,5661704,1948124,24.36,8108,5675752,3697328,12.76,581068,6899128,11072
harvester2,60,2021-12-30 16:16:54,144548,5659244,1950120,24.39,8228,5676924,3697504,12.76,588384,6895912,92
harvester2,60,2021-12-30 16:17:54,165376,5653128,1955392,24.45,8360,5649020,3697808,12.77,602180,6858820,408
harvester2,60,2021-12-30 16:18:54,209960,5644228,1963532,24.56,8496,5594668,3697964,12.77,618740,6793828,392
harvester2,60,2021-12-30 16:19:54,156960,5642480,1964740,24.57,8632,5645264,3698264,12.77,629100,6835436,204
harvester2,60,2021-12-30 16:20:54,134056,5631512,1974820,24.70,8784,5656076,3698400,12.77,645780,6840520,284
harvester2,60,2021-12-30 16:21:54,139552,5627600,1978080,24.74,8912,5646112,3698952,12.77,657276,6822792,416
harvester2,60,2021-12-30 16:22:54,327068,5508096,2097128,26.23,9032,5338360,3867868,13.35,674248,6617940,284
harvester2,60,2021-12-30 16:23:54,370804,5597908,2006852,25.10,9152,5383732,3704020,12.79,698504,6549796,172
harvester2,60,2021-12-30 16:24:54,285656,5587340,2016596,25.22,9280,5457516,3704020,12.79,733772,6597904,420
harvester2,60,2021-12-30 16:25:54,391088,5583180,2020336,25.27,9408,5347352,3705864,12.79,755020,6471060,332
harvester2,60,2021-12-30 16:26:54,318256,5571480,2031416,25.40,9540,5407708,3707188,12.80,786248,6509584,324
harvester2,60,2021-12-30 16:27:54,359552,5567004,2035368,25.45,9644,5361296,3707188,12.80,802896,6450152,368
