# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
harvester2;60;2021-12-31 16:08:06;2531420;7188564;411568;5.15;70868;4747432;1175144;4.06;253732;4828520;245700
harvester2;60;2021-12-31 16:09:06;129676;7182660;409776;5.12;70608;7120544;1175144;4.06;255848;7199936;633640
harvester2;60;2021-12-31 16:10:06;122904;7187444;405012;5.07;70132;7126764;1175144;4.06;260368;7201732;36096
harvester2;60;2021-12-31 16:11:06;134648;7179740;412556;5.16;70052;7099272;1175144;4.06;260492;7175204;310440
harvester2;60;2021-12-31 16:12:06;153344;7164996;427508;5.35;70024;7056192;1175276;4.06;260544;7148444;296692
harvester2;60;2021-12-31 16:13:06;133200;7168948;423532;5.30;69936;7072332;1175276;4.06;260900;7164088;367956
harvester2;60;2021-12-31 16:14:06;161996;7165868;426552;5.33;69848;7031028;1175276;4.06;261868;7122100;340860
harvester2;60;2021-12-31 16:15:06;134508;7166688;425736;5.32;69816;7051712;1175276;4.06;262028;7141528;457496
harvester2;60;2021-12-31 16:16:06;139292;7165668;426812;5.34;69716;7036888;1175276;4.06;262144;7127188;370780
harvester2;60;2021-12-31 16:17:06;136392;7166288;425860;5.33;69688;7032104;1175276;4.06;262176;7121788;347600
harvester2;60;2021-12-31 16:18:06;7249280;7220364;425160;5.32;1280;128376;1189204;4.11;161328;244612;776
harvester2;60;2021-12-31 16:19:06;2520696;7117712;503608;6.30;3872;4775868;1270980;4.39;171256;4969708;1520
harvester2;60;2021-12-31 16:20:06;135076;7118140;500420;6.26;3960;7158836;1268976;4.38;178340;7343880;200
harvester2;60;2021-12-31 16:21:06;174524;6355076;1263304;15.80;4300;6355968;2063164;7.12;188304;7291952;632
harvester2;60;2021-12-31 16:22:06;144284;6160696;1457528;18.23;4484;6191660;2917564;10.07;188812;7320504;332
harvester2;60;2021-12-31 16:23:06;134660;6031284;1586976;19.85;4572;6071800;2917596;10.07;189648;7328960;376
harvester2;60;2021-12-31 16:24:06;140920;6022552;1595768;19.96;4660;6056732;2917592;10.07;190164;7321484;888
harvester2;60;2021-12-31 16:25:06;134048;5995920;1621712;20.28;4784;6036204;3772464;13.02;204336;7310200;2116
harvester2;60;2021-12-31 16:26:06;136160;6022972;1592820;19.92;4992;6059240;3731092;12.88;242428;7264336;1396
harvester2;60;2021-12-31 16:27:06;170620;6003604;1611632;20.16;5120;6004684;3731120;12.88;270192;7199568;440
harvester2;60;2021-12-31 16:28:06;153484;5798908;1815964;22.71;5240;5816612;3731548;12.88;288996;7198052;252
harvester2;60;2021-12-31 16:29:06;130732;5777540;1836816;22.97;5376;5817456;3731680;12.88;313604;7196840;1876
harvester2;60;2021-12-31 16:30:06;130540;5778208;1836116;22.96;5516;5817956;3731204;12.88;328300;7182952;2272
harvester2;60;2021-12-31 16:31:06;157840;5770212;1843820;23.06;5644;5782228;3731336;12.88;343028;7137900;2660
harvester2;60;2021-12-31 16:32:06;189824;5762460;1851464;23.15;5788;5742200;3731688;12.88;359932;7087896;352
harvester2;60;2021-12-31 16:33:06;152584;5761716;1851924;23.16;6060;5778216;3732296;12.88;373076;7111472;2524
harvester2;60;2021-12-31 16:34:06;137192;5756980;1856540;23.22;6184;5788612;3732568;12.89;387140;7112300;3448
harvester2;60;2021-12-31 16:35:06;134652;5750884;1862500;23.29;6320;5784772;3732724;12.89;401952;7101172;2376
harvester2;60;2021-12-31 16:36:06;154176;5749000;1864160;23.31;6456;5763084;3732804;12.89;417672;7066732;4596
harvester2;60;2021-12-31 16:37:06;176916;5745484;1867724;23.36;6576;5736604;3732956;12.89;428592;7032136;300
harvester2;60;2021-12-31 16:38:06;163588;5739716;1873212;23.43;6688;5744064;3733116;12.89;445800;7028704;476
harvester2;60;2021-12-31 16:39:06;229764;5734092;1878760;23.50;6808;5671884;3733252;12.89;474440;6931288;508
harvester2;60;2021-12-31 16:40:06;160536;5734972;1877472;23.48;6936;5741432;3733532;12.89;492768;6982736;2256
harvester2;60;2021-12-31 16:41:06;172204;5736488;1875416;23.45;7080;5730560;3733688;12.89;504144;6960308;3612
harvester2;60;2021-12-31 16:42:06;168404;5731724;1879624;23.51;7216;5728888;3733872;12.89;517700;6946048;2288
harvester2;60;2021-12-31 16:43:06;141012;5731828;1878652;23.49;7336;5755588;3734016;12.89;531304;6960340;1504
harvester2;60;2021-12-31 16:44:06;311940;5728628;1881284;23.53;7456;5580664;3734164;12.89;552840;6765188;1048
harvester2;60;2021-12-31 16:45:06;240132;5725128;1884276;23.56;7568;5648260;3734300;12.89;562264;6827464;560
harvester2;60;2021-12-31 16:46:06;133692;5723248;1885288;23.58;7708;5751852;3734436;12.89;580984;6912412;1468
harvester2;60;2021-12-31 16:47:06;155000;5720764;1887060;23.60;7836;5727188;3734756;12.89;590360;6879224;468
harvester2;60;2021-12-31 16:48:06;154320;5719656;1887588;23.61;7964;5726044;3734912;12.89;602240;6866916;152
harvester2;60;2021-12-31 16:49:06;165468;5705676;1900704;23.77;8100;5699988;3735224;12.89;628688;6827828;11680
harvester2;60;2021-12-31 16:50:06;132848;5708748;1896800;23.72;8220;5734800;3735368;12.89;637800;6854204;3892
harvester2;60;2021-12-31 16:51:06;192884;5701808;1903108;23.80;8388;5667044;3735500;12.90;649624;6779836;2448
harvester2;60;2021-12-31 16:52:06;135536;5695348;1909036;23.87;8516;5717428;3737760;12.90;660460;6824008;620
harvester2;60;2021-12-31 16:53:06;415176;5658088;1945976;24.34;8652;5399708;3772756;13.02;678388;6522864;320
harvester2;60;2021-12-31 16:54:06;384068;5685920;1917428;23.98;8764;5458160;3739984;12.91;702956;6528256;4308
