# hostname;interval;timestamp;kbswpfree;kbswpused;%swpused;kbswpcad;%swpcad
harvester2;60;2021-12-31 22:06:02;20851416;120100;0.57;70692;58.86
harvester2;60;2021-12-31 22:07:02;20851416;120100;0.57;70668;58.84
harvester2;60;2021-12-31 22:08:02;20851416;120100;0.57;70668;58.84
harvester2;60;2021-12-31 22:09:02;20851416;120100;0.57;70676;58.85
harvester2;60;2021-12-31 22:10:02;20851416;120100;0.57;70676;58.85
harvester2;60;2021-12-31 22:11:02;20851416;120100;0.57;70676;58.85
harvester2;60;2021-12-31 22:12:02;20851416;120100;0.57;70676;58.85
harvester2;60;2021-12-31 22:13:02;20851416;120100;0.57;70676;58.85
harvester2;60;2021-12-31 22:14:02;20851416;120100;0.57;70676;58.85
harvester2;60;2021-12-31 22:15:02;20851416;120100;0.57;70676;58.85
harvester2;60;2021-12-31 22:16:02;20851416;120100;0.57;70736;58.90
harvester2;60;2021-12-31 22:17:02;20851416;120100;0.57;70736;58.90
harvester2;60;2021-12-31 22:18:02;20851416;120100;0.57;70728;58.89
harvester2;60;2021-12-31 22:19:02;20851416;120100;0.57;70724;58.89
harvester2;60;2021-12-31 22:20:02;20851416;120100;0.57;70724;58.89
harvester2;60;2021-12-31 22:21:02;20851416;120100;0.57;70724;58.89
harvester2;60;2021-12-31 22:22:02;20851160;120356;0.57;70648;58.70
harvester2;60;2021-12-31 22:23:02;20853464;118052;0.56;68108;57.69
harvester2;60;2021-12-31 22:24:02;20854744;116772;0.56;66704;57.12
harvester2;60;2021-12-31 22:25:02;20855000;116516;0.56;66696;57.24
harvester2;60;2021-12-31 22:26:02;20855000;116516;0.56;66696;57.24
harvester2;60;2021-12-31 22:27:02;20855000;116516;0.56;66696;57.24
harvester2;60;2021-12-31 22:28:02;20855000;116516;0.56;66696;57.24
harvester2;60;2021-12-31 22:29:02;20855000;116516;0.56;66696;57.24
harvester2;60;2021-12-31 22:30:02;20855000;116516;0.56;66696;57.24
harvester2;60;2021-12-31 22:31:02;20855000;116516;0.56;66696;57.24
harvester2;60;2021-12-31 22:32:02;20855000;116516;0.56;66696;57.24
harvester2;60;2021-12-31 22:33:02;20856536;114980;0.55;65256;56.75
harvester2;60;2021-12-31 22:34:02;20856536;114980;0.55;65272;56.77
harvester2;60;2021-12-31 22:35:02;20856536;114980;0.55;65272;56.77
harvester2;60;2021-12-31 22:36:02;20856536;114980;0.55;65272;56.77
harvester2;60;2021-12-31 22:37:02;20858072;113444;0.54;63612;56.07
harvester2;60;2021-12-31 22:38:02;20858072;113444;0.54;63612;56.07
harvester2;60;2021-12-31 22:39:02;20858072;113444;0.54;63612;56.07
harvester2;60;2021-12-31 22:40:02;20858072;113444;0.54;63612;56.07
harvester2;60;2021-12-31 22:41:02;20858072;113444;0.54;63612;56.07
harvester2;60;2021-12-31 22:42:02;20859608;111908;0.53;61936;55.35
harvester2;60;2021-12-31 22:43:02;20859608;111908;0.53;61936;55.35
harvester2;60;2021-12-31 22:44:02;20859608;111908;0.53;61936;55.35
harvester2;60;2021-12-31 22:45:02;20859608;111908;0.53;61936;55.35
harvester2;60;2021-12-31 22:46:02;20859608;111908;0.53;61936;55.35
harvester2;60;2021-12-31 22:47:02;20859608;111908;0.53;61936;55.35
harvester2;60;2021-12-31 22:48:02;20859608;111908;0.53;61936;55.35
harvester2;60;2021-12-31 22:49:02;20861144;110372;0.53;60264;54.60
harvester2;60;2021-12-31 22:50:02;20861144;110372;0.53;60264;54.60
harvester2;60;2021-12-31 22:51:02;20861144;110372;0.53;60264;54.60
harvester2;60;2021-12-31 22:52:02;20862168;109348;0.52;59372;54.30
harvester2;60;2021-12-31 22:53:02;20862168;109348;0.52;59372;54.30
harvester2;60;2021-12-31 22:54:02;20862168;109348;0.52;59372;54.30
harvester2;60;2021-12-31 22:55:02;20862168;109348;0.52;59372;54.30
harvester2;60;2021-12-31 22:56:02;20863192;108324;0.52;58484;53.99
harvester2;60;2021-12-31 22:57:02;20863192;108324;0.52;58484;53.99
harvester2;60;2021-12-31 22:58:02;20863960;107556;0.51;57600;53.55
harvester2;60;2021-12-31 22:59:02;20863960;107556;0.51;57600;53.55
harvester2;60;2021-12-31 23:00:02;20863960;107556;0.51;57600;53.55
harvester2;60;2021-12-31 23:01:02;20863960;107556;0.51;57600;53.55
harvester2;60;2021-12-31 23:02:02;20864984;106532;0.51;56688;53.21
harvester2;60;2021-12-31 23:03:02;20864984;106532;0.51;56688;53.21
harvester2;60;2021-12-31 23:04:02;20864984;106532;0.51;56688;53.21
harvester2;60;2021-12-31 23:05:02;20864984;106532;0.51;56688;53.21
harvester2;60;2021-12-31 23:06:02;20864984;106532;0.51;56688;53.21
harvester2;60;2021-12-31 23:07:02;20864984;106532;0.51;56688;53.21
harvester2;60;2021-12-31 23:08:02;20864984;106532;0.51;56688;53.21
harvester2;60;2021-12-31 23:09:02;20865240;106276;0.51;55948;52.64
harvester2;60;2021-12-31 23:10:02;20865240;106276;0.51;55948;52.64
harvester2;60;2021-12-31 23:11:02;20865240;106276;0.51;55948;52.64
harvester2;60;2021-12-31 23:12:02;20865240;106276;0.51;55948;52.64
harvester2;60;2021-12-31 23:13:02;20865240;106276;0.51;55948;52.64
harvester2;60;2021-12-31 23:14:02;20865240;106276;0.51;55948;52.64
harvester2;60;2021-12-31 23:15:02;20864632;106884;0.51;55684;52.10
harvester2;60;2021-12-31 23:16:02;20864632;106884;0.51;55684;52.10
harvester2;60;2021-12-31 23:17:02;20864632;106884;0.51;55684;52.10
harvester2;60;2021-12-31 23:18:02;20863608;107908;0.51;55764;51.68
harvester2;60;2021-12-31 23:19:02;20863608;107908;0.51;55764;51.68
harvester2;60;2021-12-31 23:20:02;20863608;107908;0.51;55764;51.68
harvester2;60;2021-12-31 23:21:02;20863608;107908;0.51;55764;51.68
harvester2;60;2021-12-31 23:22:02;20863608;107908;0.51;55764;51.68
harvester2;60;2021-12-31 23:23:02;20863608;107908;0.51;55764;51.68
harvester2;60;2021-12-31 23:24:02;20863608;107908;0.51;55764;51.68
harvester2;60;2021-12-31 23:25:02;20863608;107908;0.51;55764;51.68
harvester2;60;2021-12-31 23:26:02;20863608;107908;0.51;55764;51.68
harvester2;60;2021-12-31 23:27:02;20862840;108676;0.52;55664;51.22
harvester2;60;2021-12-31 23:28:02;20861664;109852;0.52;55756;50.76
harvester2;60;2021-12-31 23:29:02;20861664;109852;0.52;55756;50.76
harvester2;60;2021-12-31 23:30:02;20859592;111924;0.53;55924;49.97
harvester2;60;2021-12-31 23:31:02;20859592;111924;0.53;55924;49.97
harvester2;60;2021-12-31 23:32:02;20859592;111924;0.53;55924;49.97
harvester2;60;2021-12-31 23:33:02;20859592;111924;0.53;55924;49.97
harvester2;60;2021-12-31 23:34:02;20859592;111924;0.53;55924;49.97
harvester2;60;2021-12-31 23:35:02;20858672;112844;0.54;56072;49.69
harvester2;60;2021-12-31 23:36:02;20858672;112844;0.54;56072;49.69
harvester2;60;2021-12-31 23:37:02;20857648;113868;0.54;56148;49.31
harvester2;60;2021-12-31 23:38:02;20857648;113868;0.54;56148;49.31
harvester2;60;2021-12-31 23:39:02;20857648;113868;0.54;56148;49.31
harvester2;60;2021-12-31 23:40:02;20856624;114892;0.55;56112;48.84
harvester2;60;2021-12-31 23:41:02;20856624;114892;0.55;55644;48.43
harvester2;60;2021-12-31 23:42:02;20856624;114892;0.55;55644;48.43
harvester2;60;2021-12-31 23:43:02;20856624;114892;0.55;55580;48.38
harvester2;60;2021-12-31 23:44:02;20856624;114892;0.55;55580;48.38
harvester2;60;2021-12-31 23:45:02;20856624;114892;0.55;55580;48.38
harvester2;60;2021-12-31 23:46:02;20856880;114636;0.55;55508;48.42
harvester2;60;2021-12-31 23:47:02;20856880;114636;0.55;55508;48.42
harvester2;60;2021-12-31 23:48:02;20856880;114636;0.55;55472;48.39
harvester2;60;2021-12-31 23:49:02;20856880;114636;0.55;55472;48.39
harvester2;60;2021-12-31 23:50:02;20856880;114636;0.55;55472;48.39
harvester2;60;2021-12-31 23:51:02;20857136;114380;0.55;55452;48.48
harvester2;60;2021-12-31 23:52:02;20857136;114380;0.55;55452;48.48
harvester2;60;2021-12-31 23:53:02;20857136;114380;0.55;55200;48.26
harvester2;60;2021-12-31 23:54:02;20857136;114380;0.55;55200;48.26
harvester2;60;2021-12-31 23:55:02;20857136;114380;0.55;55136;48.20
harvester2;60;2021-12-31 23:56:02;20857136;114380;0.55;55136;48.20
harvester2;60;2021-12-31 23:57:02;20857136;114380;0.55;55136;48.20
harvester2;60;2021-12-31 23:58:02;20857136;114380;0.55;55136;48.20
harvester2;60;2021-12-31 23:59:02;20857136;114380;0.55;55076;48.15
harvester2;60;2022-01-01 00:00:02;20857136;114380;0.55;54996;48.08
harvester2;60;2022-01-01 00:01:02;20857136;114380;0.55;55000;48.09
harvester2;60;2022-01-01 00:02:02;20857136;114380;0.55;54932;48.03
harvester2;60;2022-01-01 00:03:02;20857136;114380;0.55;54932;48.03
harvester2;60;2022-01-01 00:04:02;20857136;114380;0.55;54932;48.03
harvester2;60;2022-01-01 00:05:02;20857392;114124;0.54;54856;48.07
harvester2;60;2022-01-01 00:06:02;20857392;114124;0.54;54856;48.07
harvester2;60;2022-01-01 00:07:02;20857392;114124;0.54;54856;48.07
harvester2;60;2022-01-01 00:08:02;20857392;114124;0.54;54856;48.07
harvester2;60;2022-01-01 00:09:02;20857392;114124;0.54;54856;48.07
harvester2;60;2022-01-01 00:10:02;20857648;113868;0.54;54764;48.09
harvester2;60;2022-01-01 00:11:02;20857648;113868;0.54;54716;48.05
harvester2;60;2022-01-01 00:12:02;20857648;113868;0.54;54716;48.05
harvester2;60;2022-01-01 00:13:02;20857648;113868;0.54;54716;48.05
harvester2;60;2022-01-01 00:14:02;20857648;113868;0.54;54716;48.05
harvester2;60;2022-01-01 00:15:02;20857648;113868;0.54;54716;48.05
harvester2;60;2022-01-01 00:16:02;20857648;113868;0.54;54716;48.05
harvester2;60;2022-01-01 00:17:02;20857648;113868;0.54;54716;48.05
harvester2;60;2022-01-01 00:18:02;20857648;113868;0.54;54716;48.05
harvester2;60;2022-01-01 00:19:02;20857648;113868;0.54;54716;48.05
harvester2;60;2022-01-01 00:20:02;20857648;113868;0.54;54716;48.05
harvester2;60;2022-01-01 00:21:02;20857648;113868;0.54;54716;48.05
harvester2;60;2022-01-01 00:22:02;20857648;113868;0.54;54716;48.05
harvester2;60;2022-01-01 00:23:02;20857648;113868;0.54;54648;47.99
harvester2;60;2022-01-01 00:24:02;20857648;113868;0.54;54608;47.96
harvester2;60;2022-01-01 00:25:02;20857648;113868;0.54;54608;47.96
harvester2;60;2022-01-01 00:26:02;20857904;113612;0.54;54528;47.99
harvester2;60;2022-01-01 00:27:02;20857904;113612;0.54;54528;47.99
harvester2;60;2022-01-01 00:28:02;20857904;113612;0.54;54460;47.94
harvester2;60;2022-01-01 00:29:02;20857904;113612;0.54;54460;47.94
harvester2;60;2022-01-01 00:30:02;20857904;113612;0.54;54416;47.90
harvester2;60;2022-01-01 00:31:02;20857904;113612;0.54;54336;47.83
harvester2;60;2022-01-01 00:32:02;20857904;113612;0.54;54336;47.83
harvester2;60;2022-01-01 00:33:02;20857904;113612;0.54;54336;47.83
harvester2;60;2022-01-01 00:34:02;20857904;113612;0.54;54336;47.83
harvester2;60;2022-01-01 00:35:02;20858160;113356;0.54;54156;47.78
harvester2;60;2022-01-01 00:36:02;20857904;113612;0.54;54296;47.79
harvester2;60;2022-01-01 00:37:02;20857904;113612;0.54;54180;47.69
harvester2;60;2022-01-01 00:38:02;20857904;113612;0.54;54180;47.69
harvester2;60;2022-01-01 00:39:02;20857904;113612;0.54;54180;47.69
harvester2;60;2022-01-01 00:40:02;20857648;113868;0.54;54136;47.54
harvester2;60;2022-01-01 00:41:02;20857648;113868;0.54;54136;47.54
harvester2;60;2022-01-01 00:42:02;20856368;115148;0.55;54292;47.15
harvester2;60;2022-01-01 00:43:02;20856368;115148;0.55;54292;47.15
harvester2;60;2022-01-01 00:44:02;20856368;115148;0.55;54292;47.15
harvester2;60;2022-01-01 00:45:02;20856112;115404;0.55;53788;46.61
harvester2;60;2022-01-01 00:46:02;20856112;115404;0.55;53788;46.61
harvester2;60;2022-01-01 00:47:02;20856112;115404;0.55;53788;46.61
harvester2;60;2022-01-01 00:48:02;20856112;115404;0.55;53788;46.61
harvester2;60;2022-01-01 00:49:02;20856112;115404;0.55;53776;46.60
harvester2;60;2022-01-01 00:50:02;20856112;115404;0.55;53776;46.60
harvester2;60;2022-01-01 00:51:02;20856112;115404;0.55;53692;46.53
harvester2;60;2022-01-01 00:52:02;20856112;115404;0.55;53692;46.53
harvester2;60;2022-01-01 00:53:02;20856112;115404;0.55;53624;46.47
harvester2;60;2022-01-01 00:54:02;20836132;135384;0.65;55860;41.26
harvester2;60;2022-01-01 00:55:02;20833452;138064;0.66;55832;40.44
harvester2;60;2022-01-01 00:56:02;20833452;138064;0.66;55832;40.44
harvester2;60;2022-01-01 00:57:02;20833452;138064;0.66;55832;40.44
harvester2;60;2022-01-01 00:58:02;20831660;139856;0.67;56164;40.16
harvester2;60;2022-01-01 00:59:02;20827564;143952;0.69;56280;39.10
harvester2;60;2022-01-01 01:00:02;20827564;143952;0.69;56280;39.10
harvester2;60;2022-01-01 01:01:02;20825628;145888;0.70;56576;38.78
harvester2;60;2022-01-01 01:02:02;20825628;145888;0.70;56576;38.78
harvester2;60;2022-01-01 01:03:02;20825628;145888;0.70;56576;38.78
harvester2;60;2022-01-01 01:04:02;20823324;148192;0.71;57316;38.68
harvester2;60;2022-01-01 01:05:02;20823324;148192;0.71;57316;38.68
harvester2;60;2022-01-01 01:06:02;20823324;148192;0.71;57316;38.68
harvester2;60;2022-01-01 01:07:02;20821276;150240;0.72;57384;38.19
harvester2;60;2022-01-01 01:08:02;20821276;150240;0.72;57384;38.19
harvester2;60;2022-01-01 01:09:02;20821276;150240;0.72;57384;38.19
harvester2;60;2022-01-01 01:10:02;20821276;150240;0.72;57384;38.19
harvester2;60;2022-01-01 01:11:02;20821276;150240;0.72;57384;38.19
harvester2;60;2022-01-01 01:12:02;20819484;152032;0.72;57332;37.71
harvester2;60;2022-01-01 01:13:02;20819484;152032;0.72;57332;37.71
harvester2;60;2022-01-01 01:14:02;20819484;152032;0.72;57332;37.71
harvester2;60;2022-01-01 01:15:02;20819484;152032;0.72;57332;37.71
harvester2;60;2022-01-01 01:16:02;20815388;156128;0.74;57992;37.14
harvester2;60;2022-01-01 01:17:02;20815388;156128;0.74;57992;37.14
harvester2;60;2022-01-01 01:18:02;20814108;157408;0.75;58132;36.93
harvester2;60;2022-01-01 01:19:02;20814108;157408;0.75;58132;36.93
harvester2;60;2022-01-01 01:20:02;20810468;161048;0.77;58648;36.42
harvester2;60;2022-01-01 01:21:02;20810468;161048;0.77;58648;36.42
harvester2;60;2022-01-01 01:22:02;20810468;161048;0.77;58648;36.42
harvester2;60;2022-01-01 01:23:02;20810468;161048;0.77;58648;36.42
harvester2;60;2022-01-01 01:24:02;20810468;161048;0.77;58648;36.42
harvester2;60;2022-01-01 01:25:02;20808928;162588;0.78;58800;36.17
harvester2;60;2022-01-01 01:26:02;20808928;162588;0.78;58800;36.17
harvester2;60;2022-01-01 01:27:02;20808928;162588;0.78;58800;36.17
harvester2;60;2022-01-01 01:28:02;20808928;162588;0.78;58800;36.17
harvester2;60;2022-01-01 01:29:02;20807644;163872;0.78;58620;35.77
harvester2;60;2022-01-01 01:30:02;20807644;163872;0.78;58620;35.77
harvester2;60;2022-01-01 01:31:02;20807644;163872;0.78;58620;35.77
harvester2;60;2022-01-01 01:32:02;20807644;163872;0.78;58620;35.77
harvester2;60;2022-01-01 01:33:02;20807644;163872;0.78;58620;35.77
harvester2;60;2022-01-01 01:34:02;20807644;163872;0.78;58620;35.77
harvester2;60;2022-01-01 01:35:02;20807644;163872;0.78;58620;35.77
harvester2;60;2022-01-01 01:36:02;20807644;163872;0.78;58620;35.77
harvester2;60;2022-01-01 01:37:02;20807644;163872;0.78;58620;35.77
harvester2;60;2022-01-01 01:38:02;20806364;165152;0.79;58544;35.45
