# hostname,interval,timestamp,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
harvester2,60,2021-12-31 22:06:02,lo,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2021-12-31 22:06:02,eth0,4.27,4.17,0.36,2.60,0.00,0.00,1.05,0.00
harvester2,60,2021-12-31 22:06:02,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2021-12-31 22:07:02,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2021-12-31 22:07:02,eth0,4.25,3.75,0.38,2.51,0.00,0.00,1.12,0.00
harvester2,60,2021-12-31 22:07:02,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2021-12-31 22:08:02,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2021-12-31 22:08:02,eth0,4.05,3.58,0.34,2.50,0.00,0.00,1.02,0.00
harvester2,60,2021-12-31 22:08:02,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2021-12-31 22:09:02,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2021-12-31 22:09:02,eth0,3.98,3.58,0.35,2.50,0.00,0.00,1.10,0.00
harvester2,60,2021-12-31 22:09:02,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2021-12-31 22:10:02,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2021-12-31 22:10:02,eth0,4.07,3.62,0.35,2.50,0.00,0.00,1.10,0.00
harvester2,60,2021-12-31 22:10:02,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2021-12-31 22:11:02,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2021-12-31 22:11:02,eth0,4.27,3.62,0.38,2.50,0.00,0.00,1.05,0.00
harvester2,60,2021-12-31 22:11:02,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2021-12-31 22:12:02,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2021-12-31 22:12:02,eth0,4.25,3.63,0.38,2.50,0.00,0.00,1.17,0.00
harvester2,60,2021-12-31 22:12:02,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2021-12-31 22:13:02,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2021-12-31 22:13:02,eth0,3.97,3.62,0.35,2.50,0.00,0.00,1.07,0.00
harvester2,60,2021-12-31 22:13:02,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
