# hostname;interval;timestamp;runq-sz;plist-sz;ldavg-1;ldavg-5;ldavg-15;blocked
harvester2;60;2021-12-31 22:06:02;1;303;2.65;2.10;2.01;0
harvester2;60;2021-12-31 22:07:02;0;303;2.75;2.21;2.05;2
harvester2;60;2021-12-31 22:08:02;0;303;2.98;2.38;2.12;2
harvester2;60;2021-12-31 22:09:02;0;303;3.07;2.54;2.19;2
harvester2;60;2021-12-31 22:10:02;1;303;2.88;2.59;2.23;2
harvester2;60;2021-12-31 22:11:02;1;304;2.86;2.64;2.27;0
harvester2;60;2021-12-31 22:12:02;0;304;2.95;2.70;2.32;2
harvester2;60;2021-12-31 22:13:02;0;305;3.16;2.81;2.38;2
harvester2;60;2021-12-31 22:14:02;1;304;3.42;2.92;2.44;2
harvester2;60;2021-12-31 22:15:02;1;304;3.33;2.99;2.49;1
harvester2;60;2021-12-31 22:16:02;1;302;2.43;2.82;2.47;0
harvester2;60;2021-12-31 22:17:02;0;304;2.16;2.66;2.43;0
harvester2;60;2021-12-31 22:18:02;1;305;2.00;2.54;2.41;0
harvester2;60;2021-12-31 22:19:02;2;310;1.44;2.29;2.33;0
harvester2;60;2021-12-31 22:20:02;0;310;1.03;2.03;2.23;0
harvester2;60;2021-12-31 22:21:02;4;310;1.10;1.87;2.17;0
harvester2;60;2021-12-31 22:22:02;2;312;1.59;1.92;2.17;0
harvester2;60;2021-12-31 22:23:02;1;312;1.88;1.94;2.16;0
harvester2;60;2021-12-31 22:24:02;1;311;2.60;2.12;2.20;0
harvester2;60;2021-12-31 22:25:02;1;308;2.36;2.11;2.19;0
harvester2;60;2021-12-31 22:26:02;2;308;2.20;2.11;2.19;0
harvester2;60;2021-12-31 22:27:02;0;310;2.17;2.11;2.18;2
harvester2;60;2021-12-31 22:28:02;1;311;2.09;2.09;2.17;0
harvester2;60;2021-12-31 22:29:02;5;311;1.91;2.03;2.14;0
harvester2;60;2021-12-31 22:30:02;1;311;2.35;2.12;2.17;0
harvester2;60;2021-12-31 22:31:02;3;310;2.15;2.08;2.15;0
harvester2;60;2021-12-31 22:32:02;3;310;1.97;2.04;2.13;0
harvester2;60;2021-12-31 22:33:02;1;310;1.99;2.04;2.12;0
harvester2;60;2021-12-31 22:34:02;3;309;1.69;1.94;2.08;0
harvester2;60;2021-12-31 22:35:02;2;308;2.18;2.04;2.11;0
harvester2;60;2021-12-31 22:36:02;2;309;2.06;2.03;2.10;0
harvester2;60;2021-12-31 22:37:02;4;309;2.31;2.12;2.12;0
harvester2;60;2021-12-31 22:38:02;1;308;1.87;2.02;2.08;0
harvester2;60;2021-12-31 22:39:02;1;309;1.89;2.00;2.07;0
harvester2;60;2021-12-31 22:40:02;1;310;1.88;1.98;2.06;0
harvester2;60;2021-12-31 22:41:02;1;310;1.92;1.98;2.06;0
harvester2;60;2021-12-31 22:42:02;2;310;1.88;1.97;2.05;0
harvester2;60;2021-12-31 22:43:02;3;312;1.87;1.97;2.04;0
harvester2;60;2021-12-31 22:44:02;2;311;1.98;1.98;2.04;0
harvester2;60;2021-12-31 22:45:02;1;310;1.64;1.87;2.00;0
harvester2;60;2021-12-31 22:46:02;3;311;2.25;2.04;2.05;0
harvester2;60;2021-12-31 22:47:02;3;309;2.19;2.06;2.05;0
harvester2;60;2021-12-31 22:48:02;1;310;2.50;2.15;2.08;0
harvester2;60;2021-12-31 22:49:02;2;309;2.36;2.18;2.10;0
harvester2;60;2021-12-31 22:50:02;2;309;2.17;2.13;2.09;0
harvester2;60;2021-12-31 22:51:02;2;309;2.09;2.10;2.08;0
harvester2;60;2021-12-31 22:52:02;1;310;1.71;2.01;2.05;0
harvester2;60;2021-12-31 22:53:02;4;311;1.63;1.92;2.01;0
harvester2;60;2021-12-31 22:54:02;1;309;1.66;1.87;1.99;1
harvester2;60;2021-12-31 22:55:02;1;309;2.03;1.93;2.00;0
harvester2;60;2021-12-31 22:56:02;2;309;2.03;1.97;2.01;0
harvester2;60;2021-12-31 22:57:02;1;309;1.91;1.95;2.00;0
harvester2;60;2021-12-31 22:58:02;1;309;2.20;1.99;2.01;0
harvester2;60;2021-12-31 22:59:02;2;310;4.51;2.78;2.29;0
harvester2;60;2021-12-31 23:00:02;1;310;3.16;2.78;2.33;0
harvester2;60;2021-12-31 23:01:02;3;309;2.02;2.54;2.27;0
harvester2;60;2021-12-31 23:02:02;1;309;1.81;2.39;2.24;0
harvester2;60;2021-12-31 23:03:02;2;309;2.02;2.34;2.23;0
harvester2;60;2021-12-31 23:04:02;2;308;1.64;2.19;2.18;0
harvester2;60;2021-12-31 23:05:02;1;309;2.12;2.24;2.20;0
harvester2;60;2021-12-31 23:06:02;3;309;2.46;2.27;2.21;0
harvester2;60;2021-12-31 23:07:02;1;309;1.90;2.14;2.17;0
harvester2;60;2021-12-31 23:08:02;1;309;1.89;2.12;2.16;0
harvester2;60;2021-12-31 23:09:02;3;308;2.25;2.18;2.18;0
harvester2;60;2021-12-31 23:10:02;1;310;1.66;2.02;2.12;0
harvester2;60;2021-12-31 23:11:02;2;310;2.12;2.10;2.15;0
harvester2;60;2021-12-31 23:12:02;1;310;1.77;2.01;2.11;0
harvester2;60;2021-12-31 23:13:02;2;311;2.01;2.04;2.11;0
