# hostname,interval,timestamp,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s
harvester2,60,2022-01-02 20:04:57,373.90,361.62,12.28,0.00,63696.40,222.93,0.00
harvester2,60,2022-01-02 20:05:57,2083.05,2074.18,8.87,0.00,144479.07,362.00,0.00
harvester2,60,2022-01-02 20:06:57,1219.50,1210.90,8.60,0.00,98502.27,1016.93,0.00
harvester2,60,2022-01-02 20:07:57,32.80,26.63,6.17,0.00,707.87,99.73,0.00
harvester2,60,2022-01-02 20:08:57,7.05,2.93,4.12,0.00,322.93,60.67,0.00
harvester2,60,2022-01-02 20:09:57,8.43,4.63,3.80,0.00,399.20,100.67,0.00
harvester2,60,2022-01-02 20:10:57,10.50,6.10,4.40,0.00,561.60,97.87,0.00
harvester2,60,2022-01-02 20:11:57,14.72,3.17,11.55,0.00,376.67,173.73,0.00
harvester2,60,2022-01-02 20:12:57,604.07,326.60,277.47,0.00,4490.98,7879.47,0.00
harvester2,60,2022-01-02 20:13:57,585.03,324.40,260.63,0.00,4996.80,8783.07,0.00
harvester2,60,2022-01-02 20:14:57,347.93,185.88,162.05,0.00,2946.40,4756.27,0.00
harvester2,60,2022-01-02 20:15:57,278.12,155.68,122.43,0.00,2370.13,3568.67,0.00
harvester2,60,2022-01-02 20:16:57,308.67,162.55,146.12,0.00,2702.27,4427.47,0.00
harvester2,60,2022-01-02 20:17:57,261.48,142.30,119.18,0.00,2311.87,3468.13,0.00
harvester2,60,2022-01-02 20:18:57,311.68,163.58,148.10,0.00,2778.00,4531.07,0.00
harvester2,60,2022-01-02 20:19:57,249.17,136.18,112.98,0.00,2346.53,3443.73,0.00
harvester2,60,2022-01-02 20:20:57,386.30,198.10,188.20,0.00,3546.48,6067.52,0.00
harvester2,60,2022-01-02 20:21:57,351.30,177.47,173.83,0.00,3347.73,5677.87,0.00
harvester2,60,2022-01-02 20:22:57,295.62,145.75,149.87,0.00,2678.98,4529.33,0.00
harvester2,60,2022-01-02 20:23:57,240.77,117.28,123.48,0.00,2225.87,3690.27,0.00
harvester2,60,2022-01-02 20:24:57,261.98,129.37,132.62,0.00,2362.93,3827.73,0.00
harvester2,60,2022-01-02 20:25:57,279.40,153.37,126.03,0.00,2615.07,3621.20,0.00
harvester2,60,2022-01-02 20:26:57,198.45,105.98,92.47,0.00,1779.07,2268.00,0.00
harvester2,60,2022-01-02 20:27:57,242.82,106.17,136.65,0.00,2089.07,3758.80,0.00
harvester2,60,2022-01-02 20:28:57,267.87,118.60,149.27,0.00,2320.53,4232.13,0.00
harvester2,60,2022-01-02 20:29:57,320.10,142.82,177.28,0.00,2834.40,5341.20,0.00
harvester2,60,2022-01-02 20:30:57,228.28,100.90,127.38,0.00,1971.60,3507.60,0.00
harvester2,60,2022-01-02 20:31:57,305.95,140.17,165.78,0.00,2483.60,4420.93,0.00
