# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
harvester2;60;2022-01-02 20:04:57;-1;17.53;0.00;14.91;1.01;0.00;66.54
harvester2;60;2022-01-02 20:05:57;-1;7.39;0.00;17.20;4.00;0.00;71.41
harvester2;60;2022-01-02 20:06:57;-1;16.10;0.00;15.76;3.37;0.00;64.77
harvester2;60;2022-01-02 20:07:57;-1;14.32;0.00;3.37;0.36;0.00;81.94
harvester2;60;2022-01-02 20:08:57;-1;17.20;0.00;2.68;0.00;0.00;80.12
harvester2;60;2022-01-02 20:09:57;-1;34.69;0.00;2.32;0.02;0.00;62.98
harvester2;60;2022-01-02 20:10:57;-1;34.74;0.00;2.39;0.02;0.00;62.86
harvester2;60;2022-01-02 20:11:57;-1;33.29;0.00;2.99;0.01;0.00;63.71
harvester2;60;2022-01-02 20:12:57;-1;37.04;0.00;7.73;0.85;0.00;54.38
harvester2;60;2022-01-02 20:13:57;-1;33.09;0.00;7.69;0.95;0.00;58.27
harvester2;60;2022-01-02 20:14:57;-1;35.91;0.00;7.03;0.49;0.00;56.56
harvester2;60;2022-01-02 20:15:57;-1;38.67;0.00;5.14;0.50;0.00;55.69
harvester2;60;2022-01-02 20:16:57;-1;39.58;0.00;5.43;0.42;0.00;54.57
harvester2;60;2022-01-02 20:17:57;-1;38.54;0.00;4.77;0.43;0.00;56.26
harvester2;60;2022-01-02 20:18:57;-1;33.93;0.00;6.47;0.46;0.00;59.14
harvester2;60;2022-01-02 20:19:57;-1;39.87;0.00;4.63;0.36;0.00;55.14
harvester2;60;2022-01-02 20:20:57;-1;38.15;0.00;5.75;0.60;0.00;55.50
harvester2;60;2022-01-02 20:21:57;-1;30.22;0.00;6.26;5.69;0.00;57.84
harvester2;60;2022-01-02 20:22:57;-1;40.15;0.00;9.69;3.59;0.00;46.57
harvester2;60;2022-01-02 20:23:57;-1;38.56;0.00;8.50;3.74;0.00;49.20
harvester2;60;2022-01-02 20:24:57;-1;35.44;0.00;5.72;1.08;0.00;57.76
harvester2;60;2022-01-02 20:25:57;-1;34.31;0.00;5.33;0.51;0.00;59.84
harvester2;60;2022-01-02 20:26:57;-1;36.37;0.00;4.55;0.53;0.00;58.55
harvester2;60;2022-01-02 20:27:57;-1;39.82;0.00;4.57;0.33;0.00;55.28
harvester2;60;2022-01-02 20:28:57;-1;40.21;0.00;5.14;0.51;0.00;54.13
harvester2;60;2022-01-02 20:29:57;-1;34.84;0.00;6.40;0.38;0.00;58.38
harvester2;60;2022-01-02 20:30:57;-1;40.97;0.00;4.81;0.30;0.00;53.92
harvester2;60;2022-01-02 20:31:57;-1;36.31;0.00;5.25;0.41;0.00;58.03
harvester2;60;2022-01-02 20:32:57;-1;35.81;0.00;5.06;0.65;0.00;58.48
harvester2;60;2022-01-02 20:33:57;-1;37.80;0.00;6.39;0.75;0.00;55.06
harvester2;60;2022-01-02 20:34:57;-1;41.15;0.00;5.58;0.26;0.00;53.01
harvester2;60;2022-01-02 20:35:57;-1;38.12;0.00;5.43;0.79;0.00;55.65
harvester2;60;2022-01-02 20:36:57;-1;35.41;0.00;4.69;3.49;0.00;56.41
harvester2;60;2022-01-02 20:37:57;-1;29.14;0.00;5.44;5.33;0.00;60.09
harvester2;60;2022-01-02 20:38:57;-1;34.46;0.00;5.71;4.13;0.00;55.70
harvester2;60;2022-01-02 20:39:57;-1;33.25;0.00;4.61;4.62;0.00;57.52
harvester2;60;2022-01-02 20:40:57;-1;39.96;0.00;6.24;2.07;0.00;51.73
harvester2;60;2022-01-02 20:41:57;-1;26.90;0.00;5.59;0.34;0.00;67.17
harvester2;60;2022-01-02 20:42:57;-1;28.76;0.00;6.17;0.75;0.00;64.31
harvester2;60;2022-01-02 20:43:57;-1;33.51;0.00;5.79;0.31;0.00;60.40
harvester2;60;2022-01-02 20:44:57;-1;32.89;0.00;5.95;0.26;0.00;60.90
harvester2;60;2022-01-02 20:45:57;-1;29.25;0.00;6.07;0.38;0.00;64.29
harvester2;60;2022-01-02 20:46:57;-1;36.05;0.00;5.98;0.17;0.00;57.80
harvester2;60;2022-01-02 20:47:57;-1;26.51;0.00;5.45;0.80;0.00;67.23
harvester2;60;2022-01-02 20:48:57;-1;40.60;0.00;5.85;0.15;0.00;53.40
harvester2;60;2022-01-02 20:49:57;-1;26.30;0.00;5.79;0.29;0.00;67.61
harvester2;60;2022-01-02 20:50:57;-1;33.74;0.00;5.73;1.04;0.00;59.49
harvester2;60;2022-01-02 20:51:57;-1;28.29;0.00;5.33;0.45;0.00;65.94
harvester2;60;2022-01-02 20:52:57;-1;36.22;0.00;6.10;0.18;0.00;57.50
harvester2;60;2022-01-02 20:53:57;-1;29.58;0.00;8.13;0.32;0.00;61.97
harvester2;60;2022-01-02 20:54:57;-1;42.65;0.00;10.70;1.05;0.00;45.60
harvester2;60;2022-01-02 20:55:57;-1;29.66;0.00;6.77;4.02;0.00;59.56
harvester2;60;2022-01-02 20:56:57;-1;30.30;0.00;5.28;3.89;0.00;60.53
harvester2;60;2022-01-02 20:57:57;-1;35.93;0.00;5.63;2.94;0.00;55.50
harvester2;60;2022-01-02 20:58:57;-1;26.98;0.00;5.24;0.57;0.00;67.20
harvester2;60;2022-01-02 20:59:57;-1;36.53;0.00;5.24;0.27;0.00;57.96
harvester2;60;2022-01-02 21:00:57;-1;27.54;0.00;5.26;0.24;0.00;66.97
harvester2;60;2022-01-02 21:01:57;-1;37.90;0.00;5.65;0.19;0.00;56.26
harvester2;60;2022-01-02 21:02:57;-1;30.10;0.00;5.40;0.19;0.00;64.31
harvester2;60;2022-01-02 21:03:57;-1;34.98;0.00;5.08;0.11;0.00;59.83
harvester2;60;2022-01-02 21:04:57;-1;35.78;0.00;5.99;0.16;0.00;58.07
harvester2;60;2022-01-02 21:05:57;-1;27.79;0.00;5.00;0.24;0.00;66.98
harvester2;60;2022-01-02 21:06:57;-1;36.33;0.00;5.45;0.11;0.00;58.11
harvester2;60;2022-01-02 21:07:57;-1;30.41;0.00;5.09;0.16;0.00;64.34
harvester2;60;2022-01-02 21:08:57;-1;34.24;0.00;5.06;0.12;0.00;60.57
harvester2;60;2022-01-02 21:09:57;-1;36.07;0.00;5.64;0.16;0.00;58.12
harvester2;60;2022-01-02 21:10:57;-1;29.24;0.00;5.21;0.17;0.00;65.38
harvester2;60;2022-01-02 21:11:57;-1;35.75;0.00;5.43;0.13;0.00;58.69
harvester2;60;2022-01-02 21:12:57;-1;27.62;0.00;4.77;0.22;0.00;67.38
harvester2;60;2022-01-02 21:13:57;-1;15.58;0.00;3.34;0.01;0.00;81.07
harvester2;60;2022-01-02 21:14:57;-1;10.67;0.00;2.57;0.01;0.00;86.75
harvester2;60;2022-01-02 21:15:57;-1;12.57;0.00;2.78;0.01;0.00;84.64
harvester2;60;2022-01-02 21:16:57;-1;14.70;0.00;4.73;0.01;0.00;80.55
harvester2;60;2022-01-02 21:17:57;-1;22.98;0.00;7.86;0.03;0.00;69.14
harvester2;60;2022-01-02 21:18:57;-1;11.35;0.00;2.75;0.01;0.00;85.88
harvester2;60;2022-01-02 21:19:57;-1;11.41;0.00;2.75;0.00;0.00;85.84
harvester2;60;2022-01-02 21:20:57;-1;11.84;0.00;2.79;0.05;0.00;85.33
harvester2;60;2022-01-02 21:21:57;-1;12.34;0.00;2.64;0.01;0.00;85.01
harvester2;60;2022-01-02 21:22:57;-1;9.89;0.00;2.61;0.01;0.00;87.49
harvester2;60;2022-01-02 21:23:57;-1;11.96;0.00;2.67;0.06;0.00;85.30
harvester2;60;2022-01-02 21:24:57;-1;28.92;0.00;2.61;0.01;0.00;68.46
harvester2;60;2022-01-02 21:25:57;-1;34.70;0.00;2.30;0.02;0.00;62.98
harvester2;60;2022-01-02 21:26:57;-1;33.36;0.00;1.97;0.01;0.00;64.65
harvester2;60;2022-01-02 21:27:57;-1;19.76;0.00;3.49;0.05;0.00;76.70
harvester2;60;2022-01-02 21:28:57;-1;11.29;0.00;2.66;0.02;0.00;86.03
harvester2;60;2022-01-02 21:29:57;-1;33.90;0.00;2.72;0.01;0.00;63.37
harvester2;60;2022-01-02 21:30:57;-1;32.83;0.00;1.97;0.01;0.00;65.19
harvester2;60;2022-01-02 21:31:57;-1;16.23;0.00;3.11;0.01;0.00;80.65
harvester2;60;2022-01-02 21:32:57;-1;9.17;0.00;2.60;0.01;0.00;88.22
harvester2;60;2022-01-02 21:33:57;-1;11.28;0.00;2.56;0.01;0.00;86.15
harvester2;60;2022-01-02 21:34:57;-1;10.96;0.00;2.85;0.00;0.00;86.19
harvester2;60;2022-01-02 21:35:57;-1;30.74;0.00;3.11;0.01;0.00;66.15
harvester2;60;2022-01-02 21:36:57;-1;33.12;0.00;2.00;0.04;0.00;64.84
harvester2;60;2022-01-02 21:37:57;-1;23.10;0.00;2.91;0.00;0.00;73.99
harvester2;60;2022-01-02 21:38:57;-1;12.76;0.00;2.72;0.01;0.00;84.51
harvester2;60;2022-01-02 21:39:57;-1;24.60;0.00;3.17;0.02;0.00;72.21
harvester2;60;2022-01-02 21:40:57;-1;32.90;0.00;1.80;0.01;0.00;65.28
harvester2;60;2022-01-02 21:41:57;-1;34.76;0.00;1.98;0.03;0.00;63.23
harvester2;60;2022-01-02 21:42:57;-1;34.16;0.00;5.44;0.25;0.00;60.16
harvester2;60;2022-01-02 21:43:57;-1;39.33;0.00;7.33;0.42;0.00;52.92
harvester2;60;2022-01-02 21:44:57;-1;48.63;0.00;9.52;0.75;0.00;41.10
harvester2;60;2022-01-02 21:45:57;-1;44.23;0.00;8.07;1.86;0.00;45.84
harvester2;60;2022-01-02 21:46:57;-1;33.85;0.00;4.41;4.11;0.00;57.63
harvester2;60;2022-01-02 21:47:57;-1;37.56;0.00;4.80;2.79;0.00;54.86
harvester2;60;2022-01-02 21:48:57;-1;33.34;0.00;5.41;3.81;0.00;57.44
harvester2;60;2022-01-02 21:49:57;-1;24.72;0.00;4.59;3.96;0.00;66.73
harvester2;60;2022-01-02 21:50:57;-1;36.17;0.00;5.81;3.28;0.00;54.74
harvester2;60;2022-01-02 21:51:57;-1;23.79;0.00;5.57;3.67;0.00;66.96
harvester2;60;2022-01-02 21:52:57;-1;35.43;0.00;5.38;0.14;0.00;59.04
harvester2;60;2022-01-02 21:53:57;-1;29.69;0.00;4.88;0.16;0.00;65.27
harvester2;60;2022-01-02 21:54:57;-1;37.87;0.00;5.32;0.11;0.00;56.70
harvester2;60;2022-01-02 21:55:57;-1;34.02;0.00;5.51;0.67;0.00;59.81
harvester2;60;2022-01-02 21:56:57;-1;30.62;0.00;4.77;0.13;0.00;64.49
harvester2;60;2022-01-02 21:57:57;-1;39.60;0.00;5.58;0.10;0.00;54.73
harvester2;60;2022-01-02 21:58:57;-1;28.03;0.00;4.92;0.15;0.00;66.90
harvester2;60;2022-01-02 21:59:57;-1;23.16;0.00;4.66;0.11;0.00;72.07
harvester2;60;2022-01-02 22:00:57;-1;12.54;0.00;2.53;0.01;0.00;84.92
harvester2;60;2022-01-02 22:01:57;-1;34.67;0.00;2.30;0.02;0.00;63.01
harvester2;60;2022-01-02 22:02:57;-1;50.04;0.00;8.50;0.03;0.00;41.44
harvester2;60;2022-01-02 22:03:57;-1;42.10;0.00;3.85;0.05;0.00;54.00
harvester2;60;2022-01-02 22:04:57;-1;40.91;0.00;5.76;0.10;0.00;53.23
harvester2;60;2022-01-02 22:05:57;-1;28.28;0.00;4.79;0.16;0.00;66.78
harvester2;60;2022-01-02 22:06:57;-1;36.36;0.00;5.25;0.11;0.00;58.27
harvester2;60;2022-01-02 22:07:57;-1;36.96;0.00;5.27;0.09;0.00;57.68
harvester2;60;2022-01-02 22:08:57;-1;28.55;0.00;4.90;0.18;0.00;66.37
harvester2;60;2022-01-02 22:09:57;-1;37.89;0.00;5.42;0.08;0.00;56.61
harvester2;60;2022-01-02 22:10:57;-1;31.76;0.00;5.07;0.10;0.00;63.08
harvester2;60;2022-01-02 22:11:57;-1;34.92;0.00;4.87;0.08;0.00;60.13
harvester2;60;2022-01-02 22:12:57;-1;36.49;0.00;5.14;0.09;0.00;58.28
harvester2;60;2022-01-02 22:13:57;-1;28.85;0.00;4.69;0.15;0.00;66.30
harvester2;60;2022-01-02 22:14:57;-1;37.24;0.00;5.19;0.06;0.00;57.50
harvester2;60;2022-01-02 22:15:57;-1;31.94;0.00;6.78;0.26;0.00;61.02
harvester2;60;2022-01-02 22:16:57;-1;31.04;0.00;4.68;0.11;0.00;64.18
harvester2;60;2022-01-02 22:17:57;-1;38.41;0.00;5.80;0.09;0.00;55.70
harvester2;60;2022-01-02 22:18:57;-1;28.07;0.00;4.63;0.12;0.00;67.18
harvester2;60;2022-01-02 22:19:57;-1;37.96;0.00;5.53;0.11;0.00;56.40
harvester2;60;2022-01-02 22:20:57;-1;28.40;0.00;4.52;0.17;0.00;66.90
harvester2;60;2022-01-02 22:21:57;-1;37.51;0.00;5.83;0.13;0.00;56.53
harvester2;60;2022-01-02 22:22:57;-1;24.81;0.00;4.41;4.98;0.00;65.81
harvester2;60;2022-01-02 22:23:57;-1;32.02;0.00;4.94;3.06;0.00;59.97
harvester2;60;2022-01-02 22:24:57;-1;33.05;0.00;5.26;2.98;0.00;58.70
harvester2;60;2022-01-02 22:25:57;-1;24.40;0.00;4.54;4.13;0.00;66.94
harvester2;60;2022-01-02 22:26:57;-1;36.03;0.00;5.26;0.09;0.00;58.61
harvester2;60;2022-01-02 22:27:57;-1;44.63;0.00;9.75;0.32;0.00;45.30
harvester2;60;2022-01-02 22:28:57;-1;30.09;0.00;7.51;0.32;0.00;62.08
harvester2;60;2022-01-02 22:29:57;-1;45.18;0.00;9.69;0.18;0.00;44.95
harvester2;60;2022-01-02 22:30:57;-1;29.49;0.00;6.03;0.21;0.00;64.26
harvester2;60;2022-01-02 22:31:57;-1;38.51;0.00;5.43;0.08;0.00;55.99
harvester2;60;2022-01-02 22:32:57;-1;35.38;0.00;5.88;0.17;0.00;58.57
harvester2;60;2022-01-02 22:33:57;-1;28.45;0.00;4.90;0.16;0.00;66.49
harvester2;60;2022-01-02 22:34:57;-1;36.82;0.00;5.09;0.08;0.00;58.02
harvester2;60;2022-01-02 22:35:57;-1;35.03;0.00;5.17;0.13;0.00;59.67
harvester2;60;2022-01-02 22:36:57;-1;27.28;0.00;5.90;0.15;0.00;66.67
harvester2;60;2022-01-02 22:37:57;-1;37.10;0.00;5.42;0.08;0.00;57.39
harvester2;60;2022-01-02 22:38:57;-1;34.09;0.00;5.79;0.15;0.00;59.96
harvester2;60;2022-01-02 22:39:57;-1;31.95;0.00;4.74;0.18;0.00;63.13
harvester2;60;2022-01-02 22:40:57;-1;34.27;0.00;4.68;0.14;0.00;60.90
harvester2;60;2022-01-02 22:41:57;-1;27.34;0.00;5.25;0.47;0.00;66.93
harvester2;60;2022-01-02 22:42:57;-1;33.54;0.00;5.01;0.22;0.00;61.23
harvester2;60;2022-01-02 22:43:57;-1;34.68;0.00;5.43;0.39;0.00;59.50
harvester2;60;2022-01-02 22:44:57;-1;40.66;0.00;4.45;0.27;0.00;54.62
harvester2;60;2022-01-02 22:45:57;-1;36.72;0.00;4.62;0.20;0.00;58.47
harvester2;60;2022-01-02 22:46:57;-1;38.84;0.00;5.33;0.16;0.00;55.67
harvester2;60;2022-01-02 22:47:57;-1;44.54;0.00;4.29;0.16;0.00;51.02
harvester2;60;2022-01-02 22:48:57;-1;40.87;0.00;4.05;0.15;0.00;54.93
harvester2;60;2022-01-02 22:49:57;-1;40.44;0.00;4.60;0.27;0.00;54.69
harvester2;60;2022-01-02 22:50:57;-1;36.87;0.00;5.60;0.19;0.00;57.35
harvester2;60;2022-01-02 22:51:57;-1;40.53;0.00;4.06;0.13;0.00;55.28
harvester2;60;2022-01-02 22:52:57;-1;43.22;0.00;4.19;0.15;0.00;52.44
harvester2;60;2022-01-02 22:53:57;-1;37.03;0.00;5.68;0.14;0.00;57.15
harvester2;60;2022-01-02 22:54:57;-1;29.70;0.00;5.97;0.26;0.00;64.07
harvester2;60;2022-01-02 22:55:57;-1;44.40;0.00;9.54;0.18;0.00;45.88
harvester2;60;2022-01-02 22:56:57;-1;39.57;0.00;9.03;0.32;0.00;51.09
harvester2;60;2022-01-02 22:57:57;-1;32.65;0.00;7.57;3.93;0.00;55.85
harvester2;60;2022-01-02 22:58:57;-1;31.95;0.00;5.27;3.40;0.00;59.39
harvester2;60;2022-01-02 22:59:57;-1;27.08;0.00;4.96;3.92;0.00;64.04
harvester2;60;2022-01-02 23:00:57;-1;33.25;0.00;5.00;3.22;0.00;58.53
harvester2;60;2022-01-02 23:01:57;-1;23.94;0.00;4.87;4.62;0.00;66.57
harvester2;60;2022-01-02 23:02:57;-1;34.62;0.00;4.92;2.67;0.00;57.78
harvester2;60;2022-01-02 23:03:57;-1;23.35;0.00;5.89;4.68;0.00;66.09
