# hostname,interval,timestamp,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad
harvester2,60,2022-01-03 02:43:24,20866180,105336,0.50,34656,32.90
harvester2,60,2022-01-03 02:44:24,20866180,105336,0.50,34656,32.90
harvester2,60,2022-01-03 02:45:24,20866180,105336,0.50,34656,32.90
harvester2,60,2022-01-03 02:46:24,20866180,105336,0.50,34656,32.90
harvester2,60,2022-01-03 02:47:24,20866180,105336,0.50,34656,32.90
harvester2,60,2022-01-03 02:48:24,20866180,105336,0.50,34656,32.90
harvester2,60,2022-01-03 02:49:24,20866180,105336,0.50,34656,32.90
harvester2,60,2022-01-03 02:50:24,20866180,105336,0.50,34656,32.90
harvester2,60,2022-01-03 02:51:24,20866180,105336,0.50,34656,32.90
harvester2,60,2022-01-03 02:52:24,20866180,105336,0.50,34656,32.90
harvester2,60,2022-01-03 02:53:24,20866180,105336,0.50,34656,32.90
harvester2,60,2022-01-03 02:54:24,20866180,105336,0.50,34656,32.90
harvester2,60,2022-01-03 02:55:24,20866180,105336,0.50,34656,32.90
harvester2,60,2022-01-03 02:56:24,20866180,105336,0.50,34596,32.84
harvester2,60,2022-01-03 02:57:24,20866180,105336,0.50,34596,32.84
harvester2,60,2022-01-03 02:58:24,20866180,105336,0.50,34604,32.85
harvester2,60,2022-01-03 02:59:24,20867204,104312,0.50,33652,32.26
harvester2,60,2022-01-03 03:00:24,20867204,104312,0.50,33652,32.26
harvester2,60,2022-01-03 03:01:24,20867204,104312,0.50,33656,32.26
harvester2,60,2022-01-03 03:02:24,20867204,104312,0.50,33656,32.26
harvester2,60,2022-01-03 03:03:24,20868484,103032,0.49,32536,31.58
harvester2,60,2022-01-03 03:04:24,20869764,101752,0.49,31396,30.86
harvester2,60,2022-01-03 03:05:24,20869764,101752,0.49,31396,30.86
harvester2,60,2022-01-03 03:06:24,20869764,101752,0.49,31396,30.86
harvester2,60,2022-01-03 03:07:24,20869764,101752,0.49,31396,30.86
harvester2,60,2022-01-03 03:08:24,20870276,101240,0.48,30852,30.47
harvester2,60,2022-01-03 03:09:24,20870276,101240,0.48,30852,30.47
harvester2,60,2022-01-03 03:10:24,20870276,101240,0.48,30852,30.47
harvester2,60,2022-01-03 03:11:24,20870276,101240,0.48,30852,30.47
harvester2,60,2022-01-03 03:12:24,20870276,101240,0.48,30852,30.47
harvester2,60,2022-01-03 03:13:24,20870276,101240,0.48,30856,30.48
harvester2,60,2022-01-03 03:14:24,20870276,101240,0.48,30856,30.48
harvester2,60,2022-01-03 03:15:24,20870276,101240,0.48,30856,30.48
harvester2,60,2022-01-03 03:16:24,20871556,99960,0.48,29592,29.60
harvester2,60,2022-01-03 03:17:24,20872836,98680,0.47,28216,28.59
harvester2,60,2022-01-03 03:18:24,20872836,98680,0.47,28216,28.59
harvester2,60,2022-01-03 03:19:24,20872836,98680,0.47,28216,28.59
harvester2,60,2022-01-03 03:20:24,20872836,98680,0.47,28216,28.59
harvester2,60,2022-01-03 03:21:24,20872836,98680,0.47,28216,28.59
harvester2,60,2022-01-03 03:22:24,20872580,98936,0.47,28284,28.59
harvester2,60,2022-01-03 03:23:24,20872580,98936,0.47,28284,28.59
harvester2,60,2022-01-03 03:24:24,20871300,100216,0.48,28692,28.63
harvester2,60,2022-01-03 03:25:24,20871300,100216,0.48,28692,28.63
harvester2,60,2022-01-03 03:26:24,20870788,100728,0.48,28420,28.21
harvester2,60,2022-01-03 03:27:24,20870788,100728,0.48,28420,28.21
harvester2,60,2022-01-03 03:28:24,20870788,100728,0.48,28420,28.21
