# hostname;interval;timestamp;tps;rtps;wtps;dtps;bread/s;bwrtn/s;bdscd/s
harvester2;60;2022-01-03 02:43:24;322.80;178.47;144.33;0.00;91323.92;68489.33;0.00
harvester2;60;2022-01-03 02:44:24;248.65;113.52;135.13;0.00;58112.13;65300.53;0.00
harvester2;60;2022-01-03 02:45:24;290.05;136.35;153.70;0.00;69715.20;74381.20;0.00
harvester2;60;2022-01-03 02:46:24;217.78;95.23;122.55;0.00;48567.73;58719.33;0.00
harvester2;60;2022-01-03 02:47:24;217.42;124.97;92.45;0.00;63878.40;44369.47;0.00
harvester2;60;2022-01-03 02:48:24;265.37;129.62;135.75;0.00;66342.27;65604.80;0.00
harvester2;60;2022-01-03 02:49:24;230.13;110.32;119.82;0.00;56335.60;58561.73;0.00
harvester2;60;2022-01-03 02:50:24;220.97;93.43;127.53;0.00;47778.53;61206.40;0.00
harvester2;60;2022-01-03 02:51:24;231.97;129.98;101.98;0.00;66425.20;48591.47;0.00
harvester2;60;2022-01-03 02:52:24;261.32;109.07;152.25;0.00;55768.93;73907.60;0.00
harvester2;60;2022-01-03 02:53:24;240.02;124.23;115.78;0.00;63484.85;55077.73;0.00
harvester2;60;2022-01-03 02:54:24;480.82;442.65;38.17;0.00;78440.67;15844.27;0.00
harvester2;60;2022-01-03 02:55:24;2079.95;2073.23;6.72;0.00;136971.07;318.13;0.00
harvester2;60;2022-01-03 02:56:24;1152.50;1147.77;4.73;0.00;93182.13;553.73;0.00
harvester2;60;2022-01-03 02:57:24;26.58;20.95;5.63;0.00;613.20;83.07;0.00
harvester2;60;2022-01-03 02:58:24;11.88;3.75;8.13;0.00;339.73;93.73;0.00
harvester2;60;2022-01-03 02:59:24;14.97;3.38;11.58;0.00;398.67;123.87;0.00
harvester2;60;2022-01-03 03:00:24;8.08;3.30;4.78;0.00;353.87;58.40;0.00
harvester2;60;2022-01-03 03:01:24;197.83;128.72;69.12;0.00;1783.73;1000.40;0.00
harvester2;60;2022-01-03 03:02:24;631.30;381.75;249.55;0.00;5530.93;4570.67;0.00
harvester2;60;2022-01-03 03:03:24;419.27;277.40;141.87;0.00;4263.57;2451.60;0.00
harvester2;60;2022-01-03 03:04:24;333.52;177.68;155.83;0.00;2757.20;2310.93;0.00
harvester2;60;2022-01-03 03:05:24;275.78;191.77;84.02;0.00;3013.47;1536.00;0.00
harvester2;60;2022-01-03 03:06:24;336.02;174.98;161.03;0.00;2756.27;2528.13;0.00
harvester2;60;2022-01-03 03:07:24;357.87;190.17;167.70;0.00;3246.40;2841.07;0.00
harvester2;60;2022-01-03 03:08:24;307.77;229.48;78.28;0.00;3913.87;1285.87;0.00
harvester2;60;2022-01-03 03:09:24;512.42;220.78;291.63;0.00;4012.40;5178.93;0.00
