# hostname,interval,timestamp,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
harvester2,60,2022-01-03 02:43:24,lo,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:43:24,eth0,5.33,3.80,0.46,2.60,0.00,0.00,2.22,0.00
harvester2,60,2022-01-03 02:43:24,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:44:24,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:44:24,eth0,5.27,3.60,0.45,2.53,0.00,0.00,2.32,0.00
harvester2,60,2022-01-03 02:44:24,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:45:24,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:45:24,eth0,5.82,3.75,0.52,2.56,0.00,0.00,2.88,0.00
harvester2,60,2022-01-03 02:45:24,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:46:24,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:46:24,eth0,5.80,3.60,0.49,2.53,0.00,0.00,2.83,0.00
harvester2,60,2022-01-03 02:46:24,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:47:24,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:47:24,eth0,5.38,3.63,0.48,2.53,0.00,0.00,2.25,0.00
harvester2,60,2022-01-03 02:47:24,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:48:24,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:48:24,eth0,5.17,3.62,0.44,2.53,0.00,0.00,2.27,0.00
harvester2,60,2022-01-03 02:48:24,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:49:24,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:49:24,eth0,5.37,3.60,0.47,2.52,0.00,0.00,2.70,0.00
harvester2,60,2022-01-03 02:49:24,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:50:24,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:50:24,eth0,5.78,3.63,0.49,2.52,0.00,0.00,2.93,0.00
harvester2,60,2022-01-03 02:50:24,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:51:24,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:51:24,eth0,7.17,3.60,0.60,2.52,0.00,0.00,4.22,0.00
harvester2,60,2022-01-03 02:51:24,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:52:24,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:52:24,eth0,5.75,3.62,0.49,2.51,0.00,0.00,2.83,0.00
harvester2,60,2022-01-03 02:52:24,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:53:24,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:53:24,eth0,5.17,3.65,0.45,2.51,0.00,0.00,2.22,0.00
harvester2,60,2022-01-03 02:53:24,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:54:24,lo,0.92,0.92,0.19,0.19,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:54:24,eth0,5.65,4.53,0.48,2.81,0.00,0.00,2.30,0.00
harvester2,60,2022-01-03 02:54:24,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:55:24,lo,2.00,2.00,0.10,0.10,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:55:24,eth0,9.52,6.92,0.82,3.00,0.00,0.00,2.93,0.00
harvester2,60,2022-01-03 02:55:24,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:56:24,lo,2.27,2.27,0.26,0.26,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:56:24,eth0,6.42,4.23,0.58,2.73,0.00,0.00,2.88,0.00
harvester2,60,2022-01-03 02:56:24,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:57:24,lo,7.30,7.30,6.62,6.62,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:57:24,eth0,59.55,39.25,64.31,7.68,0.00,0.00,2.05,0.05
harvester2,60,2022-01-03 02:57:24,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:58:24,lo,1.80,1.80,2.21,2.21,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:58:24,eth0,154.78,43.12,207.37,5.79,0.00,0.00,2.28,0.17
harvester2,60,2022-01-03 02:58:24,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:59:24,lo,1.40,1.40,1.84,1.84,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 02:59:24,eth0,13.77,13.02,3.55,4.03,0.00,0.00,2.85,0.00
harvester2,60,2022-01-03 02:59:24,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 03:00:24,lo,1.08,1.08,1.69,1.69,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 03:00:24,eth0,14.40,13.42,4.49,4.10,0.00,0.00,2.83,0.00
harvester2,60,2022-01-03 03:00:24,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 03:01:24,lo,0.93,0.93,1.30,1.30,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 03:01:24,eth0,54.90,26.80,60.40,5.19,0.00,0.00,2.33,0.05
harvester2,60,2022-01-03 03:01:24,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 03:02:24,lo,0.97,0.97,1.30,1.30,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 03:02:24,eth0,24.12,20.30,20.21,4.58,0.00,0.00,2.17,0.02
harvester2,60,2022-01-03 03:02:24,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 03:03:24,lo,1.30,1.30,2.13,2.13,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 03:03:24,eth0,24.12,21.35,15.55,5.36,0.00,0.00,2.95,0.01
harvester2,60,2022-01-03 03:03:24,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 03:04:24,lo,1.13,1.13,1.68,1.68,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 03:04:24,eth0,29.75,24.30,26.02,5.27,0.00,0.00,2.22,0.02
harvester2,60,2022-01-03 03:04:24,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 03:05:24,lo,0.93,0.93,1.27,1.27,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 03:05:24,eth0,37.03,29.15,33.90,5.74,0.00,0.00,2.27,0.03
harvester2,60,2022-01-03 03:05:24,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 03:06:24,lo,0.67,0.67,1.01,1.01,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 03:06:24,eth0,30.02,21.78,23.84,5.14,0.00,0.00,2.88,0.02
harvester2,60,2022-01-03 03:06:24,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 03:07:24,lo,0.63,0.63,1.05,1.05,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 03:07:24,eth0,29.95,20.75,25.15,4.89,0.00,0.00,2.23,0.02
harvester2,60,2022-01-03 03:07:24,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-03 03:08:24,lo,0.80,0.80,1.41,1.41,0.00,0.00,0.00,0.00
