# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
harvester2;60;2022-01-03 02:43:24;136040;7228100;365416;4.57;51500;7169788;1162036;4.01;238724;7206392;687948
harvester2;60;2022-01-03 02:44:24;133284;7225420;367956;4.60;50576;7153968;1162036;4.01;239012;7190716;470916
harvester2;60;2022-01-03 02:45:24;142372;7224796;368628;4.61;50052;7144796;1162564;4.01;239192;7181292;335540
harvester2;60;2022-01-03 02:46:24;132292;7212628;380688;4.76;50128;7142848;1162696;4.01;239328;7191792;29184
harvester2;60;2022-01-03 02:47:24;158348;7210688;382632;4.79;50200;7111276;1162696;4.01;239496;7159960;616416
harvester2;60;2022-01-03 02:48:24;129776;7213628;379816;4.75;50268;7133532;1162696;4.01;239564;7182528;643112
harvester2;60;2022-01-03 02:49:24;135524;7208456;385012;4.81;50340;7114868;1161944;4.01;239644;7162928;578148
harvester2;60;2022-01-03 02:50:24;136508;7213384;379952;4.75;50400;7112600;1161944;4.01;239792;7161136;176432
harvester2;60;2022-01-03 02:51:24;157608;7213644;379808;4.75;50460;7082844;1161944;4.01;239888;7131328;709956
harvester2;60;2022-01-03 02:52:24;132732;7210404;383052;4.79;50500;7096720;1161944;4.01;240000;7144296;164096
harvester2;60;2022-01-03 02:53:24;154032;7210744;382668;4.79;50560;7067340;1161944;4.01;240140;7115812;420892
harvester2;60;2022-01-03 02:54:24;4953604;7163140;456772;5.71;4080;2381064;1259776;4.35;94552;2600336;5748
harvester2;60;2022-01-03 02:55:24;849660;7171752;447844;5.60;4400;6493500;1260128;4.35;95420;6712376;1580
harvester2;60;2022-01-03 02:56:24;169532;6368020;1251896;15.66;4868;6369340;2087848;7.21;112768;7372140;1360
harvester2;60;2022-01-03 02:57:24;212100;6429108;1190848;14.89;4976;6387692;2009488;6.94;113840;7327968;576
harvester2;60;2022-01-03 02:58:24;138992;6165560;1454408;18.19;5220;6197036;2817476;9.73;114388;7396204;60
harvester2;60;2022-01-03 02:59:24;135512;6145104;1474824;18.44;5308;6180020;2817476;9.73;114712;7401268;156
harvester2;60;2022-01-03 03:00:24;137844;6137616;1482348;18.54;5404;6170128;2817476;9.73;115060;7398344;860
harvester2;60;2022-01-03 03:01:24;204372;6243428;1376160;17.21;5512;6209308;5262820;18.17;126456;7314800;9460
harvester2;60;2022-01-03 03:02:24;130820;6001548;1617972;20.23;5600;6040888;5330832;18.40;149164;7364360;112
harvester2;60;2022-01-03 03:03:24;131764;5990872;1628676;20.37;5720;6029184;5299248;18.29;179916;7334536;21304
harvester2;60;2022-01-03 03:04:24;180968;5973728;1645884;20.58;5816;5962688;5308036;18.32;201752;7263068;13796
harvester2;60;2022-01-03 03:05:24;150632;5964108;1654772;20.69;5920;5982620;5309580;18.33;225136;7266876;37524
harvester2;60;2022-01-03 03:06:24;141372;5950268;1668088;20.86;6008;5977368;5312044;18.34;246652;7254208;19644
harvester2;60;2022-01-03 03:07:24;157248;5941860;1675692;20.96;6096;5952284;5314496;18.35;268176;7213852;10644
harvester2;60;2022-01-03 03:08:24;135356;5926392;1690312;21.14;6192;5957664;5315472;18.35;286368;7214828;66788
harvester2;60;2022-01-03 03:09:24;155232;5916400;1699292;21.25;6284;5926792;5318020;18.36;298716;7180148;11720
harvester2;60;2022-01-03 03:10:24;166116;5906084;1708904;21.37;6388;5904808;5322124;18.37;317360;7150128;35228
harvester2;60;2022-01-03 03:11:24;129828;5900092;1714356;21.44;6480;5934392;5322708;18.37;331268;7171512;26952
harvester2;60;2022-01-03 03:12:24;193080;5882824;1731080;21.65;6568;5853144;5326816;18.39;350268;7088728;17448
harvester2;60;2022-01-03 03:13:24;220768;5875732;1737492;21.73;6680;5818044;5328664;18.40;379752;7029524;3452
harvester2;60;2022-01-03 03:14:24;138364;5871164;1741692;21.78;6776;5895100;5328984;18.40;402640;7087884;28832
harvester2;60;2022-01-03 03:15:24;141672;5851180;1761116;22.02;6864;5871040;5333628;18.41;420076;7066772;13368
harvester2;60;2022-01-03 03:16:24;134112;5670140;1941408;24.28;6952;5696760;5335328;18.42;436424;7057452;39624
harvester2;60;2022-01-03 03:17:24;327488;5665184;1945884;24.34;7044;5497812;5335484;18.42;454024;6844488;2172
