# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
harvester2;60;2022-01-03 15:25:49;lo;0.03;0.03;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 15:25:49;eth0;21.57;30.28;1.73;24.08;0.00;0.00;2.25;0.02
harvester2;60;2022-01-03 15:25:49;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 15:26:49;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 15:26:49;eth0;5.60;3.68;0.48;2.53;0.00;0.00;2.78;0.00
harvester2;60;2022-01-03 15:26:49;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 15:27:49;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 15:27:49;eth0;5.03;3.57;0.43;2.51;0.00;0.00;2.18;0.00
harvester2;60;2022-01-03 15:27:49;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 15:28:49;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 15:28:49;eth0;12.65;3.65;1.06;2.52;0.00;0.00;8.92;0.00
harvester2;60;2022-01-03 15:28:49;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 15:29:49;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 15:29:49;eth0;6.22;3.63;0.64;2.52;0.00;0.00;2.65;0.00
harvester2;60;2022-01-03 15:29:49;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 15:30:49;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 15:30:49;eth0;7.00;3.60;0.72;2.52;0.00;0.00;3.32;0.00
harvester2;60;2022-01-03 15:30:49;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 15:31:49;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 15:31:49;eth0;6.43;3.60;0.65;2.52;0.00;0.00;2.70;0.00
harvester2;60;2022-01-03 15:31:49;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 15:32:49;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
