# hostname;interval;timestamp;runq-sz;plist-sz;ldavg-1;ldavg-5;ldavg-15;blocked
harvester2;60;2022-01-03 15:25:49;1;301;2.14;1.03;0.86;0
harvester2;60;2022-01-03 15:26:49;1;301;2.75;1.41;1.00;0
harvester2;60;2022-01-03 15:27:49;1;301;3.10;1.75;1.15;2
harvester2;60;2022-01-03 15:28:49;0;301;2.90;1.93;1.25;2
harvester2;60;2022-01-03 15:29:49;2;301;3.54;2.28;1.41;0
harvester2;60;2022-01-03 15:30:49;2;298;3.42;2.49;1.54;0
harvester2;60;2022-01-03 15:31:49;1;299;3.14;2.58;1.64;2
harvester2;60;2022-01-03 15:32:49;0;299;3.44;2.78;1.77;2
harvester2;60;2022-01-03 15:33:49;0;299;3.28;2.85;1.86;2
harvester2;60;2022-01-03 15:34:49;0;299;3.17;2.88;1.93;2
harvester2;60;2022-01-03 15:35:49;2;302;2.25;2.70;1.93;0
harvester2;60;2022-01-03 15:36:49;0;301;2.57;2.70;1.98;1
harvester2;60;2022-01-03 15:37:49;1;301;2.53;2.65;2.01;0
harvester2;60;2022-01-03 15:38:49;2;303;1.79;2.42;1.97;0
harvester2;60;2022-01-03 15:39:49;3;303;1.30;2.15;1.90;0
harvester2;60;2022-01-03 15:40:49;3;303;1.27;1.99;1.86;0
harvester2;60;2022-01-03 15:41:49;1;303;1.44;1.91;1.84;0
harvester2;60;2022-01-03 15:42:49;2;304;1.49;1.82;1.81;1
harvester2;60;2022-01-03 15:43:49;1;306;1.89;1.87;1.83;0
harvester2;60;2022-01-03 15:44:49;2;306;2.01;1.91;1.85;0
harvester2;60;2022-01-03 15:45:49;4;306;2.34;1.98;1.87;0
harvester2;60;2022-01-03 15:46:49;0;307;1.86;1.91;1.85;1
harvester2;60;2022-01-03 15:47:49;0;307;2.46;2.08;1.92;0
harvester2;60;2022-01-03 15:48:49;1;306;2.14;2.06;1.92;0
harvester2;60;2022-01-03 15:49:49;1;306;2.16;2.07;1.93;0
harvester2;60;2022-01-03 15:50:49;2;304;1.85;1.99;1.91;0
harvester2;60;2022-01-03 15:51:49;1;305;2.09;2.05;1.94;0
harvester2;60;2022-01-03 15:52:49;1;305;2.47;2.15;1.98;0
harvester2;60;2022-01-03 15:53:49;8;305;2.30;2.14;1.99;0
harvester2;60;2022-01-03 15:54:49;2;305;2.17;2.15;2.01;0
harvester2;60;2022-01-03 15:55:49;1;305;1.84;2.06;1.98;0
harvester2;60;2022-01-03 15:56:49;1;305;1.87;2.03;1.98;0
harvester2;60;2022-01-03 15:57:49;7;305;1.72;1.95;1.96;0
harvester2;60;2022-01-03 15:58:49;1;305;2.02;2.01;1.98;0
harvester2;60;2022-01-03 15:59:49;1;305;1.90;1.98;1.98;0
harvester2;60;2022-01-03 16:00:49;2;305;2.15;2.04;2.00;0
harvester2;60;2022-01-03 16:01:49;1;306;2.08;2.05;2.01;0
harvester2;60;2022-01-03 16:02:49;1;306;2.22;2.09;2.02;1
harvester2;60;2022-01-03 16:03:49;1;306;2.08;2.07;2.02;0
harvester2;60;2022-01-03 16:04:49;1;306;2.15;2.09;2.02;0
harvester2;60;2022-01-03 16:05:49;1;305;2.13;2.12;2.04;0
harvester2;60;2022-01-03 16:06:49;1;303;1.95;2.07;2.02;0
harvester2;60;2022-01-03 16:07:49;5;305;2.09;2.09;2.03;1
harvester2;60;2022-01-03 16:08:49;2;305;2.76;2.26;2.09;0
harvester2;60;2022-01-03 16:09:49;3;305;2.08;2.15;2.06;0
harvester2;60;2022-01-03 16:10:49;0;306;2.10;2.15;2.07;1
harvester2;60;2022-01-03 16:11:49;1;306;1.76;2.06;2.05;0
harvester2;60;2022-01-03 16:12:49;3;305;1.64;1.97;2.01;0
harvester2;60;2022-01-03 16:13:49;8;306;2.04;2.00;2.02;0
harvester2;60;2022-01-03 16:14:49;3;306;1.70;1.91;1.98;1
harvester2;60;2022-01-03 16:15:49;3;304;1.99;1.93;1.99;0
harvester2;60;2022-01-03 16:16:49;1;305;1.66;1.84;1.95;0
harvester2;60;2022-01-03 16:17:49;1;304;1.75;1.84;1.95;0
harvester2;60;2022-01-03 16:18:49;1;305;1.73;1.81;1.93;0
harvester2;60;2022-01-03 16:19:49;1;305;1.87;1.86;1.94;0
harvester2;60;2022-01-03 16:20:49;1;305;1.32;1.70;1.87;0
harvester2;60;2022-01-03 16:21:49;1;306;1.56;1.68;1.86;0
harvester2;60;2022-01-03 16:22:49;1;306;1.36;1.60;1.82;0
harvester2;60;2022-01-03 16:23:49;1;305;1.73;1.70;1.84;0
harvester2;60;2022-01-03 16:24:49;3;306;1.83;1.72;1.83;0
harvester2;60;2022-01-03 16:25:49;2;306;1.54;1.66;1.81;0
harvester2;60;2022-01-03 16:26:49;1;304;1.81;1.71;1.82;0
harvester2;60;2022-01-03 16:27:49;4;305;2.12;1.78;1.83;0
harvester2;60;2022-01-03 16:28:49;1;305;1.92;1.81;1.84;0
harvester2;60;2022-01-03 16:29:49;1;304;1.65;1.75;1.82;1
harvester2;60;2022-01-03 16:30:49;1;305;1.77;1.77;1.82;0
harvester2;60;2022-01-03 16:31:49;2;305;1.76;1.76;1.81;0
harvester2;60;2022-01-03 16:32:49;0;304;1.72;1.77;1.81;1
harvester2;60;2022-01-03 16:33:49;1;305;1.38;1.67;1.78;0
harvester2;60;2022-01-03 16:34:49;1;304;1.71;1.72;1.79;0
harvester2;60;2022-01-03 16:35:49;2;305;1.65;1.71;1.78;0
harvester2;60;2022-01-03 16:36:49;1;304;1.81;1.74;1.79;0
harvester2;60;2022-01-03 16:37:49;2;305;1.64;1.70;1.77;0
harvester2;60;2022-01-03 16:38:49;2;305;1.83;1.73;1.78;0
harvester2;60;2022-01-03 16:39:49;2;305;1.71;1.72;1.77;0
harvester2;60;2022-01-03 16:40:49;3;306;1.69;1.71;1.77;0
harvester2;60;2022-01-03 16:41:49;1;306;1.84;1.75;1.78;0
harvester2;60;2022-01-03 16:42:49;1;305;2.91;2.02;1.87;0
harvester2;60;2022-01-03 16:43:49;1;306;1.94;1.92;1.84;0
harvester2;60;2022-01-03 16:44:49;1;305;2.12;1.95;1.86;0
harvester2;60;2022-01-03 16:45:49;2;306;2.41;2.03;1.89;0
harvester2;60;2022-01-03 16:46:49;3;306;2.46;2.12;1.93;0
harvester2;60;2022-01-03 16:47:49;1;306;2.25;2.12;1.94;0
harvester2;60;2022-01-03 16:48:49;2;306;2.01;2.08;1.94;0
harvester2;60;2022-01-03 16:49:49;2;306;1.95;2.04;1.93;0
harvester2;60;2022-01-03 16:50:49;1;303;3.79;2.48;2.09;0
harvester2;60;2022-01-03 16:51:49;2;304;4.32;2.84;2.24;0
harvester2;60;2022-01-03 16:52:49;1;304;2.77;2.66;2.21;0
harvester2;60;2022-01-03 16:53:49;1;305;2.22;2.53;2.19;1
harvester2;60;2022-01-03 16:54:49;1;305;2.01;2.43;2.18;0
harvester2;60;2022-01-03 16:55:49;2;305;2.10;2.37;2.17;0
harvester2;60;2022-01-03 16:56:49;1;305;1.92;2.29;2.16;0
harvester2;60;2022-01-03 16:57:49;1;305;1.82;2.19;2.13;0
harvester2;60;2022-01-03 16:58:49;0;305;1.44;2.02;2.07;1
harvester2;60;2022-01-03 16:59:49;2;306;1.98;2.07;2.09;0
harvester2;60;2022-01-03 17:00:49;2;306;1.82;1.99;2.06;0
harvester2;60;2022-01-03 17:01:49;1;306;2.28;2.10;2.09;0
harvester2;60;2022-01-03 17:02:49;3;306;2.57;2.19;2.12;0
harvester2;60;2022-01-03 17:03:49;1;304;1.94;2.06;2.08;0
harvester2;60;2022-01-03 17:04:49;1;304;2.12;2.12;2.10;0
harvester2;60;2022-01-03 17:05:49;2;305;1.66;1.98;2.05;0
harvester2;60;2022-01-03 17:06:49;2;304;2.17;2.10;2.09;0
harvester2;60;2022-01-03 17:07:49;3;305;1.74;1.98;2.05;0
harvester2;60;2022-01-03 17:08:49;2;306;1.68;1.92;2.02;0
harvester2;60;2022-01-03 17:09:49;1;306;1.44;1.81;1.97;0
harvester2;60;2022-01-03 17:10:49;4;306;1.69;1.80;1.96;0
harvester2;60;2022-01-03 17:11:49;1;306;1.53;1.73;1.93;0
harvester2;60;2022-01-03 17:12:49;1;304;1.65;1.73;1.91;0
harvester2;60;2022-01-03 17:13:49;2;304;1.35;1.63;1.87;0
harvester2;60;2022-01-03 17:14:49;1;303;1.68;1.69;1.88;0
harvester2;60;2022-01-03 17:15:49;1;305;1.49;1.63;1.84;0
harvester2;60;2022-01-03 17:16:49;1;306;1.89;1.74;1.87;0
harvester2;60;2022-01-03 17:17:49;4;306;1.75;1.72;1.85;0
harvester2;60;2022-01-03 17:18:49;3;306;1.63;1.71;1.84;0
harvester2;60;2022-01-03 17:19:49;2;306;1.43;1.63;1.80;0
harvester2;60;2022-01-03 17:20:49;2;305;1.49;1.60;1.78;0
harvester2;60;2022-01-03 17:21:49;2;304;1.45;1.59;1.77;0
harvester2;60;2022-01-03 17:22:49;1;305;1.60;1.61;1.76;0
harvester2;60;2022-01-03 17:23:49;3;304;1.72;1.62;1.76;0
harvester2;60;2022-01-03 17:24:49;2;305;1.75;1.66;1.76;0
harvester2;60;2022-01-03 17:25:49;1;305;1.93;1.73;1.78;0
harvester2;60;2022-01-03 17:26:49;2;305;1.90;1.77;1.79;0
harvester2;60;2022-01-03 17:27:49;1;305;1.81;1.75;1.78;0
harvester2;60;2022-01-03 17:28:49;2;306;2.17;1.84;1.81;0
harvester2;60;2022-01-03 17:29:49;1;306;2.29;1.95;1.85;0
