# hostname,interval,timestamp,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
harvester2,60,2022-01-03 15:25:49,1308588,7239468,354612,4.43,20496,6042792,1162100,4.01,205672,6065328,628704
harvester2,60,2022-01-03 15:26:49,131268,7240356,351620,4.40,20660,7205424,1162100,4.01,209480,7225012,307572
harvester2,60,2022-01-03 15:27:49,154976,7227616,364072,4.55,20824,7169924,1162628,4.01,213888,7198172,303696
harvester2,60,2022-01-03 15:28:49,125388,7229028,363156,4.54,21044,7192740,1162628,4.01,216748,7218484,283376
harvester2,60,2022-01-03 15:29:49,132152,7228104,363984,4.55,21184,7180408,1162628,4.01,217028,7205592,26660
harvester2,60,2022-01-03 15:30:49,128844,7229252,362948,4.54,21380,7173020,1162628,4.01,217420,7198704,356904
harvester2,60,2022-01-03 15:31:49,139484,7225508,366684,4.59,21512,7151468,1162628,4.01,217696,7177428,507768
harvester2,60,2022-01-03 15:32:49,131000,7225692,366428,4.58,21716,7150848,1162628,4.01,218100,7175568,412444
harvester2,60,2022-01-03 15:33:49,130224,7229124,363028,4.54,21864,7146956,1162628,4.01,218428,7171672,602704
harvester2,60,2022-01-03 15:34:49,135112,7228072,363800,4.55,22020,7135152,1161632,4.01,218712,7158972,258916
harvester2,60,2022-01-03 15:35:49,7247440,7220320,426324,5.33,2436,118256,1241660,4.29,118876,277868,1100
harvester2,60,2022-01-03 15:36:49,2057136,7177668,440268,5.51,3980,5292052,1259304,4.35,121216,5467876,868
harvester2,60,2022-01-03 15:37:49,132424,6826604,791432,9.90,4088,6865576,1605904,5.54,136748,7375376,292
harvester2,60,2022-01-03 15:38:49,183956,6438856,1178972,14.74,4504,6426012,2009684,6.94,140492,7318440,384
harvester2,60,2022-01-03 15:39:49,134628,6180268,1437476,17.98,4600,6216716,2861176,9.88,140892,7366888,276
harvester2,60,2022-01-03 15:40:49,134708,6159072,1458708,18.24,4688,6195336,2861176,9.88,141376,7367072,164
harvester2,60,2022-01-03 15:41:49,130992,6153844,1464016,18.31,4780,6193768,2861176,9.88,145204,7364024,376
