# hostname,interval,timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
harvester2,60,2022-01-03 15:25:49,-1,8.87,0.00,18.21,19.70,0.00,53.22
harvester2,60,2022-01-03 15:26:49,-1,6.07,0.00,19.44,25.21,0.00,49.28
harvester2,60,2022-01-03 15:27:49,-1,6.09,0.00,14.07,31.33,0.00,48.52
harvester2,60,2022-01-03 15:28:49,-1,6.06,0.00,19.94,24.89,0.00,49.11
harvester2,60,2022-01-03 15:29:49,-1,5.92,0.00,10.95,34.59,0.00,48.54
harvester2,60,2022-01-03 15:30:49,-1,6.17,0.00,18.30,26.04,0.00,49.50
harvester2,60,2022-01-03 15:31:49,-1,5.97,0.00,13.17,31.60,0.00,49.26
harvester2,60,2022-01-03 15:32:49,-1,5.74,0.00,16.25,28.21,0.00,49.80
harvester2,60,2022-01-03 15:33:49,-1,5.98,0.00,14.22,30.87,0.00,48.93
harvester2,60,2022-01-03 15:34:49,-1,5.78,0.00,12.24,32.93,0.00,49.05
harvester2,60,2022-01-03 15:35:49,-1,12.17,0.00,13.87,9.15,0.00,64.81
harvester2,60,2022-01-03 15:36:49,-1,10.05,0.00,16.67,3.68,0.00,69.60
harvester2,60,2022-01-03 15:37:49,-1,9.64,0.00,17.86,3.35,0.00,69.15
harvester2,60,2022-01-03 15:38:49,-1,20.04,0.00,5.35,0.80,0.00,73.81
harvester2,60,2022-01-03 15:39:49,-1,29.46,0.00,3.00,0.10,0.00,67.44
harvester2,60,2022-01-03 15:40:49,-1,32.37,0.00,1.99,0.09,0.00,65.55
harvester2,60,2022-01-03 15:41:49,-1,32.78,0.00,2.08,0.17,0.00,64.97
harvester2,60,2022-01-03 15:42:49,-1,33.36,0.00,4.68,1.44,0.00,60.52
harvester2,60,2022-01-03 15:43:49,-1,31.24,0.00,8.58,2.57,0.00,57.61
harvester2,60,2022-01-03 15:44:49,-1,37.19,0.00,6.47,0.75,0.00,55.58
harvester2,60,2022-01-03 15:45:49,-1,33.51,0.00,6.17,2.42,0.00,57.90
harvester2,60,2022-01-03 15:46:49,-1,32.83,0.00,5.22,3.04,0.00,58.91
harvester2,60,2022-01-03 15:47:49,-1,32.29,0.00,5.64,4.22,0.00,57.85
harvester2,60,2022-01-03 15:48:49,-1,37.68,0.00,4.35,1.89,0.00,56.08
harvester2,60,2022-01-03 15:49:49,-1,33.57,0.00,6.54,0.75,0.00,59.13
harvester2,60,2022-01-03 15:50:49,-1,39.08,0.00,5.53,0.35,0.00,55.04
harvester2,60,2022-01-03 15:51:49,-1,37.32,0.00,5.83,0.68,0.00,56.17
harvester2,60,2022-01-03 15:52:49,-1,37.80,0.00,6.10,0.68,0.00,55.43
harvester2,60,2022-01-03 15:53:49,-1,39.70,0.00,5.32,0.42,0.00,54.56
harvester2,60,2022-01-03 15:54:49,-1,34.48,0.00,6.43,0.45,0.00,58.65
harvester2,60,2022-01-03 15:55:49,-1,40.36,0.00,5.10,0.35,0.00,54.19
harvester2,60,2022-01-03 15:56:49,-1,30.53,0.00,5.37,1.08,0.00,63.02
harvester2,60,2022-01-03 15:57:49,-1,37.30,0.00,4.71,0.31,0.00,57.67
harvester2,60,2022-01-03 15:58:49,-1,37.48,0.00,4.64,1.61,0.00,56.28
harvester2,60,2022-01-03 15:59:49,-1,31.42,0.00,6.05,3.81,0.00,58.72
harvester2,60,2022-01-03 16:00:49,-1,30.91,0.00,5.56,4.53,0.00,59.00
harvester2,60,2022-01-03 16:01:49,-1,40.74,0.00,5.20,0.32,0.00,53.74
harvester2,60,2022-01-03 16:02:49,-1,36.27,0.00,5.09,0.41,0.00,58.23
harvester2,60,2022-01-03 16:03:49,-1,36.60,0.00,5.28,0.42,0.00,57.70
harvester2,60,2022-01-03 16:04:49,-1,37.59,0.00,6.66,0.44,0.00,55.30
harvester2,60,2022-01-03 16:05:49,-1,39.38,0.00,5.18,0.63,0.00,54.81
harvester2,60,2022-01-03 16:06:49,-1,39.59,0.00,5.35,0.47,0.00,54.59
harvester2,60,2022-01-03 16:07:49,-1,40.67,0.00,6.01,0.46,0.00,52.86
harvester2,60,2022-01-03 16:08:49,-1,48.65,0.00,9.83,0.66,0.00,40.87
harvester2,60,2022-01-03 16:09:49,-1,42.15,0.00,8.35,0.84,0.00,48.65
harvester2,60,2022-01-03 16:10:49,-1,30.96,0.00,5.26,4.21,0.00,59.57
harvester2,60,2022-01-03 16:11:49,-1,35.34,0.00,6.39,2.83,0.00,55.44
harvester2,60,2022-01-03 16:12:49,-1,22.04,0.00,5.65,5.09,0.00,67.23
harvester2,60,2022-01-03 16:13:49,-1,30.58,0.00,5.92,3.66,0.00,59.84
harvester2,60,2022-01-03 16:14:49,-1,28.32,0.00,5.65,0.96,0.00,65.06
harvester2,60,2022-01-03 16:15:49,-1,34.98,0.00,6.21,1.11,0.00,57.70
harvester2,60,2022-01-03 16:16:49,-1,26.43,0.00,5.85,0.78,0.00,66.95
harvester2,60,2022-01-03 16:17:49,-1,36.24,0.00,6.17,0.17,0.00,57.42
harvester2,60,2022-01-03 16:18:49,-1,27.36,0.00,5.66,0.25,0.00,66.73
harvester2,60,2022-01-03 16:19:49,-1,40.77,0.00,6.43,0.43,0.00,52.37
harvester2,60,2022-01-03 16:20:49,-1,26.69,0.00,5.77,0.82,0.00,66.72
harvester2,60,2022-01-03 16:21:49,-1,36.36,0.00,6.02,0.19,0.00,57.43
harvester2,60,2022-01-03 16:22:49,-1,26.86,0.00,5.39,0.22,0.00,67.54
harvester2,60,2022-01-03 16:23:49,-1,35.58,0.00,5.71,0.27,0.00,58.45
harvester2,60,2022-01-03 16:24:49,-1,33.33,0.00,5.71,0.18,0.00,60.78
harvester2,60,2022-01-03 16:25:49,-1,28.85,0.00,6.13,0.35,0.00,64.66
harvester2,60,2022-01-03 16:26:49,-1,39.24,0.00,8.35,0.19,0.00,52.21
harvester2,60,2022-01-03 16:27:49,-1,38.22,0.00,8.97,0.23,0.00,52.58
harvester2,60,2022-01-03 16:28:49,-1,36.20,0.00,7.68,0.52,0.00,55.59
harvester2,60,2022-01-03 16:29:49,-1,24.28,0.00,5.14,3.60,0.00,66.97
harvester2,60,2022-01-03 16:30:49,-1,34.88,0.00,5.81,3.04,0.00,56.26
harvester2,60,2022-01-03 16:31:49,-1,27.05,0.00,5.15,4.53,0.00,63.28
harvester2,60,2022-01-03 16:32:49,-1,32.59,0.00,5.23,2.92,0.00,59.26
harvester2,60,2022-01-03 16:33:49,-1,24.22,0.00,4.99,3.88,0.00,66.91
harvester2,60,2022-01-03 16:34:49,-1,36.46,0.00,5.94,0.12,0.00,57.48
harvester2,60,2022-01-03 16:35:49,-1,28.18,0.00,5.12,0.20,0.00,66.50
harvester2,60,2022-01-03 16:36:49,-1,35.91,0.00,5.67,0.16,0.00,58.26
harvester2,60,2022-01-03 16:37:49,-1,36.22,0.00,5.59,0.12,0.00,58.07
harvester2,60,2022-01-03 16:38:49,-1,27.59,0.00,5.19,0.23,0.00,67.00
harvester2,60,2022-01-03 16:39:49,-1,36.96,0.00,5.68,0.17,0.00,57.19
harvester2,60,2022-01-03 16:40:49,-1,28.90,0.00,5.05,0.41,0.00,65.64
