# hostname,interval,timestamp,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad
harvester2,60,2022-01-08 14:40:03,20773804,197712,0.94,57660,29.16
harvester2,60,2022-01-08 14:41:03,20773804,197712,0.94,57548,29.11
harvester2,60,2022-01-08 14:42:03,20773804,197712,0.94,57336,29.00
harvester2,60,2022-01-08 14:43:03,20773804,197712,0.94,57344,29.00
harvester2,60,2022-01-08 14:44:03,20773804,197712,0.94,57344,29.00
harvester2,60,2022-01-08 14:45:03,20773804,197712,0.94,57344,29.00
harvester2,60,2022-01-08 14:46:03,20773804,197712,0.94,57344,29.00
harvester2,60,2022-01-08 14:47:03,20773804,197712,0.94,57344,29.00
harvester2,60,2022-01-08 14:48:03,20773804,197712,0.94,57344,29.00
harvester2,60,2022-01-08 14:49:03,20773804,197712,0.94,57348,29.01
harvester2,60,2022-01-08 14:50:03,20773804,197712,0.94,57348,29.01
harvester2,60,2022-01-08 14:51:03,20773804,197712,0.94,57344,29.00
harvester2,60,2022-01-08 14:52:03,20773804,197712,0.94,57344,29.00
harvester2,60,2022-01-08 14:53:03,20773804,197712,0.94,57344,29.00
harvester2,60,2022-01-08 14:54:03,20773804,197712,0.94,56712,28.68
harvester2,60,2022-01-08 14:55:03,20773804,197712,0.94,56672,28.66
harvester2,60,2022-01-08 14:56:03,20773548,197968,0.94,56724,28.65
harvester2,60,2022-01-08 14:57:03,20773804,197712,0.94,56756,28.71
harvester2,60,2022-01-08 14:58:03,20773804,197712,0.94,56756,28.71
harvester2,60,2022-01-08 14:59:03,20773804,197712,0.94,56756,28.71
harvester2,60,2022-01-08 15:00:03,20773804,197712,0.94,56756,28.71
harvester2,60,2022-01-08 15:01:03,20773804,197712,0.94,56756,28.71
harvester2,60,2022-01-08 15:02:03,20773804,197712,0.94,56756,28.71
harvester2,60,2022-01-08 15:03:03,20773804,197712,0.94,56756,28.71
harvester2,60,2022-01-08 15:04:03,20773804,197712,0.94,56636,28.65
harvester2,60,2022-01-08 15:05:03,20774828,196688,0.94,55664,28.30
harvester2,60,2022-01-08 15:06:03,20779692,191824,0.91,50456,26.30
harvester2,60,2022-01-08 15:07:03,20778136,193380,0.92,50420,26.07
harvester2,60,2022-01-08 15:08:03,20778136,193380,0.92,50420,26.07
harvester2,60,2022-01-08 15:09:03,20775576,195940,0.93,50660,25.85
harvester2,60,2022-01-08 15:10:03,20775832,195684,0.93,50660,25.89
harvester2,60,2022-01-08 15:11:03,20772760,198756,0.95,50820,25.57
harvester2,60,2022-01-08 15:12:03,20772248,199268,0.95,50952,25.57
harvester2,60,2022-01-08 15:13:03,20771480,200036,0.95,50900,25.45
harvester2,60,2022-01-08 15:14:03,20771480,200036,0.95,50624,25.31
harvester2,60,2022-01-08 15:15:03,20771480,200036,0.95,50552,25.27
harvester2,60,2022-01-08 15:16:03,20771480,200036,0.95,50548,25.27
