# hostname,interval,timestamp,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s
harvester2,60,2022-01-08 14:40:03,300.77,150.05,150.72,0.00,75188.40,68674.27,0.00
harvester2,60,2022-01-08 14:41:03,336.47,175.93,160.53,0.00,89859.47,77788.80,0.00
harvester2,60,2022-01-08 14:42:03,184.22,79.43,104.78,0.00,40446.53,49935.20,0.00
harvester2,60,2022-01-08 14:43:03,249.42,130.87,118.55,0.00,66735.78,55271.47,0.00
harvester2,60,2022-01-08 14:44:03,175.47,80.68,94.78,0.00,41127.60,45548.27,0.00
harvester2,60,2022-01-08 14:45:03,166.18,83.92,82.27,0.00,42649.60,38719.20,0.00
harvester2,60,2022-01-08 14:46:03,248.42,122.25,126.17,0.00,62324.53,59369.33,0.00
harvester2,60,2022-01-08 14:47:03,174.98,68.68,106.30,0.00,30782.40,49382.80,0.00
harvester2,60,2022-01-08 14:48:03,244.05,115.72,128.33,0.00,58963.73,60213.60,0.00
harvester2,60,2022-01-08 14:49:03,253.47,137.72,115.75,0.00,70324.27,55046.40,0.00
harvester2,60,2022-01-08 14:50:03,241.57,108.27,133.30,0.00,55165.87,63158.40,0.00
harvester2,60,2022-01-08 14:51:03,244.32,110.23,134.08,0.00,56082.00,63912.00,0.00
harvester2,60,2022-01-08 14:52:03,400.43,382.88,17.55,0.00,67100.93,3698.67,0.00
harvester2,60,2022-01-08 14:53:03,2092.70,2085.50,7.20,0.00,143649.65,356.00,0.00
harvester2,60,2022-01-08 14:54:03,1869.75,1861.93,7.82,0.00,173849.33,934.67,0.00
harvester2,60,2022-01-08 14:55:03,1992.67,1984.37,8.30,0.00,126773.87,260.93,0.00
harvester2,60,2022-01-08 14:56:03,892.30,871.85,20.45,0.00,87853.07,6782.53,0.00
harvester2,60,2022-01-08 14:57:03,860.27,838.48,21.78,0.00,183774.00,7198.27,0.00
harvester2,60,2022-01-08 14:58:03,29.00,0.40,28.60,0.00,8.93,11457.47,0.00
harvester2,60,2022-01-08 14:59:03,38.60,0.28,38.32,0.00,8.80,17866.53,0.00
harvester2,60,2022-01-08 15:00:03,50.57,0.28,50.28,0.00,7.20,20544.80,0.00
harvester2,60,2022-01-08 15:01:03,118.62,1.02,117.60,0.00,10.13,53256.40,0.00
harvester2,60,2022-01-08 15:02:03,117.02,0.40,116.62,0.00,4.40,54568.00,0.00
harvester2,60,2022-01-08 15:03:03,226.88,0.87,226.02,0.00,15.03,93953.47,0.00
harvester2,60,2022-01-08 15:04:03,354.68,193.38,161.30,0.00,41221.73,73972.53,0.00
harvester2,60,2022-01-08 15:05:03,691.60,614.42,77.18,0.00,130512.00,35138.93,0.00
harvester2,60,2022-01-08 15:06:03,254.68,186.97,67.72,0.00,40661.47,30357.47,0.00
harvester2,60,2022-01-08 15:07:03,120.85,59.60,61.25,0.00,12587.07,26960.27,0.00
harvester2,60,2022-01-08 15:08:03,229.68,2.92,226.77,0.00,182.67,96852.67,0.00
harvester2,60,2022-01-08 15:09:03,322.65,181.48,141.17,0.00,30336.93,63296.67,0.00
harvester2,60,2022-01-08 15:10:03,37.93,30.72,7.22,0.00,681.87,105.73,0.00
