# hostname,interval,timestamp,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked
harvester2,60,2022-01-08 14:40:03,1,316,2.83,3.00,3.11,1
harvester2,60,2022-01-08 14:41:03,0,317,2.76,2.92,3.07,2
harvester2,60,2022-01-08 14:42:03,1,317,3.01,2.98,3.08,2
harvester2,60,2022-01-08 14:43:03,0,318,2.94,2.98,3.08,2
harvester2,60,2022-01-08 14:44:03,2,317,3.41,3.12,3.12,0
harvester2,60,2022-01-08 14:45:03,1,315,3.40,3.16,3.13,0
harvester2,60,2022-01-08 14:46:03,1,316,2.96,3.10,3.11,1
harvester2,60,2022-01-08 14:47:03,2,318,3.55,3.23,3.16,1
harvester2,60,2022-01-08 14:48:03,2,318,3.40,3.24,3.16,2
harvester2,60,2022-01-08 14:49:03,1,316,3.81,3.38,3.22,2
harvester2,60,2022-01-08 14:50:03,0,316,3.33,3.32,3.21,2
harvester2,60,2022-01-08 14:51:03,2,311,3.26,3.32,3.21,1
harvester2,60,2022-01-08 14:52:03,1,317,2.58,3.12,3.15,1
harvester2,60,2022-01-08 14:53:03,3,318,2.56,3.01,3.11,0
harvester2,60,2022-01-08 14:54:03,0,318,2.47,2.89,3.06,2
harvester2,60,2022-01-08 14:55:03,1,318,2.29,2.74,2.99,1
harvester2,60,2022-01-08 14:56:03,2,316,2.43,2.71,2.97,0
harvester2,60,2022-01-08 14:57:03,1,310,2.19,2.60,2.91,0
harvester2,60,2022-01-08 14:58:03,1,311,2.43,2.56,2.88,0
harvester2,60,2022-01-08 14:59:03,1,310,1.75,2.36,2.79,0
harvester2,60,2022-01-08 15:00:03,1,310,1.43,2.14,2.68,1
harvester2,60,2022-01-08 15:01:03,1,310,1.99,2.19,2.67,1
harvester2,60,2022-01-08 15:02:03,1,311,2.20,2.21,2.65,1
harvester2,60,2022-01-08 15:03:03,1,312,2.66,2.34,2.66,0
harvester2,60,2022-01-08 15:04:03,1,311,2.57,2.38,2.66,0
harvester2,60,2022-01-08 15:05:03,1,311,2.31,2.33,2.62,0
harvester2,60,2022-01-08 15:06:03,2,311,2.52,2.35,2.61,1
harvester2,60,2022-01-08 15:07:03,1,308,2.13,2.30,2.58,1
harvester2,60,2022-01-08 15:08:03,1,308,2.34,2.35,2.58,0
harvester2,60,2022-01-08 15:09:03,1,313,2.62,2.45,2.60,0
harvester2,60,2022-01-08 15:10:03,0,314,1.17,2.06,2.45,0
harvester2,60,2022-01-08 15:11:03,1,317,1.41,1.92,2.38,0
harvester2,60,2022-01-08 15:12:03,1,316,1.38,1.83,2.31,0
harvester2,60,2022-01-08 15:13:03,2,318,1.36,1.74,2.25,0
harvester2,60,2022-01-08 15:14:03,4,315,1.53,1.71,2.21,0
harvester2,60,2022-01-08 15:15:03,1,316,1.62,1.72,2.17,1
harvester2,60,2022-01-08 15:16:03,2,317,1.95,1.79,2.17,0
harvester2,60,2022-01-08 15:17:03,2,317,1.89,1.82,2.16,0
harvester2,60,2022-01-08 15:18:03,2,317,1.71,1.78,2.12,0
harvester2,60,2022-01-08 15:19:03,2,317,1.96,1.82,2.11,0
harvester2,60,2022-01-08 15:20:03,1,316,2.13,1.89,2.11,0
harvester2,60,2022-01-08 15:21:03,2,315,1.81,1.85,2.08,0
harvester2,60,2022-01-08 15:22:03,2,315,2.82,2.07,2.14,0
harvester2,60,2022-01-08 15:23:03,0,315,2.81,2.26,2.20,2
harvester2,60,2022-01-08 15:24:03,1,316,2.33,2.24,2.20,0
harvester2,60,2022-01-08 15:25:03,0,316,2.65,2.32,2.22,2
harvester2,60,2022-01-08 15:26:03,3,316,2.16,2.24,2.20,0
harvester2,60,2022-01-08 15:27:03,0,316,2.43,2.28,2.21,1
harvester2,60,2022-01-08 15:28:03,1,316,2.27,2.27,2.21,0
harvester2,60,2022-01-08 15:29:03,0,315,2.05,2.22,2.20,1
harvester2,60,2022-01-08 15:30:03,1,315,2.31,2.26,2.21,0
harvester2,60,2022-01-08 15:31:03,2,317,2.22,2.26,2.21,0
harvester2,60,2022-01-08 15:32:03,3,317,4.72,2.87,2.43,0
harvester2,60,2022-01-08 15:33:03,2,318,4.84,3.25,2.58,0
harvester2,60,2022-01-08 15:34:03,5,317,3.36,3.11,2.57,0
harvester2,60,2022-01-08 15:35:03,1,316,2.86,3.01,2.57,0
harvester2,60,2022-01-08 15:36:03,1,314,2.22,2.80,2.52,0
harvester2,60,2022-01-08 15:37:03,2,314,2.31,2.74,2.52,0
harvester2,60,2022-01-08 15:38:03,2,315,2.37,2.66,2.51,0
harvester2,60,2022-01-08 15:39:03,1,316,2.08,2.53,2.47,0
harvester2,60,2022-01-08 15:40:03,2,316,1.81,2.37,2.42,0
harvester2,60,2022-01-08 15:41:03,2,316,2.18,2.37,2.42,0
harvester2,60,2022-01-08 15:42:03,2,316,2.26,2.40,2.43,0
harvester2,60,2022-01-08 15:43:03,2,317,2.00,2.30,2.39,0
harvester2,60,2022-01-08 15:44:03,1,316,1.89,2.22,2.36,0
harvester2,60,2022-01-08 15:45:03,0,316,2.12,2.23,2.35,1
harvester2,60,2022-01-08 15:46:03,2,315,2.11,2.18,2.32,0
harvester2,60,2022-01-08 15:47:03,3,316,1.93,2.12,2.29,0
harvester2,60,2022-01-08 15:48:03,2,316,1.79,2.04,2.25,0
harvester2,60,2022-01-08 15:49:03,1,315,2.14,2.11,2.26,0
harvester2,60,2022-01-08 15:50:03,1,315,1.60,1.95,2.20,0
harvester2,60,2022-01-08 15:51:03,2,315,1.97,1.98,2.19,0
harvester2,60,2022-01-08 15:52:03,2,315,1.71,1.92,2.15,0
harvester2,60,2022-01-08 15:53:03,4,317,1.63,1.85,2.11,0
harvester2,60,2022-01-08 15:54:03,1,316,1.96,1.92,2.12,1
harvester2,60,2022-01-08 15:55:03,5,316,2.04,1.95,2.11,0
harvester2,60,2022-01-08 15:56:03,2,316,2.07,2.00,2.12,0
harvester2,60,2022-01-08 15:57:03,2,315,2.01,1.97,2.10,0
harvester2,60,2022-01-08 15:58:03,3,314,2.31,2.04,2.11,0
harvester2,60,2022-01-08 15:59:03,1,315,2.67,2.20,2.16,1
harvester2,60,2022-01-08 16:00:03,0,315,2.26,2.19,2.16,1
harvester2,60,2022-01-08 16:01:03,2,316,2.27,2.20,2.17,0
harvester2,60,2022-01-08 16:02:03,1,315,2.19,2.19,2.17,0
harvester2,60,2022-01-08 16:03:03,2,317,2.09,2.15,2.15,0
harvester2,60,2022-01-08 16:04:03,0,315,1.79,2.07,2.13,1
harvester2,60,2022-01-08 16:05:03,2,315,2.31,2.15,2.15,0
harvester2,60,2022-01-08 16:06:03,0,316,1.89,2.07,2.12,1
harvester2,60,2022-01-08 16:07:03,1,316,2.08,2.09,2.12,0
harvester2,60,2022-01-08 16:08:03,2,315,2.23,2.12,2.13,0
harvester2,60,2022-01-08 16:09:03,0,316,1.84,2.04,2.10,0
harvester2,60,2022-01-08 16:10:03,2,316,1.90,2.01,2.09,0
harvester2,60,2022-01-08 16:11:03,3,315,1.70,1.94,2.06,1
harvester2,60,2022-01-08 16:12:03,2,315,2.03,1.99,2.07,0
harvester2,60,2022-01-08 16:13:03,0,316,1.93,1.97,2.06,1
harvester2,60,2022-01-08 16:14:03,0,316,1.84,1.93,2.03,1
harvester2,60,2022-01-08 16:15:03,4,316,2.15,2.00,2.05,0
harvester2,60,2022-01-08 16:16:03,0,316,1.87,1.96,2.03,1
harvester2,60,2022-01-08 16:17:03,3,316,1.97,1.96,2.02,0
harvester2,60,2022-01-08 16:18:03,2,316,1.73,1.90,1.99,0
harvester2,60,2022-01-08 16:19:03,1,314,2.37,2.04,2.03,0
harvester2,60,2022-01-08 16:20:03,2,315,2.33,2.05,2.04,0
harvester2,60,2022-01-08 16:21:03,3,314,2.09,2.05,2.04,1
harvester2,60,2022-01-08 16:22:03,4,315,2.19,2.05,2.03,0
harvester2,60,2022-01-08 16:23:03,2,315,2.36,2.12,2.05,1
harvester2,60,2022-01-08 16:24:03,4,315,2.22,2.10,2.05,0
harvester2,60,2022-01-08 16:25:03,2,314,2.81,2.32,2.13,0
harvester2,60,2022-01-08 16:26:03,0,315,2.69,2.41,2.17,1
harvester2,60,2022-01-08 16:27:03,0,315,1.99,2.25,2.13,1
harvester2,60,2022-01-08 16:28:03,0,315,1.96,2.19,2.12,1
harvester2,60,2022-01-08 16:29:03,0,316,1.87,2.11,2.09,2
harvester2,60,2022-01-08 16:30:03,2,316,1.88,2.07,2.08,0
harvester2,60,2022-01-08 16:31:03,2,316,2.18,2.13,2.10,0
harvester2,60,2022-01-08 16:32:03,1,316,1.86,2.05,2.07,0
harvester2,60,2022-01-08 16:33:03,1,317,1.79,1.99,2.05,0
harvester2,60,2022-01-08 16:34:03,2,314,2.36,2.13,2.09,0
harvester2,60,2022-01-08 16:35:03,2,315,2.26,2.12,2.09,0
harvester2,60,2022-01-08 16:36:03,1,314,2.52,2.21,2.12,0
harvester2,60,2022-01-08 16:37:03,2,316,2.09,2.15,2.10,0
harvester2,60,2022-01-08 16:38:03,1,316,1.95,2.12,2.09,0
harvester2,60,2022-01-08 16:39:03,2,316,2.06,2.10,2.09,0
harvester2,60,2022-01-08 16:40:03,1,317,1.88,2.05,2.07,0
harvester2,60,2022-01-08 16:41:03,1,317,2.39,2.15,2.10,0
harvester2,60,2022-01-08 16:42:03,5,316,1.82,2.03,2.07,0
harvester2,60,2022-01-08 16:43:03,2,317,2.37,2.14,2.10,0
harvester2,60,2022-01-08 16:44:03,0,317,2.38,2.18,2.12,1
harvester2,60,2022-01-08 16:45:03,4,315,2.77,2.28,2.15,1
harvester2,60,2022-01-08 16:46:03,1,316,2.56,2.32,2.17,2
harvester2,60,2022-01-08 16:47:03,2,316,2.36,2.31,2.18,0
harvester2,60,2022-01-08 16:48:03,0,316,2.17,2.26,2.17,1
harvester2,60,2022-01-08 16:49:03,2,315,2.22,2.23,2.17,0
harvester2,60,2022-01-08 16:50:03,1,315,2.30,2.28,2.19,0
harvester2,60,2022-01-08 16:51:03,5,316,2.18,2.23,2.18,0
harvester2,60,2022-01-08 16:52:03,1,316,1.93,2.15,2.15,0
harvester2,60,2022-01-08 16:53:03,2,317,1.90,2.09,2.13,0
harvester2,60,2022-01-08 16:54:03,2,316,1.62,1.99,2.09,0
harvester2,60,2022-01-08 16:55:03,1,316,2.28,2.09,2.12,0
harvester2,60,2022-01-08 16:56:03,2,315,2.08,2.05,2.10,0
harvester2,60,2022-01-08 16:57:03,1,315,2.44,2.13,2.12,0
harvester2,60,2022-01-08 16:58:03,2,315,2.67,2.24,2.15,0
harvester2,60,2022-01-08 16:59:03,0,316,2.14,2.20,2.15,1
harvester2,60,2022-01-08 17:00:03,2,315,2.19,2.19,2.15,0
harvester2,60,2022-01-08 17:01:03,0,315,1.80,2.10,2.12,1
harvester2,60,2022-01-08 17:02:03,2,316,2.18,2.13,2.13,0
harvester2,60,2022-01-08 17:03:03,1,317,1.94,2.10,2.12,0
harvester2,60,2022-01-08 17:04:03,2,316,2.20,2.15,2.13,0
harvester2,60,2022-01-08 17:05:03,1,316,1.84,2.06,2.10,0
harvester2,60,2022-01-08 17:06:03,1,315,1.91,2.04,2.09,0
harvester2,60,2022-01-08 17:07:03,1,317,2.18,2.08,2.10,0
harvester2,60,2022-01-08 17:08:03,2,316,2.61,2.23,2.15,0
harvester2,60,2022-01-08 17:09:03,2,316,1.86,2.08,2.10,0
harvester2,60,2022-01-08 17:10:03,1,316,1.86,2.06,2.09,0
harvester2,60,2022-01-08 17:11:03,2,316,1.90,2.02,2.08,0
harvester2,60,2022-01-08 17:12:03,0,315,1.60,1.93,2.04,1
harvester2,60,2022-01-08 17:13:03,2,316,2.01,1.97,2.04,0
harvester2,60,2022-01-08 17:14:03,2,315,2.17,2.02,2.06,0
harvester2,60,2022-01-08 17:15:03,1,315,1.90,1.98,2.04,0
harvester2,60,2022-01-08 17:16:03,5,315,1.88,1.94,2.02,0
harvester2,60,2022-01-08 17:17:03,2,315,1.75,1.92,2.00,1
harvester2,60,2022-01-08 17:18:03,1,315,5.37,2.89,2.33,0
harvester2,60,2022-01-08 17:19:03,2,314,3.45,2.81,2.34,0
harvester2,60,2022-01-08 17:20:03,1,316,2.19,2.58,2.29,0
harvester2,60,2022-01-08 17:21:03,2,316,2.15,2.48,2.27,0
harvester2,60,2022-01-08 17:22:03,2,315,1.99,2.39,2.25,0
harvester2,60,2022-01-08 17:23:03,2,315,2.21,2.39,2.26,0
harvester2,60,2022-01-08 17:24:03,2,314,2.17,2.33,2.25,0
harvester2,60,2022-01-08 17:25:03,0,315,2.28,2.34,2.26,1
harvester2,60,2022-01-08 17:26:03,2,316,1.77,2.20,2.22,0
harvester2,60,2022-01-08 17:27:03,0,316,1.99,2.19,2.22,1
harvester2,60,2022-01-08 17:28:03,4,316,1.84,2.11,2.18,0
harvester2,60,2022-01-08 17:29:03,2,316,2.32,2.18,2.20,0
harvester2,60,2022-01-08 17:30:03,2,314,2.59,2.26,2.22,0
harvester2,60,2022-01-08 17:31:03,3,316,2.36,2.27,2.23,0
harvester2,60,2022-01-08 17:32:03,1,316,2.54,2.35,2.26,0
harvester2,60,2022-01-08 17:33:03,2,317,2.23,2.30,2.25,0
harvester2,60,2022-01-08 17:34:03,1,316,2.19,2.30,2.26,0
harvester2,60,2022-01-08 17:35:03,1,316,2.09,2.26,2.25,0
harvester2,60,2022-01-08 17:36:03,2,314,1.84,2.16,2.21,1
harvester2,60,2022-01-08 17:37:03,5,314,1.99,2.13,2.20,0
harvester2,60,2022-01-08 17:38:03,2,315,2.18,2.15,2.20,0
harvester2,60,2022-01-08 17:39:03,5,314,1.93,2.08,2.17,0
harvester2,60,2022-01-08 17:40:03,1,314,1.87,2.03,2.15,0
harvester2,60,2022-01-08 17:41:03,4,315,1.91,2.00,2.12,0
harvester2,60,2022-01-08 17:42:03,2,316,1.70,1.92,2.09,0
harvester2,60,2022-01-08 17:43:03,1,317,2.09,2.00,2.10,0
harvester2,60,2022-01-08 17:44:03,2,317,1.95,1.97,2.08,0
harvester2,60,2022-01-08 17:45:03,1,317,1.66,1.90,2.05,0
harvester2,60,2022-01-08 17:46:03,1,317,1.96,1.95,2.06,0
harvester2,60,2022-01-08 17:47:03,2,316,2.24,2.01,2.07,1
harvester2,60,2022-01-08 17:48:03,3,314,1.86,1.95,2.05,1
harvester2,60,2022-01-08 17:49:03,2,315,1.71,1.90,2.02,0
harvester2,60,2022-01-08 17:50:03,3,315,1.90,1.92,2.02,0
harvester2,60,2022-01-08 17:51:03,0,316,1.85,1.89,2.00,1
harvester2,60,2022-01-08 17:52:03,2,315,2.38,2.00,2.03,0
harvester2,60,2022-01-08 17:53:03,1,317,1.99,1.98,2.02,0
harvester2,60,2022-01-08 17:54:03,1,315,1.97,1.98,2.01,0
harvester2,60,2022-01-08 17:55:03,2,316,1.70,1.88,1.98,0
harvester2,60,2022-01-08 17:56:03,2,315,1.95,1.91,1.98,0
harvester2,60,2022-01-08 17:57:03,1,316,1.82,1.91,1.98,0
harvester2,60,2022-01-08 17:58:03,3,316,2.89,2.16,2.06,0
harvester2,60,2022-01-08 17:59:03,1,315,2.60,2.24,2.10,0
harvester2,60,2022-01-08 18:00:03,6,320,2.31,2.22,2.10,0
harvester2,60,2022-01-08 18:01:03,3,321,1.72,2.05,2.05,0
harvester2,60,2022-01-08 18:02:03,1,321,1.72,2.01,2.03,0
harvester2,60,2022-01-08 18:03:03,3,321,1.70,1.93,2.00,0
harvester2,60,2022-01-08 18:04:03,2,320,2.02,1.99,2.01,0
harvester2,60,2022-01-08 18:05:03,0,320,1.83,1.96,2.00,1
harvester2,60,2022-01-08 18:06:03,2,318,1.99,1.97,2.00,0
harvester2,60,2022-01-08 18:07:03,0,320,2.07,2.00,2.01,1
harvester2,60,2022-01-08 18:08:03,4,321,1.93,1.97,2.00,0
harvester2,60,2022-01-08 18:09:03,2,320,2.19,2.03,2.01,0
harvester2,60,2022-01-08 18:10:03,1,321,1.90,1.99,2.00,0
harvester2,60,2022-01-08 18:11:03,2,321,1.97,1.99,2.00,0
harvester2,60,2022-01-08 18:12:03,2,320,2.04,1.98,2.00,0
harvester2,60,2022-01-08 18:13:03,2,320,1.85,1.94,1.98,0
harvester2,60,2022-01-08 18:14:03,2,319,1.67,1.90,1.97,1
harvester2,60,2022-01-08 18:15:03,2,320,1.95,1.92,1.98,0
harvester2,60,2022-01-08 18:16:03,1,321,1.84,1.93,1.98,0
harvester2,60,2022-01-08 18:17:03,5,321,1.98,1.95,1.98,0
harvester2,60,2022-01-08 18:18:03,2,321,1.88,1.93,1.98,0
harvester2,60,2022-01-08 18:19:03,1,321,2.00,1.96,1.99,0
harvester2,60,2022-01-08 18:20:03,2,319,2.12,1.96,1.99,0
harvester2,60,2022-01-08 18:21:03,1,319,2.17,2.05,2.02,0
harvester2,60,2022-01-08 18:22:03,2,320,2.16,2.07,2.02,0
harvester2,60,2022-01-08 18:23:03,4,321,2.00,2.02,2.00,0
harvester2,60,2022-01-08 18:24:03,1,320,1.65,1.94,1.98,0
harvester2,60,2022-01-08 18:25:03,5,320,2.37,2.08,2.03,0
harvester2,60,2022-01-08 18:26:03,2,320,2.50,2.17,2.06,0
harvester2,60,2022-01-08 18:27:03,2,320,2.48,2.24,2.09,0
harvester2,60,2022-01-08 18:28:03,0,321,2.05,2.14,2.07,1
harvester2,60,2022-01-08 18:29:03,2,320,2.04,2.13,2.07,0
harvester2,60,2022-01-08 18:30:03,1,321,1.73,2.04,2.04,0
harvester2,60,2022-01-08 18:31:03,1,320,1.97,2.04,2.04,0
harvester2,60,2022-01-08 18:32:03,2,320,1.87,1.99,2.02,0
harvester2,60,2022-01-08 18:33:03,1,321,1.39,1.84,1.96,0
harvester2,60,2022-01-08 18:34:03,2,320,1.94,1.92,1.98,0
harvester2,60,2022-01-08 18:35:03,4,320,2.21,1.96,1.99,0
harvester2,60,2022-01-08 18:36:03,1,319,2.29,2.02,2.01,0
harvester2,60,2022-01-08 18:37:03,2,320,1.95,1.96,1.99,0
harvester2,60,2022-01-08 18:38:03,1,319,1.86,1.95,1.99,0
harvester2,60,2022-01-08 18:39:03,2,320,2.17,1.98,2.00,0
harvester2,60,2022-01-08 18:40:03,1,319,2.02,1.98,1.99,0
harvester2,60,2022-01-08 18:41:03,2,320,1.84,1.93,1.98,0
harvester2,60,2022-01-08 18:42:03,1,320,2.48,2.08,2.03,0
harvester2,60,2022-01-08 18:43:03,5,321,2.25,2.10,2.03,0
harvester2,60,2022-01-08 18:44:03,2,320,2.09,2.06,2.02,0
harvester2,60,2022-01-08 18:45:03,2,320,2.48,2.16,2.06,0
harvester2,60,2022-01-08 18:46:03,1,321,2.22,2.13,2.05,0
harvester2,60,2022-01-08 18:47:03,4,321,2.45,2.23,2.09,0
harvester2,60,2022-01-08 18:48:03,0,320,2.04,2.16,2.08,1
harvester2,60,2022-01-08 18:49:03,2,321,1.67,2.01,2.03,0
