# hostname,interval,timestamp,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
harvester2,60,2022-01-08 14:40:03,2628004,7197540,385892,4.83,33156,4659596,1261812,4.36,194212,4735644,198632
harvester2,60,2022-01-08 14:41:03,137052,7185564,396988,4.96,31856,7108284,1261812,4.36,196256,7195204,567936
harvester2,60,2022-01-08 14:42:03,125980,7184560,397948,4.98,31884,7118080,1261812,4.36,197088,7204196,281604
harvester2,60,2022-01-08 14:43:03,143204,7184908,397652,4.97,31924,7101408,1261812,4.36,199968,7183948,633464
harvester2,60,2022-01-08 14:44:03,126452,7183384,399176,4.99,32052,7112772,1261812,4.36,200488,7197428,503764
harvester2,60,2022-01-08 14:45:03,150144,7182568,399684,5.00,32112,7083092,1261812,4.36,200840,7166760,624096
harvester2,60,2022-01-08 14:46:03,134416,7183108,399428,5.00,32208,7090448,1261812,4.36,201216,7174480,710144
harvester2,60,2022-01-08 14:47:03,129168,7183392,399000,4.99,33076,7091040,1263132,4.36,203200,7174252,145864
harvester2,60,2022-01-08 14:48:03,136564,7182984,399468,5.00,33084,7075324,1263132,4.36,203512,7158432,110700
harvester2,60,2022-01-08 14:49:03,138340,7181608,400988,5.01,33284,7062468,1261812,4.36,204024,7143928,571052
harvester2,60,2022-01-08 14:50:03,132516,7186828,395720,4.95,33276,7066124,1261812,4.36,204304,7147744,333000
harvester2,60,2022-01-08 14:51:03,182136,7221280,361348,4.52,33408,7043396,1193400,4.12,204464,7085416,98924
harvester2,60,2022-01-08 14:52:03,5191040,7126156,467040,5.84,3476,2095284,1357868,4.69,152208,2262904,4700
harvester2,60,2022-01-08 14:53:03,886264,7135660,457696,5.72,3584,6409336,1357868,4.69,152348,6578536,288
harvester2,60,2022-01-08 14:54:03,132812,7116972,476472,5.96,3688,7144112,1355864,4.68,160980,7317720,3268
harvester2,60,2022-01-08 14:55:03,136384,7119836,473760,5.92,3808,7143336,1355864,4.68,162896,7315420,1064
harvester2,60,2022-01-08 14:56:03,134456,7118360,475356,5.94,3928,7143784,1355864,4.68,249560,7229716,22220
harvester2,60,2022-01-08 14:57:03,141172,7204968,386752,4.84,4192,7221264,1228616,4.24,247752,7221420,80536
harvester2,60,2022-01-08 14:58:03,205180,7199488,389040,4.87,4300,7148420,1228616,4.24,388476,7007720,218012
harvester2,60,2022-01-08 14:59:03,136988,7192408,392052,4.90,4408,7205388,1228616,4.24,546740,6907700,60504
harvester2,60,2022-01-08 15:00:03,139820,7191216,392480,4.91,4508,7178980,1228616,4.24,546856,6879960,814964
harvester2,60,2022-01-08 15:01:03,133688,7189984,393932,4.93,4716,7149280,1228616,4.24,547220,6850652,776888
harvester2,60,2022-01-08 15:02:03,152412,7184208,395808,4.95,4844,7088944,1228616,4.24,548000,6789392,806500
harvester2,60,2022-01-08 15:03:03,2009140,7186456,393308,4.92,5144,5281908,1228616,4.24,549724,4980944,83996
harvester2,60,2022-01-08 15:04:03,146156,7193000,385688,4.82,5256,7090572,1228616,4.24,2127112,5212724,49428
harvester2,60,2022-01-08 15:05:03,140036,7192032,386200,4.83,4992,7136292,1228616,4.24,2066384,5317708,189604
harvester2,60,2022-01-08 15:06:03,132272,7195352,382816,4.79,4600,7146232,1228616,4.24,2110824,5277228,381144
harvester2,60,2022-01-08 15:07:03,136668,7195056,383100,4.79,4712,7141600,1228616,4.24,2161520,5220388,705440
harvester2,60,2022-01-08 15:08:03,1425036,7197244,382344,4.78,4812,5873104,1228616,4.24,2047280,4065788,615976
harvester2,60,2022-01-08 15:09:03,227296,6456340,1123156,14.05,4748,6294508,1980852,6.84,2014480,5256592,436
harvester2,60,2022-01-08 15:10:03,205048,6454880,1124500,14.06,4836,6315284,1981048,6.84,2016656,5276388,332
harvester2,60,2022-01-08 15:11:03,133132,6167932,1411544,17.65,4952,6099944,2834296,9.78,1993292,5371188,596
harvester2,60,2022-01-08 15:12:03,132760,6155272,1424216,17.81,5064,6087496,2834296,9.78,1989120,5377492,4
harvester2,60,2022-01-08 15:13:03,139612,6150060,1429416,17.88,5160,6075208,2834296,9.78,1985012,5373660,404
harvester2,60,2022-01-08 15:14:03,297616,6294992,1284420,16.06,5256,6061980,3688512,12.73,1980884,5216724,212
harvester2,60,2022-01-08 15:15:03,140504,6112728,1466536,18.34,5416,6030504,3688512,12.73,1990356,5359920,29180
harvester2,60,2022-01-08 15:16:03,145500,6092396,1486976,18.60,5544,6000104,3688512,12.73,2007760,5332340,876
harvester2,60,2022-01-08 15:17:03,143804,6064144,1514664,18.94,5736,5970260,3721284,12.85,2008592,5328872,636
harvester2,60,2022-01-08 15:18:03,149768,6067048,1512324,18.91,5920,5964448,3688512,12.73,2008572,5320708,548
harvester2,60,2022-01-08 15:19:03,173724,6062716,1516600,18.97,5828,5934476,3688648,12.73,2009544,5294468,592
harvester2,60,2022-01-08 15:20:03,194716,6060968,1518320,18.99,5972,5910160,3688648,12.73,2005360,5277232,516
harvester2,60,2022-01-08 15:21:03,164204,6057436,1521904,19.03,6100,5935652,3688648,12.73,2011676,5298920,392
harvester2,60,2022-01-08 15:22:03,162756,6053628,1525680,19.08,6252,5931668,3688648,12.73,2017120,5293676,372
harvester2,60,2022-01-08 15:23:03,183276,6050504,1528656,19.12,6400,5905640,3688648,12.73,2015000,5273836,4524
harvester2,60,2022-01-08 15:24:03,159640,6051104,1528000,19.11,6592,5929536,3688648,12.73,1999588,5313036,780
harvester2,60,2022-01-08 15:25:03,140776,6048976,1530240,19.14,6748,5945716,3688648,12.73,1987692,5342920,14912
harvester2,60,2022-01-08 15:26:03,179568,6048884,1530252,19.14,6868,5907580,3688648,12.73,1960460,5331192,324
harvester2,60,2022-01-08 15:27:03,151328,6049244,1529916,19.13,6996,5937516,3688648,12.73,1945324,5377840,14652
harvester2,60,2022-01-08 15:28:03,137860,5845740,1733492,21.68,7116,5752760,3688648,12.73,1950180,5390344,10632
harvester2,60,2022-01-08 15:29:03,174116,5845168,1733908,21.68,7260,5718024,3688648,12.73,1946752,5360020,716
harvester2,60,2022-01-08 15:30:03,174068,5841236,1737852,21.73,7380,5715312,3688648,12.73,1929632,5376404,528
harvester2,60,2022-01-08 15:31:03,139196,5829940,1749272,21.88,7556,5740700,3688648,12.73,1919324,5425424,980
harvester2,60,2022-01-08 15:32:03,188240,5812132,1767120,22.10,7700,5675732,3688648,12.73,1941404,5354772,1168
harvester2,60,2022-01-08 15:33:03,170916,5806872,1772332,22.16,7860,5688804,3688648,12.73,1980692,5332828,296
harvester2,60,2022-01-08 15:34:03,137540,5809112,1770100,22.14,8048,5724208,3688648,12.73,1981924,5368472,344
harvester2,60,2022-01-08 15:35:03,164692,5808760,1770436,22.14,8208,5698112,3688648,12.73,1995180,5327836,824
harvester2,60,2022-01-08 15:36:03,130104,5809440,1769524,22.13,8396,5733868,3688648,12.73,2002692,5357552,3880
harvester2,60,2022-01-08 15:37:03,152768,5808688,1770568,22.14,8612,5711340,3687652,12.73,1993080,5343248,432
harvester2,60,2022-01-08 15:38:03,271868,5799704,1779460,22.25,8784,5585396,3688924,12.73,2034788,5184332,620
harvester2,60,2022-01-08 15:39:03,152592,5803868,1775084,22.20,8960,5707100,3688924,12.73,2065424,5274480,9136
harvester2,60,2022-01-08 15:40:03,136636,5807948,1771064,22.15,9152,5724624,3690228,12.74,2037256,5314828,708
harvester2,60,2022-01-08 15:41:03,187728,5811212,1768000,22.11,9416,5674328,3690228,12.74,2016496,5280420,532
harvester2,60,2022-01-08 15:42:03,137516,5812112,1767092,22.10,9596,5723568,3692724,12.75,2027284,5318372,384
harvester2,60,2022-01-08 15:43:03,158620,5815376,1763852,22.06,9780,5703844,3692724,12.75,2027228,5296728,260
harvester2,60,2022-01-08 15:44:03,137184,5809628,1769608,22.13,9924,5717468,3694376,12.75,2019352,5322836,6616
harvester2,60,2022-01-08 15:45:03,131024,5814252,1764880,22.07,10196,5726876,3694376,12.75,2014664,5334068,2452
harvester2,60,2022-01-08 15:46:03,158964,5815412,1763804,22.06,10332,5699248,3694376,12.75,1994076,5323828,756
harvester2,60,2022-01-08 15:47:03,149560,5819824,1759352,22.00,10484,5711980,3695356,12.76,1985636,5341448,564
harvester2,60,2022-01-08 15:48:03,262612,5668216,1910948,23.90,10644,5448552,3960680,13.67,1998548,5215704,612
harvester2,60,2022-01-08 15:49:03,429404,5815944,1763240,22.05,10740,5429456,3698528,12.77,1989372,5056440,356
harvester2,60,2022-01-08 15:50:03,208384,5812984,1766156,22.09,10852,5647264,3698528,12.77,2110308,5160480,960
harvester2,60,2022-01-08 15:51:03,264704,5654216,1924916,24.07,10948,5432748,3895580,13.45,2140100,5074400,652
harvester2,60,2022-01-08 15:52:03,342052,5812344,1766752,22.10,11056,5513412,3703972,12.79,2175460,4962236,516
harvester2,60,2022-01-08 15:53:03,287524,5789876,1789308,22.38,11164,5545800,3719168,12.84,2251240,4938564,580
harvester2,60,2022-01-08 15:54:03,278152,5791872,1787124,22.35,11256,5557548,3719168,12.84,2272804,4929556,708
harvester2,60,2022-01-08 15:55:03,425492,5792956,1786156,22.34,11368,5412752,3719168,12.84,2281760,4770288,724
harvester2,60,2022-01-08 15:56:03,395992,5796180,1782936,22.30,11468,5445432,3719168,12.84,2285884,4798184,768
harvester2,60,2022-01-08 15:57:03,290088,5755240,1823924,22.81,11604,5510936,3788720,13.08,2328764,4862308,444
harvester2,60,2022-01-08 15:58:03,459252,5785484,1793688,22.43,11692,5372840,3732608,12.89,2283972,4736040,440
harvester2,60,2022-01-08 15:59:03,362656,5775368,1803804,22.56,11796,5459168,3732608,12.89,2318004,4800332,6216
harvester2,60,2022-01-08 16:00:03,253240,5776176,1803008,22.55,11900,5569240,3735060,12.89,2364800,4866160,11096
harvester2,60,2022-01-08 16:01:03,427900,5770384,1808776,22.62,12012,5390276,3735060,12.89,2386912,4666016,316
harvester2,60,2022-01-08 16:02:03,413284,5769640,1809528,22.63,12116,5404012,3743948,12.92,2387560,4680112,268
harvester2,60,2022-01-08 16:03:03,438656,5769368,1809788,22.63,12228,5379528,3745496,12.93,2432848,4611916,464
harvester2,60,2022-01-08 16:04:03,378144,5770384,1808688,22.62,12332,5440920,3745496,12.93,2451512,4655472,5188
harvester2,60,2022-01-08 16:05:03,438260,5769256,1809892,22.63,12448,5380056,3745496,12.93,2474396,4571188,108
harvester2,60,2022-01-08 16:06:03,338468,5772116,1807068,22.60,12568,5482576,3745496,12.93,2514980,4633544,756
harvester2,60,2022-01-08 16:07:03,438204,5774288,1804876,22.57,12680,5385532,3745496,12.93,2506784,4543536,436
harvester2,60,2022-01-08 16:08:03,431604,5769608,1809520,22.63,12800,5387932,3746896,12.93,2535480,4519608,488
harvester2,60,2022-01-08 16:09:03,382904,5772332,1806884,22.60,12896,5439168,3746896,12.93,2552640,4553568,4228
harvester2,60,2022-01-08 16:10:03,440320,5770724,1808504,22.62,13016,5380604,3746896,12.93,2590948,4456368,132
harvester2,60,2022-01-08 16:11:03,358560,5771632,1807632,22.61,13128,5463128,3746896,12.93,2625188,4505156,20860
harvester2,60,2022-01-08 16:12:03,444492,5767488,1811704,22.66,13248,5373656,3748388,12.94,2633108,4408824,0
harvester2,60,2022-01-08 16:13:03,384516,5769464,1809772,22.63,13368,5435456,3748388,12.94,2659476,4444524,8140
harvester2,60,2022-01-08 16:14:03,306380,5769724,1809472,22.63,13472,5513700,3748388,12.94,2697676,4484920,9308
harvester2,60,2022-01-08 16:15:03,400848,5733784,1845400,23.08,13568,5384384,3814376,13.17,2676236,4410664,144
harvester2,60,2022-01-08 16:16:03,362464,5768524,1810488,22.64,13688,5457548,3748836,12.94,2709708,4417280,1680
