# hostname,interval,timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
harvester2,60,2022-01-08 14:40:03,-1,8.47,0.00,17.58,19.80,0.00,54.15
harvester2,60,2022-01-08 14:41:03,-1,6.03,0.00,18.32,25.24,0.00,50.41
harvester2,60,2022-01-08 14:42:03,-1,5.87,0.00,11.59,33.41,0.00,49.14
harvester2,60,2022-01-08 14:43:03,-1,5.83,0.00,15.56,29.46,0.00,49.15
harvester2,60,2022-01-08 14:44:03,-1,5.98,0.00,11.61,34.03,0.00,48.37
harvester2,60,2022-01-08 14:45:03,-1,5.94,0.00,11.56,33.95,0.00,48.55
harvester2,60,2022-01-08 14:46:03,-1,6.02,0.00,15.08,30.47,0.00,48.43
harvester2,60,2022-01-08 14:47:03,-1,6.38,0.00,10.85,40.51,0.00,42.26
harvester2,60,2022-01-08 14:48:03,-1,5.94,0.00,14.75,30.90,0.00,48.41
harvester2,60,2022-01-08 14:49:03,-1,6.09,0.00,15.68,29.35,0.00,48.89
harvester2,60,2022-01-08 14:50:03,-1,6.13,0.00,14.52,30.96,0.00,48.39
harvester2,60,2022-01-08 14:51:03,-1,6.06,0.00,14.41,30.53,0.00,49.00
harvester2,60,2022-01-08 14:52:03,-1,16.39,0.00,15.49,2.15,0.00,65.97
harvester2,60,2022-01-08 14:53:03,-1,7.45,0.00,16.96,3.74,0.00,71.84
harvester2,60,2022-01-08 14:54:03,-1,8.06,0.00,19.22,3.79,0.00,68.93
harvester2,60,2022-01-08 14:55:03,-1,7.22,0.00,17.70,4.33,0.00,70.74
harvester2,60,2022-01-08 14:56:03,-1,9.89,0.00,13.86,8.77,0.00,67.48
harvester2,60,2022-01-08 14:57:03,-1,11.95,0.00,15.94,14.62,0.00,57.49
harvester2,60,2022-01-08 14:58:03,-1,8.68,0.00,5.70,17.92,0.00,67.70
harvester2,60,2022-01-08 14:59:03,-1,12.18,0.00,8.32,7.25,0.00,72.25
harvester2,60,2022-01-08 15:00:03,-1,17.00,0.00,9.72,2.78,0.00,70.49
harvester2,60,2022-01-08 15:01:03,-1,16.15,0.00,12.44,12.09,0.00,59.33
harvester2,60,2022-01-08 15:02:03,-1,15.01,0.00,12.60,12.06,0.00,60.34
harvester2,60,2022-01-08 15:03:03,-1,2.86,0.00,10.60,27.96,0.00,58.58
harvester2,60,2022-01-08 15:04:03,-1,5.06,0.00,15.09,19.17,0.00,60.67
harvester2,60,2022-01-08 15:05:03,-1,10.50,0.00,17.26,8.11,0.00,64.13
harvester2,60,2022-01-08 15:06:03,-1,9.66,0.00,10.74,18.41,0.00,61.20
harvester2,60,2022-01-08 15:07:03,-1,11.18,0.00,9.00,17.61,0.00,62.22
harvester2,60,2022-01-08 15:08:03,-1,4.87,0.00,12.49,26.07,0.00,56.56
harvester2,60,2022-01-08 15:09:03,-1,7.70,0.00,11.44,20.29,0.00,60.57
harvester2,60,2022-01-08 15:10:03,-1,8.47,0.00,2.48,0.23,0.00,88.82
harvester2,60,2022-01-08 15:11:03,-1,18.52,0.00,2.63,0.39,0.00,78.46
harvester2,60,2022-01-08 15:12:03,-1,30.39,0.00,1.60,0.18,0.00,67.83
harvester2,60,2022-01-08 15:13:03,-1,30.15,0.00,1.42,0.27,0.00,68.17
harvester2,60,2022-01-08 15:14:03,-1,35.35,0.00,2.19,0.02,0.00,62.43
harvester2,60,2022-01-08 15:15:03,-1,18.28,0.00,8.84,7.28,0.00,65.59
harvester2,60,2022-01-08 15:16:03,-1,23.89,0.00,7.39,4.19,0.00,64.54
harvester2,60,2022-01-08 15:17:03,-1,31.95,0.00,7.75,0.99,0.00,59.31
harvester2,60,2022-01-08 15:18:03,-1,37.12,0.00,5.44,0.52,0.00,56.92
harvester2,60,2022-01-08 15:19:03,-1,34.31,0.00,5.65,2.77,0.00,57.27
harvester2,60,2022-01-08 15:20:03,-1,26.14,0.00,5.32,8.22,0.00,60.32
harvester2,60,2022-01-08 15:21:03,-1,25.36,0.00,4.81,6.95,0.00,62.89
harvester2,60,2022-01-08 15:22:03,-1,31.92,0.00,4.94,3.73,0.00,59.40
harvester2,60,2022-01-08 15:23:03,-1,33.02,0.00,6.63,0.98,0.00,59.37
harvester2,60,2022-01-08 15:24:03,-1,36.48,0.00,6.01,1.48,0.00,56.03
harvester2,60,2022-01-08 15:25:03,-1,26.57,0.00,6.55,4.67,0.00,62.21
