# hostname,interval,timestamp,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
harvester2,60,2022-01-08 10:02:03,lo,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 10:02:03,eth0,4.50,4.23,0.41,2.73,0.00,0.00,1.25,0.00
harvester2,60,2022-01-08 10:02:03,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 10:03:03,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 10:03:03,eth0,4.10,4.02,0.36,2.63,0.00,0.00,1.05,0.00
harvester2,60,2022-01-08 10:03:03,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 10:04:03,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 10:04:03,eth0,4.35,4.00,0.42,2.63,0.00,0.00,1.18,0.00
harvester2,60,2022-01-08 10:04:03,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 10:05:03,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 10:05:03,eth0,4.22,4.05,0.37,2.63,0.00,0.00,1.07,0.00
harvester2,60,2022-01-08 10:05:03,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 10:06:03,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 10:06:03,eth0,4.27,4.02,0.39,2.63,0.00,0.00,1.12,0.00
harvester2,60,2022-01-08 10:06:03,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 10:07:03,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 10:07:03,eth0,4.07,4.05,0.38,2.64,0.00,0.00,1.12,0.00
harvester2,60,2022-01-08 10:07:03,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 10:08:03,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 10:08:03,eth0,4.42,4.03,0.40,2.63,0.00,0.00,1.22,0.00
harvester2,60,2022-01-08 10:08:03,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 10:09:03,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 10:09:03,eth0,4.17,4.02,0.40,2.65,0.00,0.00,1.03,0.00
harvester2,60,2022-01-08 10:09:03,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 10:10:03,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 10:10:03,eth0,4.63,4.03,0.45,2.64,0.00,0.00,1.23,0.00
