2022-01-08T22:45:44.204 daemon chia.daemon.server         : INFO     Starting Daemon Server
2022-01-08T22:45:44.217 daemon chia.daemon.server         : INFO     Waiting Daemon WebSocketServer closure
2022-01-08T22:47:39.389 full_node chia.full_node.full_node: INFO     Initializing blockchain from disk
2022-01-08T22:47:39.395 full_node chia.consensus.blockchain: INFO     Started 4 processes for block validation
2022-01-08T22:47:58.131 full_node chia.full_node.full_node: INFO     Blockchain initialized to peak 515d1d961bc312df7a4099a6c6f7ec1d1044a90ba17fbd58df8845d7003e79ef height 1069664, time taken: 18s
2022-01-08T22:47:58.134 full_node chia.full_node.mempool_manager: INFO     Size of mempool: 0 spends, cost: 0 minimum fee to get in: 0
2022-01-08T22:47:58.219 full_node chia.full_node.full_node: INFO     🌱 Updated peak to height 1069664, weight 1859740080, hh 515d1d961bc312df7a4099a6c6f7ec1d1044a90ba17fbd58df8845d7003e79ef, forked at 1069663, rh: b52c8bc4bdc3daa89e4c7f3e953b72cfa4fbbe34f2074b3cd67d6e3812d061ee, total iters: 3988898856998, overflow: False, deficit: 1, difficulty: 2960, sub slot iters: 136314880, Generator size: 10954, Generator ref list size: 0
2022-01-08T22:47:59.199 full_node chia.full_node.full_node: INFO     Saving previous generator for height 1069664
2022-01-08T22:47:59.261 full_node full_node_server        : INFO     Started listening on port: 8444
2022-01-08T22:47:59.263 full_node full_node               : INFO     Started full_node service on network_id: mainnet
2022-01-08T22:47:59.307 daemon chia.daemon.server         : INFO     Register service {'service': 'chia_full_node'}
2022-01-08T22:47:59.309 daemon chia.daemon.server         : INFO     registered for service chia_full_node
2022-01-08T22:47:59.310 daemon chia.daemon.server         : INFO     {'success': True}
2022-01-08T22:48:12.269 full_node full_node_server        : INFO     Connected with full_node {'host': '188.32.114.169', 'port': 8444}
2022-01-08T22:48:12.278 full_node full_node_server        : INFO     Connection closed: 188.32.114.169, node id: 3f2d5d5865d398890b3bbe23a98a690df076132e324aaba92c4dcdda95a8c278
2022-01-08T22:48:12.281 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '188.32.114.169', 'port': 8444}
2022-01-08T22:48:12.438 full_node full_node_server        : INFO     Connected with full_node {'host': '86.100.64.142', 'port': 8444}
2022-01-08T22:48:12.446 full_node chia.full_node.full_node: INFO     Starting to perform sync.
2022-01-08T22:48:12.447 full_node chia.full_node.full_node: INFO     Waiting to receive peaks from peers.
2022-01-08T22:48:14.127 full_node full_node_server        : INFO     Cannot connect to host 114.39.61.238:8444 ssl:<ssl.SSLContext object at 0xffffa08234c0> [Connect call failed ('114.39.61.238', 8444)]
2022-01-08T22:48:14.366 full_node full_node_server        : INFO     Connected with full_node {'host': '114.230.222.105', 'port': 8444}
2022-01-08T22:48:14.374 full_node full_node_server        : INFO     Connection closed: 114.230.222.105, node id: f8ee3c3fb10eb77782436ff5ba424acd8fc17e1188a6fee3917ffc6f5d880b59
2022-01-08T22:48:14.375 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '114.230.222.105', 'port': 8444}
2022-01-08T22:48:18.902 full_node full_node_server        : INFO     Connected with full_node {'host': '145.14.244.201', 'port': 8444}
2022-01-08T22:48:18.989 full_node full_node_server        : INFO     Connected with full_node {'host': '101.33.78.190', 'port': 8444}
2022-01-08T22:48:18.994 full_node full_node_server        : INFO     Connection closed: 145.14.244.201, node id: ecf6572e9740cd067a98b1175c478831f87a90fbee45d1786804c0af1cdcfd69
2022-01-08T22:48:18.995 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '145.14.244.201', 'port': 8444}
2022-01-08T22:48:18.998 full_node full_node_server        : INFO     Connection closed: 101.33.78.190, node id: 5ce37b5894eaa1f9bc941ba22dd055cd4a322cc57b4121e523f19e5421eafa96
2022-01-08T22:48:19.000 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '101.33.78.190', 'port': 8444}
2022-01-08T22:48:20.258 full_node full_node_server        : INFO     Connected with full_node {'host': '73.14.223.173', 'port': 8444}
2022-01-08T22:48:20.264 full_node full_node_server        : INFO     Connection closed: 73.14.223.173, node id: 4dd42cf29cc767ea34ba4976efac046724866e06aad220e844b0ff2a455edd2d
2022-01-08T22:48:20.266 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '73.14.223.173', 'port': 8444}
2022-01-08T22:48:20.365 full_node full_node_server        : INFO     Cannot connect to host 1.0.167.101:8444 ssl:<ssl.SSLContext object at 0xffffa0847040> [Connect call failed ('1.0.167.101', 8444)]
2022-01-08T22:48:22.190 full_node full_node_server        : INFO     Connected with full_node {'host': '60.38.77.45', 'port': 8444}
2022-01-08T22:48:22.199 full_node full_node_server        : INFO     Connection closed: 60.38.77.45, node id: 4110cc8372f84b758bf0f623f201fdcccfe811e9e27d7789bb6f3bbf6c387dc4
2022-01-08T22:48:22.201 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '60.38.77.45', 'port': 8444}
2022-01-08T22:48:23.011 full_node full_node_server        : INFO     Connected with full_node {'host': '104.172.44.111', 'port': 8444}
2022-01-08T22:48:23.021 full_node full_node_server        : INFO     Connection closed: 104.172.44.111, node id: 52ec66bbdf8736fb8110d6f03d32ffa45065189e5b5f7687cb73e4813f3cfca8
2022-01-08T22:48:23.022 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '104.172.44.111', 'port': 8444}
2022-01-08T22:48:23.611 full_node full_node_server        : INFO     Connected with full_node {'host': '109.199.44.40', 'port': 8444}
2022-01-08T22:48:23.635 full_node full_node_server        : INFO     Connection closed: 109.199.44.40, node id: c3c90a7670331c394004b2d5b0355bbc85c041ea05ad2eb6863eaee4c555571a
2022-01-08T22:48:23.637 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '109.199.44.40', 'port': 8444}
2022-01-08T22:48:23.903 full_node full_node_server        : INFO     Connected with full_node {'host': '38.32.88.250', 'port': 8444}
2022-01-08T22:48:23.909 full_node full_node_server        : INFO     Connection closed: 38.32.88.250, node id: 3ba3c599cb8c41b0493848928e14cb65d61448ec5339735c2725bedf1ed26787
2022-01-08T22:48:23.912 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '38.32.88.250', 'port': 8444}
2022-01-08T22:48:25.095 full_node full_node_server        : INFO     Connected with full_node {'host': '174.104.143.89', 'port': 8444}
2022-01-08T22:48:25.250 full_node full_node_server        : INFO     Connected with full_node {'host': '109.195.6.4', 'port': 8444}
2022-01-08T22:48:25.256 full_node full_node_server        : INFO     Connection closed: 109.195.6.4, node id: e1dd6cc966be223dc852063b0cb4040fba287baaf6f802b6b548f16a4723e2be
2022-01-08T22:48:25.258 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '109.195.6.4', 'port': 8444}
2022-01-08T22:48:30.727 full_node full_node_server        : INFO     Connected with full_node {'host': '85.56.6.214', 'port': 8444}
2022-01-08T22:48:30.735 full_node full_node_server        : INFO     Connection closed: 85.56.6.214, node id: 0ca8c254e6d52a4494b59667513cf57b7f5485a839fca29f4e9ad94bb43268f0
2022-01-08T22:48:30.738 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '85.56.6.214', 'port': 8444}
2022-01-08T22:48:32.280 full_node full_node_server        : INFO     Connected with full_node {'host': '37.220.37.2', 'port': 8444}
2022-01-08T22:48:32.287 full_node full_node_server        : INFO     Connection closed: 37.220.37.2, node id: c056beef6180f6a0867d50eb5f9ecde3f06db39d21d863ee2e66259739bdc6f3
2022-01-08T22:48:32.288 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '37.220.37.2', 'port': 8444}
2022-01-08T22:48:35.827 full_node full_node_server        : INFO     Cannot connect to host 94.230.190.22:8444 ssl:<ssl.SSLContext object at 0xffff9bc7d940> [Connect call failed ('94.230.190.22', 8444)]
2022-01-08T22:48:36.933 full_node full_node_server        : INFO     Connected with full_node {'host': '185.83.112.30', 'port': 8444}
2022-01-08T22:48:36.941 full_node full_node_server        : INFO     Connection closed: 185.83.112.30, node id: 180720916464d36eb66982be1ab26bcbe1d008ebcded181377bc62be16daaf68
2022-01-08T22:48:36.943 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '185.83.112.30', 'port': 8444}
2022-01-08T22:48:39.092 full_node full_node_server        : INFO     Connected with full_node {'host': '24.5.106.200', 'port': 8444}
2022-01-08T22:48:39.098 full_node full_node_server        : INFO     Connection closed: 24.5.106.200, node id: 2559715267557429c7d0ca724ef166220e7aa43c07d4969a211fc40fbdc81486
2022-01-08T22:48:39.100 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '24.5.106.200', 'port': 8444}
2022-01-08T22:48:41.156 full_node full_node_server        : INFO     Cannot connect to host 195.211.244.17:8444 ssl:<ssl.SSLContext object at 0xffff935064c0> [Connect call failed ('195.211.244.17', 8444)]
2022-01-08T22:48:43.682 full_node full_node_server        : INFO     Connected with full_node {'host': '76.88.0.79', 'port': 8444}
2022-01-08T22:48:43.688 full_node full_node_server        : INFO     Connection closed: 76.88.0.79, node id: 9612005bcceb132562073bb03c9b122c982c08b6b68e32b2a20a29cfaaf6709f
2022-01-08T22:48:43.691 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '76.88.0.79', 'port': 8444}
2022-01-08T22:48:44.421 full_node full_node_server        : INFO     Cannot connect to host 191.253.31.205:8444 ssl:<ssl.SSLContext object at 0xffff9af81940> [Connect call failed ('191.253.31.205', 8444)]
2022-01-08T22:48:48.357 full_node full_node_server        : INFO     Connected with full_node {'host': '59.126.19.58', 'port': 8444}
2022-01-08T22:48:48.362 full_node full_node_server        : INFO     Connection closed: 59.126.19.58, node id: 3bbaea5d00964b098fecd8676f7b76ac599959b05a51167ab68dde75518cf8c5
2022-01-08T22:48:48.364 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '59.126.19.58', 'port': 8444}
2022-01-08T22:48:49.481 full_node full_node_server        : INFO     Connected with full_node {'host': '216.254.234.196', 'port': 8444}
2022-01-08T22:48:49.489 full_node full_node_server        : INFO     Connection closed: 216.254.234.196, node id: bc24dcb9630082d1e5936c64a8f3ff900d555dab81a257fa9f144195015bf449
2022-01-08T22:48:49.490 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '216.254.234.196', 'port': 8444}
2022-01-08T22:48:51.305 full_node chia.full_node.full_node: INFO     Collected a total of 2 peaks.
2022-01-08T22:48:51.306 full_node chia.full_node.full_node: INFO     Selected peak 1395079, 39830416d95b25c3cd8283a5b97c5a4896669985d34fb3992460122b7c1683c1
2022-01-08T22:48:51.342 full_node full_node_server        : INFO     Connected with full_node {'host': '125.77.129.242', 'port': 8444}
2022-01-08T22:48:51.351 full_node full_node_server        : INFO     Connection closed: 125.77.129.242, node id: c73673fe88d0d0dd7266c437a6203d2fa03da270f7536ffdc34c2cd92e6e59c8
2022-01-08T22:48:51.353 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '125.77.129.242', 'port': 8444}
2022-01-08T22:48:51.505 full_node chia.full_node.full_node: INFO     Total of 1 peers with peak 1395079
2022-01-08T22:48:51.506 full_node chia.full_node.full_node: INFO     Requesting weight proof from peer 174.104.143.89 up to height 1395079
2022-01-08T22:48:53.478 full_node full_node_server        : INFO     Connected with full_node {'host': '98.248.165.34', 'port': 8444}
2022-01-08T22:48:53.483 full_node full_node_server        : INFO     Connection closed: 98.248.165.34, node id: db1dcdb91d10099aaf92d564714df6548ad38305326f4ed66a25508f589b656e
2022-01-08T22:48:53.485 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '98.248.165.34', 'port': 8444}
2022-01-08T22:48:54.488 full_node full_node_server        : INFO     Connected with full_node {'host': '81.207.145.128', 'port': 8444}
2022-01-08T22:48:54.498 full_node full_node_server        : INFO     Connection closed: 81.207.145.128, node id: 365685be05b1028ccf290e8f0bd700c7d2b6e1707c6977af52e9611abce4b06f
2022-01-08T22:48:54.500 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '81.207.145.128', 'port': 8444}
2022-01-08T22:48:56.415 full_node full_node_server        : INFO     Cannot connect to host 137.74.64.244:8444 ssl:<ssl.SSLContext object at 0xffff9bc7d940> [Connect call failed ('137.74.64.244', 8444)]
2022-01-08T22:48:59.655 full_node full_node_server        : INFO     Connected with full_node {'host': '91.200.104.132', 'port': 8444}
2022-01-08T22:49:04.053 full_node full_node_server        : INFO     Connected with full_node {'host': '37.113.84.33', 'port': 8444}
2022-01-08T22:49:13.134 full_node full_node_server        : INFO     Connected with full_node {'host': '162.213.77.249', 'port': 8444}
2022-01-08T22:49:13.142 full_node full_node_server        : INFO     Connection closed: 162.213.77.249, node id: abceda01a72c82771ad5ef8a22869f62d7ad5b24b14813849a0d2b76184dbfd9
2022-01-08T22:49:13.144 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '162.213.77.249', 'port': 8444}
2022-01-08T22:49:20.280 full_node full_node_server        : INFO     Connected with full_node {'host': '217.86.246.20', 'port': 8444}
2022-01-08T22:49:20.287 full_node full_node_server        : INFO     Connection closed: 217.86.246.20, node id: aa9d089edb37cdcd440804efc0722634c3d05c29fc30082dec59778c7d269152
2022-01-08T22:49:20.289 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '217.86.246.20', 'port': 8444}
2022-01-08T22:49:42.418 full_node chia.full_node.weight_proof: INFO     validate weight proof peak height 1395079
2022-01-08T22:49:42.767 full_node chia.full_node.weight_proof: INFO     validating 3632 sub epochs
2022-01-08T22:49:45.874 full_node full_node_server        : INFO     Cannot connect to host 68.132.45.184:8444 ssl:<ssl.SSLContext object at 0xffff8c9261c0> [Connect call failed ('68.132.45.184', 8444)]
2022-01-08T22:49:59.256 full_node full_node_server        : INFO     Connected with full_node {'host': '94.211.51.117', 'port': 8444}
2022-01-08T22:49:59.263 full_node full_node_server        : INFO     Connection closed: 94.211.51.117, node id: 13bf47fd218afe83395d70a157282b185b6d2719897750940baf8407970afc1d
2022-01-08T22:49:59.264 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '94.211.51.117', 'port': 8444}
2022-01-08T22:50:05.405 full_node full_node_server        : INFO     Connected with full_node {'host': '46.10.238.180', 'port': 8444}
2022-01-08T22:50:05.411 full_node full_node_server        : INFO     Connection closed: 46.10.238.180, node id: 076fa7beecfacc31cc6f3c6433971cd5a95ee13b4ae1ada06f0a64ae9e30c929
2022-01-08T22:50:05.413 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '46.10.238.180', 'port': 8444}
2022-01-08T22:50:11.837 full_node full_node_server        : INFO     Connected with full_node {'host': '68.185.173.12', 'port': 8444}
2022-01-08T22:50:11.843 full_node full_node_server        : INFO     Connection closed: 68.185.173.12, node id: 588098cd47e65d7b0944c7471753b7423b054b27cb3d8aa9d33468563fd43d31
2022-01-08T22:50:11.845 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '68.185.173.12', 'port': 8444}
2022-01-08T22:50:17.429 full_node full_node_server        : INFO     Connected with full_node {'host': '188.239.8.141', 'port': 8444}
2022-01-08T22:50:17.477 full_node full_node_server        : INFO     Connection closed: 188.239.8.141, node id: 6e940305bcbbdaaec8d96ed081097f0148c0c73fb01efdf6440c4d81eb4c74f4
2022-01-08T22:50:17.479 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '188.239.8.141', 'port': 8444}
2022-01-08T22:50:20.533 full_node full_node_server        : INFO     Connected with full_node {'host': '81.159.126.8', 'port': 8444}
2022-01-08T22:50:20.538 full_node full_node_server        : INFO     Connection closed: 81.159.126.8, node id: 4ea3c26c0fbb4c0725be2f8647426f5109a8d7b6d79ea1d78bdf00646a169cbd
2022-01-08T22:50:20.540 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '81.159.126.8', 'port': 8444}
2022-01-08T22:50:29.493 full_node full_node_server        : INFO     Connected with full_node {'host': '217.120.39.47', 'port': 8444}
2022-01-08T22:50:29.499 full_node full_node_server        : INFO     Connection closed: 217.120.39.47, node id: d51ed58e7309a01f247e3a79dee89c0a2ead760c33088124bdcdd5b64c2c6d68
2022-01-08T22:50:29.501 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '217.120.39.47', 'port': 8444}
2022-01-08T22:50:33.274 full_node full_node_server        : INFO     Connected with full_node {'host': '75.164.209.154', 'port': 8444}
2022-01-08T22:50:33.362 full_node full_node_server        : INFO     Connection closed: 75.164.209.154, node id: ad5fe65f0ee18fb14f25832114650124b40de3b4f5ddb700297d37289c64f11d
2022-01-08T22:50:33.364 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '75.164.209.154', 'port': 8444}
2022-01-08T22:50:35.486 full_node full_node_server        : INFO     Connected with full_node {'host': '217.120.160.99', 'port': 8444}
2022-01-08T22:50:35.492 full_node full_node_server        : INFO     Connection closed: 217.120.160.99, node id: 580db2cfd354af40c8ec98281b925c272555afc9080e691cea95f8fb83863dfe
2022-01-08T22:50:35.494 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '217.120.160.99', 'port': 8444}
2022-01-08T22:50:42.023 full_node full_node_server        : INFO     Connected with full_node {'host': '50.35.93.93', 'port': 8444}
2022-01-08T22:50:42.029 full_node full_node_server        : INFO     Connection closed: 50.35.93.93, node id: 5c5bbd204703501bd8ed7d6f1b3a1fe7dae38c9b6690db370f0d095472d1cbb5
2022-01-08T22:50:42.031 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '50.35.93.93', 'port': 8444}
2022-01-08T22:50:45.468 full_node full_node_server        : INFO     Connected with full_node {'host': '186.22.220.94', 'port': 8444}
2022-01-08T22:50:45.475 full_node full_node_server        : INFO     Connection closed: 186.22.220.94, node id: 5982db4635d76c9b865c4329214ce0a47a4a3ce3bd0e67cfb3a4a96be1b5746c
2022-01-08T22:50:45.476 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '186.22.220.94', 'port': 8444}
2022-01-08T22:50:47.953 full_node full_node_server        : INFO     Connected with full_node {'host': '173.176.218.191', 'port': 8444}
2022-01-08T22:50:47.958 full_node full_node_server        : INFO     Connection closed: 173.176.218.191, node id: be8af7449d6a399ec8f21a738fc3f08023f788ce3faa69b70a1d391ff2264eef
2022-01-08T22:50:47.959 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '173.176.218.191', 'port': 8444}
2022-01-08T22:50:51.390 full_node full_node_server        : INFO     Connected with full_node {'host': '106.54.98.74', 'port': 8444}
