# hostname,interval,timestamp,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s
harvester2,60,2022-01-08 22:34:53,158.73,83.53,75.20,0.00,40796.00,33934.80,0.00
harvester2,60,2022-01-08 22:35:53,360.82,183.75,177.07,0.00,93878.40,87455.47,0.00
harvester2,60,2022-01-08 22:36:53,300.30,140.42,159.88,0.00,71633.87,78479.07,0.00
harvester2,60,2022-01-08 22:37:53,234.52,120.27,114.25,0.00,60852.13,55474.40,0.00
harvester2,60,2022-01-08 22:38:53,236.12,116.13,119.98,0.00,58988.40,59495.33,0.00
harvester2,60,2022-01-08 22:39:53,235.53,117.38,118.15,0.00,59677.47,57609.60,0.00
harvester2,60,2022-01-08 22:40:53,251.25,122.40,128.85,0.00,62158.80,63223.47,0.00
harvester2,60,2022-01-08 22:41:53,217.87,107.67,110.20,0.00,54583.33,52679.33,0.00
harvester2,60,2022-01-08 22:42:53,233.22,107.88,125.33,0.00,54676.53,61475.60,0.00
harvester2,60,2022-01-08 22:43:53,215.38,103.70,111.68,0.00,52716.32,53938.13,0.00
harvester2,60,2022-01-08 22:44:53,275.05,136.85,138.20,0.00,69421.07,66951.60,0.00
harvester2,60,2022-01-08 22:45:53,165.23,118.98,46.25,0.00,26263.33,19338.93,0.00
harvester2,60,2022-01-08 22:46:53,1961.40,1953.65,7.75,0.00,169269.73,322.40,0.00
harvester2,60,2022-01-08 22:47:53,1563.40,1558.40,5.00,0.00,121000.40,551.33,0.00
harvester2,60,2022-01-08 22:48:53,79.57,74.47,5.10,0.00,1235.87,81.87,0.00
harvester2,60,2022-01-08 22:49:53,8.28,4.27,4.02,0.00,314.13,51.07,0.00
harvester2,60,2022-01-08 22:50:53,14.20,5.02,9.18,0.00,416.27,107.33,0.00
harvester2,60,2022-01-08 22:51:53,11.15,4.90,6.25,0.00,386.00,78.00,0.00
harvester2,60,2022-01-08 22:52:53,10.92,4.60,6.32,0.00,376.00,75.20,0.00
harvester2,60,2022-01-08 22:53:53,388.78,322.77,66.02,0.00,4568.98,974.13,0.00
harvester2,60,2022-01-08 22:54:53,509.27,291.22,218.05,0.00,4386.27,4004.27,0.00
harvester2,60,2022-01-08 22:55:53,406.22,177.92,228.30,0.00,2819.87,3772.27,0.00
harvester2,60,2022-01-08 22:56:53,311.27,220.42,90.85,0.00,3336.13,1244.93,0.00
harvester2,60,2022-01-08 22:57:53,357.20,179.47,177.73,0.00,2880.00,3129.07,0.00
harvester2,60,2022-01-08 22:58:53,285.37,181.88,103.48,0.00,2874.40,1615.33,0.00
harvester2,60,2022-01-08 22:59:53,324.45,180.58,143.87,0.00,3109.73,2426.67,0.00
harvester2,60,2022-01-08 23:00:53,317.40,152.28,165.12,0.00,2698.53,2820.93,0.00
harvester2,60,2022-01-08 23:01:53,433.25,269.68,163.57,0.00,4812.40,2904.27,0.00
harvester2,60,2022-01-08 23:02:53,393.60,223.95,169.65,0.00,3930.45,2740.93,0.00
harvester2,60,2022-01-08 23:03:53,359.75,181.58,178.17,0.00,3330.98,3062.93,0.00
harvester2,60,2022-01-08 23:04:53,310.03,170.60,139.43,0.00,2803.33,1921.33,0.00
harvester2,60,2022-01-08 23:05:53,291.42,144.15,147.27,0.00,2500.53,2364.53,0.00
harvester2,60,2022-01-08 23:06:53,298.28,132.85,165.43,0.00,2528.53,2671.47,0.00
harvester2,60,2022-01-08 23:07:53,234.88,155.92,78.97,0.00,3073.73,1396.13,0.00
harvester2,60,2022-01-08 23:08:53,355.60,125.00,230.60,0.00,2392.80,3633.33,0.00
harvester2,60,2022-01-08 23:09:53,321.35,154.23,167.12,0.00,2808.00,2442.27,0.00
harvester2,60,2022-01-08 23:10:53,328.15,191.50,136.65,0.00,3653.60,1981.87,0.00
harvester2,60,2022-01-08 23:11:53,439.73,168.12,271.62,0.00,3400.93,4573.20,0.00
harvester2,60,2022-01-08 23:12:53,386.37,139.38,246.99,0.00,2680.89,3482.62,0.00
harvester2,60,2022-01-08 23:13:53,389.52,160.70,228.82,0.00,3321.52,3802.27,0.00
harvester2,60,2022-01-08 23:14:53,205.33,90.03,115.30,0.00,1889.20,1707.07,0.00
harvester2,60,2022-01-08 23:15:53,268.12,60.68,207.43,0.00,1253.20,2959.47,0.00
harvester2,60,2022-01-08 23:16:53,544.73,235.33,309.40,0.00,3810.40,4729.87,0.00
harvester2,60,2022-01-08 23:17:53,275.35,135.93,139.42,0.00,2438.80,1783.07,0.00
harvester2,60,2022-01-08 23:18:53,231.77,46.97,184.80,0.00,1060.40,2493.47,0.00
harvester2,60,2022-01-08 23:19:53,406.57,102.13,304.43,0.00,1963.60,4309.47,0.00
harvester2,60,2022-01-08 23:20:53,377.47,84.20,293.27,0.00,1732.67,3764.27,0.00
harvester2,60,2022-01-08 23:21:53,104.62,101.97,2.65,0.00,1788.13,35.47,0.00
harvester2,60,2022-01-08 23:22:53,385.32,40.12,345.20,0.00,906.53,4998.40,0.00
harvester2,60,2022-01-08 23:23:53,299.90,40.12,259.78,0.00,999.12,3310.00,0.00
harvester2,60,2022-01-08 23:24:53,271.12,36.88,234.23,0.00,1016.93,3052.13,0.00
harvester2,60,2022-01-08 23:25:53,235.87,24.00,211.87,0.00,778.13,2767.20,0.00
harvester2,60,2022-01-08 23:26:53,214.28,21.95,192.33,0.00,754.00,2435.20,0.00
harvester2,60,2022-01-08 23:27:53,323.53,27.48,296.05,0.00,842.13,3814.67,0.00
harvester2,60,2022-01-08 23:28:53,254.30,19.37,234.93,0.00,673.87,2937.73,0.00
harvester2,60,2022-01-08 23:29:53,21.37,18.40,2.97,0.00,642.67,38.80,0.00
harvester2,60,2022-01-08 23:30:53,292.60,5.07,287.53,0.00,485.33,3686.13,0.00
harvester2,60,2022-01-08 23:31:53,273.73,12.60,261.13,0.00,660.93,3568.13,0.00
harvester2,60,2022-01-08 23:32:53,204.75,13.52,191.23,0.00,593.12,2328.67,0.00
harvester2,60,2022-01-08 23:33:53,289.83,11.47,278.37,0.00,605.92,3315.20,0.00
harvester2,60,2022-01-08 23:34:53,65.88,8.70,57.18,0.00,536.80,633.33,0.00
harvester2,60,2022-01-08 23:35:53,263.42,6.38,257.03,0.00,523.60,3168.27,0.00
harvester2,60,2022-01-08 23:36:53,258.45,5.88,252.57,0.00,470.67,3054.27,0.00
harvester2,60,2022-01-08 23:37:53,567.48,50.98,516.50,0.00,937.07,6011.20,0.00
harvester2,60,2022-01-08 23:38:53,185.17,34.35,150.82,0.00,2755.33,1802.67,0.00
harvester2,60,2022-01-08 23:39:53,385.35,23.95,361.40,0.00,731.07,4264.93,0.00
harvester2,60,2022-01-08 23:40:53,211.12,24.88,186.23,0.00,686.80,2119.33,0.00
harvester2,60,2022-01-08 23:41:53,139.08,8.82,130.27,0.00,605.73,1488.53,0.00
harvester2,60,2022-01-08 23:42:53,216.22,3.33,212.88,0.00,448.67,2706.93,0.00
harvester2,60,2022-01-08 23:43:53,322.67,69.37,253.30,0.00,14323.92,2991.33,0.00
harvester2,60,2022-01-08 23:44:53,195.82,5.78,190.03,0.00,550.93,2328.00,0.00
harvester2,60,2022-01-08 23:45:53,194.55,6.57,187.98,0.00,513.87,2252.53,0.00
harvester2,60,2022-01-08 23:46:53,212.50,6.27,206.23,0.00,536.27,2309.07,0.00
harvester2,60,2022-01-08 23:47:53,238.88,4.90,233.98,0.00,458.93,2694.53,0.00
harvester2,60,2022-01-08 23:48:53,103.47,13.93,89.53,0.00,622.00,984.00,0.00
harvester2,60,2022-01-08 23:49:53,215.97,30.47,185.50,0.00,801.73,2232.67,0.00
harvester2,60,2022-01-08 23:50:53,222.67,15.22,207.45,0.00,584.40,2390.67,0.00
harvester2,60,2022-01-08 23:51:53,238.20,40.30,197.90,0.00,923.60,2161.60,0.00
harvester2,60,2022-01-08 23:52:53,217.72,22.00,195.72,0.00,708.00,2500.80,0.00
harvester2,60,2022-01-08 23:53:53,227.45,38.35,189.10,0.00,834.98,2072.53,0.00
harvester2,60,2022-01-08 23:54:53,238.40,61.48,176.92,0.00,1125.07,2101.20,0.00
harvester2,60,2022-01-08 23:55:53,323.33,141.37,181.97,0.00,14964.40,2325.33,0.00
harvester2,60,2022-01-08 23:56:53,163.07,7.00,156.07,0.00,447.07,1881.07,0.00
harvester2,60,2022-01-08 23:57:53,338.13,105.38,232.75,0.00,1552.40,2677.73,0.00
harvester2,60,2022-01-08 23:58:53,275.73,79.28,196.45,0.00,1310.40,2129.60,0.00
harvester2,60,2022-01-08 23:59:53,304.73,86.30,218.43,0.00,1333.60,2356.27,0.00
