# hostname,interval,timestamp,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked
harvester2,60,2022-01-19 06:33:57,0,318,2.92,2.93,3.00,2
harvester2,60,2022-01-19 06:34:57,0,318,3.14,3.01,3.02,2
harvester2,60,2022-01-19 06:35:57,1,318,2.97,2.97,3.00,2
harvester2,60,2022-01-19 06:36:57,0,318,3.45,3.11,3.05,1
harvester2,60,2022-01-19 06:37:57,1,318,2.97,3.06,3.03,2
harvester2,60,2022-01-19 06:38:57,6,319,3.50,3.17,3.07,1
harvester2,60,2022-01-19 06:39:57,1,319,3.36,3.19,3.08,2
harvester2,60,2022-01-19 06:40:57,0,319,3.49,3.22,3.10,2
harvester2,60,2022-01-19 06:41:57,0,319,3.67,3.32,3.14,2
harvester2,60,2022-01-19 06:42:57,1,319,3.75,3.40,3.18,2
harvester2,60,2022-01-19 06:43:57,1,317,3.47,3.36,3.18,2
harvester2,60,2022-01-19 06:44:57,1,318,3.27,3.34,3.18,2
harvester2,60,2022-01-19 06:45:57,0,318,3.28,3.32,3.19,2
harvester2,60,2022-01-19 06:46:57,1,318,3.54,3.38,3.21,1
harvester2,60,2022-01-19 06:47:57,0,319,2.68,3.18,3.16,1
harvester2,60,2022-01-19 06:48:57,1,318,2.41,3.00,3.09,1
harvester2,60,2022-01-19 06:49:57,1,319,2.45,2.90,3.05,1
harvester2,60,2022-01-19 06:50:57,0,318,2.37,2.79,3.00,1
harvester2,60,2022-01-19 06:51:57,2,319,2.33,2.70,2.95,0
harvester2,60,2022-01-19 06:52:57,1,319,2.20,2.62,2.91,0
harvester2,60,2022-01-19 06:53:57,2,318,2.11,2.50,2.85,1
harvester2,60,2022-01-19 06:54:57,2,319,1.89,2.37,2.79,0
harvester2,60,2022-01-19 06:55:57,1,319,2.28,2.38,2.76,1
harvester2,60,2022-01-19 06:56:57,2,317,2.69,2.49,2.78,0
harvester2,60,2022-01-19 06:57:57,1,320,2.98,2.57,2.78,1
harvester2,60,2022-01-19 06:58:57,1,320,2.69,2.57,2.77,0
harvester2,60,2022-01-19 06:59:57,1,321,2.56,2.54,2.75,0
harvester2,60,2022-01-19 07:00:57,0,321,3.02,2.68,2.78,2
harvester2,60,2022-01-19 07:01:57,0,321,2.73,2.63,2.76,2
harvester2,60,2022-01-19 07:02:57,0,320,2.86,2.69,2.77,2
harvester2,60,2022-01-19 07:03:57,2,320,2.84,2.71,2.77,0
harvester2,60,2022-01-19 07:04:57,1,319,2.60,2.69,2.76,0
harvester2,60,2022-01-19 07:05:57,1,322,1.82,2.49,2.69,0
harvester2,60,2022-01-19 07:06:57,2,325,1.64,2.30,2.61,0
harvester2,60,2022-01-19 07:07:57,1,325,1.60,2.18,2.55,0
harvester2,60,2022-01-19 07:08:57,2,324,1.64,2.07,2.48,0
harvester2,60,2022-01-19 07:09:57,2,322,2.11,2.13,2.48,1
harvester2,60,2022-01-19 07:10:57,0,325,1.89,2.06,2.43,1
harvester2,60,2022-01-19 07:11:57,3,326,2.35,2.17,2.45,0
harvester2,60,2022-01-19 07:12:57,1,326,2.30,2.21,2.44,1
harvester2,60,2022-01-19 07:13:57,2,326,2.37,2.24,2.44,0
harvester2,60,2022-01-19 07:14:57,0,326,2.11,2.22,2.42,1
harvester2,60,2022-01-19 07:15:57,1,325,1.87,2.13,2.38,0
harvester2,60,2022-01-19 07:16:57,2,325,1.87,2.11,2.36,0
