# hostname,interval,timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
harvester2,60,2022-01-18 23:08:19,-1,8.09,0.00,15.56,21.09,0.00,55.26
harvester2,60,2022-01-18 23:09:19,-1,5.71,0.00,12.18,31.66,0.00,50.44
harvester2,60,2022-01-18 23:10:19,-1,5.93,0.00,16.80,28.54,0.00,48.74
harvester2,60,2022-01-18 23:11:19,-1,5.67,0.00,13.12,32.16,0.00,49.05
harvester2,60,2022-01-18 23:12:19,-1,5.78,0.00,14.27,30.92,0.00,49.03
harvester2,60,2022-01-18 23:13:19,-1,5.80,0.00,13.01,32.33,0.00,48.86
harvester2,60,2022-01-18 23:14:19,-1,5.82,0.00,12.32,32.67,0.00,49.19
harvester2,60,2022-01-18 23:15:19,-1,5.84,0.00,12.54,33.14,0.00,48.48
harvester2,60,2022-01-18 23:16:19,-1,6.11,0.00,13.17,31.92,0.00,48.79
harvester2,60,2022-01-18 23:17:19,-1,5.77,0.00,13.42,31.90,0.00,48.90
harvester2,60,2022-01-18 23:18:19,-1,5.98,0.00,15.18,28.94,0.00,49.90
harvester2,60,2022-01-18 23:19:19,-1,5.78,0.00,15.03,29.76,0.00,49.43
harvester2,60,2022-01-18 23:20:19,-1,13.32,0.00,12.14,19.02,0.00,55.51
harvester2,60,2022-01-18 23:21:19,-1,12.78,0.00,16.05,2.82,0.00,68.35
harvester2,60,2022-01-18 23:22:19,-1,7.35,0.00,17.38,3.13,0.00,72.14
harvester2,60,2022-01-18 23:23:19,-1,25.20,0.00,8.46,1.61,0.00,64.72
harvester2,60,2022-01-18 23:24:19,-1,22.46,0.00,3.83,0.10,0.00,73.61
harvester2,60,2022-01-18 23:25:19,-1,31.97,0.00,1.96,0.08,0.00,65.99
harvester2,60,2022-01-18 23:26:19,-1,34.34,0.00,2.22,0.05,0.00,63.39
harvester2,60,2022-01-18 23:27:19,-1,44.18,0.00,6.51,0.34,0.00,48.97
harvester2,60,2022-01-18 23:28:19,-1,35.54,0.00,6.79,12.25,0.00,45.41
harvester2,60,2022-01-18 23:29:19,-1,29.28,0.00,6.38,20.87,0.00,43.48
harvester2,60,2022-01-18 23:30:19,-1,50.06,0.00,6.78,4.60,0.00,38.57
harvester2,60,2022-01-18 23:31:19,-1,49.87,0.00,6.81,9.72,0.00,33.60
harvester2,60,2022-01-18 23:32:19,-1,55.39,0.00,6.17,0.76,0.00,37.68
harvester2,60,2022-01-18 23:33:19,-1,50.12,0.00,7.27,5.84,0.00,36.77
harvester2,60,2022-01-18 23:34:19,-1,54.23,0.00,6.95,0.48,0.00,38.35
harvester2,60,2022-01-18 23:35:19,-1,52.11,0.00,7.13,3.23,0.00,37.53
harvester2,60,2022-01-18 23:36:19,-1,49.52,0.00,6.76,5.42,0.00,38.30
harvester2,60,2022-01-18 23:37:19,-1,53.66,0.00,6.37,3.37,0.00,36.61
harvester2,60,2022-01-18 23:38:19,-1,44.60,0.00,5.53,13.38,0.00,36.49
harvester2,60,2022-01-18 23:39:19,-1,55.31,0.00,6.45,4.29,0.00,33.95
harvester2,60,2022-01-18 23:40:19,-1,49.14,0.00,6.62,7.16,0.00,37.09
harvester2,60,2022-01-18 23:41:19,-1,55.33,0.00,6.41,0.76,0.00,37.51
harvester2,60,2022-01-18 23:42:19,-1,55.44,0.00,6.07,0.49,0.00,38.00
harvester2,60,2022-01-18 23:43:19,-1,45.13,0.00,6.93,7.70,0.00,40.23
harvester2,60,2022-01-18 23:44:19,-1,61.95,0.00,5.81,0.31,0.00,31.93
harvester2,60,2022-01-18 23:45:19,-1,52.52,0.00,6.60,6.11,0.00,34.77
harvester2,60,2022-01-18 23:46:19,-1,60.91,0.00,6.57,0.17,0.00,32.35
harvester2,60,2022-01-18 23:47:19,-1,66.12,0.00,17.57,2.43,0.00,13.87
harvester2,60,2022-01-18 23:48:19,-1,34.61,0.00,10.54,6.96,0.00,47.89
harvester2,60,2022-01-18 23:49:19,-1,42.31,0.00,8.06,7.85,0.00,41.78
harvester2,60,2022-01-18 23:50:19,-1,45.70,0.00,6.18,7.38,0.00,40.74
harvester2,60,2022-01-18 23:51:19,-1,58.66,0.00,11.96,0.62,0.00,28.76
harvester2,60,2022-01-18 23:52:19,-1,69.89,0.00,12.75,0.25,0.00,17.11
harvester2,60,2022-01-18 23:53:19,-1,35.03,0.00,14.51,2.78,0.00,47.68
harvester2,60,2022-01-18 23:54:19,-1,55.84,0.00,9.64,0.14,0.00,34.38
harvester2,60,2022-01-18 23:55:19,-1,56.91,0.00,7.54,0.06,0.00,35.49
harvester2,60,2022-01-18 23:56:19,-1,56.47,0.00,9.04,0.08,0.00,34.41
harvester2,60,2022-01-18 23:57:19,-1,63.42,0.00,7.07,0.06,0.00,29.45
harvester2,60,2022-01-18 23:58:19,-1,52.95,0.00,8.84,0.23,0.00,37.98
harvester2,60,2022-01-18 23:59:19,-1,55.01,0.00,7.23,0.21,0.00,37.54
harvester2,60,2022-01-19 00:00:19,-1,53.59,0.13,8.04,1.58,0.00,36.65
harvester2,60,2022-01-19 00:01:19,-1,50.50,0.00,8.20,2.29,0.00,39.01
harvester2,60,2022-01-19 00:02:19,-1,63.55,0.00,8.10,1.12,0.00,27.23
harvester2,60,2022-01-19 00:03:19,-1,56.78,0.00,7.63,1.66,0.00,33.94
harvester2,60,2022-01-19 00:04:19,-1,61.06,0.00,8.03,0.95,0.00,29.96
harvester2,60,2022-01-19 00:05:19,-1,48.05,0.00,6.79,0.92,0.00,44.24
harvester2,60,2022-01-19 00:06:19,-1,44.31,0.00,7.11,9.20,0.00,39.38
harvester2,60,2022-01-19 00:07:19,-1,64.52,0.00,4.87,0.19,0.00,30.42
harvester2,60,2022-01-19 00:08:19,-1,57.79,0.00,6.43,0.68,0.00,35.10
harvester2,60,2022-01-19 00:09:19,-1,64.77,0.00,7.41,0.02,0.00,27.80
harvester2,60,2022-01-19 00:10:19,-1,50.92,0.00,8.68,0.07,0.00,40.33
harvester2,60,2022-01-19 00:11:19,-1,68.36,0.00,7.79,0.07,0.00,23.78
harvester2,60,2022-01-19 00:12:19,-1,55.76,0.00,6.98,0.11,0.00,37.15
harvester2,60,2022-01-19 00:13:19,-1,57.59,0.00,7.28,0.11,0.00,35.03
harvester2,60,2022-01-19 00:14:19,-1,51.68,0.00,7.17,0.06,0.00,41.10
harvester2,60,2022-01-19 00:15:19,-1,51.51,0.00,8.05,0.22,0.00,40.22
harvester2,60,2022-01-19 00:16:19,-1,62.10,0.00,7.39,0.05,0.00,30.47
harvester2,60,2022-01-19 00:17:19,-1,69.20,0.00,9.12,1.30,0.00,20.38
harvester2,60,2022-01-19 00:18:19,-1,55.20,0.00,6.87,1.76,0.00,36.16
harvester2,60,2022-01-19 00:19:19,-1,60.35,0.00,10.03,3.14,0.00,26.48
harvester2,60,2022-01-19 00:20:19,-1,69.82,0.00,7.86,1.51,0.00,20.80
harvester2,60,2022-01-19 00:21:19,-1,64.30,0.00,7.82,0.15,0.00,27.74
harvester2,60,2022-01-19 00:22:19,-1,57.78,0.00,6.56,3.22,0.00,32.44
harvester2,60,2022-01-19 00:23:19,-1,47.60,0.00,6.55,2.11,0.00,43.74
harvester2,60,2022-01-19 00:24:19,-1,73.59,0.00,11.85,0.14,0.00,14.42
harvester2,60,2022-01-19 00:25:19,-1,66.18,0.00,12.82,0.24,0.00,20.76
harvester2,60,2022-01-19 00:26:19,-1,68.12,0.00,11.69,0.19,0.00,19.99
harvester2,60,2022-01-19 00:27:19,-1,52.99,0.00,7.26,0.19,0.00,39.56
harvester2,60,2022-01-19 00:28:19,-1,61.40,0.00,8.14,0.12,0.00,30.34
harvester2,60,2022-01-19 00:29:19,-1,65.09,0.00,7.60,0.20,0.00,27.11
harvester2,60,2022-01-19 00:30:19,-1,54.52,0.00,7.47,0.11,0.00,37.90
harvester2,60,2022-01-19 00:31:19,-1,60.24,0.00,7.46,0.19,0.00,32.11
harvester2,60,2022-01-19 00:32:19,-1,46.36,0.00,7.61,0.58,0.00,45.46
harvester2,60,2022-01-19 00:33:19,-1,55.34,0.00,7.56,0.25,0.00,36.85
harvester2,60,2022-01-19 00:34:19,-1,52.95,0.00,6.09,0.17,0.00,40.80
harvester2,60,2022-01-19 00:35:19,-1,55.10,0.00,5.70,3.29,0.00,35.91
harvester2,60,2022-01-19 00:36:19,-1,58.00,0.00,6.05,0.22,0.00,35.73
harvester2,60,2022-01-19 00:37:19,-1,64.59,0.00,5.28,1.38,0.00,28.76
harvester2,60,2022-01-19 00:38:19,-1,49.34,0.00,6.79,5.01,0.00,38.85
harvester2,60,2022-01-19 00:39:19,-1,54.36,0.00,5.16,7.25,0.00,33.23
harvester2,60,2022-01-19 00:40:19,-1,66.89,0.00,6.46,1.04,0.00,25.61
harvester2,60,2022-01-19 00:41:19,-1,58.04,0.00,6.91,3.55,0.00,31.50
harvester2,60,2022-01-19 00:42:19,-1,56.18,0.00,7.26,1.35,0.00,35.21
harvester2,60,2022-01-19 00:43:19,-1,68.97,0.00,6.98,0.56,0.00,23.48
harvester2,60,2022-01-19 00:44:19,-1,57.64,0.00,9.87,0.22,0.00,32.27
harvester2,60,2022-01-19 00:45:19,-1,64.72,0.00,11.93,0.15,0.00,23.20
harvester2,60,2022-01-19 00:46:19,-1,60.32,0.00,12.92,1.42,0.00,25.35
harvester2,60,2022-01-19 00:47:19,-1,50.01,0.00,9.82,2.75,0.00,37.41
harvester2,60,2022-01-19 00:48:19,-1,57.92,0.00,7.61,0.26,0.00,34.22
harvester2,60,2022-01-19 00:49:19,-1,65.98,0.00,8.13,0.24,0.00,25.65
harvester2,60,2022-01-19 00:50:19,-1,44.68,0.00,7.24,5.34,0.00,42.74
harvester2,60,2022-01-19 00:51:19,-1,49.18,0.00,7.32,0.14,0.00,43.35
harvester2,60,2022-01-19 00:52:19,-1,50.75,0.00,6.30,0.09,0.00,42.87
harvester2,60,2022-01-19 00:53:19,-1,55.84,0.00,7.57,0.14,0.00,36.44
