# hostname,interval,timestamp,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
harvester2,60,2022-01-19 02:27:10,lo,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-19 02:27:10,eth0,15.50,4.05,1.33,2.61,0.00,0.00,11.63,0.00
harvester2,60,2022-01-19 02:27:10,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-19 02:28:10,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-19 02:28:10,eth0,15.15,2.97,1.25,2.43,0.00,0.00,12.47,0.00
harvester2,60,2022-01-19 02:28:10,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-19 02:29:10,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-19 02:29:10,eth0,15.75,3.25,1.32,2.48,0.00,0.00,12.85,0.00
harvester2,60,2022-01-19 02:29:10,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-19 02:30:10,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-19 02:30:10,eth0,18.18,3.07,1.52,2.45,0.00,0.00,15.23,0.00
harvester2,60,2022-01-19 02:30:10,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-19 02:31:10,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-19 02:31:10,eth0,16.32,3.03,1.35,2.43,0.00,0.00,13.68,0.00
harvester2,60,2022-01-19 02:31:10,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-19 02:32:10,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-19 02:32:10,eth0,15.40,3.03,1.30,2.43,0.00,0.00,12.70,0.00
harvester2,60,2022-01-19 02:32:10,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-19 02:33:10,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-19 02:33:10,eth0,14.13,3.15,1.16,2.44,0.00,0.00,11.50,0.00
harvester2,60,2022-01-19 02:33:10,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-19 02:34:10,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-19 02:34:10,eth0,15.12,3.00,1.27,2.43,0.00,0.00,12.58,0.00
harvester2,60,2022-01-19 02:34:10,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-19 02:35:10,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-19 02:35:10,eth0,15.28,3.10,1.27,2.46,0.00,0.00,12.38,0.00
harvester2,60,2022-01-19 02:35:10,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-19 02:36:10,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-19 02:36:10,eth0,14.18,3.03,1.18,2.43,0.00,0.00,11.60,0.00
harvester2,60,2022-01-19 02:36:10,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-19 02:37:10,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-19 02:37:10,eth0,14.42,3.00,1.19,2.43,0.00,0.00,11.70,0.00
harvester2,60,2022-01-19 02:37:10,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-19 02:38:10,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-19 02:38:10,eth0,13.57,3.05,1.14,2.43,0.00,0.00,11.03,0.00
harvester2,60,2022-01-19 02:38:10,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-19 02:39:10,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-19 02:39:10,eth0,12.50,3.03,1.04,2.43,0.00,0.00,9.97,0.00
harvester2,60,2022-01-19 02:39:10,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
