2022-01-10T20:58:45.707 daemon chia.daemon.server         : INFO     Starting Daemon Server
2022-01-10T20:58:45.715 daemon chia.daemon.server         : INFO     Waiting Daemon WebSocketServer closure
2022-01-10T20:58:52.223 full_node chia.full_node.full_node: INFO     Initializing blockchain from disk
2022-01-10T20:58:52.230 full_node chia.consensus.blockchain: INFO     Started 4 processes for block validation
2022-01-10T20:59:19.123 full_node chia.full_node.full_node: INFO     Blockchain initialized to peak 1b30defd669a82814956cf6e2232701237a8481e2cf5155dc127b3934fce3506 height 1303062, time taken: 26s
2022-01-10T20:59:19.182 full_node chia.full_node.full_node: INFO     🌱 Updated peak to height 1303062, weight 2536829328, hh 1b30defd669a82814956cf6e2232701237a8481e2cf5155dc127b3934fce3506, forked at 1303061, rh: ff8b8d49a93116e83cf08b62cde8d86c4dfd5711af9218f9ea2a9455123c564f, total iters: 4974716430866, overflow: False, deficit: 0, difficulty: 2640, sub slot iters: 135266304, Generator size: No tx, Generator ref list size: No tx
2022-01-10T20:59:20.194 full_node full_node_server        : INFO     Started listening on port: 8444
2022-01-10T20:59:20.195 full_node full_node               : INFO     Started full_node service on network_id: mainnet
2022-01-10T20:59:20.241 daemon chia.daemon.server         : INFO     Register service {'service': 'chia_full_node'}
2022-01-10T20:59:20.243 daemon chia.daemon.server         : INFO     registered for service chia_full_node
2022-01-10T20:59:20.244 daemon chia.daemon.server         : INFO     {'success': True}
2022-01-10T20:59:30.673 full_node full_node_server        : INFO     Connected with full_node {'host': '212.51.129.114', 'port': 8444}
2022-01-10T20:59:30.679 full_node full_node_server        : INFO     Connection closed: 212.51.129.114, node id: c7f99aebd7d722ceb5e12d6ec19c258af899669a8abede2992e503be76fec92c
2022-01-10T20:59:30.681 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '212.51.129.114', 'port': 8444}
2022-01-10T20:59:30.738 full_node full_node_server        : INFO     Connected with full_node {'host': '187.21.185.211', 'port': 8444}
2022-01-10T20:59:30.751 full_node full_node_server        : INFO     Connection closed: 187.21.185.211, node id: 98cb909de4a8d5f5ba64592c894f9d03e3a4356229adea7e007ef834e3621592
2022-01-10T20:59:30.752 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '187.21.185.211', 'port': 8444}
2022-01-10T20:59:30.872 full_node full_node_server        : INFO     Cannot connect to host 87.107.179.80:8444 ssl:<ssl.SSLContext object at 0xffff87aeb6c0> [Connect call failed ('87.107.179.80', 8444)]
2022-01-10T20:59:32.580 full_node full_node_server        : INFO     Cannot connect to host 220.162.124.173:8444 ssl:<ssl.SSLContext object at 0xffff87aeba40> [Connect call failed ('220.162.124.173', 8444)]
2022-01-10T20:59:32.736 full_node full_node_server        : INFO     Connected with full_node {'host': '70.181.203.2', 'port': 8444}
2022-01-10T20:59:32.804 full_node full_node_server        : INFO     Connection closed: 70.181.203.2, node id: 9c88f59f410551a383aaf7d205f36407a0da00b2357c2540926c0b52bd985fa9
2022-01-10T20:59:32.806 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '70.181.203.2', 'port': 8444}
2022-01-10T20:59:33.603 full_node full_node_server        : INFO     Connected with full_node {'host': '126.44.251.137', 'port': 8444}
2022-01-10T20:59:33.714 full_node full_node_server        : INFO     Connection closed: 126.44.251.137, node id: ab183f8822eed096bafb7f9c06be65ef82abc1594c65ed21a0568ea6d386418d
2022-01-10T20:59:33.715 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '126.44.251.137', 'port': 8444}
2022-01-10T20:59:35.244 full_node full_node_server        : INFO     Connected with full_node {'host': '36.134.229.168', 'port': 8444}
2022-01-10T20:59:35.249 full_node full_node_server        : INFO     Connection closed: 36.134.229.168, node id: c54a1f85d67ce7ede765b264a9163292a13cb74d9a860db6c471e4aa55670d87
2022-01-10T20:59:35.252 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '36.134.229.168', 'port': 8444}
2022-01-10T20:59:35.418 full_node full_node_server        : INFO     Connected with full_node {'host': '96.54.47.83', 'port': 8444}
2022-01-10T20:59:35.423 full_node full_node_server        : INFO     Connection closed: 96.54.47.83, node id: 51fad154d9b0e79f51766df4c85427e2cc6e4f3d3b8676b715601516d042d15a
2022-01-10T20:59:35.425 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '96.54.47.83', 'port': 8444}
2022-01-10T20:59:35.870 full_node full_node_server        : INFO     Connected with full_node {'host': '209.6.26.66', 'port': 8444}
2022-01-10T20:59:35.879 full_node chia.full_node.full_node: INFO     Starting to perform sync.
2022-01-10T20:59:35.880 full_node chia.full_node.full_node: INFO     Waiting to receive peaks from peers.
2022-01-10T20:59:36.115 full_node full_node_server        : INFO     Connected with full_node {'host': '42.2.34.136', 'port': 8444}
2022-01-10T20:59:36.120 full_node full_node_server        : INFO     Connection closed: 42.2.34.136, node id: 4697e87ea3f54062a271572b962c698ee2327c2700ad43884f7d408e38354b2a
2022-01-10T20:59:36.122 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '42.2.34.136', 'port': 8444}
2022-01-10T20:59:37.679 full_node full_node_server        : INFO     Connected with full_node {'host': '144.126.157.37', 'port': 8444}
2022-01-10T20:59:37.689 full_node full_node_server        : INFO     Connection closed: 144.126.157.37, node id: 8380b7e8f44f27f84beb40cd1ac5797ac3c1ccf4190fb1101f753693c15487ed
2022-01-10T20:59:37.690 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '144.126.157.37', 'port': 8444}
2022-01-10T20:59:38.164 full_node full_node_server        : INFO     Connected with full_node {'host': '174.92.119.146', 'port': 8444}
2022-01-10T20:59:38.170 full_node full_node_server        : INFO     Connection closed: 174.92.119.146, node id: ce58e040946feb97ad842819e1808f98130d32751d405bce7450a45e74638115
2022-01-10T20:59:38.172 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '174.92.119.146', 'port': 8444}
2022-01-10T20:59:38.944 full_node full_node_server        : INFO     Connected with full_node {'host': '104.157.28.35', 'port': 8444}
2022-01-10T20:59:38.953 full_node full_node_server        : INFO     Connection closed: 104.157.28.35, node id: b8856494632c2732155de3e182c617a588d458dc72a558b52ef8cde9f86119d5
2022-01-10T20:59:38.954 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '104.157.28.35', 'port': 8444}
2022-01-10T20:59:40.661 full_node full_node_server        : INFO     Connected with full_node {'host': '94.41.17.59', 'port': 8444}
2022-01-10T20:59:43.090 full_node full_node_server        : INFO     Cannot connect to host 106.1.108.195:8444 ssl:<ssl.SSLContext object at 0xffff8e796bc0> [Connect call failed ('106.1.108.195', 8444)]
2022-01-10T20:59:45.870 full_node full_node_server        : INFO     Connected with full_node {'host': '89.156.89.161', 'port': 8444}
2022-01-10T20:59:45.877 full_node full_node_server        : INFO     Connection closed: 89.156.89.161, node id: f8516d1af8f8c1fceafc91ac3bc8f30ef50a622f78defed16776c3b8d76e6a5e
2022-01-10T20:59:45.879 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '89.156.89.161', 'port': 8444}
2022-01-10T20:59:48.871 full_node full_node_server        : INFO     Connected with full_node {'host': '81.183.230.225', 'port': 8444}
2022-01-10T20:59:48.900 full_node chia.full_node.full_node: INFO     Collected a total of 3 peaks.
