# hostname,interval,timestamp,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad
harvester2,60,2022-01-10 14:42:41,20734324,237192,1.13,153560,64.74
harvester2,60,2022-01-10 14:43:41,20734836,236680,1.13,153188,64.72
harvester2,60,2022-01-10 14:44:41,20734836,236680,1.13,153188,64.72
harvester2,60,2022-01-10 14:45:41,20734836,236680,1.13,153188,64.72
harvester2,60,2022-01-10 14:46:41,20734836,236680,1.13,153188,64.72
harvester2,60,2022-01-10 14:47:41,20734836,236680,1.13,153188,64.72
harvester2,60,2022-01-10 14:48:41,20734836,236680,1.13,153188,64.72
harvester2,60,2022-01-10 14:49:41,20734836,236680,1.13,153188,64.72
harvester2,60,2022-01-10 14:50:41,20734836,236680,1.13,153188,64.72
harvester2,60,2022-01-10 14:51:41,20734836,236680,1.13,153188,64.72
harvester2,60,2022-01-10 14:52:41,20734836,236680,1.13,153188,64.72
harvester2,60,2022-01-10 14:53:41,20734836,236680,1.13,153188,64.72
harvester2,60,2022-01-10 14:54:41,20734836,236680,1.13,153188,64.72
harvester2,60,2022-01-10 14:55:41,20734836,236680,1.13,153184,64.72
harvester2,60,2022-01-10 14:56:41,20734836,236680,1.13,153184,64.72
harvester2,60,2022-01-10 14:57:41,20734836,236680,1.13,153204,64.73
harvester2,60,2022-01-10 14:58:41,20734836,236680,1.13,153204,64.73
harvester2,60,2022-01-10 14:59:41,20734836,236680,1.13,153204,64.73
harvester2,60,2022-01-10 15:00:41,20734836,236680,1.13,153204,64.73
harvester2,60,2022-01-10 15:01:41,20734836,236680,1.13,153204,64.73
harvester2,60,2022-01-10 15:02:41,20738420,233096,1.11,149660,64.21
harvester2,60,2022-01-10 15:03:41,20738420,233096,1.11,149664,64.21
harvester2,60,2022-01-10 15:04:41,20740980,230536,1.10,147152,63.83
harvester2,60,2022-01-10 15:05:41,20741748,229768,1.10,146160,63.61
harvester2,60,2022-01-10 15:06:41,20742516,229000,1.09,145444,63.51
harvester2,60,2022-01-10 15:07:41,20742516,229000,1.09,145444,63.51
harvester2,60,2022-01-10 15:08:41,20745332,226184,1.08,142864,63.16
harvester2,60,2022-01-10 15:09:41,20751732,219784,1.05,136432,62.08
harvester2,60,2022-01-10 15:10:41,20761972,209544,1.00,126120,60.19
harvester2,60,2022-01-10 15:11:41,20781172,190344,0.91,106936,56.18
harvester2,60,2022-01-10 15:12:41,20790388,181128,0.86,98056,54.14
harvester2,60,2022-01-10 15:13:41,20790388,181128,0.86,98056,54.14
harvester2,60,2022-01-10 15:14:41,20790388,181128,0.86,98056,54.14
harvester2,60,2022-01-10 15:15:41,20790644,180872,0.86,97440,53.87
harvester2,60,2022-01-10 15:16:41,20790644,180872,0.86,97440,53.87
harvester2,60,2022-01-10 15:17:41,20813940,157576,0.75,74296,47.15
harvester2,60,2022-01-10 15:18:41,20839796,131720,0.63,48096,36.51
harvester2,60,2022-01-10 15:19:41,20852084,119432,0.57,35620,29.82
harvester2,60,2022-01-10 15:20:41,20852084,119432,0.57,35620,29.82
harvester2,60,2022-01-10 15:21:41,20856180,115336,0.55,31672,27.46
harvester2,60,2022-01-10 15:22:41,20856180,115336,0.55,31672,27.46
harvester2,60,2022-01-10 15:23:41,20856180,115336,0.55,31136,27.00
harvester2,60,2022-01-10 15:24:41,20856180,115336,0.55,31136,27.00
harvester2,60,2022-01-10 15:25:41,20846856,124660,0.59,31984,25.66
harvester2,60,2022-01-10 15:26:41,20846856,124660,0.59,31728,25.45
harvester2,60,2022-01-10 15:27:41,20835592,135924,0.65,32272,23.74
harvester2,60,2022-01-10 15:28:41,20830568,140948,0.67,44300,31.43
harvester2,60,2022-01-10 15:29:41,20830824,140692,0.67,44212,31.42
harvester2,60,2022-01-10 15:30:41,20828520,142996,0.68,44392,31.04
harvester2,60,2022-01-10 15:31:41,20828520,142996,0.68,44352,31.02
harvester2,60,2022-01-10 15:32:41,20828520,142996,0.68,44440,31.08
harvester2,60,2022-01-10 15:33:41,20828520,142996,0.68,44404,31.05
harvester2,60,2022-01-10 15:34:41,20828520,142996,0.68,44368,31.03
harvester2,60,2022-01-10 15:35:41,20828520,142996,0.68,44528,31.14
harvester2,60,2022-01-10 15:36:41,20819036,152480,0.73,45420,29.79
harvester2,60,2022-01-10 15:37:41,20803996,167520,0.80,46232,27.60
harvester2,60,2022-01-10 15:38:41,20791452,180064,0.86,47012,26.11
harvester2,60,2022-01-10 15:39:41,20786880,184636,0.88,46756,25.32
harvester2,60,2022-01-10 15:40:41,20786880,184636,0.88,46756,25.32
harvester2,60,2022-01-10 15:41:41,20786880,184636,0.88,46772,25.33
harvester2,60,2022-01-10 15:42:41,20786880,184636,0.88,46756,25.32
harvester2,60,2022-01-10 15:43:41,20786880,184636,0.88,46744,25.32
harvester2,60,2022-01-10 15:44:41,20786880,184636,0.88,46676,25.28
harvester2,60,2022-01-10 15:45:41,20786880,184636,0.88,46608,25.24
harvester2,60,2022-01-10 15:46:41,20786880,184636,0.88,46568,25.22
harvester2,60,2022-01-10 15:47:41,20786880,184636,0.88,46716,25.30
harvester2,60,2022-01-10 15:48:41,20787392,184124,0.88,46540,25.28
harvester2,60,2022-01-10 15:49:41,20781168,190348,0.91,47188,24.79
harvester2,60,2022-01-10 15:50:41,20776888,194628,0.93,47856,24.59
harvester2,60,2022-01-10 15:51:41,20776888,194628,0.93,47452,24.38
harvester2,60,2022-01-10 15:52:41,20774072,197444,0.94,47740,24.18
harvester2,60,2022-01-10 15:53:41,20771948,199568,0.95,48256,24.18
harvester2,60,2022-01-10 15:54:41,20768912,202604,0.97,48416,23.90
harvester2,60,2022-01-10 15:55:41,20766708,204808,0.98,48764,23.81
harvester2,60,2022-01-10 15:56:41,20761420,210096,1.00,48808,23.23
harvester2,60,2022-01-10 15:57:41,20760140,211376,1.01,48812,23.09
harvester2,60,2022-01-10 15:58:41,20758860,212656,1.01,48504,22.81
harvester2,60,2022-01-10 15:59:41,20758604,212912,1.02,48632,22.84
harvester2,60,2022-01-10 16:00:41,20758604,212912,1.02,48604,22.83
harvester2,60,2022-01-10 16:01:41,20758604,212912,1.02,48456,22.76
harvester2,60,2022-01-10 16:02:41,20758604,212912,1.02,48476,22.77
harvester2,60,2022-01-10 16:03:41,20758604,212912,1.02,48480,22.77
harvester2,60,2022-01-10 16:04:41,20758604,212912,1.02,48436,22.75
harvester2,60,2022-01-10 16:05:41,20758604,212912,1.02,48472,22.77
harvester2,60,2022-01-10 16:06:41,20758604,212912,1.02,48464,22.76
harvester2,60,2022-01-10 16:07:41,20758604,212912,1.02,48464,22.76
harvester2,60,2022-01-10 16:08:41,20758860,212656,1.01,48508,22.81
harvester2,60,2022-01-10 16:09:41,20758860,212656,1.01,48508,22.81
harvester2,60,2022-01-10 16:10:41,20758860,212656,1.01,48508,22.81
harvester2,60,2022-01-10 16:11:41,20758860,212656,1.01,48508,22.81
harvester2,60,2022-01-10 16:12:41,20758860,212656,1.01,48516,22.81
harvester2,60,2022-01-10 16:13:41,20758860,212656,1.01,48592,22.85
harvester2,60,2022-01-10 16:14:41,20758860,212656,1.01,48600,22.85
harvester2,60,2022-01-10 16:15:41,20758860,212656,1.01,48592,22.85
harvester2,60,2022-01-10 16:16:41,20758860,212656,1.01,48596,22.85
harvester2,60,2022-01-10 16:17:41,20759116,212400,1.01,48948,23.05
harvester2,60,2022-01-10 16:18:41,20759116,212400,1.01,48948,23.05
harvester2,60,2022-01-10 16:19:41,20759116,212400,1.01,48876,23.01
harvester2,60,2022-01-10 16:20:41,20759116,212400,1.01,48884,23.02
harvester2,60,2022-01-10 16:21:41,20759116,212400,1.01,48872,23.01
harvester2,60,2022-01-10 16:22:41,20759116,212400,1.01,48872,23.01
harvester2,60,2022-01-10 16:23:41,20759116,212400,1.01,48872,23.01
harvester2,60,2022-01-10 16:24:41,20759116,212400,1.01,48864,23.01
harvester2,60,2022-01-10 16:25:41,20759116,212400,1.01,48888,23.02
harvester2,60,2022-01-10 16:26:41,20759116,212400,1.01,48876,23.01
harvester2,60,2022-01-10 16:27:41,20759116,212400,1.01,48876,23.01
harvester2,60,2022-01-10 16:28:41,20759116,212400,1.01,48860,23.00
harvester2,60,2022-01-10 16:29:41,20759116,212400,1.01,48868,23.01
harvester2,60,2022-01-10 16:30:41,20759116,212400,1.01,48856,23.00
harvester2,60,2022-01-10 16:31:41,20759116,212400,1.01,48860,23.00
harvester2,60,2022-01-10 16:32:41,20759116,212400,1.01,48844,23.00
harvester2,60,2022-01-10 16:33:41,20759116,212400,1.01,48844,23.00
harvester2,60,2022-01-10 16:34:41,20759116,212400,1.01,48844,23.00
harvester2,60,2022-01-10 16:35:41,20759116,212400,1.01,48852,23.00
harvester2,60,2022-01-10 16:36:41,20759116,212400,1.01,48860,23.00
harvester2,60,2022-01-10 16:37:41,20759116,212400,1.01,48860,23.00
harvester2,60,2022-01-10 16:38:41,20759116,212400,1.01,48852,23.00
harvester2,60,2022-01-10 16:39:41,20759116,212400,1.01,48852,23.00
harvester2,60,2022-01-10 16:40:41,20758860,212656,1.01,49216,23.14
harvester2,60,2022-01-10 16:41:41,20758860,212656,1.01,49220,23.15
harvester2,60,2022-01-10 16:42:41,20758092,213424,1.02,49420,23.16
harvester2,60,2022-01-10 16:43:41,20758092,213424,1.02,49420,23.16
harvester2,60,2022-01-10 16:44:41,20758092,213424,1.02,49420,23.16
