# hostname,interval,timestamp,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
harvester2,60,2022-01-10 14:42:41,1539576,7111456,476796,5.96,30824,5653128,1148056,3.96,327588,5685724,440768
harvester2,60,2022-01-10 14:43:41,138704,7109420,476544,5.96,28524,7036800,1148056,3.96,328336,7066332,386392
harvester2,60,2022-01-10 14:44:41,135948,7111920,474024,5.93,27912,7042460,1148056,3.96,330384,7070020,240752
harvester2,60,2022-01-10 14:45:41,127784,7112048,473980,5.93,28020,7049044,1148320,3.96,331640,7076608,702928
harvester2,60,2022-01-10 14:46:41,143052,7109912,475988,5.95,28148,7024752,1148320,3.96,332272,7050388,297076
harvester2,60,2022-01-10 14:47:41,135500,7111276,474576,5.94,28272,7025872,1148320,3.96,332628,7051316,513728
harvester2,60,2022-01-10 14:48:41,128988,7112516,473376,5.92,28388,7028104,1148320,3.96,332840,7053108,317028
harvester2,60,2022-01-10 14:49:41,141540,7114584,471336,5.89,28528,7009320,1148320,3.96,333280,7033676,312376
harvester2,60,2022-01-10 14:50:41,128008,7111260,474680,5.94,28672,7012360,1148320,3.96,333576,7037724,179688
harvester2,60,2022-01-10 14:51:41,137788,7113480,472536,5.91,28788,6999112,1148320,3.96,333772,7023508,40000
harvester2,60,2022-01-10 14:52:41,140440,7108552,477364,5.97,28876,6980720,1148320,3.96,334160,7006404,460916
harvester2,60,2022-01-10 14:53:41,138728,7112216,473728,5.92,28964,6977336,1148320,3.96,334312,7001304,648544
harvester2,60,2022-01-10 14:54:41,144576,7111248,474568,5.93,29036,6964488,1148320,3.96,334392,6988752,253352
harvester2,60,2022-01-10 14:55:41,147592,7112560,473600,5.92,29124,6953876,1148320,3.96,334580,6978524,405812
harvester2,60,2022-01-10 14:56:41,160656,7111652,473892,5.93,29204,6932596,1148320,3.96,334692,6956752,460612
harvester2,60,2022-01-10 14:57:41,160488,7125680,459808,5.75,29296,6940644,1148684,3.97,340232,6944660,261116
harvester2,60,2022-01-10 14:58:41,4853564,7055968,547788,6.85,3116,2364388,1246428,4.30,110516,2657068,588
harvester2,60,2022-01-10 14:59:41,153520,7064384,539448,6.75,3204,7072692,1246428,4.30,110612,7365096,808
harvester2,60,2022-01-10 15:00:41,122224,7049672,554124,6.93,3756,7088728,1244424,4.30,119264,7385576,652
harvester2,60,2022-01-10 15:01:41,130804,7045896,553828,6.93,3884,7072464,1244424,4.30,223436,7265516,16464
harvester2,60,2022-01-10 15:02:41,172716,7032156,559436,7.00,3564,7008312,1244424,4.30,250404,7171104,258800
harvester2,60,2022-01-10 15:03:41,129280,7037260,552756,6.91,3860,7042628,1244424,4.30,227520,7228436,143280
harvester2,60,2022-01-10 15:04:41,139780,7037472,552868,6.91,3968,7045016,1244424,4.30,246604,7210384,171860
harvester2,60,2022-01-10 15:05:41,137544,7038536,551640,6.90,4084,7044560,1244424,4.30,251972,7202552,117520
harvester2,60,2022-01-10 15:06:41,132364,7039692,550576,6.89,4192,7025032,1244424,4.30,231536,7202684,527820
harvester2,60,2022-01-10 15:07:41,132652,7037088,552528,6.91,4332,7016808,1244424,4.30,232376,7194180,312108
harvester2,60,2022-01-10 15:08:41,135568,7034120,555488,6.95,4456,7006368,1244424,4.30,261460,7158004,569588
harvester2,60,2022-01-10 15:09:41,137380,7040656,548724,6.86,4580,7005044,1244424,4.30,288780,7123068,413580
harvester2,60,2022-01-10 15:10:41,140916,7052512,536588,6.71,4692,7003888,1244424,4.30,327232,7073536,139752
harvester2,60,2022-01-10 15:11:41,135992,7068112,518692,6.49,4812,7003672,1244424,4.30,414740,6967936,597628
harvester2,60,2022-01-10 15:12:41,2031660,7074132,511664,6.40,4956,5120568,1244424,4.30,422772,5067504,317988
harvester2,60,2022-01-10 15:13:41,161460,7070712,509232,6.37,5060,6923528,1244424,4.30,2709184,4583828,3640
harvester2,60,2022-01-10 15:14:41,145008,7070608,508056,6.35,2828,6947128,1244424,4.30,2709604,4604468,63168
harvester2,60,2022-01-10 15:15:41,151000,7073680,507984,6.35,2960,6977248,1244424,4.30,2702500,4641864,308860
harvester2,60,2022-01-10 15:16:41,137984,7075756,506724,6.34,3092,6991296,1244424,4.30,2702812,4655624,10228
harvester2,60,2022-01-10 15:17:41,135156,7100076,483276,6.04,3208,7017836,1244424,4.30,2681596,4681112,311892
harvester2,60,2022-01-10 15:18:41,133472,7126728,456628,5.71,3304,7050004,1244424,4.30,2560920,4807096,362236
harvester2,60,2022-01-10 15:19:41,140476,7133880,449720,5.62,3400,7052432,1244424,4.30,2510528,4847776,343928
harvester2,60,2022-01-10 15:20:41,1188928,7135688,448048,5.60,3492,5990636,1244424,4.30,2690380,3605916,401460
harvester2,60,2022-01-10 15:21:41,204532,6259812,1320032,16.51,5932,6069964,2150864,7.43,2682264,4564840,1140
harvester2,60,2022-01-10 15:22:41,201968,6271900,1307960,16.36,6032,6084492,2139132,7.38,2682624,4568120,24
harvester2,60,2022-01-10 15:23:41,138284,6047460,1532252,19.16,6120,5927964,3113640,10.75,2661516,4655180,236
harvester2,60,2022-01-10 15:24:41,290176,6155176,1424596,17.82,6216,5885184,4099116,14.15,2671216,4491868,272
harvester2,60,2022-01-10 15:25:41,161028,5994528,1585076,19.82,6404,5854252,4099264,14.15,2606644,4689060,10220
harvester2,60,2022-01-10 15:26:41,137812,5830724,1749256,21.88,6576,5716008,4099440,14.15,2560656,4759356,348
harvester2,60,2022-01-10 15:27:41,142772,5819584,1760644,22.02,6844,5699916,4099440,14.15,2467640,4847084,324
harvester2,60,2022-01-10 15:28:41,129408,5784720,1795648,22.46,6980,5679964,4099440,14.15,2388312,4945416,2584
harvester2,60,2022-01-10 15:29:41,136740,5777780,1802928,22.55,7140,5666732,4099440,14.15,2288100,5038648,208
