# hostname,interval,timestamp,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked
harvester2,60,2022-01-11 01:52:32,1,298,3.11,2.88,2.56,0
harvester2,60,2022-01-11 01:53:32,0,298,3.20,2.95,2.61,2
harvester2,60,2022-01-11 01:54:32,1,299,3.33,3.05,2.67,2
harvester2,60,2022-01-11 01:55:32,0,300,3.38,3.11,2.72,2
harvester2,60,2022-01-11 01:56:32,0,300,3.37,3.18,2.76,2
harvester2,60,2022-01-11 01:57:32,0,300,3.22,3.17,2.79,2
harvester2,60,2022-01-11 01:58:32,1,300,3.06,3.14,2.81,2
harvester2,60,2022-01-11 01:59:32,0,298,3.36,3.23,2.86,2
harvester2,60,2022-01-11 02:00:32,0,298,3.01,3.18,2.87,2
harvester2,60,2022-01-11 02:01:32,0,298,3.26,3.22,2.91,2
harvester2,60,2022-01-11 02:02:32,0,298,3.35,3.27,2.95,2
harvester2,60,2022-01-11 02:03:32,0,304,3.60,3.33,2.99,2
harvester2,60,2022-01-11 02:04:32,1,303,3.66,3.41,3.04,2
harvester2,60,2022-01-11 02:05:32,0,304,3.36,3.35,3.04,2
harvester2,60,2022-01-11 02:06:32,0,304,3.38,3.36,3.07,2
harvester2,60,2022-01-11 02:07:32,3,304,3.34,3.37,3.09,0
harvester2,60,2022-01-11 02:08:32,0,304,3.19,3.34,3.09,2
harvester2,60,2022-01-11 02:09:32,0,305,3.34,3.35,3.11,2
harvester2,60,2022-01-11 02:10:32,0,305,3.35,3.35,3.13,2
harvester2,60,2022-01-11 02:11:32,1,305,3.51,3.39,3.15,2
harvester2,60,2022-01-11 02:12:32,0,304,3.51,3.41,3.18,2
harvester2,60,2022-01-11 02:13:32,0,304,3.53,3.44,3.20,2
harvester2,60,2022-01-11 02:14:32,0,304,3.56,3.45,3.22,2
harvester2,60,2022-01-11 02:15:32,0,304,3.60,3.50,3.25,2
harvester2,60,2022-01-11 02:16:32,0,304,3.98,3.61,3.31,2
harvester2,60,2022-01-11 02:17:32,1,304,3.67,3.58,3.31,2
harvester2,60,2022-01-11 02:18:32,0,304,3.59,3.57,3.32,2
harvester2,60,2022-01-11 02:19:32,0,303,3.30,3.48,3.31,2
harvester2,60,2022-01-11 02:20:32,0,304,3.52,3.52,3.33,2
harvester2,60,2022-01-11 02:21:32,1,305,3.75,3.57,3.36,2
harvester2,60,2022-01-11 02:22:32,0,305,3.66,3.57,3.37,2
harvester2,60,2022-01-11 02:23:32,0,304,3.28,3.48,3.35,2
harvester2,60,2022-01-11 02:24:32,0,305,3.63,3.52,3.37,1
harvester2,60,2022-01-11 02:25:32,0,305,3.58,3.54,3.39,1
harvester2,60,2022-01-11 02:26:32,2,305,2.70,3.31,3.32,0
harvester2,60,2022-01-11 02:27:32,1,307,1.78,2.96,3.20,0
harvester2,60,2022-01-11 02:28:32,0,307,0.91,2.49,3.02,0
harvester2,60,2022-01-11 02:29:32,1,310,1.19,2.27,2.91,0
harvester2,60,2022-01-11 02:30:32,1,309,1.52,2.18,2.84,0
