# hostname,interval,timestamp,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s
harvester2,60,2022-01-10 20:33:34,271.60,142.35,129.25,0.00,70171.57,61674.00,0.00
harvester2,60,2022-01-10 20:34:34,337.25,170.37,166.88,0.00,87219.33,82836.80,0.00
harvester2,60,2022-01-10 20:35:34,225.75,118.38,107.37,0.00,60587.07,52338.67,0.00
harvester2,60,2022-01-10 20:36:34,331.48,154.42,177.07,0.00,79002.53,86835.60,0.00
harvester2,60,2022-01-10 20:37:34,173.22,79.90,93.32,0.00,40694.00,45554.67,0.00
harvester2,60,2022-01-10 20:38:34,254.42,137.73,116.68,0.00,70422.40,56906.53,0.00
harvester2,60,2022-01-10 20:39:34,251.40,124.13,127.27,0.00,63506.67,63692.00,0.00
harvester2,60,2022-01-10 20:40:34,232.77,104.48,128.28,0.00,53319.60,62718.93,0.00
harvester2,60,2022-01-10 20:41:34,114.45,56.57,57.88,0.00,28840.13,27708.93,0.00
harvester2,60,2022-01-10 20:42:34,111.43,54.98,56.45,0.00,28055.33,27461.87,0.00
harvester2,60,2022-01-10 20:43:34,143.47,68.58,74.88,0.00,34978.32,36531.33,0.00
harvester2,60,2022-01-10 20:44:34,125.40,59.87,65.53,0.00,30557.20,31898.93,0.00
harvester2,60,2022-01-10 20:45:34,168.05,88.93,79.12,0.00,45315.87,37432.27,0.00
harvester2,60,2022-01-10 20:46:34,66.52,26.62,39.90,0.00,13588.27,19922.27,0.00
harvester2,60,2022-01-10 20:47:34,71.42,27.35,44.07,0.00,13948.40,20221.47,0.00
harvester2,60,2022-01-10 20:48:34,81.70,42.08,39.62,0.00,21538.67,18962.40,0.00
harvester2,60,2022-01-10 20:49:34,65.20,25.93,39.27,0.00,13107.87,18970.13,0.00
harvester2,60,2022-01-10 20:50:34,117.32,70.77,46.55,0.00,36136.53,21791.47,0.00
harvester2,60,2022-01-10 20:51:34,85.62,45.73,39.89,0.00,23314.38,19153.21,0.00
harvester2,60,2022-01-10 20:52:34,79.60,31.45,48.15,0.00,16080.00,23203.20,0.00
harvester2,60,2022-01-10 20:53:34,97.93,50.42,47.52,0.00,25676.05,22866.53,0.00
harvester2,60,2022-01-10 20:54:34,85.50,45.55,39.95,0.00,23221.47,19005.20,0.00
harvester2,60,2022-01-10 20:55:34,69.80,27.02,42.78,0.00,13783.07,19880.80,0.00
harvester2,60,2022-01-10 20:56:34,97.37,50.33,47.03,0.00,25724.80,22656.53,0.00
harvester2,60,2022-01-10 20:57:34,86.90,42.13,44.77,0.00,21779.73,20441.73,0.00
harvester2,60,2022-01-10 20:58:34,65.38,10.25,55.13,0.00,188.40,19999.47,0.00
harvester2,60,2022-01-10 20:59:34,286.10,273.13,12.97,0.00,38673.73,192.67,0.00
harvester2,60,2022-01-10 21:00:34,14.97,6.18,8.78,0.00,371.33,151.87,0.00
harvester2,60,2022-01-10 21:01:34,9.52,6.15,3.37,0.00,426.27,96.13,0.00
harvester2,60,2022-01-10 21:02:34,11.07,5.80,5.27,0.00,563.73,110.13,0.00
harvester2,60,2022-01-10 21:03:34,286.62,163.33,123.28,0.00,2456.77,3830.53,0.00
harvester2,60,2022-01-10 21:04:34,349.42,191.12,158.30,0.00,2749.60,4340.53,0.00
harvester2,60,2022-01-10 21:05:34,457.65,252.32,205.33,0.00,3987.33,6500.40,0.00
harvester2,60,2022-01-10 21:06:34,464.40,260.18,204.22,0.00,4630.27,6722.00,0.00
harvester2,60,2022-01-10 21:07:34,463.30,255.03,208.27,0.00,4624.93,7153.60,0.00
harvester2,60,2022-01-10 21:08:34,447.88,236.60,211.28,0.00,4293.73,7241.87,0.00
harvester2,60,2022-01-10 21:09:34,521.65,278.83,242.82,0.00,5162.53,8552.27,0.00
harvester2,60,2022-01-10 21:10:34,465.55,239.95,225.60,0.00,4573.20,7717.07,0.00
harvester2,60,2022-01-10 21:11:34,393.95,211.02,182.93,0.00,4119.60,6325.33,0.00
harvester2,60,2022-01-10 21:12:34,344.03,170.90,173.13,0.00,3389.47,5936.53,0.00
harvester2,60,2022-01-10 21:13:34,342.30,172.30,170.00,0.00,3438.05,5464.53,0.00
harvester2,60,2022-01-10 21:14:34,451.22,224.88,226.33,0.00,4485.60,7456.80,0.00
harvester2,60,2022-01-10 21:15:34,408.00,184.43,223.57,0.00,3829.60,7327.87,0.00
harvester2,60,2022-01-10 21:16:34,444.67,199.75,244.92,0.00,4250.93,7945.33,0.00
harvester2,60,2022-01-10 21:17:34,365.03,161.52,203.52,0.00,3576.53,6446.27,0.00
harvester2,60,2022-01-10 21:18:34,335.68,149.92,185.77,0.00,3211.60,5665.20,0.00
harvester2,60,2022-01-10 21:19:34,391.43,171.28,220.15,0.00,3814.80,7218.93,0.00
harvester2,60,2022-01-10 21:20:34,294.40,113.27,181.13,0.00,2643.33,5244.53,0.00
harvester2,60,2022-01-10 21:21:34,347.43,139.20,208.23,0.00,3096.67,6199.07,0.00
harvester2,60,2022-01-10 21:22:34,345.10,149.85,195.25,0.00,3261.60,5959.87,0.00
harvester2,60,2022-01-10 21:23:34,347.93,120.80,227.13,0.00,2793.52,6519.07,0.00
harvester2,60,2022-01-10 21:24:34,264.20,97.82,166.38,0.00,2256.27,4752.00,0.00
harvester2,60,2022-01-10 21:25:34,307.47,102.28,205.18,0.00,2497.47,5974.80,0.00
harvester2,60,2022-01-10 21:26:34,349.07,120.07,229.00,0.00,2729.20,6560.13,0.00
harvester2,60,2022-01-10 21:27:34,280.15,84.55,195.60,0.00,2055.20,5489.07,0.00
harvester2,60,2022-01-10 21:28:34,257.10,111.53,145.57,0.00,2028.93,3939.60,0.00
harvester2,60,2022-01-10 21:29:34,314.77,96.85,217.92,0.00,2183.60,5777.60,0.00
