# hostname,interval,timestamp,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
harvester2,60,2022-01-10 20:33:34,lo,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:33:34,eth0,4.13,3.92,0.35,2.59,0.00,0.00,0.98,0.00
harvester2,60,2022-01-10 20:33:34,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:34:34,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:34:34,eth0,4.35,3.62,0.39,2.51,0.00,0.00,1.23,0.00
harvester2,60,2022-01-10 20:34:34,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:35:34,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:35:34,eth0,4.20,3.63,0.36,2.52,0.00,0.00,1.03,0.00
harvester2,60,2022-01-10 20:35:34,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:36:34,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:36:34,eth0,3.78,3.65,0.33,2.52,0.00,0.00,1.03,0.00
harvester2,60,2022-01-10 20:36:34,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:37:34,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:37:34,eth0,4.12,3.63,0.36,2.51,0.00,0.00,1.18,0.00
harvester2,60,2022-01-10 20:37:34,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:38:34,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:38:34,eth0,4.18,3.65,0.35,2.52,0.00,0.00,1.00,0.00
harvester2,60,2022-01-10 20:38:34,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:39:34,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:39:34,eth0,3.93,3.65,0.35,2.52,0.00,0.00,1.18,0.00
harvester2,60,2022-01-10 20:39:34,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:40:34,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:40:34,eth0,4.12,3.58,0.35,2.51,0.00,0.00,1.05,0.00
harvester2,60,2022-01-10 20:40:34,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:41:34,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:41:34,eth0,4.02,3.68,0.34,2.52,0.00,0.00,1.08,0.00
harvester2,60,2022-01-10 20:41:34,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:42:34,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:42:34,eth0,4.10,3.60,0.37,2.51,0.00,0.00,1.15,0.00
harvester2,60,2022-01-10 20:42:34,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:43:34,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:43:34,eth0,4.17,3.62,0.36,2.52,0.00,0.00,1.10,0.00
harvester2,60,2022-01-10 20:43:34,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:44:34,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:44:34,eth0,4.27,3.63,0.37,2.51,0.00,0.00,1.17,0.00
harvester2,60,2022-01-10 20:44:34,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:45:34,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:45:34,eth0,4.18,3.72,0.41,2.55,0.00,0.00,1.13,0.00
harvester2,60,2022-01-10 20:45:34,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:46:34,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:46:34,eth0,3.90,3.68,0.33,2.52,0.00,0.00,0.95,0.00
harvester2,60,2022-01-10 20:46:34,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:47:34,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:47:34,eth0,4.15,3.67,0.37,2.52,0.00,0.00,1.22,0.00
harvester2,60,2022-01-10 20:47:34,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:48:34,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:48:34,eth0,3.93,3.62,0.34,2.51,0.00,0.00,1.05,0.00
harvester2,60,2022-01-10 20:48:34,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:49:34,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:49:34,eth0,4.10,3.63,0.35,2.51,0.00,0.00,1.12,0.00
harvester2,60,2022-01-10 20:49:34,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:50:34,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:50:34,eth0,4.05,3.63,0.36,2.52,0.00,0.00,1.20,0.00
harvester2,60,2022-01-10 20:50:34,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:51:34,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:51:34,eth0,3.77,3.62,0.32,2.51,0.00,0.00,0.98,0.00
harvester2,60,2022-01-10 20:51:34,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:52:34,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:52:34,eth0,4.30,3.60,0.37,2.51,0.00,0.00,1.18,0.00
harvester2,60,2022-01-10 20:52:34,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:53:34,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:53:34,eth0,4.17,3.63,0.36,2.51,0.00,0.00,1.08,0.00
harvester2,60,2022-01-10 20:53:34,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:54:34,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:54:34,eth0,4.25,3.65,0.37,2.52,0.00,0.00,1.08,0.00
harvester2,60,2022-01-10 20:54:34,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:55:34,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:55:34,eth0,4.17,3.62,0.36,2.52,0.00,0.00,1.18,0.00
harvester2,60,2022-01-10 20:55:34,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:56:34,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-10 20:56:34,eth0,4.03,3.62,0.34,2.51,0.00,0.00,1.03,0.00
harvester2,60,2022-01-10 20:56:34,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
