# hostname,interval,timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
harvester2,60,2022-01-10 20:33:34,-1,8.72,0.00,17.53,19.29,0.00,54.47
harvester2,60,2022-01-10 20:34:34,-1,6.13,0.00,18.35,25.17,0.00,50.34
harvester2,60,2022-01-10 20:35:34,-1,6.12,0.00,14.09,31.71,0.00,48.08
harvester2,60,2022-01-10 20:36:34,-1,6.18,0.00,18.79,26.52,0.00,48.51
harvester2,60,2022-01-10 20:37:34,-1,6.05,0.00,11.48,33.99,0.00,48.47
harvester2,60,2022-01-10 20:38:34,-1,6.12,0.00,15.75,29.09,0.00,49.05
harvester2,60,2022-01-10 20:39:34,-1,6.36,0.00,15.20,29.45,0.00,48.99
harvester2,60,2022-01-10 20:40:34,-1,6.02,0.00,14.01,31.78,0.00,48.19
harvester2,60,2022-01-10 20:41:34,-1,5.96,0.00,9.01,35.56,0.00,49.47
harvester2,60,2022-01-10 20:42:34,-1,5.90,0.00,8.78,36.59,0.00,48.73
harvester2,60,2022-01-10 20:43:34,-1,5.93,0.00,10.08,35.30,0.00,48.69
harvester2,60,2022-01-10 20:44:34,-1,5.72,0.00,9.26,36.18,0.00,48.84
harvester2,60,2022-01-10 20:45:34,-1,5.97,0.00,11.38,33.39,0.00,49.26
harvester2,60,2022-01-10 20:46:34,-1,5.52,0.00,6.37,38.99,0.00,49.12
harvester2,60,2022-01-10 20:47:34,-1,5.70,0.00,6.41,38.96,0.00,48.93
harvester2,60,2022-01-10 20:48:34,-1,5.71,0.00,7.22,37.49,0.00,49.58
harvester2,60,2022-01-10 20:49:34,-1,5.59,0.00,6.13,39.98,0.00,48.30
harvester2,60,2022-01-10 20:50:34,-1,5.79,0.00,9.31,35.48,0.00,49.43
harvester2,60,2022-01-10 20:51:34,-1,5.62,0.00,7.45,38.18,0.00,48.74
harvester2,60,2022-01-10 20:52:34,-1,5.79,0.00,6.87,38.31,0.00,49.03
harvester2,60,2022-01-10 20:53:34,-1,5.62,0.00,7.85,36.95,0.00,49.57
harvester2,60,2022-01-10 20:54:34,-1,5.53,0.00,7.38,38.05,0.00,49.04
