2022-01-10T08:29:10.953 daemon chia.daemon.server         : INFO     Starting Daemon Server
2022-01-10T08:29:10.958 daemon chia.daemon.server         : INFO     Waiting Daemon WebSocketServer closure
2022-01-10T08:29:17.448 full_node chia.full_node.full_node: INFO     Initializing blockchain from disk
2022-01-10T08:29:17.464 full_node chia.consensus.blockchain: INFO     Started 4 processes for block validation
2022-01-10T08:29:43.847 full_node chia.full_node.full_node: INFO     Blockchain initialized to peak 1b30defd669a82814956cf6e2232701237a8481e2cf5155dc127b3934fce3506 height 1303062, time taken: 26s
2022-01-10T08:29:43.923 full_node chia.full_node.full_node: INFO     🌱 Updated peak to height 1303062, weight 2536829328, hh 1b30defd669a82814956cf6e2232701237a8481e2cf5155dc127b3934fce3506, forked at 1303061, rh: ff8b8d49a93116e83cf08b62cde8d86c4dfd5711af9218f9ea2a9455123c564f, total iters: 4974716430866, overflow: False, deficit: 0, difficulty: 2640, sub slot iters: 135266304, Generator size: No tx, Generator ref list size: No tx
2022-01-10T08:29:45.003 full_node full_node_server        : INFO     Started listening on port: 8444
2022-01-10T08:29:45.004 full_node full_node               : INFO     Started full_node service on network_id: mainnet
2022-01-10T08:29:45.049 daemon chia.daemon.server         : INFO     Register service {'service': 'chia_full_node'}
2022-01-10T08:29:45.051 daemon chia.daemon.server         : INFO     registered for service chia_full_node
2022-01-10T08:29:45.052 daemon chia.daemon.server         : INFO     {'success': True}
2022-01-10T08:32:15.816 full_node full_node_server        : WARNING  Was not able to get peername from 192.168.1.163 - closing connection
2022-01-10T08:32:17.524 full_node full_node_server        : INFO     Connected with full_node {'host': '73.189.31.94', 'port': 8444}
2022-01-10T08:32:17.530 full_node full_node_server        : INFO     Connection closed: 73.189.31.94, node id: 6679cef0378c66d4985b91f3028fd3a58e09d42d8cd1a7e6614caf2da276c794
2022-01-10T08:32:17.532 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '73.189.31.94', 'port': 8444}
2022-01-10T08:32:17.604 full_node full_node_server        : INFO     Connected with full_node {'host': '96.242.176.217', 'port': 8444}
2022-01-10T08:32:17.610 full_node full_node_server        : INFO     Connection closed: 96.242.176.217, node id: 1ea8a66306d9e5cd09affeb7533350c48e68314ab903574aa50d7d036dadd9bb
2022-01-10T08:32:17.612 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '96.242.176.217', 'port': 8444}
2022-01-10T08:32:17.822 full_node full_node_server        : INFO     Connected with full_node {'host': '83.143.223.67', 'port': 8444}
2022-01-10T08:32:17.830 full_node full_node_server        : INFO     Connection closed: 83.143.223.67, node id: 4ad9cf113eb0dcb6a4b0f5784afec194ce56af85639f7f54543adf8da278d02e
2022-01-10T08:32:17.832 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '83.143.223.67', 'port': 8444}
2022-01-10T08:32:18.397 full_node full_node_server        : INFO     Connected with full_node {'host': '95.168.169.242', 'port': 8444}
2022-01-10T08:32:18.404 full_node full_node_server        : INFO     Connection closed: 95.168.169.242, node id: 31b7ffbb47197ad46054211f0a1187c10fd442eef7b162f109c3dc0dbb1085fb
2022-01-10T08:32:18.405 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '95.168.169.242', 'port': 8444}
2022-01-10T08:32:18.550 full_node full_node_server        : INFO     Connected with full_node {'host': '74.138.16.51', 'port': 8444}
2022-01-10T08:32:18.559 full_node full_node_server        : INFO     Connection closed: 74.138.16.51, node id: 9f795694bc69b750b35fdd20b910d82775eb102ae8da5662bb4b3b6b33bb436c
2022-01-10T08:32:18.560 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '74.138.16.51', 'port': 8444}
2022-01-10T08:32:19.347 full_node full_node_server        : INFO     Connected with full_node {'host': '99.245.87.33', 'port': 8444}
2022-01-10T08:32:19.355 full_node full_node_server        : INFO     Connection closed: 99.245.87.33, node id: 18f07abc1b9ff6dfbb77e43b058f7eb9d6ce144dff5f64a9778a15dceb0d074f
2022-01-10T08:32:19.357 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '99.245.87.33', 'port': 8444}
2022-01-10T08:32:19.614 full_node full_node_server        : INFO     Connected with full_node {'host': '46.126.210.168', 'port': 8444}
2022-01-10T08:32:19.621 full_node full_node_server        : INFO     Connection closed: 46.126.210.168, node id: 135c106711b91ca501d1cdcfe9434963dc8d9e5fa99e91a164f5d5f472cd3ebd
2022-01-10T08:32:19.623 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '46.126.210.168', 'port': 8444}
2022-01-10T08:32:20.388 full_node full_node_server        : INFO     Connected with full_node {'host': '82.135.136.169', 'port': 8444}
2022-01-10T08:32:20.393 full_node full_node_server        : INFO     Connection closed: 82.135.136.169, node id: f057d20939e6361ef29ce0ba7ddb10f3b974f6a959b953fb49e623191b0ac583
2022-01-10T08:32:20.395 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '82.135.136.169', 'port': 8444}
2022-01-10T08:32:20.403 full_node full_node_server        : INFO     Connected with full_node {'host': '173.34.144.168', 'port': 8444}
2022-01-10T08:32:20.414 full_node full_node_server        : INFO     Connection closed: 173.34.144.168, node id: 71cb05750625858b2540a62ea12e2679677a02c8787cafa22ecebf7120119c51
2022-01-10T08:32:20.415 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '173.34.144.168', 'port': 8444}
2022-01-10T08:32:20.658 full_node full_node_server        : INFO     Connected with full_node {'host': '188.213.3.45', 'port': 8444}
2022-01-10T08:32:20.664 full_node full_node_server        : INFO     Connection closed: 188.213.3.45, node id: eb6aafaaee0c70ec0c721e118158c06e6c14c7bbc746a67f1b93f6eb716e1d94
2022-01-10T08:32:20.666 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '188.213.3.45', 'port': 8444}
2022-01-10T08:32:21.296 full_node full_node_server        : INFO     Connected with full_node {'host': '178.158.247.208', 'port': 8444}
2022-01-10T08:32:21.302 full_node full_node_server        : INFO     Connection closed: 178.158.247.208, node id: 79472eeb7ff2fd1d74751a1540d324cd9401d51b29128d2de025e4e51fc665bd
2022-01-10T08:32:21.304 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '178.158.247.208', 'port': 8444}
2022-01-10T08:32:21.539 full_node full_node_server        : INFO     Connected with full_node {'host': '24.158.206.243', 'port': 8444}
2022-01-10T08:32:21.545 full_node full_node_server        : INFO     Connection closed: 24.158.206.243, node id: d041674da6cba2e1e3beeb07574ecff47d574e496d606c3cf3bf46729d523401
2022-01-10T08:32:21.548 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '24.158.206.243', 'port': 8444}
2022-01-10T08:32:22.036 full_node full_node_server        : INFO     Connected with full_node {'host': '185.83.112.22', 'port': 8444}
2022-01-10T08:32:22.040 full_node full_node_server        : INFO     Connection closed: 185.83.112.22, node id: 079fc5ab0fe360afc5deff7c0183eebcffcca2e72dc4cca21682fe8815c3f339
2022-01-10T08:32:22.042 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '185.83.112.22', 'port': 8444}
2022-01-10T08:32:22.153 full_node full_node_server        : INFO     Connected with full_node {'host': '93.123.114.226', 'port': 8444}
2022-01-10T08:32:22.161 full_node full_node_server        : INFO     Connection closed: 93.123.114.226, node id: 4e0492507a0abd22fc57c38230e0d2a2fed19266f1260a34355dc69c1618dfaa
2022-01-10T08:32:22.163 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '93.123.114.226', 'port': 8444}
2022-01-10T08:32:23.149 full_node full_node_server        : INFO     Connected with full_node {'host': '89.39.98.81', 'port': 8444}
2022-01-10T08:32:23.156 full_node full_node_server        : INFO     Connection closed: 89.39.98.81, node id: 26dce5e4cd1d858fc08150e9bc4fd7a5aaf2e2d95e11122176f044d3f0f9faa0
