# hostname,interval,timestamp,FILESYSTEM,MBfsfree,MBfsused,%fsused,%ufsused,Ifree,Iused,%Iused
harvester2,60,2022-01-10 04:18:31,/dev/sda2,96085,128934,57.30,61.38,14374889,292807,2.00
harvester2,60,2022-01-10 04:19:31,/dev/sda2,93205,131814,58.58,62.66,14374889,292807,2.00
harvester2,60,2022-01-10 04:20:31,/dev/sda2,91312,133707,59.42,63.51,14374889,292807,2.00
harvester2,60,2022-01-10 04:21:31,/dev/sda2,89420,135599,60.26,64.35,14374889,292807,2.00
harvester2,60,2022-01-10 04:22:31,/dev/sda2,87601,137418,61.07,65.16,14374889,292807,2.00
harvester2,60,2022-01-10 04:23:31,/dev/sda2,85594,139425,61.96,66.05,14374889,292807,2.00
harvester2,60,2022-01-10 04:24:31,/dev/sda2,84322,140697,62.53,66.61,14374889,292807,2.00
harvester2,60,2022-01-10 04:25:31,/dev/sda2,81936,143083,63.59,67.67,14374889,292807,2.00
harvester2,60,2022-01-10 04:26:31,/dev/sda2,80655,144364,64.16,68.24,14374889,292807,2.00
harvester2,60,2022-01-10 04:27:31,/dev/sda2,78450,146569,65.14,69.22,14374889,292807,2.00
harvester2,60,2022-01-10 04:28:31,/dev/sda2,76445,148574,66.03,70.11,14374889,292807,2.00
harvester2,60,2022-01-10 04:29:31,/dev/sda2,75213,149806,66.57,70.66,14374889,292807,2.00
harvester2,60,2022-01-10 04:30:31,/dev/sda2,73470,151549,67.35,71.44,14374889,292807,2.00
harvester2,60,2022-01-10 04:31:31,/dev/sda2,72345,152674,67.85,71.94,14374889,292807,2.00
harvester2,60,2022-01-10 04:32:31,/dev/sda2,70777,154242,68.55,72.63,14374891,292805,2.00
harvester2,60,2022-01-10 04:33:31,/dev/sda2,70777,154242,68.55,72.63,14374883,292813,2.00
harvester2,60,2022-01-10 04:34:31,/dev/sda2,70776,154242,68.55,72.63,14374880,292816,2.00
harvester2,60,2022-01-10 04:35:31,/dev/sda2,70776,154243,68.55,72.63,14374880,292816,2.00
harvester2,60,2022-01-10 04:36:31,/dev/sda2,70774,154245,68.55,72.63,14374880,292816,2.00
harvester2,60,2022-01-10 04:37:31,/dev/sda2,70773,154246,68.55,72.63,14374880,292816,2.00
harvester2,60,2022-01-10 04:38:31,/dev/sda2,70773,154246,68.55,72.63,14374880,292816,2.00
harvester2,60,2022-01-10 04:39:31,/dev/sda2,70743,154276,68.56,72.65,14374880,292816,2.00
harvester2,60,2022-01-10 04:40:31,/dev/sda2,70722,154297,68.57,72.66,14374880,292816,2.00
harvester2,60,2022-01-10 04:41:31,/dev/sda2,70695,154324,68.58,72.67,14374880,292816,2.00
harvester2,60,2022-01-10 04:42:31,/dev/sda2,70666,154353,68.60,72.68,14374880,292816,2.00
harvester2,60,2022-01-10 04:43:31,/dev/sda2,70633,154386,68.61,72.70,14374880,292816,2.00
harvester2,60,2022-01-10 04:44:31,/dev/sda2,70613,154406,68.62,72.71,14374880,292816,2.00
harvester2,60,2022-01-10 04:45:31,/dev/sda2,70584,154435,68.63,72.72,14374880,292816,2.00
harvester2,60,2022-01-10 04:46:31,/dev/sda2,70566,154453,68.64,72.73,14374880,292816,2.00
harvester2,60,2022-01-10 04:47:31,/dev/sda2,70542,154477,68.65,72.74,14374880,292816,2.00
harvester2,60,2022-01-10 04:48:31,/dev/sda2,70510,154509,68.66,72.75,14374880,292816,2.00
harvester2,60,2022-01-10 04:49:31,/dev/sda2,70484,154535,68.68,72.76,14374880,292816,2.00
harvester2,60,2022-01-10 04:50:31,/dev/sda2,70471,154548,68.68,72.77,14374880,292816,2.00
harvester2,60,2022-01-10 04:51:31,/dev/sda2,70451,154568,68.69,72.78,14374880,292816,2.00
harvester2,60,2022-01-10 04:52:31,/dev/sda2,70432,154587,68.70,72.79,14374880,292816,2.00
harvester2,60,2022-01-10 04:53:31,/dev/sda2,70410,154609,68.71,72.80,14374880,292816,2.00
harvester2,60,2022-01-10 04:54:31,/dev/sda2,70386,154633,68.72,72.81,14374880,292816,2.00
harvester2,60,2022-01-10 04:55:31,/dev/sda2,70371,154648,68.73,72.81,14374880,292816,2.00
harvester2,60,2022-01-10 04:56:31,/dev/sda2,70354,154665,68.73,72.82,14374880,292816,2.00
harvester2,60,2022-01-10 04:57:31,/dev/sda2,70339,154680,68.74,72.83,14374880,292816,2.00
harvester2,60,2022-01-10 04:58:31,/dev/sda2,70323,154696,68.75,72.83,14374880,292816,2.00
harvester2,60,2022-01-10 04:59:31,/dev/sda2,70312,154707,68.75,72.84,14374880,292816,2.00
harvester2,60,2022-01-10 05:00:31,/dev/sda2,70302,154717,68.76,72.84,14374880,292816,2.00
harvester2,60,2022-01-10 05:01:31,/dev/sda2,70291,154728,68.76,72.85,14374880,292816,2.00
harvester2,60,2022-01-10 05:02:31,/dev/sda2,70276,154743,68.77,72.85,14374880,292816,2.00
harvester2,60,2022-01-10 05:03:31,/dev/sda2,70268,154751,68.77,72.86,14374880,292816,2.00
harvester2,60,2022-01-10 05:04:31,/dev/sda2,70263,154755,68.77,72.86,14374880,292816,2.00
harvester2,60,2022-01-10 05:05:31,/dev/sda2,70255,154764,68.78,72.86,14374880,292816,2.00
harvester2,60,2022-01-10 05:06:31,/dev/sda2,70247,154772,68.78,72.87,14374880,292816,2.00
harvester2,60,2022-01-10 05:07:31,/dev/sda2,70237,154782,68.79,72.87,14374880,292816,2.00
harvester2,60,2022-01-10 05:08:31,/dev/sda2,70229,154790,68.79,72.88,14374880,292816,2.00
harvester2,60,2022-01-10 05:09:31,/dev/sda2,70222,154797,68.79,72.88,14374880,292816,2.00
harvester2,60,2022-01-10 05:10:31,/dev/sda2,70212,154807,68.80,72.88,14374880,292816,2.00
harvester2,60,2022-01-10 05:11:31,/dev/sda2,70202,154817,68.80,72.89,14374880,292816,2.00
harvester2,60,2022-01-10 05:12:31,/dev/sda2,70198,154821,68.80,72.89,14374880,292816,2.00
harvester2,60,2022-01-10 05:13:31,/dev/sda2,70188,154831,68.81,72.89,14374880,292816,2.00
harvester2,60,2022-01-10 05:14:31,/dev/sda2,70183,154836,68.81,72.90,14374880,292816,2.00
harvester2,60,2022-01-10 05:15:31,/dev/sda2,70170,154849,68.82,72.90,14374880,292816,2.00
harvester2,60,2022-01-10 05:16:31,/dev/sda2,70166,154853,68.82,72.90,14374880,292816,2.00
harvester2,60,2022-01-10 05:17:31,/dev/sda2,70160,154859,68.82,72.91,14374880,292816,2.00
harvester2,60,2022-01-10 05:18:31,/dev/sda2,70152,154867,68.82,72.91,14374880,292816,2.00
harvester2,60,2022-01-10 05:19:31,/dev/sda2,70146,154873,68.83,72.91,14374880,292816,2.00
harvester2,60,2022-01-10 05:20:31,/dev/sda2,70141,154878,68.83,72.91,14374880,292816,2.00
harvester2,60,2022-01-10 05:21:31,/dev/sda2,70134,154885,68.83,72.92,14374880,292816,2.00
harvester2,60,2022-01-10 05:22:31,/dev/sda2,70128,154891,68.83,72.92,14374880,292816,2.00
harvester2,60,2022-01-10 05:23:31,/dev/sda2,70121,154898,68.84,72.92,14374880,292816,2.00
harvester2,60,2022-01-10 05:24:31,/dev/sda2,70115,154904,68.84,72.93,14374880,292816,2.00
harvester2,60,2022-01-10 05:25:31,/dev/sda2,70110,154909,68.84,72.93,14374880,292816,2.00
harvester2,60,2022-01-10 05:26:31,/dev/sda2,70107,154912,68.84,72.93,14374880,292816,2.00
harvester2,60,2022-01-10 05:27:31,/dev/sda2,70100,154919,68.85,72.93,14374880,292816,2.00
harvester2,60,2022-01-10 05:28:31,/dev/sda2,70092,154927,68.85,72.94,14374880,292816,2.00
harvester2,60,2022-01-10 05:29:31,/dev/sda2,70088,154931,68.85,72.94,14374880,292816,2.00
