# hostname,interval,timestamp,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
harvester2,60,2022-01-10 04:18:31,2609380,7151208,432076,5.40,31648,4629188,1147344,3.96,185260,4759076,200660
harvester2,60,2022-01-10 04:19:31,132960,7156132,427176,5.34,30120,7080576,1148340,3.96,185936,7209552,421720
harvester2,60,2022-01-10 04:20:31,159736,7142264,441004,5.52,29196,7041284,1148340,3.96,186260,7182704,688992
harvester2,60,2022-01-10 04:21:31,130220,7139608,443712,5.55,28532,7068648,1148340,3.96,186712,7209224,204224
harvester2,60,2022-01-10 04:22:31,137836,7143372,439936,5.50,28444,7058124,1148340,3.96,186704,7197836,658156
harvester2,60,2022-01-10 04:23:31,122696,7145024,438268,5.48,28516,7065540,1148340,3.96,186792,7205696,608272
harvester2,60,2022-01-10 04:24:31,140008,7142136,441124,5.52,28576,7039668,1148340,3.96,186908,7179964,274392
harvester2,60,2022-01-10 04:25:31,123628,7140216,442936,5.54,28596,7043152,1148340,3.96,187040,7182820,683436
harvester2,60,2022-01-10 04:26:31,132124,7142180,441008,5.52,28552,7030740,1148340,3.96,187228,7170616,325652
harvester2,60,2022-01-10 04:27:31,137236,7142900,440264,5.51,28616,7016300,1148340,3.96,187204,7156612,237808
harvester2,60,2022-01-10 04:28:31,139160,7138388,444756,5.56,28536,7000760,1148340,3.96,187376,7140260,618448
harvester2,60,2022-01-10 04:29:31,139804,7140700,442292,5.53,28624,6996756,1148340,3.96,187472,7136880,388912
harvester2,60,2022-01-10 04:30:31,140944,7142912,440036,5.50,28592,6989908,1148340,3.96,187576,7129240,424056
harvester2,60,2022-01-10 04:31:31,134008,7143024,439840,5.50,28672,6991672,1148340,3.96,187668,7131256,213928
harvester2,60,2022-01-10 04:32:31,199540,7163340,419512,5.25,28724,6939284,1135100,3.92,188584,7051760,436092
harvester2,60,2022-01-10 04:33:31,5437916,6464596,1136596,14.21,2688,1189384,1867584,6.45,144012,2034972,120
harvester2,60,2022-01-10 04:34:31,5142036,6201240,1399832,17.51,3184,1221444,2138672,7.38,162100,2311712,272
harvester2,60,2022-01-10 04:35:31,4835856,5905596,1695484,21.20,3396,1231756,3134616,10.82,162656,2614640,256
harvester2,60,2022-01-10 04:36:31,4795756,5882824,1718228,21.49,3652,1248880,3134616,10.82,163048,2654664,4
harvester2,60,2022-01-10 04:37:31,4767816,5874020,1727036,21.60,3900,1267736,3134616,10.82,163428,2682136,232
harvester2,60,2022-01-10 04:38:31,5009012,6132696,1468388,18.36,4024,1285092,2169856,7.49,165516,2440228,248
harvester2,60,2022-01-10 04:39:31,4495420,5764296,1836424,22.97,4204,1430056,6094352,21.04,197968,2912664,288
harvester2,60,2022-01-10 04:40:31,4340408,5729016,1871468,23.40,4340,1549364,6094352,21.04,217924,3047352,14784
harvester2,60,2022-01-10 04:41:31,4113640,5699264,1899896,23.76,4488,1745016,6094352,21.04,239684,3249716,332
harvester2,60,2022-01-10 04:42:31,3870680,5683796,1913728,23.93,4664,1970920,6094352,21.04,262504,3465952,2104
harvester2,60,2022-01-10 04:43:31,3641404,5680212,1915804,23.96,5256,2194352,6094352,21.04,277976,3682604,5056
harvester2,60,2022-01-10 04:44:31,3470832,5668932,1926112,24.09,5524,2352268,6094352,21.04,288388,3838140,316
harvester2,60,2022-01-10 04:45:31,3234424,5644248,1949272,24.38,5684,2562488,6094352,21.04,298660,4061516,324
harvester2,60,2022-01-10 04:46:31,3084768,5634976,1958620,24.49,5828,2700896,6094352,21.04,311552,4196164,264
harvester2,60,2022-01-10 04:47:31,2864520,5622160,1970068,24.64,6000,2906956,6094352,21.04,332028,4393404,9464
harvester2,60,2022-01-10 04:48:31,2437632,5421352,2169440,27.13,6176,3131020,6094352,21.04,345696,4802644,336
harvester2,60,2022-01-10 04:49:31,1866820,5042400,2547100,31.85,6356,3321344,6094352,21.04,357788,5358752,284
harvester2,60,2022-01-10 04:50:31,1755436,5040660,2548172,31.87,6480,3430116,6094352,21.04,371040,5455568,4936
harvester2,60,2022-01-10 04:51:31,1598692,5037668,2551184,31.91,6652,3581572,6094352,21.04,382268,5598872,296
harvester2,60,2022-01-10 04:52:31,1450784,5038664,2550124,31.89,6804,3728456,6094352,21.04,395900,5732196,3380
harvester2,60,2022-01-10 04:53:31,1286732,5035652,2553180,31.93,6984,3886868,6094352,21.04,417744,5871024,272
harvester2,60,2022-01-10 04:54:31,1141068,5028588,2560216,32.02,7152,4023072,6085488,21.01,445004,5988544,9512
harvester2,60,2022-01-10 04:55:31,1024896,5025424,2563396,32.06,7312,4134208,6085488,21.01,459228,6088552,1144
harvester2,60,2022-01-10 04:56:31,900588,5015960,2572808,32.18,7504,4247056,6085904,21.01,476316,6199672,352
harvester2,60,2022-01-10 04:57:31,793804,5010264,2578484,32.25,7660,4346412,6085904,21.01,493896,6284012,5748
harvester2,60,2022-01-10 04:58:31,674564,5011652,2577112,32.23,7840,4464860,6085904,21.01,530960,6365752,296
harvester2,60,2022-01-10 04:59:31,606556,5009364,2579352,32.26,7980,4529364,6085904,21.01,541264,6421812,248
