2022-01-03T13:13:48.285 daemon chia.daemon.server         : INFO     Starting Daemon Server
2022-01-03T13:13:48.289 daemon chia.daemon.server         : INFO     Waiting Daemon WebSocketServer closure
2022-01-03T13:13:54.789 full_node chia.full_node.full_node: INFO     Initializing blockchain from disk
2022-01-03T13:13:54.795 full_node chia.consensus.blockchain: INFO     Started 2 processes for block validation
2022-01-03T13:14:01.651 full_node chia.full_node.full_node: INFO     Blockchain initialized to peak 3e4445a4babfdda6181372ddccab3cb753f4a0d063d6e7e7d8b133ad657e3397 height 223648, time taken: 6s
2022-01-03T13:14:01.728 full_node chia.full_node.full_node: INFO     🌱 Updated peak to height 223648, weight 6015782, hh 3e4445a4babfdda6181372ddccab3cb753f4a0d063d6e7e7d8b133ad657e3397, forked at 223647, rh: b72f8fdcbad088613054c8d2f0570e6a8a9150d20e801efc1c85f3060161039b, total iters: 727425344078, overflow: False, deficit: 12, difficulty: 112, sub slot iters: 110624768, Generator size: No tx, Generator ref list size: No tx
2022-01-03T13:14:02.460 full_node full_node_server        : INFO     Started listening on port: 8444
2022-01-03T13:14:02.461 full_node full_node               : INFO     Started full_node service on network_id: mainnet
2022-01-03T13:14:02.511 daemon chia.daemon.server         : INFO     Register service {'service': 'chia_full_node'}
2022-01-03T13:14:02.514 daemon chia.daemon.server         : INFO     registered for service chia_full_node
2022-01-03T13:14:02.516 daemon chia.daemon.server         : INFO     {'success': True}
2022-01-03T13:14:17.453 full_node full_node_server        : INFO     Connected with full_node {'host': '73.86.167.182', 'port': 8444}
2022-01-03T13:14:17.460 full_node full_node_server        : INFO     Connection closed: 73.86.167.182, node id: ea01bba092bee255a0e597380c0cb473d69e207102fe5a24a22600993f0ced6c
2022-01-03T13:14:17.462 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '73.86.167.182', 'port': 8444}
2022-01-03T13:14:17.701 full_node full_node_server        : INFO     Connected with full_node {'host': '173.59.56.242', 'port': 8444}
2022-01-03T13:14:17.707 full_node full_node_server        : INFO     Connection closed: 173.59.56.242, node id: daf368f5435cf28d3a4850ca7644afdcded652c60892c21c3d0cbbe84943290b
2022-01-03T13:14:17.709 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '173.59.56.242', 'port': 8444}
2022-01-03T13:14:17.984 full_node full_node_server        : INFO     Connected with full_node {'host': '72.43.163.204', 'port': 8444}
2022-01-03T13:14:18.006 full_node full_node_server        : INFO     Connection closed: 72.43.163.204, node id: 980b0b500e0c8aa0f33b43ce1647c018b54614ef8b47ca3c6f72e92d3efaca1d
2022-01-03T13:14:18.008 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '72.43.163.204', 'port': 8444}
2022-01-03T13:14:18.043 full_node full_node_server        : INFO     Cannot connect to host 5.201.141.92:8444 ssl:<ssl.SSLContext object at 0xffff8264db40> [Connect call failed ('5.201.141.92', 8444)]
2022-01-03T13:14:18.048 full_node full_node_server        : INFO     Connected with full_node {'host': '128.116.251.107', 'port': 8444}
2022-01-03T13:14:18.183 full_node full_node_server        : INFO     Connection closed: 128.116.251.107, node id: 478261634f662cf2d1184d0cd4659033c7b9a85ce98009553cc3e44c9bbdcfb2
2022-01-03T13:14:18.185 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '128.116.251.107', 'port': 8444}
2022-01-03T13:14:19.606 full_node full_node_server        : INFO     Connected with full_node {'host': '213.91.210.14', 'port': 8444}
2022-01-03T13:14:19.612 full_node full_node_server        : INFO     Connection closed: 213.91.210.14, node id: 58b03e527fa1a3d0316adcf3c0b7b7737741dd31d3135ba5b8f9f8dfead10f91
2022-01-03T13:14:19.614 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '213.91.210.14', 'port': 8444}
2022-01-03T13:14:22.580 full_node full_node_server        : INFO     Connected with full_node {'host': '192.41.72.10', 'port': 8444}
