# hostname,interval,timestamp,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad
harvester2,60,2022-01-03 10:33:12,20862508,109008,0.52,28656,26.29
harvester2,60,2022-01-03 10:34:12,20862508,109008,0.52,28660,26.29
harvester2,60,2022-01-03 10:35:12,20862508,109008,0.52,28660,26.29
harvester2,60,2022-01-03 10:36:12,20862508,109008,0.52,28660,26.29
harvester2,60,2022-01-03 10:37:12,20862508,109008,0.52,28660,26.29
harvester2,60,2022-01-03 10:38:12,20862508,109008,0.52,28660,26.29
harvester2,60,2022-01-03 10:39:12,20862508,109008,0.52,28660,26.29
harvester2,60,2022-01-03 10:40:12,20862508,109008,0.52,28660,26.29
harvester2,60,2022-01-03 10:41:12,20862508,109008,0.52,28660,26.29
harvester2,60,2022-01-03 10:42:12,20862508,109008,0.52,28660,26.29
harvester2,60,2022-01-03 10:43:12,20862508,109008,0.52,28660,26.29
harvester2,60,2022-01-03 10:44:12,20862508,109008,0.52,28660,26.29
harvester2,60,2022-01-03 10:45:12,20862508,109008,0.52,28660,26.29
harvester2,60,2022-01-03 10:46:12,20862508,109008,0.52,28656,26.29
harvester2,60,2022-01-03 10:47:12,20862508,109008,0.52,28656,26.29
harvester2,60,2022-01-03 10:48:12,20862508,109008,0.52,28656,26.29
harvester2,60,2022-01-03 10:49:12,20862508,109008,0.52,28656,26.29
harvester2,60,2022-01-03 10:50:12,20862508,109008,0.52,28656,26.29
harvester2,60,2022-01-03 10:51:12,20862508,109008,0.52,28656,26.29
harvester2,60,2022-01-03 10:52:12,20862508,109008,0.52,28656,26.29
harvester2,60,2022-01-03 10:53:12,20862508,109008,0.52,28660,26.29
harvester2,60,2022-01-03 10:54:12,20862508,109008,0.52,28660,26.29
harvester2,60,2022-01-03 10:55:12,20862508,109008,0.52,28660,26.29
harvester2,60,2022-01-03 10:56:12,20862508,109008,0.52,28660,26.29
harvester2,60,2022-01-03 10:57:12,20862508,109008,0.52,28660,26.29
harvester2,60,2022-01-03 10:58:12,20862508,109008,0.52,28664,26.30
harvester2,60,2022-01-03 10:59:12,20862508,109008,0.52,28664,26.30
harvester2,60,2022-01-03 11:00:12,20862508,109008,0.52,28664,26.30
harvester2,60,2022-01-03 11:01:12,20862508,109008,0.52,28664,26.30
harvester2,60,2022-01-03 11:02:12,20862508,109008,0.52,28664,26.30
harvester2,60,2022-01-03 11:03:12,20862508,109008,0.52,28664,26.30
harvester2,60,2022-01-03 11:04:12,20862508,109008,0.52,28664,26.30
harvester2,60,2022-01-03 11:05:12,20862508,109008,0.52,28664,26.30
harvester2,60,2022-01-03 11:06:12,20862508,109008,0.52,28664,26.30
harvester2,60,2022-01-03 11:07:12,20862508,109008,0.52,28664,26.30
harvester2,60,2022-01-03 11:08:12,20862508,109008,0.52,28664,26.30
harvester2,60,2022-01-03 11:09:12,20862508,109008,0.52,28664,26.30
harvester2,60,2022-01-03 11:10:12,20862508,109008,0.52,28664,26.30
harvester2,60,2022-01-03 11:11:12,20862508,109008,0.52,28664,26.30
harvester2,60,2022-01-03 11:12:12,20862508,109008,0.52,28664,26.30
harvester2,60,2022-01-03 11:13:12,20862508,109008,0.52,28664,26.30
harvester2,60,2022-01-03 11:14:12,20862508,109008,0.52,28664,26.30
harvester2,60,2022-01-03 11:15:12,20862508,109008,0.52,28664,26.30
harvester2,60,2022-01-03 11:16:12,20862508,109008,0.52,28664,26.30
harvester2,60,2022-01-03 11:17:12,20862508,109008,0.52,28664,26.30
harvester2,60,2022-01-03 11:18:12,20862508,109008,0.52,28664,26.30
harvester2,60,2022-01-03 11:19:12,20862508,109008,0.52,28664,26.30
harvester2,60,2022-01-03 11:20:12,20862508,109008,0.52,28664,26.30
harvester2,60,2022-01-03 11:21:12,20862508,109008,0.52,28664,26.30
harvester2,60,2022-01-03 11:22:12,20862508,109008,0.52,28664,26.30
harvester2,60,2022-01-03 11:23:12,20862508,109008,0.52,28668,26.30
harvester2,60,2022-01-03 11:24:12,20862508,109008,0.52,28668,26.30
harvester2,60,2022-01-03 11:25:12,20862508,109008,0.52,28668,26.30
harvester2,60,2022-01-03 11:26:12,20862508,109008,0.52,28668,26.30
harvester2,60,2022-01-03 11:27:12,20862764,108752,0.52,28672,26.36
harvester2,60,2022-01-03 11:28:12,20862764,108752,0.52,28672,26.36
harvester2,60,2022-01-03 11:29:12,20862764,108752,0.52,28672,26.36
