# hostname;interval;timestamp;tps;rtps;wtps;dtps;bread/s;bwrtn/s;bdscd/s
harvester2;60;2022-01-03 10:33:12;141.54;26.88;114.66;0.00;1076.72;46557.84;0.00
harvester2;60;2022-01-03 10:34:12;222.92;200.95;21.97;0.00;40817.33;6519.07;0.00
harvester2;60;2022-01-03 10:35:12;4.73;1.90;2.83;0.00;201.33;38.80;0.00
harvester2;60;2022-01-03 10:36:12;6.63;1.25;5.38;0.00;257.20;62.67;0.00
harvester2;60;2022-01-03 10:37:12;4.62;1.30;3.32;0.00;258.13;43.60;0.00
harvester2;60;2022-01-03 10:38:12;10.02;1.62;8.40;0.00;308.00;1453.20;0.00
harvester2;60;2022-01-03 10:39:12;42.35;5.60;36.75;0.00;679.47;9830.00;0.00
harvester2;60;2022-01-03 10:40:12;67.65;24.65;43.00;0.00;5418.27;11690.53;0.00
harvester2;60;2022-01-03 10:41:12;38.82;1.47;37.35;0.00;275.60;8812.40;0.00
harvester2;60;2022-01-03 10:42:12;39.53;1.47;38.07;0.00;284.53;9075.87;0.00
harvester2;60;2022-01-03 10:43:12;27.80;1.38;26.42;0.00;273.12;5965.73;0.00
harvester2;60;2022-01-03 10:44:12;29.22;1.40;27.82;0.00;251.07;5749.20;0.00
harvester2;60;2022-01-03 10:45:12;40.90;1.43;39.47;0.00;263.87;9520.00;0.00
harvester2;60;2022-01-03 10:46:12;38.77;1.45;37.32;0.00;279.07;8605.73;0.00
harvester2;60;2022-01-03 10:47:12;32.52;1.37;31.15;0.00;275.33;7542.27;0.00
harvester2;60;2022-01-03 10:48:12;40.40;1.22;39.18;0.00;241.47;9412.13;0.00
harvester2;60;2022-01-03 10:49:12;43.52;1.40;42.12;0.00;262.40;9337.20;0.00
harvester2;60;2022-01-03 10:50:12;64.88;0.98;63.90;0.00;185.60;13778.93;0.00
harvester2;60;2022-01-03 10:51:12;74.52;0.78;73.73;0.00;164.27;17056.80;0.00
harvester2;60;2022-01-03 10:52:12;47.47;1.00;46.47;0.00;196.93;9973.87;0.00
harvester2;60;2022-01-03 10:53:12;60.95;0.62;60.33;0.00;98.85;11598.13;0.00
harvester2;60;2022-01-03 10:54:12;58.92;0.90;58.02;0.00;179.20;12692.53;0.00
harvester2;60;2022-01-03 10:55:12;84.32;0.82;83.50;0.00;155.87;18620.27;0.00
harvester2;60;2022-01-03 10:56:12;80.75;0.82;79.93;0.00;158.27;17566.00;0.00
harvester2;60;2022-01-03 10:57:12;58.12;1.08;57.03;0.00;193.33;13136.67;0.00
harvester2;60;2022-01-03 10:58:12;82.82;0.68;82.13;0.00;126.53;18629.07;0.00
harvester2;60;2022-01-03 10:59:12;90.08;1.00;89.08;0.00;176.00;17137.20;0.00
harvester2;60;2022-01-03 11:00:12;64.22;0.45;63.77;0.00;85.60;11573.07;0.00
harvester2;60;2022-01-03 11:01:12;73.18;0.40;72.78;0.00;75.07;16230.13;0.00
harvester2;60;2022-01-03 11:02:12;74.47;0.02;74.45;0.00;0.13;16091.73;0.00
harvester2;60;2022-01-03 11:03:12;54.83;0.38;54.45;0.00;6.50;12448.67;0.00
harvester2;60;2022-01-03 11:04:12;118.17;0.07;118.10;0.00;2.80;26260.67;0.00
harvester2;60;2022-01-03 11:05:12;54.28;0.08;54.20;0.00;1.20;12484.13;0.00
harvester2;60;2022-01-03 11:06:12;59.53;0.02;59.52;0.00;0.13;13200.13;0.00
harvester2;60;2022-01-03 11:07:12;75.35;0.00;75.35;0.00;0.00;17118.80;0.00
harvester2;60;2022-01-03 11:08:12;93.55;0.00;93.55;0.00;0.00;20908.40;0.00
harvester2;60;2022-01-03 11:09:12;73.00;0.05;72.95;0.00;3.60;15526.00;0.00
harvester2;60;2022-01-03 11:10:12;87.87;0.00;87.87;0.00;0.00;21570.13;0.00
harvester2;60;2022-01-03 11:11:12;82.88;0.00;82.88;0.00;0.00;19422.13;0.00
harvester2;60;2022-01-03 11:12:12;80.20;0.03;80.17;0.00;0.27;19070.80;0.00
harvester2;60;2022-01-03 11:13:12;51.67;0.20;51.47;0.00;1.12;12150.40;0.00
harvester2;60;2022-01-03 11:14:12;94.55;0.03;94.52;0.00;0.27;20751.33;0.00
harvester2;60;2022-01-03 11:15:12;60.57;0.07;60.50;0.00;1.73;13486.93;0.00
harvester2;60;2022-01-03 11:16:12;102.57;0.00;102.57;0.00;0.00;23769.60;0.00
harvester2;60;2022-01-03 11:17:12;85.48;0.05;85.43;0.00;0.93;18558.93;0.00
harvester2;60;2022-01-03 11:18:12;69.62;0.00;69.62;0.00;0.00;15342.27;0.00
harvester2;60;2022-01-03 11:19:12;58.25;0.00;58.25;0.00;0.00;11543.73;0.00
harvester2;60;2022-01-03 11:20:12;99.15;0.03;99.12;0.00;1.47;23106.00;0.00
harvester2;60;2022-01-03 11:21:12;89.52;0.05;89.47;0.00;3.33;21650.67;0.00
harvester2;60;2022-01-03 11:22:12;68.38;0.02;68.37;0.00;0.13;17675.87;0.00
harvester2;60;2022-01-03 11:23:12;106.07;0.10;105.97;0.00;0.18;24449.87;0.00
harvester2;60;2022-01-03 11:24:12;77.62;0.00;77.62;0.00;0.00;19172.27;0.00
