# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
harvester2;60;2022-01-03 10:33:12;7263136;7235244;412964;5.16;2816;117508;1223536;4.22;108680;272288;1124
harvester2;60;2022-01-03 10:34:12;5594232;6953676;666176;8.33;4456;1531280;1471296;5.08;388256;1663864;324
harvester2;60;2022-01-03 10:35:12;5238156;6603956;1015800;12.70;4572;1537564;1982932;6.85;391696;2014624;544
harvester2;60;2022-01-03 10:36:12;5190292;6564212;1055624;13.20;4668;1545576;2015188;6.96;393448;2060768;224
harvester2;60;2022-01-03 10:37:12;5195836;6577636;1042164;13.03;4760;1553340;1995484;6.89;395164;2053344;392
harvester2;60;2022-01-03 10:38:12;5330152;6721192;898384;11.24;4848;1562620;2498552;8.63;417808;1893968;444
harvester2;60;2022-01-03 10:39:12;5129796;6550040;1069628;13.38;5140;1591388;2537684;8.76;494428;2017624;620
harvester2;60;2022-01-03 10:40:12;4914540;6538740;1079928;13.51;6292;1793376;2510856;8.67;537268;2188160;436
harvester2;60;2022-01-03 10:41:12;4889308;6523356;1095232;13.70;6388;1803020;2511148;8.67;555212;2195140;432
harvester2;60;2022-01-03 10:42:12;4878756;6523280;1095224;13.70;6492;1813308;2510592;8.67;565308;2195404;324
harvester2;60;2022-01-03 10:43:12;4862596;6516448;1102040;13.78;6588;1822536;2512520;8.67;570576;2206604;284
harvester2;60;2022-01-03 10:44:12;4851808;6514668;1103796;13.80;6700;1831372;2513296;8.68;576340;2211040;460
harvester2;60;2022-01-03 10:45:12;4840972;6512980;1105416;13.82;6804;1840396;2513040;8.68;580456;2218264;628
harvester2;60;2022-01-03 10:46:12;4826764;6509168;1109208;13.87;6908;1850672;2513504;8.68;584164;2228120;344
harvester2;60;2022-01-03 10:47:12;4816716;6508396;1109984;13.88;7004;1859824;2514068;8.68;586112;2236008;332
harvester2;60;2022-01-03 10:48:12;4802536;6503340;1114996;13.94;7108;1868816;2514504;8.68;589220;2246392;13776
harvester2;60;2022-01-03 10:49:12;4722524;6436656;1181456;14.78;7264;1881632;2515256;8.68;623836;2293580;940
harvester2;60;2022-01-03 10:50:12;4707184;6428576;1188788;14.87;7368;1888068;2517816;8.69;629612;2300704;508
harvester2;60;2022-01-03 10:51:12;4639176;6372412;1244696;15.57;7484;1899560;2596040;8.96;635908;2362460;512
harvester2;60;2022-01-03 10:52:12;4499032;6239944;1377056;17.22;7588;1907076;2533060;8.74;637224;2500748;1196
harvester2;60;2022-01-03 10:53:12;4472256;6235716;1380984;17.27;7692;1929176;2536132;8.76;656664;2507300;324
harvester2;60;2022-01-03 10:54:12;4468792;6238752;1377908;17.23;7804;1935540;2530376;8.74;658328;2510144;1204
harvester2;60;2022-01-03 10:55:12;4157824;5934464;1682188;21.04;7908;1942092;3058000;10.56;659484;2817456;576
harvester2;60;2022-01-03 10:56:12;4449608;6232060;1384512;17.31;8012;1947784;2536264;8.76;660364;2527132;448
harvester2;60;2022-01-03 10:57:12;4436284;6225256;1391344;17.40;8116;1954192;2541784;8.77;661572;2537828;320
harvester2;60;2022-01-03 10:58:12;4424944;6219136;1397460;17.48;8220;1959284;2546904;8.79;662452;2548316;580
harvester2;60;2022-01-03 10:59:12;4415904;6216752;1399824;17.51;8340;1965800;2547928;8.80;663160;2557092;496
harvester2;60;2022-01-03 11:00:12;4413352;6217616;1398928;17.50;8428;1969100;2548316;8.80;663716;2559252;356
harvester2;60;2022-01-03 11:01:12;4407808;6215512;1400960;17.52;8524;1972408;2548572;8.80;664280;2562868;15976
harvester2;60;2022-01-03 11:02:12;4404500;6213432;1403028;17.55;8620;1973524;2551264;8.81;664692;2566900;524
harvester2;60;2022-01-03 11:03:12;4396468;6206648;1409844;17.63;8720;1974648;2556640;8.83;665092;2574412;24096
harvester2;60;2022-01-03 11:04:12;4334980;6172236;1443808;18.06;8840;2001260;2591852;8.95;689360;2612060;324
harvester2;60;2022-01-03 11:05:12;4362400;6201172;1414948;17.70;8944;2002668;2559080;8.83;690628;2582408;440
harvester2;60;2022-01-03 11:06:12;4359724;6200700;1415396;17.70;9044;2004748;2559216;8.83;692000;2581872;61432
harvester2;60;2022-01-03 11:07:12;4357172;6201208;1414800;17.69;9148;2007668;2559216;8.83;694172;2583120;44820
harvester2;60;2022-01-03 11:08:12;4351564;6200600;1415380;17.70;9244;2012500;2559352;8.84;697180;2584960;416
harvester2;60;2022-01-03 11:09:12;4346240;6199744;1416140;17.71;9364;2016800;2559352;8.84;699744;2586828;380
harvester2;60;2022-01-03 11:10:12;4341264;6198956;1416888;17.72;9476;2020816;2559656;8.84;704196;2586800;4076
harvester2;60;2022-01-03 11:11:12;4338240;6198500;1417336;17.73;9588;2023240;2559828;8.84;706076;2588480;492
harvester2;60;2022-01-03 11:12:12;4334712;6197540;1418308;17.74;9692;2025664;2560112;8.84;708408;2589136;448
harvester2;60;2022-01-03 11:13:12;4333704;6198336;1417448;17.73;9800;2027344;2560260;8.84;709448;2589564;524
harvester2;60;2022-01-03 11:14:12;4330680;6198092;1417652;17.73;9932;2029956;2560532;8.84;712172;2589900;368
harvester2;60;2022-01-03 11:15:12;4323876;6192844;1422864;17.79;10028;2031400;2560684;8.84;716456;2591808;384
harvester2;60;2022-01-03 11:16:12;4321892;6193556;1422124;17.79;10140;2033944;2560988;8.84;718080;2592732;520
harvester2;60;2022-01-03 11:17:12;4301968;6175432;1440220;18.01;10240;2035616;2593900;8.95;719428;2611532;664
harvester2;60;2022-01-03 11:18:12;4317716;6192784;1422836;17.79;10328;2037112;2561128;8.84;720292;2593984;284
harvester2;60;2022-01-03 11:19:12;4316300;6192552;1423104;17.80;10448;2038164;2561268;8.84;721132;2594996;360
harvester2;60;2022-01-03 11:20:12;4313812;6192068;1423492;17.80;10560;2040036;2561404;8.84;722344;2596192;508
harvester2;60;2022-01-03 11:21:12;4310252;6190924;1424676;17.82;10672;2042308;2561668;8.84;724936;2596328;484
harvester2;60;2022-01-03 11:22:12;4274248;6156240;1459332;18.25;10776;2043516;2627348;9.07;726108;2632440;400
harvester2;60;2022-01-03 11:23:12;4307732;6191976;1423544;17.80;10896;2045608;2561944;8.84;727208;2598084;432
harvester2;60;2022-01-03 11:24:12;4304740;6190728;1424772;17.82;11016;2047204;2563156;8.85;731160;2596584;8312
harvester2;60;2022-01-03 11:25:12;4300928;6188764;1426808;17.84;11128;2048920;2564212;8.85;733996;2596488;652
harvester2;60;2022-01-03 11:26:12;4298944;6188708;1426776;17.84;11240;2050712;2564232;8.85;735612;2597420;5060
harvester2;60;2022-01-03 11:27:12;4297416;6188532;1426912;17.85;11344;2051960;2564532;8.85;736336;2598804;360
harvester2;60;2022-01-03 11:28:12;4295904;6189092;1426388;17.84;11456;2053888;2564812;8.85;738820;2597972;336
harvester2;60;2022-01-03 11:29:12;4273224;6167576;1447840;18.11;11576;2054912;2598024;8.97;739444;2619016;552
