# hostname,interval,timestamp,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s
harvester2,60,2022-01-03 11:30:57,183.32,91.70,91.62,0.00,46407.73,42916.53,0.00
harvester2,60,2022-01-03 11:31:57,107.48,92.73,14.75,0.00,7982.13,3547.60,0.00
harvester2,60,2022-01-03 11:32:57,11.57,5.43,6.13,0.00,935.30,79.07,0.00
harvester2,60,2022-01-03 11:33:57,8.48,2.45,6.03,0.00,440.80,66.40,0.00
harvester2,60,2022-01-03 11:34:57,6.78,2.07,4.72,0.00,391.33,53.07,0.00
harvester2,60,2022-01-03 11:35:57,10.20,2.95,7.25,0.00,464.40,76.40,0.00
harvester2,60,2022-01-03 11:36:57,5.88,2.22,3.67,0.00,445.87,44.13,0.00
harvester2,60,2022-01-03 11:37:57,5.87,2.18,3.68,0.00,424.93,43.07,0.00
harvester2,60,2022-01-03 11:38:57,36.80,8.27,28.53,0.00,1276.67,5397.73,0.00
harvester2,60,2022-01-03 11:39:57,29.83,4.47,25.37,0.00,746.93,5587.07,0.00
harvester2,60,2022-01-03 11:40:57,29.53,3.10,26.43,0.00,535.87,5409.07,0.00
harvester2,60,2022-01-03 11:41:57,31.30,2.57,28.73,0.00,473.60,6145.73,0.00
harvester2,60,2022-01-03 11:42:57,27.25,2.68,24.57,0.00,488.58,5378.40,0.00
harvester2,60,2022-01-03 11:43:57,31.58,2.73,28.85,0.00,518.67,6048.27,0.00
harvester2,60,2022-01-03 11:44:57,23.88,2.72,21.17,0.00,492.53,4599.07,0.00
harvester2,60,2022-01-03 11:45:57,31.53,2.52,29.02,0.00,482.40,6056.80,0.00
harvester2,60,2022-01-03 11:46:57,28.78,2.52,26.27,0.00,475.87,5443.33,0.00
harvester2,60,2022-01-03 11:47:57,27.85,2.70,25.15,0.00,498.93,5474.40,0.00
harvester2,60,2022-01-03 11:48:57,73.07,21.88,51.19,0.00,3053.89,10359.74,0.00
harvester2,60,2022-01-03 11:49:57,88.75,5.08,83.67,0.00,757.87,17506.13,0.00
harvester2,60,2022-01-03 11:50:57,47.90,2.15,45.75,0.00,364.80,9707.07,0.00
harvester2,60,2022-01-03 11:51:57,58.50,1.03,57.47,0.00,174.93,10515.33,0.00
harvester2,60,2022-01-03 11:52:57,49.42,1.60,47.82,0.00,277.38,9240.40,0.00
harvester2,60,2022-01-03 11:53:57,56.22,1.68,54.53,0.00,326.40,12054.27,0.00
harvester2,60,2022-01-03 11:54:57,109.88,12.28,97.60,0.00,969.88,19446.13,0.00
harvester2,60,2022-01-03 11:55:57,34.87,1.80,33.07,0.00,343.47,7577.60,0.00
harvester2,60,2022-01-03 11:56:57,95.47,1.32,94.15,0.00,245.73,18836.67,0.00
harvester2,60,2022-01-03 11:57:57,54.73,1.87,52.87,0.00,346.13,10906.40,0.00
harvester2,60,2022-01-03 11:58:57,48.27,0.02,48.25,0.00,0.13,10730.40,0.00
harvester2,60,2022-01-03 11:59:57,50.42,0.03,50.38,0.00,0.27,10055.07,0.00
harvester2,60,2022-01-03 12:00:57,81.73,0.07,81.67,0.00,0.53,15350.00,0.00
harvester2,60,2022-01-03 12:01:57,54.37,0.00,54.37,0.00,0.00,12031.47,0.00
harvester2,60,2022-01-03 12:02:57,79.92,0.17,79.75,0.00,0.10,16071.47,0.00
harvester2,60,2022-01-03 12:03:57,76.57,0.02,76.55,0.00,0.27,16328.27,0.00
harvester2,60,2022-01-03 12:04:57,56.12,0.00,56.12,0.00,0.00,12201.33,0.00
harvester2,60,2022-01-03 12:05:57,88.42,0.00,88.42,0.00,0.00,18132.53,0.00
harvester2,60,2022-01-03 12:06:57,73.22,0.00,73.22,0.00,0.00,15701.73,0.00
harvester2,60,2022-01-03 12:07:57,34.38,0.05,34.33,0.00,1.07,7989.73,0.00
harvester2,60,2022-01-03 12:08:57,69.15,0.00,69.15,0.00,0.00,14364.67,0.00
harvester2,60,2022-01-03 12:09:57,60.15,0.00,60.15,0.00,0.00,12605.73,0.00
harvester2,60,2022-01-03 12:10:57,69.27,0.03,69.23,0.00,2.27,14299.73,0.00
harvester2,60,2022-01-03 12:11:57,62.72,0.08,62.63,0.00,6.93,13566.00,0.00
harvester2,60,2022-01-03 12:12:57,62.65,0.13,62.52,0.00,4.58,13222.53,0.00
harvester2,60,2022-01-03 12:13:57,58.63,0.05,58.58,0.00,6.67,12443.60,0.00
harvester2,60,2022-01-03 12:14:57,78.75,0.13,78.62,0.00,4.00,16231.07,0.00
harvester2,60,2022-01-03 12:15:57,51.00,0.00,51.00,0.00,0.00,10962.67,0.00
harvester2,60,2022-01-03 12:16:57,69.37,0.00,69.37,0.00,0.00,15225.07,0.00
harvester2,60,2022-01-03 12:17:57,59.88,0.05,59.83,0.00,0.93,12062.53,0.00
harvester2,60,2022-01-03 12:18:57,70.68,0.03,70.65,0.00,2.27,15114.67,0.00
harvester2,60,2022-01-03 12:19:57,55.95,0.00,55.95,0.00,0.00,11836.53,0.00
harvester2,60,2022-01-03 12:20:57,82.88,0.00,82.88,0.00,0.00,18087.87,0.00
harvester2,60,2022-01-03 12:21:57,49.37,0.03,49.33,0.00,0.53,10838.40,0.00
harvester2,60,2022-01-03 12:22:57,49.40,0.08,49.32,0.00,0.05,11122.27,0.00
harvester2,60,2022-01-03 12:23:57,40.93,0.00,40.93,0.00,0.00,8882.27,0.00
harvester2,60,2022-01-03 12:24:57,35.13,0.02,35.12,0.00,0.13,7401.07,0.00
harvester2,60,2022-01-03 12:25:57,33.25,0.05,33.20,0.00,5.60,7095.47,0.00
