# hostname,interval,timestamp,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked
harvester2,60,2022-01-03 11:30:57,0,301,2.50,2.26,2.08,1
harvester2,60,2022-01-03 11:31:57,1,302,1.85,2.15,2.05,0
harvester2,60,2022-01-03 11:32:57,0,303,1.27,1.92,1.98,0
harvester2,60,2022-01-03 11:33:57,0,302,0.67,1.64,1.88,0
harvester2,60,2022-01-03 11:34:57,1,305,1.01,1.54,1.83,0
harvester2,60,2022-01-03 11:35:57,2,303,1.18,1.49,1.79,0
harvester2,60,2022-01-03 11:36:57,1,303,1.73,1.57,1.80,0
harvester2,60,2022-01-03 11:37:57,5,303,1.39,1.50,1.76,0
harvester2,60,2022-01-03 11:38:57,2,305,5.44,2.71,2.17,0
harvester2,60,2022-01-03 11:39:57,2,305,4.37,2.98,2.30,0
harvester2,60,2022-01-03 11:40:57,2,305,3.51,2.98,2.34,0
harvester2,60,2022-01-03 11:41:57,3,305,2.67,2.85,2.34,0
harvester2,60,2022-01-03 11:42:57,6,306,2.55,2.77,2.34,0
harvester2,60,2022-01-03 11:43:57,2,304,2.50,2.72,2.35,0
harvester2,60,2022-01-03 11:44:57,2,305,2.73,2.74,2.38,0
harvester2,60,2022-01-03 11:45:57,3,305,3.00,2.82,2.43,0
harvester2,60,2022-01-03 11:46:57,2,305,2.88,2.84,2.47,0
harvester2,60,2022-01-03 11:47:57,2,305,2.60,2.77,2.46,0
harvester2,60,2022-01-03 11:48:57,1,303,2.16,2.62,2.43,0
harvester2,60,2022-01-03 11:49:57,2,305,2.36,2.56,2.42,0
harvester2,60,2022-01-03 11:50:57,0,305,2.18,2.47,2.40,1
harvester2,60,2022-01-03 11:51:57,3,307,2.07,2.38,2.37,0
harvester2,60,2022-01-03 11:52:57,2,308,1.74,2.26,2.33,0
harvester2,60,2022-01-03 11:53:57,1,307,1.65,2.13,2.28,1
harvester2,60,2022-01-03 11:54:57,2,311,1.71,2.06,2.24,0
harvester2,60,2022-01-03 11:55:57,1,312,1.60,1.98,2.20,0
harvester2,60,2022-01-03 11:56:57,2,309,1.76,1.94,2.18,0
harvester2,60,2022-01-03 11:57:57,1,310,2.04,2.02,2.19,0
harvester2,60,2022-01-03 11:58:57,2,310,2.07,2.02,2.18,0
harvester2,60,2022-01-03 11:59:57,3,309,2.75,2.20,2.23,0
harvester2,60,2022-01-03 12:00:57,2,308,2.03,2.12,2.20,0
harvester2,60,2022-01-03 12:01:57,2,309,1.83,2.07,2.18,0
harvester2,60,2022-01-03 12:02:57,2,311,1.63,1.96,2.13,0
harvester2,60,2022-01-03 12:03:57,1,310,1.35,1.82,2.07,0
harvester2,60,2022-01-03 12:04:57,1,310,1.58,1.82,2.05,0
harvester2,60,2022-01-03 12:05:57,5,311,1.57,1.76,2.02,0
harvester2,60,2022-01-03 12:06:57,3,311,1.73,1.77,2.00,0
harvester2,60,2022-01-03 12:07:57,0,311,2.03,1.84,2.01,1
harvester2,60,2022-01-03 12:08:57,2,311,1.92,1.84,2.00,0
harvester2,60,2022-01-03 12:09:57,1,311,1.98,1.87,2.00,0
harvester2,60,2022-01-03 12:10:57,6,310,2.13,1.94,2.01,0
harvester2,60,2022-01-03 12:11:57,2,311,1.80,1.86,1.98,0
harvester2,60,2022-01-03 12:12:57,2,310,1.87,1.88,1.98,0
harvester2,60,2022-01-03 12:13:57,1,310,1.83,1.87,1.98,0
harvester2,60,2022-01-03 12:14:57,1,311,2.10,1.94,2.00,0
harvester2,60,2022-01-03 12:15:57,1,311,2.00,1.95,2.00,0
harvester2,60,2022-01-03 12:16:57,5,310,1.83,1.93,1.99,0
harvester2,60,2022-01-03 12:17:57,1,309,1.86,1.93,1.98,0
harvester2,60,2022-01-03 12:18:57,3,309,1.97,1.95,1.99,0
harvester2,60,2022-01-03 12:19:57,1,310,2.02,1.96,2.00,0
harvester2,60,2022-01-03 12:20:57,2,309,1.77,1.90,1.97,0
harvester2,60,2022-01-03 12:21:57,1,310,2.09,1.95,1.99,1
harvester2,60,2022-01-03 12:22:57,2,312,2.29,2.03,2.01,0
harvester2,60,2022-01-03 12:23:57,2,310,2.39,2.09,2.03,0
harvester2,60,2022-01-03 12:24:57,1,312,2.34,2.14,2.05,0
harvester2,60,2022-01-03 12:25:57,3,312,2.31,2.17,2.07,0
