# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
harvester2;60;2022-01-03 14:10:16;-1;14.81;0.00;14.18;11.09;0.00;59.92
harvester2;60;2022-01-03 14:11:16;-1;22.76;0.00;5.69;0.28;0.00;71.27
harvester2;60;2022-01-03 14:12:16;-1;32.89;0.00;2.53;0.01;0.00;64.57
harvester2;60;2022-01-03 14:13:16;-1;32.18;0.00;1.98;0.01;0.00;65.83
harvester2;60;2022-01-03 14:14:16;-1;32.10;0.00;2.09;0.01;0.00;65.79
harvester2;60;2022-01-03 14:15:16;-1;68.10;0.00;5.06;0.06;0.00;26.78
harvester2;60;2022-01-03 14:16:16;-1;74.43;0.00;4.16;0.02;0.00;21.39
harvester2;60;2022-01-03 14:17:16;-1;78.21;0.00;4.45;0.01;0.00;17.33
harvester2;60;2022-01-03 14:18:16;-1;75.93;0.00;4.52;0.05;0.00;19.51
harvester2;60;2022-01-03 14:19:16;-1;76.05;0.00;4.34;0.00;0.00;19.60
harvester2;60;2022-01-03 14:20:16;-1;78.54;0.00;4.33;0.00;0.00;17.13
harvester2;60;2022-01-03 14:21:16;-1;76.63;0.00;5.37;0.00;0.00;18.00
harvester2;60;2022-01-03 14:22:16;-1;38.89;0.00;6.42;0.22;0.00;54.47
harvester2;60;2022-01-03 14:23:16;-1;38.85;0.00;6.19;0.13;0.00;54.83
harvester2;60;2022-01-03 14:24:16;-1;28.73;0.00;4.98;0.15;0.00;66.14
harvester2;60;2022-01-03 14:25:16;-1;37.71;0.00;6.60;0.16;0.00;55.53
harvester2;60;2022-01-03 14:26:16;-1;37.86;0.00;5.56;0.01;0.00;56.57
harvester2;60;2022-01-03 14:27:16;-1;44.66;0.00;8.04;0.09;0.00;47.20
harvester2;60;2022-01-03 14:28:16;-1;29.74;0.00;7.29;0.07;0.00;62.89
harvester2;60;2022-01-03 14:29:16;-1;41.54;0.00;8.55;0.10;0.00;49.81
harvester2;60;2022-01-03 14:30:16;-1;37.26;0.00;6.87;3.15;0.00;52.72
harvester2;60;2022-01-03 14:31:16;-1;37.10;0.00;6.00;3.78;0.00;53.12
harvester2;60;2022-01-03 14:32:16;-1;40.53;0.00;6.25;0.08;0.00;53.14
harvester2;60;2022-01-03 14:33:16;-1;28.46;0.00;5.22;0.14;0.00;66.19
harvester2;60;2022-01-03 14:34:16;-1;38.57;0.00;5.96;0.19;0.00;55.28
harvester2;60;2022-01-03 14:35:16;-1;38.10;0.00;6.15;0.13;0.00;55.62
harvester2;60;2022-01-03 14:36:16;-1;35.97;0.00;5.41;0.27;0.00;58.36
harvester2;60;2022-01-03 14:37:16;-1;42.49;0.00;5.56;0.06;0.00;51.89
harvester2;60;2022-01-03 14:38:16;-1;48.66;0.00;5.08;0.16;0.00;46.09
harvester2;60;2022-01-03 14:39:16;-1;51.74;0.00;5.27;0.14;0.00;42.86
harvester2;60;2022-01-03 14:40:16;-1;51.48;0.00;5.30;0.00;0.00;43.22
harvester2;60;2022-01-03 14:41:16;-1;47.56;0.00;5.53;0.09;0.00;46.81
harvester2;60;2022-01-03 14:42:16;-1;47.53;0.00;5.52;0.11;0.00;46.84
harvester2;60;2022-01-03 14:43:16;-1;41.05;0.00;6.05;0.11;0.00;52.79
harvester2;60;2022-01-03 14:44:16;-1;42.13;0.00;5.50;0.06;0.00;52.31
harvester2;60;2022-01-03 14:45:16;-1;50.16;0.00;5.48;0.13;0.00;44.24
harvester2;60;2022-01-03 14:46:16;-1;50.63;0.00;5.21;0.11;0.00;44.05
harvester2;60;2022-01-03 14:47:16;-1;46.46;0.00;5.59;5.32;0.00;42.62
harvester2;60;2022-01-03 14:48:16;-1;61.62;0.00;4.89;2.47;0.00;31.02
harvester2;60;2022-01-03 14:49:16;-1;59.57;0.00;5.12;0.07;0.00;35.23
harvester2;60;2022-01-03 14:50:16;-1;61.22;0.00;5.05;0.01;0.00;33.72
harvester2;60;2022-01-03 14:51:16;-1;62.23;0.00;5.45;0.10;0.00;32.23
