# hostname,interval,timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
harvester2,60,2022-01-03 12:28:02,-1,14.97,0.00,14.16,10.94,0.00,59.93
harvester2,60,2022-01-03 12:29:02,-1,17.20,0.00,5.00,0.31,0.00,77.49
harvester2,60,2022-01-03 12:30:02,-1,29.14,0.00,2.46,0.01,0.00,68.39
harvester2,60,2022-01-03 12:31:02,-1,31.69,0.00,1.87,0.02,0.00,66.42
harvester2,60,2022-01-03 12:32:02,-1,67.57,0.00,5.52,0.22,0.00,26.69
harvester2,60,2022-01-03 12:33:02,-1,74.07,0.00,4.52,0.17,0.00,21.24
harvester2,60,2022-01-03 12:34:02,-1,74.46,0.00,4.66,0.19,0.00,20.69
harvester2,60,2022-01-03 12:35:02,-1,74.53,0.00,4.59,0.17,0.00,20.71
harvester2,60,2022-01-03 12:36:02,-1,72.67,0.00,4.81,0.21,0.00,22.32
harvester2,60,2022-01-03 12:37:02,-1,67.90,0.00,4.45,2.65,0.00,25.00
harvester2,60,2022-01-03 12:38:02,-1,54.83,0.00,4.62,6.07,0.00,34.48
harvester2,60,2022-01-03 12:39:02,-1,52.30,0.00,5.48,5.25,0.00,36.96
harvester2,60,2022-01-03 12:40:02,-1,37.08,0.00,6.91,0.32,0.00,55.68
harvester2,60,2022-01-03 12:41:02,-1,37.33,0.00,6.82,0.26,0.00,55.59
harvester2,60,2022-01-03 12:42:02,-1,26.12,0.00,6.02,0.34,0.00,67.52
harvester2,60,2022-01-03 12:43:02,-1,37.19,0.00,6.88,0.20,0.00,55.73
harvester2,60,2022-01-03 12:44:02,-1,36.16,0.00,6.32,0.24,0.00,57.28
harvester2,60,2022-01-03 12:45:02,-1,21.79,0.00,5.50,5.71,0.00,66.99
harvester2,60,2022-01-03 12:46:02,-1,34.61,0.00,6.22,7.53,0.00,51.64
harvester2,60,2022-01-03 12:47:02,-1,26.20,0.00,5.72,1.00,0.00,67.08
harvester2,60,2022-01-03 12:48:02,-1,39.90,0.00,8.87,0.34,0.00,50.89
harvester2,60,2022-01-03 12:49:02,-1,35.18,0.00,6.49,0.27,0.00,58.07
harvester2,60,2022-01-03 12:50:02,-1,35.76,0.00,6.62,0.27,0.00,57.34
harvester2,60,2022-01-03 12:51:02,-1,38.08,0.00,6.56,0.24,0.00,55.12
harvester2,60,2022-01-03 12:52:02,-1,30.44,0.00,6.72,0.56,0.00,62.29
harvester2,60,2022-01-03 12:53:02,-1,28.12,0.00,5.83,6.74,0.00,59.31
harvester2,60,2022-01-03 12:54:02,-1,35.00,0.00,6.37,2.63,0.00,56.00
harvester2,60,2022-01-03 12:55:02,-1,27.32,0.00,6.20,0.36,0.00,66.12
harvester2,60,2022-01-03 12:56:02,-1,41.00,0.00,6.08,0.41,0.00,52.52
harvester2,60,2022-01-03 12:57:02,-1,37.81,0.00,6.71,0.47,0.00,55.00
harvester2,60,2022-01-03 12:58:02,-1,49.15,0.00,5.67,0.29,0.00,44.89
harvester2,60,2022-01-03 12:59:02,-1,45.16,0.00,6.19,0.28,0.00,48.37
harvester2,60,2022-01-03 13:00:02,-1,41.01,0.00,5.48,4.48,0.00,49.04
harvester2,60,2022-01-03 13:01:02,-1,38.09,0.00,5.74,3.89,0.00,52.29
harvester2,60,2022-01-03 13:02:02,-1,49.02,0.00,6.22,0.27,0.00,44.49
harvester2,60,2022-01-03 13:03:02,-1,44.80,0.00,6.77,0.30,0.00,48.13
harvester2,60,2022-01-03 13:04:02,-1,33.53,0.00,6.12,0.55,0.00,59.81
harvester2,60,2022-01-03 13:05:02,-1,39.45,0.00,6.52,0.31,0.00,53.71
harvester2,60,2022-01-03 13:06:02,-1,47.41,0.00,5.90,0.32,0.00,46.36
harvester2,60,2022-01-03 13:07:02,-1,38.79,0.00,5.15,7.67,0.00,48.39
harvester2,60,2022-01-03 13:08:02,-1,28.98,0.00,5.47,7.13,0.00,58.42
harvester2,60,2022-01-03 13:09:02,-1,55.25,0.00,7.19,0.32,0.00,37.24
harvester2,60,2022-01-03 13:10:02,-1,58.75,0.00,6.20,0.22,0.00,34.82
harvester2,60,2022-01-03 13:11:02,-1,58.34,0.00,5.62,0.28,0.00,35.76
harvester2,60,2022-01-03 13:12:02,-1,59.93,0.00,5.26,0.20,0.00,34.60
