# hostname;interval;timestamp;kbswpfree;kbswpused;%swpused;kbswpcad;%swpcad
harvester2;60;2022-01-03 13:13:50;20863020;108496;0.52;28828;26.57
harvester2;60;2022-01-03 13:14:50;20863020;108496;0.52;28828;26.57
harvester2;60;2022-01-03 13:15:50;20863020;108496;0.52;28828;26.57
harvester2;60;2022-01-03 13:16:50;20863020;108496;0.52;28828;26.57
harvester2;60;2022-01-03 13:17:50;20863020;108496;0.52;28828;26.57
harvester2;60;2022-01-03 13:18:50;20863020;108496;0.52;28828;26.57
harvester2;60;2022-01-03 13:19:50;20863020;108496;0.52;28828;26.57
harvester2;60;2022-01-03 13:20:50;20863020;108496;0.52;28828;26.57
harvester2;60;2022-01-03 13:21:50;20863020;108496;0.52;28828;26.57
harvester2;60;2022-01-03 13:22:50;20863020;108496;0.52;28828;26.57
harvester2;60;2022-01-03 13:23:50;20863020;108496;0.52;28828;26.57
harvester2;60;2022-01-03 13:24:50;20863020;108496;0.52;28828;26.57
harvester2;60;2022-01-03 13:25:50;20863020;108496;0.52;28828;26.57
harvester2;60;2022-01-03 13:26:50;20863020;108496;0.52;28828;26.57
harvester2;60;2022-01-03 13:27:50;20863020;108496;0.52;28828;26.57
harvester2;60;2022-01-03 13:28:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 13:29:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 13:30:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 13:31:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 13:32:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 13:33:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 13:34:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 13:35:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 13:36:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 13:37:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 13:38:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 13:39:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 13:40:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 13:41:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 13:42:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 13:43:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 13:44:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 13:45:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 13:46:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 13:47:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 13:48:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 13:49:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 13:50:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 13:51:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 13:52:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 13:53:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 13:54:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 13:55:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 13:56:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 13:57:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 13:58:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 13:59:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 14:00:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 14:01:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 14:02:50;20863020;108496;0.52;28832;26.57
harvester2;60;2022-01-03 14:03:50;20863020;108496;0.52;28844;26.59
harvester2;60;2022-01-03 14:04:50;20863020;108496;0.52;28844;26.59
harvester2;60;2022-01-03 14:05:50;20863020;108496;0.52;28844;26.59
harvester2;60;2022-01-03 14:06:50;20863020;108496;0.52;28844;26.59
harvester2;60;2022-01-03 14:07:50;20863020;108496;0.52;28844;26.59
harvester2;60;2022-01-03 14:08:50;20863020;108496;0.52;28844;26.59
