# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
harvester2;60;2022-01-03 13:13:50;lo;0.70;0.70;0.18;0.18;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:13:50;eth0;6.20;4.77;0.54;2.88;0.00;0.00;2.32;0.00
harvester2;60;2022-01-03 13:13:50;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:14:50;lo;5.13;5.13;3.38;3.38;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:14:50;eth0;17.03;19.10;9.64;5.22;0.00;0.00;2.18;0.01
harvester2;60;2022-01-03 13:14:50;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:15:50;lo;2.13;2.13;2.22;2.22;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:15:50;eth0;75.33;48.92;90.72;6.09;0.00;0.00;2.87;0.07
harvester2;60;2022-01-03 13:15:50;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:16:50;lo;2.67;2.67;2.79;2.79;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:16:50;eth0;50.03;35.35;55.79;5.65;0.00;0.00;2.08;0.05
harvester2;60;2022-01-03 13:16:50;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:17:50;lo;1.30;1.30;1.67;1.67;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:17:50;eth0;173.82;51.80;234.70;5.81;0.00;0.00;2.80;0.19
harvester2;60;2022-01-03 13:17:50;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:18:50;lo;0.78;0.78;1.22;1.22;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:18:50;eth0;14.62;13.20;5.11;3.74;0.00;0.00;2.15;0.00
harvester2;60;2022-01-03 13:18:50;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:19:50;lo;0.67;0.67;1.08;1.08;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:19:50;eth0;16.05;13.72;6.35;3.72;0.00;0.00;2.45;0.01
harvester2;60;2022-01-03 13:19:50;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:20:50;lo;0.83;0.83;1.40;1.40;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:20:50;eth0;24.78;19.12;17.01;4.03;0.00;0.00;2.32;0.01
harvester2;60;2022-01-03 13:20:50;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:21:50;lo;0.67;0.67;1.11;1.11;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:21:50;eth0;19.65;17.07;11.72;4.07;0.00;0.00;2.25;0.01
harvester2;60;2022-01-03 13:21:50;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:22:50;lo;1.00;1.00;1.84;1.84;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:22:50;eth0;22.05;18.00;13.05;3.99;0.00;0.00;2.55;0.01
harvester2;60;2022-01-03 13:22:50;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:23:50;lo;0.33;0.33;0.43;0.43;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:23:50;eth0;21.93;18.17;13.99;3.98;0.00;0.00;2.68;0.01
harvester2;60;2022-01-03 13:23:50;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:24:50;lo;0.57;0.57;0.96;0.96;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:24:50;eth0;20.30;15.63;13.66;3.87;0.00;0.00;2.13;0.01
harvester2;60;2022-01-03 13:24:50;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:25:50;lo;0.97;0.97;1.83;1.83;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:25:50;eth0;22.35;18.63;15.52;4.20;0.00;0.00;2.28;0.01
harvester2;60;2022-01-03 13:25:50;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:26:50;lo;0.60;0.60;1.03;1.03;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:26:50;eth0;21.62;16.00;15.18;3.87;0.00;0.00;2.83;0.01
harvester2;60;2022-01-03 13:26:50;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:27:50;lo;0.43;0.43;0.60;0.60;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:27:50;eth0;22.20;14.93;15.51;3.88;0.00;0.00;3.13;0.01
harvester2;60;2022-01-03 13:27:50;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:28:50;lo;0.73;0.73;1.08;1.08;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:28:50;eth0;20.72;13.30;13.70;3.84;0.00;0.00;2.72;0.01
harvester2;60;2022-01-03 13:28:50;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:29:50;lo;0.53;0.53;0.81;0.81;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:29:50;eth0;22.35;15.57;14.29;3.95;0.00;0.00;2.77;0.01
harvester2;60;2022-01-03 13:29:50;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:30:50;lo;0.80;0.80;1.20;1.20;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:30:50;eth0;68.30;40.72;83.13;5.59;0.00;0.00;2.87;0.07
harvester2;60;2022-01-03 13:30:50;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:31:50;lo;0.20;0.20;0.23;0.23;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:31:50;eth0;36.82;18.00;40.26;3.69;0.00;0.00;2.35;0.03
harvester2;60;2022-01-03 13:31:50;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:32:50;lo;0.30;0.30;0.50;0.50;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:32:50;eth0;24.53;13.00;19.56;3.28;0.00;0.00;2.78;0.02
harvester2;60;2022-01-03 13:32:50;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:33:50;lo;0.30;0.30;0.55;0.55;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:33:50;eth0;20.02;15.30;12.25;3.32;0.00;0.00;2.93;0.01
harvester2;60;2022-01-03 13:33:50;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:34:50;lo;0.30;0.30;0.57;0.57;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:34:50;eth0;23.10;13.33;17.57;3.30;0.00;0.00;2.35;0.01
harvester2;60;2022-01-03 13:34:50;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:35:50;lo;0.23;0.23;0.43;0.43;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:35:50;eth0;11.43;10.47;1.70;3.08;0.00;0.00;2.08;0.00
harvester2;60;2022-01-03 13:35:50;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:36:50;lo;0.27;0.27;0.46;0.46;0.00;0.00;0.00;0.00
harvester2;60;2022-01-03 13:36:50;eth0;27.08;13.20;24.84;3.26;0.00;0.00;1.70;0.02
harvester2;60;2022-01-03 13:36:50;wlan0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
