# hostname;interval;timestamp;runq-sz;plist-sz;ldavg-1;ldavg-5;ldavg-15;blocked
harvester2;60;2022-01-03 13:13:50;1;306;3.00;2.88;2.59;0
harvester2;60;2022-01-03 13:14:50;0;308;1.64;2.53;2.49;0
harvester2;60;2022-01-03 13:15:50;0;308;1.08;2.22;2.38;0
harvester2;60;2022-01-03 13:16:50;1;308;1.01;2.00;2.29;0
harvester2;60;2022-01-03 13:17:50;1;310;1.07;1.83;2.22;0
harvester2;60;2022-01-03 13:18:50;1;307;1.36;1.76;2.16;0
harvester2;60;2022-01-03 13:19:50;1;308;1.36;1.68;2.11;0
harvester2;60;2022-01-03 13:20:50;0;310;1.89;1.75;2.10;1
harvester2;60;2022-01-03 13:21:50;2;311;2.13;1.84;2.11;0
harvester2;60;2022-01-03 13:22:50;1;311;6.47;3.03;2.49;0
harvester2;60;2022-01-03 13:23:50;2;311;4.70;3.18;2.58;0
harvester2;60;2022-01-03 13:24:50;3;311;3.18;3.01;2.56;0
harvester2;60;2022-01-03 13:25:50;2;310;2.98;2.97;2.57;0
harvester2;60;2022-01-03 13:26:50;2;309;2.85;2.93;2.58;0
harvester2;60;2022-01-03 13:27:50;2;310;2.68;2.88;2.58;0
harvester2;60;2022-01-03 13:28:50;3;309;2.82;2.86;2.59;0
harvester2;60;2022-01-03 13:29:50;6;310;2.55;2.79;2.59;0
harvester2;60;2022-01-03 13:30:50;2;310;3.09;2.89;2.63;0
harvester2;60;2022-01-03 13:31:50;2;310;2.53;2.79;2.62;0
harvester2;60;2022-01-03 13:32:50;1;309;2.00;2.61;2.57;0
harvester2;60;2022-01-03 13:33:50;0;310;2.11;2.54;2.55;1
harvester2;60;2022-01-03 13:34:50;2;311;1.78;2.37;2.48;0
harvester2;60;2022-01-03 13:35:50;0;312;2.22;2.38;2.48;1
harvester2;60;2022-01-03 13:36:50;2;312;2.05;2.28;2.44;0
harvester2;60;2022-01-03 13:37:50;1;312;1.70;2.14;2.38;0
harvester2;60;2022-01-03 13:38:50;3;310;2.00;2.15;2.36;0
harvester2;60;2022-01-03 13:39:50;1;309;1.45;1.96;2.28;0
harvester2;60;2022-01-03 13:40:50;1;311;1.75;1.95;2.26;0
harvester2;60;2022-01-03 13:41:50;1;310;1.73;1.93;2.23;0
harvester2;60;2022-01-03 13:42:50;1;311;1.82;1.91;2.20;0
harvester2;60;2022-01-03 13:43:50;3;311;2.27;2.01;2.21;0
harvester2;60;2022-01-03 13:44:50;1;310;1.88;1.94;2.18;0
harvester2;60;2022-01-03 13:45:50;3;310;1.95;1.94;2.16;0
harvester2;60;2022-01-03 13:46:50;2;311;1.99;1.95;2.15;0
harvester2;60;2022-01-03 13:47:50;2;310;1.77;1.92;2.13;0
harvester2;60;2022-01-03 13:48:50;2;310;1.98;1.93;2.12;0
harvester2;60;2022-01-03 13:49:50;1;310;1.92;1.91;2.09;0
harvester2;60;2022-01-03 13:50:50;2;308;1.78;1.87;2.07;0
harvester2;60;2022-01-03 13:51:50;2;310;2.28;1.99;2.09;0
harvester2;60;2022-01-03 13:52:50;1;311;2.19;2.02;2.10;0
harvester2;60;2022-01-03 13:53:50;1;310;2.31;2.09;2.11;0
harvester2;60;2022-01-03 13:54:50;2;307;1.92;2.02;2.09;0
harvester2;60;2022-01-03 13:55:50;1;307;2.16;2.09;2.10;0
harvester2;60;2022-01-03 13:56:50;2;305;1.75;1.98;2.06;0
harvester2;60;2022-01-03 13:57:50;1;306;2.04;2.03;2.08;0
harvester2;60;2022-01-03 13:58:50;2;306;2.18;2.07;2.09;0
harvester2;60;2022-01-03 13:59:50;0;306;2.16;2.07;2.09;1
harvester2;60;2022-01-03 14:00:50;1;306;2.25;2.12;2.10;0
harvester2;60;2022-01-03 14:01:50;2;306;2.00;2.07;2.08;0
harvester2;60;2022-01-03 14:02:50;1;305;2.24;2.12;2.10;0
harvester2;60;2022-01-03 14:03:50;3;306;2.08;2.09;2.09;0
harvester2;60;2022-01-03 14:04:50;3;304;2.27;2.14;2.10;0
harvester2;60;2022-01-03 14:05:50;4;305;2.44;2.23;2.14;0
harvester2;60;2022-01-03 14:06:50;0;304;2.27;2.24;2.15;1
harvester2;60;2022-01-03 14:07:50;2;304;2.44;2.30;2.18;0
harvester2;60;2022-01-03 14:08:50;2;307;2.40;2.28;2.18;0
