# hostname,interval,timestamp,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
harvester2,60,2022-01-03 13:13:50,7246996,7226820,413204,5.17,2184,132136,1266700,4.37,109340,286952,1088
harvester2,60,2022-01-03 13:14:50,6817348,6995304,623076,7.79,3320,350556,1485572,5.13,288064,538792,276
harvester2,60,2022-01-03 13:15:50,6773596,6966464,651892,8.15,3412,365356,1520100,5.25,289604,580224,244
harvester2,60,2022-01-03 13:16:50,6723980,6945308,672904,8.42,3512,393856,1534948,5.30,318436,599672,264
harvester2,60,2022-01-03 13:17:50,6387436,6620872,997508,12.47,3608,405724,1990700,6.87,319652,934616,212
harvester2,60,2022-01-03 13:18:50,6343304,6590092,1028244,12.86,3736,418936,2013996,6.95,321396,976764,408
harvester2,60,2022-01-03 13:19:50,6375372,6636760,981588,12.28,3960,433348,1964348,6.78,322616,943408,160
harvester2,60,2022-01-03 13:20:50,6430276,6744244,874016,10.93,4464,485388,2431688,8.39,326180,884448,932
harvester2,60,2022-01-03 13:21:50,6209556,6587212,1031112,12.90,5024,548496,2432304,8.40,339100,1091428,324
harvester2,60,2022-01-03 13:22:50,6171976,6571460,1046824,13.09,5128,570208,2432760,8.40,383600,1084260,408
harvester2,60,2022-01-03 13:23:50,6156352,6571156,1047076,13.09,5260,585460,2433232,8.40,404860,1079216,464
harvester2,60,2022-01-03 13:24:50,6134932,6568384,1049880,13.13,5348,603984,2433600,8.40,421744,1082984,452
harvester2,60,2022-01-03 13:25:50,6116284,6567560,1050676,13.14,5452,621680,2434176,8.40,428992,1095220,356
harvester2,60,2022-01-03 13:26:50,6096880,6565048,1053164,13.17,5548,638480,2434604,8.40,434608,1108580,404
harvester2,60,2022-01-03 13:27:50,6077728,6562836,1055392,13.20,5644,655320,2435028,8.41,436876,1126344,428
harvester2,60,2022-01-03 13:28:50,5894272,6395736,1222464,15.29,5756,671596,2435464,8.41,439652,1306532,176
harvester2,60,2022-01-03 13:29:50,5878332,6395480,1222732,15.29,5860,687176,2435888,8.41,441928,1320448,516
harvester2,60,2022-01-03 13:30:50,5855748,6389076,1229148,15.37,5948,703276,2436464,8.41,442820,1342796,392
harvester2,60,2022-01-03 13:31:50,5704044,6349964,1268204,15.86,6060,815724,2458656,8.49,541180,1396656,33216
harvester2,60,2022-01-03 13:32:50,5646556,6323472,1294432,16.19,6176,846932,2475536,8.55,561300,1433696,340
harvester2,60,2022-01-03 13:33:50,5626396,6317212,1301036,16.27,6296,860368,2478672,8.56,567692,1447144,25608
harvester2,60,2022-01-03 13:34:50,5602488,6307164,1311052,16.40,6408,874096,2484928,8.58,571864,1465112,504
harvester2,60,2022-01-03 13:35:50,5589352,6302700,1315368,16.45,6496,882712,2489940,8.60,573128,1477940,33732
harvester2,60,2022-01-03 13:36:50,5251672,5975120,1643028,20.55,6608,892668,3019392,10.42,574608,1813728,308
harvester2,60,2022-01-03 13:37:50,5548528,6292656,1325404,16.58,6724,913232,2498680,8.63,586584,1506220,284
harvester2,60,2022-01-03 13:38:50,5528336,6283564,1334528,16.69,6852,924200,2503972,8.64,587048,1524064,128
harvester2,60,2022-01-03 13:39:50,5524336,6281172,1336932,16.72,6956,925712,2505896,8.65,587420,1527904,488
harvester2,60,2022-01-03 13:40:50,5520556,6278480,1339628,16.75,7052,926700,2507416,8.66,587772,1530676,492
harvester2,60,2022-01-03 13:41:50,5518004,6276920,1341176,16.77,7148,927596,2507672,8.66,588008,1532860,360
harvester2,60,2022-01-03 13:42:50,5508396,6268928,1349152,16.87,7244,929116,2514972,8.68,588316,1542860,1112
harvester2,60,2022-01-03 13:43:50,5354236,6116840,1501256,18.77,7348,931088,2778072,9.59,588624,1696280,432
harvester2,60,2022-01-03 13:44:50,5497120,6261668,1356396,16.96,7460,932920,2522068,8.71,588932,1554620,504
harvester2,60,2022-01-03 13:45:50,5487732,6254204,1363920,17.06,7564,934740,2525468,8.72,589560,1561884,308
harvester2,60,2022-01-03 13:46:50,5420896,6190004,1428100,17.86,7668,937264,2593444,8.95,591284,1626748,352
harvester2,60,2022-01-03 13:47:50,5474692,6247208,1370840,17.14,7780,940560,2533024,8.74,593580,1571320,524
harvester2,60,2022-01-03 13:48:50,5466784,6245004,1373088,17.17,7892,946160,2534304,8.75,596720,1576268,448
harvester2,60,2022-01-03 13:49:50,5461208,6242884,1375164,17.20,7980,949508,2534436,8.75,599208,1578596,420
harvester2,60,2022-01-03 13:50:50,5448956,6234540,1383492,17.30,8084,953272,2542004,8.78,603124,1585468,376
harvester2,60,2022-01-03 13:51:50,5446688,6234620,1383376,17.30,8188,955492,2542156,8.78,604272,1587752,1224
harvester2,60,2022-01-03 13:52:50,5440640,6230920,1387088,17.35,8284,957720,2545096,8.79,606524,1591564,516
harvester2,60,2022-01-03 13:53:50,5437112,6230184,1387780,17.36,8420,960340,2546808,8.79,608032,1593848,584
harvester2,60,2022-01-03 13:54:50,5435300,6233140,1384796,17.32,8688,964788,2502712,8.64,616036,1587088,376
harvester2,60,2022-01-03 13:55:50,5425976,6225728,1392248,17.41,8792,966572,2505728,8.65,620472,1592244,348
harvester2,60,2022-01-03 13:56:50,5390444,6192744,1425244,17.82,8896,968980,2541480,8.77,621688,1626552,252
harvester2,60,2022-01-03 13:57:50,5413344,6217484,1400456,17.51,8992,970696,2514216,8.68,623096,1603220,468
harvester2,60,2022-01-03 13:58:50,5409344,6215024,1402876,17.54,9104,972100,2516284,8.69,624188,1605464,360
harvester2,60,2022-01-03 13:59:50,5405312,6212420,1405472,17.58,9200,973408,2517440,8.69,624868,1608148,18768
