2022-01-08T00:08:39.403 daemon chia.daemon.server         : INFO     Starting Daemon Server
2022-01-08T00:08:39.407 daemon chia.daemon.server         : INFO     Waiting Daemon WebSocketServer closure
2022-01-08T00:08:45.986 full_node chia.full_node.full_node: INFO     Initializing blockchain from disk
2022-01-08T00:08:45.992 full_node chia.consensus.blockchain: INFO     Started 4 processes for block validation
2022-01-08T00:08:52.826 full_node chia.full_node.full_node: INFO     Blockchain initialized to peak 3e4445a4babfdda6181372ddccab3cb753f4a0d063d6e7e7d8b133ad657e3397 height 223648, time taken: 6s
2022-01-08T00:08:52.901 full_node chia.full_node.full_node: INFO     🌱 Updated peak to height 223648, weight 6015782, hh 3e4445a4babfdda6181372ddccab3cb753f4a0d063d6e7e7d8b133ad657e3397, forked at 223647, rh: b72f8fdcbad088613054c8d2f0570e6a8a9150d20e801efc1c85f3060161039b, total iters: 727425344078, overflow: False, deficit: 12, difficulty: 112, sub slot iters: 110624768, Generator size: No tx, Generator ref list size: No tx
2022-01-08T00:08:53.631 full_node full_node_server        : INFO     Started listening on port: 8444
2022-01-08T00:08:53.633 full_node full_node               : INFO     Started full_node service on network_id: mainnet
2022-01-08T00:08:53.690 daemon chia.daemon.server         : INFO     Register service {'service': 'chia_full_node'}
2022-01-08T00:08:53.694 daemon chia.daemon.server         : INFO     registered for service chia_full_node
2022-01-08T00:08:53.695 daemon chia.daemon.server         : INFO     {'success': True}
2022-01-08T00:11:11.477 full_node full_node_server        : WARNING  Was not able to get peername from 192.168.1.163 - closing connection
2022-01-08T00:11:21.056 full_node full_node_server        : INFO     Connected with full_node {'host': '85.184.191.203', 'port': 8444}
2022-01-08T00:11:21.064 full_node full_node_server        : INFO     Connection closed: 85.184.191.203, node id: 6592d98a599e417d07fc9b7be8090c33a862e81c3a650522339e15492a5581c9
2022-01-08T00:11:21.066 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '85.184.191.203', 'port': 8444}
2022-01-08T00:11:21.084 full_node full_node_server        : INFO     Connected with full_node {'host': '195.174.209.122', 'port': 8444}
2022-01-08T00:11:21.089 full_node full_node_server        : INFO     Connection closed: 195.174.209.122, node id: c39da3d94523050509c1b9d26177be7a6b90706b9bcdaeb3b23a30eacf73b59a
2022-01-08T00:11:21.090 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '195.174.209.122', 'port': 8444}
2022-01-08T00:11:21.231 full_node full_node_server        : INFO     Connected with full_node {'host': '37.140.44.30', 'port': 8444}
