# hostname,interval,timestamp,FILESYSTEM,MBfsfree,MBfsused,%fsused,%ufsused,Ifree,Iused,%Iused
harvester2,60,2022-01-08 00:51:40,/dev/sda2,124516,100503,44.66,48.75,14375294,292402,1.99
harvester2,60,2022-01-08 00:52:40,/dev/sda2,124330,100689,44.75,48.83,14375283,292413,1.99
harvester2,60,2022-01-08 00:53:40,/dev/sda2,124330,100689,44.75,48.83,14375286,292410,1.99
harvester2,60,2022-01-08 00:54:40,/dev/sda2,124330,100689,44.75,48.83,14375286,292410,1.99
harvester2,60,2022-01-08 00:55:40,/dev/sda2,124326,100693,44.75,48.83,14375286,292410,1.99
harvester2,60,2022-01-08 00:56:40,/dev/sda2,124321,100698,44.75,48.84,14375286,292410,1.99
harvester2,60,2022-01-08 00:57:40,/dev/sda2,124318,100701,44.75,48.84,14375286,292410,1.99
harvester2,60,2022-01-08 00:58:40,/dev/sda2,124317,100702,44.75,48.84,14375286,292410,1.99
harvester2,60,2022-01-08 00:59:40,/dev/sda2,124316,100703,44.75,48.84,14375286,292410,1.99
harvester2,60,2022-01-08 01:00:40,/dev/sda2,124314,100705,44.75,48.84,14375286,292410,1.99
harvester2,60,2022-01-08 01:01:40,/dev/sda2,124313,100706,44.75,48.84,14375286,292410,1.99
harvester2,60,2022-01-08 01:02:40,/dev/sda2,124312,100707,44.76,48.84,14375286,292410,1.99
harvester2,60,2022-01-08 01:03:40,/dev/sda2,124310,100709,44.76,48.84,14375286,292410,1.99
harvester2,60,2022-01-08 01:04:40,/dev/sda2,124309,100710,44.76,48.84,14375286,292410,1.99
harvester2,60,2022-01-08 01:05:40,/dev/sda2,124309,100710,44.76,48.84,14375286,292410,1.99
harvester2,60,2022-01-08 01:06:40,/dev/sda2,124302,100717,44.76,48.85,14375286,292410,1.99
harvester2,60,2022-01-08 01:07:40,/dev/sda2,124301,100718,44.76,48.85,14375286,292410,1.99
harvester2,60,2022-01-08 01:08:40,/dev/sda2,124300,100719,44.76,48.85,14375286,292410,1.99
harvester2,60,2022-01-08 01:09:40,/dev/sda2,124284,100735,44.77,48.85,14375286,292410,1.99
harvester2,60,2022-01-08 01:10:40,/dev/sda2,124282,100737,44.77,48.85,14375286,292410,1.99
harvester2,60,2022-01-08 01:11:40,/dev/sda2,124279,100740,44.77,48.86,14375286,292410,1.99
harvester2,60,2022-01-08 01:12:40,/dev/sda2,124278,100741,44.77,48.86,14375286,292410,1.99
harvester2,60,2022-01-08 01:13:40,/dev/sda2,124278,100741,44.77,48.86,14375286,292410,1.99
harvester2,60,2022-01-08 01:14:40,/dev/sda2,124277,100742,44.77,48.86,14375286,292410,1.99
harvester2,60,2022-01-08 01:15:40,/dev/sda2,124276,100743,44.77,48.86,14375286,292410,1.99
harvester2,60,2022-01-08 01:16:40,/dev/sda2,124275,100744,44.77,48.86,14375286,292410,1.99
harvester2,60,2022-01-08 01:17:40,/dev/sda2,124274,100745,44.77,48.86,14375286,292410,1.99
harvester2,60,2022-01-08 01:18:40,/dev/sda2,124272,100747,44.77,48.86,14375286,292410,1.99
harvester2,60,2022-01-08 01:19:40,/dev/sda2,124272,100747,44.77,48.86,14375286,292410,1.99
harvester2,60,2022-01-08 01:20:40,/dev/sda2,124247,100772,44.78,48.87,14375286,292410,1.99
harvester2,60,2022-01-08 01:21:40,/dev/sda2,124246,100773,44.78,48.87,14375286,292410,1.99
harvester2,60,2022-01-08 01:22:40,/dev/sda2,124243,100776,44.79,48.87,14375286,292410,1.99
harvester2,60,2022-01-08 01:23:40,/dev/sda2,124243,100776,44.79,48.87,14375286,292410,1.99
harvester2,60,2022-01-08 01:24:40,/dev/sda2,124237,100782,44.79,48.87,14375286,292410,1.99
harvester2,60,2022-01-08 01:25:40,/dev/sda2,124231,100788,44.79,48.88,14375286,292410,1.99
harvester2,60,2022-01-08 01:26:40,/dev/sda2,124228,100791,44.79,48.88,14375286,292410,1.99
harvester2,60,2022-01-08 01:27:40,/dev/sda2,124226,100793,44.79,48.88,14375286,292410,1.99
harvester2,60,2022-01-08 01:28:40,/dev/sda2,124224,100795,44.79,48.88,14375286,292410,1.99
harvester2,60,2022-01-08 01:29:40,/dev/sda2,124222,100797,44.79,48.88,14375286,292410,1.99
harvester2,60,2022-01-08 01:30:40,/dev/sda2,124220,100799,44.80,48.88,14375286,292410,1.99
harvester2,60,2022-01-08 01:31:40,/dev/sda2,124217,100802,44.80,48.88,14375286,292410,1.99
harvester2,60,2022-01-08 01:32:40,/dev/sda2,124216,100803,44.80,48.88,14375286,292410,1.99
harvester2,60,2022-01-08 01:33:40,/dev/sda2,124214,100805,44.80,48.88,14375286,292410,1.99
harvester2,60,2022-01-08 01:34:40,/dev/sda2,124212,100807,44.80,48.89,14375286,292410,1.99
harvester2,60,2022-01-08 01:35:40,/dev/sda2,124211,100808,44.80,48.89,14375286,292410,1.99
harvester2,60,2022-01-08 01:36:40,/dev/sda2,124209,100810,44.80,48.89,14375286,292410,1.99
harvester2,60,2022-01-08 01:37:40,/dev/sda2,124207,100812,44.80,48.89,14375286,292410,1.99
harvester2,60,2022-01-08 01:38:40,/dev/sda2,124204,100814,44.80,48.89,14375286,292410,1.99
harvester2,60,2022-01-08 01:39:40,/dev/sda2,124203,100816,44.80,48.89,14375286,292410,1.99
harvester2,60,2022-01-08 01:40:40,/dev/sda2,124201,100818,44.80,48.89,14375286,292410,1.99
harvester2,60,2022-01-08 01:41:40,/dev/sda2,124199,100820,44.81,48.89,14375286,292410,1.99
harvester2,60,2022-01-08 01:42:40,/dev/sda2,124197,100822,44.81,48.89,14375286,292410,1.99
harvester2,60,2022-01-08 01:43:40,/dev/sda2,124196,100823,44.81,48.89,14375286,292410,1.99
harvester2,60,2022-01-08 01:44:40,/dev/sda2,124195,100824,44.81,48.89,14375286,292410,1.99
harvester2,60,2022-01-08 01:45:40,/dev/sda2,124194,100825,44.81,48.89,14375286,292410,1.99
