# hostname,interval,timestamp,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s
harvester2,60,2022-01-08 00:51:40,186.42,92.15,94.27,0.00,46424.53,42276.67,0.00
harvester2,60,2022-01-08 00:52:40,234.40,207.10,27.30,0.00,41357.20,10572.27,0.00
harvester2,60,2022-01-08 00:53:40,5.65,1.27,4.38,0.00,215.12,70.13,0.00
harvester2,60,2022-01-08 00:54:40,3.98,1.37,2.62,0.00,264.67,34.53,0.00
harvester2,60,2022-01-08 00:55:40,20.50,2.70,17.80,0.00,362.93,4911.20,0.00
harvester2,60,2022-01-08 00:56:40,38.50,1.68,36.82,0.00,324.27,9456.93,0.00
harvester2,60,2022-01-08 00:57:40,45.13,1.42,43.72,0.00,271.73,10811.33,0.00
harvester2,60,2022-01-08 00:58:40,30.80,1.73,29.07,0.00,290.67,7667.60,0.00
harvester2,60,2022-01-08 00:59:40,44.65,1.40,43.25,0.00,278.00,10366.13,0.00
harvester2,60,2022-01-08 01:00:40,31.35,1.30,30.05,0.00,262.40,7670.00,0.00
harvester2,60,2022-01-08 01:01:40,39.53,1.48,38.05,0.00,297.07,9530.13,0.00
harvester2,60,2022-01-08 01:02:40,36.10,1.40,34.70,0.00,274.53,8549.20,0.00
harvester2,60,2022-01-08 01:03:40,37.40,1.60,35.80,0.00,282.50,8419.33,0.00
harvester2,60,2022-01-08 01:04:40,36.27,1.33,34.93,0.00,271.87,8482.80,0.00
harvester2,60,2022-01-08 01:05:40,20.50,1.30,19.20,0.00,262.93,4822.13,0.00
harvester2,60,2022-01-08 01:06:40,70.90,0.98,69.92,0.00,200.53,13903.73,0.00
harvester2,60,2022-01-08 01:07:40,73.25,1.18,72.07,0.00,256.00,16901.60,0.00
harvester2,60,2022-01-08 01:08:40,25.75,1.42,24.33,0.00,263.60,3986.40,0.00
harvester2,60,2022-01-08 01:09:40,123.00,1.22,121.78,0.00,251.73,27052.13,0.00
harvester2,60,2022-01-08 01:10:40,33.47,1.35,32.12,0.00,272.00,6877.47,0.00
harvester2,60,2022-01-08 01:11:40,83.00,1.33,81.67,0.00,259.60,18659.60,0.00
harvester2,60,2022-01-08 01:12:40,104.98,1.13,103.85,0.00,214.67,23683.60,0.00
harvester2,60,2022-01-08 01:13:40,6.17,1.42,4.75,0.00,260.32,480.40,0.00
harvester2,60,2022-01-08 01:14:40,52.58,1.07,51.52,0.00,206.93,11290.27,0.00
harvester2,60,2022-01-08 01:15:40,119.98,0.62,119.37,0.00,123.60,24920.27,0.00
harvester2,60,2022-01-08 01:16:40,81.75,0.00,81.75,0.00,0.00,19728.80,0.00
harvester2,60,2022-01-08 01:17:40,70.67,0.10,70.57,0.00,13.73,15510.13,0.00
harvester2,60,2022-01-08 01:18:40,100.63,0.00,100.63,0.00,0.00,21879.07,0.00
harvester2,60,2022-01-08 01:19:40,2.53,0.07,2.47,0.00,0.53,101.07,0.00
harvester2,60,2022-01-08 01:20:40,94.68,0.07,94.62,0.00,0.93,22940.67,0.00
harvester2,60,2022-01-08 01:21:40,46.48,0.00,46.48,0.00,0.00,9017.07,0.00
harvester2,60,2022-01-08 01:22:40,102.37,0.02,102.35,0.00,0.27,23545.73,0.00
harvester2,60,2022-01-08 01:23:40,4.88,0.12,4.77,0.00,1.12,71.73,0.00
harvester2,60,2022-01-08 01:24:40,128.03,0.02,128.02,0.00,0.27,29894.53,0.00
harvester2,60,2022-01-08 01:25:40,111.35,0.12,111.23,0.00,2.27,25549.33,0.00
harvester2,60,2022-01-08 01:26:40,69.45,0.13,69.32,0.00,2.80,15395.47,0.00
harvester2,60,2022-01-08 01:27:40,62.22,2.18,60.03,0.00,199.07,13784.53,0.00
harvester2,60,2022-01-08 01:28:40,77.27,5.55,71.72,0.00,191.20,16690.00,0.00
harvester2,60,2022-01-08 01:29:40,88.43,0.00,88.43,0.00,0.00,20737.73,0.00
harvester2,60,2022-01-08 01:30:40,72.38,0.00,72.38,0.00,0.00,17795.47,0.00
harvester2,60,2022-01-08 01:31:40,90.20,0.02,90.18,0.00,0.13,21202.27,0.00
harvester2,60,2022-01-08 01:32:40,72.40,0.02,72.38,0.00,0.13,17546.53,0.00
harvester2,60,2022-01-08 01:33:40,75.88,0.17,75.72,0.00,0.10,16946.00,0.00
harvester2,60,2022-01-08 01:34:40,103.73,0.02,103.72,0.00,2.13,23903.87,0.00
harvester2,60,2022-01-08 01:35:40,50.08,0.05,50.03,0.00,1.47,11596.40,0.00
harvester2,60,2022-01-08 01:36:40,120.20,0.02,120.18,0.00,0.13,28793.33,0.00
harvester2,60,2022-01-08 01:37:40,84.27,0.00,84.27,0.00,0.00,20949.73,0.00
harvester2,60,2022-01-08 01:38:40,55.57,0.02,55.55,0.00,0.13,12814.53,0.00
harvester2,60,2022-01-08 01:39:40,88.95,0.03,88.92,0.00,0.40,21241.07,0.00
harvester2,60,2022-01-08 01:40:40,102.20,0.02,102.18,0.00,0.13,24818.27,0.00
harvester2,60,2022-01-08 01:41:40,76.13,0.05,76.08,0.00,0.40,19055.33,0.00
harvester2,60,2022-01-08 01:42:40,79.67,0.02,79.65,0.00,0.40,17778.27,0.00
harvester2,60,2022-01-08 01:43:40,64.12,0.12,64.00,0.00,2.72,16288.13,0.00
harvester2,60,2022-01-08 01:44:40,46.37,0.00,46.37,0.00,0.00,10941.20,0.00
harvester2,60,2022-01-08 01:45:40,73.27,0.02,73.25,0.00,0.13,18542.80,0.00
