# hostname,interval,timestamp,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
harvester2,60,2022-01-08 00:51:40,lo,0.10,0.10,0.01,0.01,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 00:51:40,eth0,4.77,4.60,0.42,2.85,0.00,0.00,1.20,0.00
harvester2,60,2022-01-08 00:51:40,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 00:52:40,lo,3.47,3.47,1.36,1.36,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 00:52:40,eth0,5.17,5.25,0.69,2.97,0.00,0.00,1.05,0.00
harvester2,60,2022-01-08 00:52:40,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 00:53:40,lo,2.28,2.28,2.06,2.06,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 00:53:40,eth0,165.52,48.08,225.62,6.06,0.00,0.00,1.13,0.18
harvester2,60,2022-01-08 00:53:40,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 00:54:40,lo,2.03,2.03,2.04,2.04,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 00:54:40,eth0,16.93,17.52,11.48,4.34,0.00,0.00,1.08,0.01
harvester2,60,2022-01-08 00:54:40,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 00:55:40,lo,1.63,1.63,1.93,1.93,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 00:55:40,eth0,27.85,18.52,21.80,4.08,0.00,0.00,5.15,0.02
harvester2,60,2022-01-08 00:55:40,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 00:56:40,lo,1.40,1.40,1.95,1.95,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 00:56:40,eth0,16.78,13.63,13.61,3.62,0.00,0.00,1.00,0.01
harvester2,60,2022-01-08 00:56:40,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 00:57:40,lo,1.47,1.47,1.92,1.92,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 00:57:40,eth0,18.97,15.65,15.75,3.82,0.00,0.00,1.23,0.01
harvester2,60,2022-01-08 00:57:40,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 00:58:40,lo,1.20,1.20,1.74,1.74,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 00:58:40,eth0,22.02,14.67,13.66,3.62,0.00,0.00,5.07,0.01
harvester2,60,2022-01-08 00:58:40,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 00:59:40,lo,1.43,1.43,2.07,2.07,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 00:59:40,eth0,18.97,14.03,15.28,3.65,0.00,0.00,1.20,0.01
harvester2,60,2022-01-08 00:59:40,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 01:00:40,lo,1.17,1.17,1.87,1.87,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 01:00:40,eth0,19.73,14.93,14.10,3.61,0.00,0.00,1.07,0.01
harvester2,60,2022-01-08 01:00:40,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 01:01:40,lo,1.63,1.63,2.45,2.45,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 01:01:40,eth0,21.05,16.18,15.81,3.84,0.00,0.00,1.15,0.01
harvester2,60,2022-01-08 01:01:40,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 01:02:40,lo,0.97,0.97,1.46,1.46,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 01:02:40,eth0,18.55,13.63,14.81,3.38,0.00,0.00,1.05,0.01
harvester2,60,2022-01-08 01:02:40,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 01:03:40,lo,1.23,1.23,2.18,2.18,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 01:03:40,eth0,19.55,15.25,13.87,3.68,0.00,0.00,1.23,0.01
harvester2,60,2022-01-08 01:03:40,wlan0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 01:04:40,lo,1.00,1.00,1.60,1.60,0.00,0.00,0.00,0.00
harvester2,60,2022-01-08 01:04:40,eth0,35.50,20.10,37.71,3.68,0.00,0.00,0.98,0.03
