# hostname,interval,timestamp,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked
harvester2,60,2022-01-08 00:51:40,0,303,2.79,3.07,2.97,1
harvester2,60,2022-01-08 00:52:40,0,306,2.13,2.86,2.91,0
harvester2,60,2022-01-08 00:53:40,2,307,1.32,2.51,2.78,0
harvester2,60,2022-01-08 00:54:40,2,307,1.35,2.31,2.70,0
harvester2,60,2022-01-08 00:55:40,4,306,1.91,2.28,2.66,0
harvester2,60,2022-01-08 00:56:40,1,306,2.36,2.35,2.66,0
harvester2,60,2022-01-08 00:57:40,2,306,3.36,2.59,2.72,0
harvester2,60,2022-01-08 00:58:40,2,306,2.77,2.57,2.70,0
harvester2,60,2022-01-08 00:59:40,2,306,2.59,2.55,2.69,0
harvester2,60,2022-01-08 01:00:40,2,306,2.64,2.56,2.68,0
harvester2,60,2022-01-08 01:01:40,2,306,3.04,2.71,2.73,0
harvester2,60,2022-01-08 01:02:40,3,305,2.74,2.69,2.72,0
harvester2,60,2022-01-08 01:03:40,4,306,2.59,2.64,2.70,0
harvester2,60,2022-01-08 01:04:40,1,306,2.20,2.53,2.66,0
harvester2,60,2022-01-08 01:05:40,3,306,2.52,2.57,2.66,0
harvester2,60,2022-01-08 01:06:40,3,305,2.24,2.47,2.62,0
harvester2,60,2022-01-08 01:07:40,1,306,1.89,2.33,2.57,0
harvester2,60,2022-01-08 01:08:40,3,306,2.11,2.34,2.55,0
harvester2,60,2022-01-08 01:09:40,5,307,2.49,2.40,2.56,0
harvester2,60,2022-01-08 01:10:40,2,307,2.31,2.37,2.54,0
harvester2,60,2022-01-08 01:11:40,3,306,2.71,2.46,2.56,0
harvester2,60,2022-01-08 01:12:40,0,307,1.75,2.23,2.47,1
harvester2,60,2022-01-08 01:13:40,1,306,2.12,2.25,2.46,0
harvester2,60,2022-01-08 01:14:40,3,307,1.89,2.16,2.42,0
harvester2,60,2022-01-08 01:15:40,5,308,2.04,2.15,2.39,0
harvester2,60,2022-01-08 01:16:40,2,308,2.02,2.11,2.36,0
harvester2,60,2022-01-08 01:17:40,2,306,2.06,2.09,2.34,0
harvester2,60,2022-01-08 01:18:40,2,306,2.35,2.16,2.35,0
harvester2,60,2022-01-08 01:19:40,1,305,2.13,2.14,2.33,0
harvester2,60,2022-01-08 01:20:40,1,307,2.20,2.16,2.33,1
harvester2,60,2022-01-08 01:21:40,2,307,2.38,2.22,2.34,0
harvester2,60,2022-01-08 01:22:40,2,307,1.89,2.13,2.30,0
harvester2,60,2022-01-08 01:23:40,1,306,2.16,2.18,2.31,0
harvester2,60,2022-01-08 01:24:40,3,307,2.42,2.24,2.32,0
harvester2,60,2022-01-08 01:25:40,2,306,2.23,2.22,2.31,0
harvester2,60,2022-01-08 01:26:40,1,306,2.07,2.19,2.29,1
harvester2,60,2022-01-08 01:27:40,3,307,2.42,2.27,2.31,0
harvester2,60,2022-01-08 01:28:40,2,308,2.40,2.28,2.31,0
harvester2,60,2022-01-08 01:29:40,1,308,1.98,2.17,2.26,0
harvester2,60,2022-01-08 01:30:40,1,307,2.28,2.21,2.27,0
harvester2,60,2022-01-08 01:31:40,2,308,2.22,2.21,2.27,0
harvester2,60,2022-01-08 01:32:40,0,307,2.12,2.17,2.25,1
harvester2,60,2022-01-08 01:33:40,3,306,2.05,2.15,2.24,0
harvester2,60,2022-01-08 01:34:40,1,307,2.03,2.12,2.22,0
harvester2,60,2022-01-08 01:35:40,1,306,2.37,2.22,2.25,0
harvester2,60,2022-01-08 01:36:40,2,306,2.31,2.21,2.24,0
harvester2,60,2022-01-08 01:37:40,5,306,2.02,2.14,2.22,0
harvester2,60,2022-01-08 01:38:40,2,306,2.57,2.28,2.26,0
harvester2,60,2022-01-08 01:39:40,2,306,5.41,3.19,2.58,0
harvester2,60,2022-01-08 01:40:40,3,306,3.91,3.17,2.61,0
harvester2,60,2022-01-08 01:41:40,1,306,2.73,2.98,2.59,0
harvester2,60,2022-01-08 01:42:40,6,306,2.42,2.85,2.56,0
harvester2,60,2022-01-08 01:43:40,4,307,2.47,2.77,2.55,0
harvester2,60,2022-01-08 01:44:40,1,306,2.40,2.68,2.53,0
harvester2,60,2022-01-08 01:45:40,3,307,2.72,2.71,2.56,0
