# hostname,interval,timestamp,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
harvester2,60,2022-01-08 00:08:35,7303868,7266268,385536,4.82,2196,87836,1186952,4.10,74880,252312,752
harvester2,60,2022-01-08 00:09:35,6802920,6936848,670656,8.39,3492,302152,1507404,5.20,254664,570132,440
harvester2,60,2022-01-08 00:10:35,6864628,6999404,608116,7.61,3592,302908,1428860,4.93,260376,502564,212
harvester2,60,2022-01-08 00:11:35,6852156,6993028,614552,7.69,3872,308716,1422144,4.91,261180,516168,212
harvester2,60,2022-01-08 00:12:35,6595588,6749128,858308,10.73,3976,321304,1834256,6.33,262832,769948,160
harvester2,60,2022-01-08 00:13:35,6572908,6741716,865760,10.83,4080,336468,1829080,6.31,264560,790716,68
harvester2,60,2022-01-08 00:14:35,6398116,6670624,935912,11.70,5064,438440,2967520,10.24,289892,934040,700
harvester2,60,2022-01-08 00:15:35,6353984,6656744,949280,11.87,5172,468152,2963424,10.23,360144,908164,252
harvester2,60,2022-01-08 00:16:35,6324752,6648456,957476,11.97,5312,488844,2964448,10.23,385496,912692,248
harvester2,60,2022-01-08 00:17:35,6301820,6643608,962232,12.03,5412,506736,2964704,10.23,396568,923912,344
harvester2,60,2022-01-08 00:18:35,6285660,6643716,962100,12.03,5516,522872,2964960,10.24,400516,935184,288
harvester2,60,2022-01-08 00:19:35,6267768,6642060,963688,12.05,5620,538960,2965984,10.24,404132,950500,120
harvester2,60,2022-01-08 00:20:35,6248896,6638640,967044,12.09,5716,554336,2967008,10.24,406444,966224,280
harvester2,60,2022-01-08 00:21:35,5976740,6422548,1182876,14.79,5848,610492,2970468,10.25,439844,1206616,740
harvester2,60,2022-01-08 00:22:35,5865260,6408500,1195528,14.95,5984,706200,2959396,10.22,528204,1225680,42496
harvester2,60,2022-01-08 00:23:35,5806292,6368980,1235176,15.45,6096,725216,2998636,10.35,532812,1280016,212
harvester2,60,2022-01-08 00:24:35,5445492,6025656,1578260,19.74,6184,742748,3266836,11.28,535720,1637644,0
harvester2,60,2022-01-08 00:25:35,5498168,6094820,1509192,18.87,6304,758888,3141908,10.85,538264,1581268,236
harvester2,60,2022-01-08 00:26:35,5580060,6202364,1401516,17.53,6444,784236,3017868,10.42,550456,1486940,144
harvester2,60,2022-01-08 00:27:35,5412260,6052360,1551432,19.40,6532,801896,3027772,10.45,554500,1650708,39156
harvester2,60,2022-01-08 00:28:35,5392068,6045872,1557800,19.48,6748,815336,3033284,10.47,558220,1666296,244
harvester2,60,2022-01-08 00:29:35,5246664,5915688,1687928,21.11,6852,830452,3277676,11.31,558844,1812492,152
harvester2,60,2022-01-08 00:30:35,5350992,6034700,1569044,19.62,6964,844952,3046248,10.52,559160,1706792,260
harvester2,60,2022-01-08 00:31:35,5324312,6022268,1581404,19.78,7068,859088,3052928,10.54,559588,1733468,248
harvester2,60,2022-01-08 00:32:35,5290764,6005864,1597756,19.98,7180,876104,3066784,10.59,560552,1765336,224
harvester2,60,2022-01-08 00:33:35,5277156,6004492,1599116,20.00,7420,888028,3068288,10.59,562720,1776520,268
harvester2,60,2022-01-08 00:34:35,5255516,6000812,1602740,20.04,7524,905820,3071728,10.60,566040,1796112,624
harvester2,60,2022-01-08 00:35:35,5163788,5913956,1689528,21.13,8420,909736,3209576,11.08,569836,1881776,264
harvester2,60,2022-01-08 00:36:35,5235104,5991256,1612132,20.16,8548,915516,3077504,10.62,575348,1805756,280
harvester2,60,2022-01-08 00:37:35,5226252,5986816,1616528,20.22,8656,919780,3082500,10.64,577352,1811212,212
harvester2,60,2022-01-08 00:38:35,5223260,5986664,1616692,20.22,8752,922480,3082636,10.64,579772,1811516,212
harvester2,60,2022-01-08 00:39:35,5213904,5979968,1623336,20.30,8848,925012,3086824,10.66,581804,1819140,14560
harvester2,60,2022-01-08 00:40:35,5206408,5974924,1628360,20.36,8952,927328,3087952,10.66,586728,1822860,216
harvester2,60,2022-01-08 00:41:35,5133160,5905044,1698164,21.24,9208,930396,3161668,10.91,588712,1893376,324
harvester2,60,2022-01-08 00:42:35,5181384,5955132,1648044,20.61,9296,932148,3102564,10.71,590284,1842416,324
harvester2,60,2022-01-08 00:43:35,5177396,5953980,1649232,20.63,9400,934848,3106644,10.72,591740,1845364,2936
harvester2,60,2022-01-08 00:44:35,5170960,5950448,1652660,20.67,9496,937616,3107780,10.73,594424,1849580,236
harvester2,60,2022-01-08 00:45:35,5058956,5846472,1756632,21.97,10368,944740,3241376,11.19,596372,1959652,436
harvester2,60,2022-01-08 00:46:35,5153424,5943448,1659640,20.76,10508,947080,3112060,10.74,601312,1859656,1660
harvester2,60,2022-01-08 00:47:35,5125704,5918232,1684796,21.07,10604,949456,3145604,10.86,604348,1884400,264
harvester2,60,2022-01-08 00:48:35,5145896,5940368,1662612,20.79,10848,951128,3114768,10.75,605356,1863500,276
harvester2,60,2022-01-08 00:49:35,5142336,5938780,1664220,20.81,10952,952976,3116236,10.76,607744,1864872,140
