# hostname,interval,timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
harvester2,60,2022-01-08 00:08:35,-1,15.47,0.00,14.78,10.06,0.00,59.69
harvester2,60,2022-01-08 00:09:35,-1,40.73,0.00,7.67,0.28,0.00,51.32
harvester2,60,2022-01-08 00:10:35,-1,42.34,0.00,6.23,0.05,0.00,51.38
harvester2,60,2022-01-08 00:11:35,-1,29.70,0.00,4.52,0.01,0.00,65.77
harvester2,60,2022-01-08 00:12:35,-1,14.49,0.00,3.01,0.01,0.00,82.49
harvester2,60,2022-01-08 00:13:35,-1,32.37,0.00,1.98,0.02,0.00,65.64
harvester2,60,2022-01-08 00:14:35,-1,61.33,0.00,4.40,0.16,0.00,34.11
harvester2,60,2022-01-08 00:15:35,-1,69.50,0.00,4.31,0.15,0.00,26.03
harvester2,60,2022-01-08 00:16:35,-1,74.47,0.00,4.54,0.20,0.00,20.79
harvester2,60,2022-01-08 00:17:35,-1,73.79,0.00,4.41,0.16,0.00,21.64
harvester2,60,2022-01-08 00:18:35,-1,60.85,0.00,4.18,4.47,0.00,30.50
harvester2,60,2022-01-08 00:19:35,-1,68.09,0.00,4.32,3.49,0.00,24.10
harvester2,60,2022-01-08 00:20:35,-1,73.73,0.00,4.36,0.16,0.00,21.76
harvester2,60,2022-01-08 00:21:35,-1,67.18,0.00,5.24,0.16,0.00,27.42
harvester2,60,2022-01-08 00:22:35,-1,56.64,0.00,8.93,0.38,0.00,34.06
harvester2,60,2022-01-08 00:23:35,-1,57.43,0.00,6.94,0.24,0.00,35.39
harvester2,60,2022-01-08 00:24:35,-1,53.99,0.00,6.67,0.20,0.00,39.14
harvester2,60,2022-01-08 00:25:35,-1,46.07,0.00,8.13,0.39,0.00,45.41
harvester2,60,2022-01-08 00:26:35,-1,31.07,0.00,6.70,3.18,0.00,59.06
harvester2,60,2022-01-08 00:27:35,-1,72.36,0.00,6.58,0.50,0.00,20.57
harvester2,60,2022-01-08 00:28:35,-1,37.20,0.00,10.12,5.42,0.00,47.25
harvester2,60,2022-01-08 00:29:35,-1,59.56,0.00,7.96,0.32,0.00,32.15
harvester2,60,2022-01-08 00:30:35,-1,53.77,0.00,7.03,0.26,0.00,38.94
harvester2,60,2022-01-08 00:31:35,-1,64.09,0.00,7.03,0.21,0.00,28.67
harvester2,60,2022-01-08 00:32:35,-1,52.83,0.00,9.27,0.47,0.00,37.42
harvester2,60,2022-01-08 00:33:35,-1,34.78,0.00,7.33,9.84,0.00,48.05
harvester2,60,2022-01-08 00:34:35,-1,42.94,0.00,7.58,1.25,0.00,48.23
harvester2,60,2022-01-08 00:35:35,-1,52.75,0.00,6.35,0.32,0.00,40.59
harvester2,60,2022-01-08 00:36:35,-1,47.22,0.00,7.05,0.37,0.00,45.36
harvester2,60,2022-01-08 00:37:35,-1,59.91,0.00,5.98,0.26,0.00,33.84
harvester2,60,2022-01-08 00:38:35,-1,59.19,0.00,6.06,0.44,0.00,34.31
harvester2,60,2022-01-08 00:39:35,-1,40.64,0.00,5.53,4.85,0.00,48.98
harvester2,60,2022-01-08 00:40:35,-1,53.69,0.00,5.92,2.53,0.00,37.87
harvester2,60,2022-01-08 00:41:35,-1,57.56,0.00,7.43,0.37,0.00,34.64
harvester2,60,2022-01-08 00:42:35,-1,58.08,0.00,7.24,0.29,0.00,34.39
harvester2,60,2022-01-08 00:43:35,-1,55.79,0.00,7.56,0.37,0.00,36.28
harvester2,60,2022-01-08 00:44:35,-1,55.11,0.00,6.50,0.33,0.00,38.06
harvester2,60,2022-01-08 00:45:35,-1,63.21,0.00,9.21,3.44,0.00,24.14
harvester2,60,2022-01-08 00:46:35,-1,40.01,0.00,6.70,5.77,0.00,47.52
harvester2,60,2022-01-08 00:47:35,-1,64.92,0.00,5.47,0.23,0.00,29.37
harvester2,60,2022-01-08 00:48:35,-1,65.92,0.00,5.81,0.74,0.00,27.53
harvester2,60,2022-01-08 00:49:35,-1,64.26,0.00,5.39,0.22,0.00,30.12
