# hostname,interval,timestamp,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad
harvester2,60,2022-01-08 01:47:23,20841728,129788,0.62,48916,37.69
harvester2,60,2022-01-08 01:48:23,20841728,129788,0.62,48940,37.71
harvester2,60,2022-01-08 01:49:23,20841728,129788,0.62,48940,37.71
harvester2,60,2022-01-08 01:50:23,20841728,129788,0.62,48940,37.71
harvester2,60,2022-01-08 01:51:23,20841728,129788,0.62,48940,37.71
harvester2,60,2022-01-08 01:52:23,20841728,129788,0.62,48940,37.71
harvester2,60,2022-01-08 01:53:23,20841728,129788,0.62,48940,37.71
harvester2,60,2022-01-08 01:54:23,20841728,129788,0.62,48940,37.71
harvester2,60,2022-01-08 01:55:23,20841728,129788,0.62,48952,37.72
harvester2,60,2022-01-08 01:56:23,20841728,129788,0.62,48952,37.72
harvester2,60,2022-01-08 01:57:23,20841728,129788,0.62,48952,37.72
harvester2,60,2022-01-08 01:58:23,20841728,129788,0.62,48984,37.74
harvester2,60,2022-01-08 01:59:23,20841728,129788,0.62,48984,37.74
harvester2,60,2022-01-08 02:00:23,20841728,129788,0.62,48984,37.74
harvester2,60,2022-01-08 02:01:23,20841728,129788,0.62,48984,37.74
harvester2,60,2022-01-08 02:02:23,20841728,129788,0.62,48984,37.74
harvester2,60,2022-01-08 02:03:23,20841728,129788,0.62,48984,37.74
harvester2,60,2022-01-08 02:04:23,20841728,129788,0.62,48984,37.74
harvester2,60,2022-01-08 02:05:23,20841728,129788,0.62,48984,37.74
harvester2,60,2022-01-08 02:06:23,20841728,129788,0.62,48984,37.74
harvester2,60,2022-01-08 02:07:23,20841728,129788,0.62,48984,37.74
harvester2,60,2022-01-08 02:08:23,20841728,129788,0.62,48988,37.74
harvester2,60,2022-01-08 02:09:23,20841728,129788,0.62,48988,37.74
harvester2,60,2022-01-08 02:10:23,20841728,129788,0.62,48988,37.74
harvester2,60,2022-01-08 02:11:23,20841728,129788,0.62,48988,37.74
harvester2,60,2022-01-08 02:12:23,20841728,129788,0.62,48988,37.74
harvester2,60,2022-01-08 02:13:23,20841728,129788,0.62,48992,37.75
harvester2,60,2022-01-08 02:14:23,20841728,129788,0.62,48992,37.75
harvester2,60,2022-01-08 02:15:23,20841728,129788,0.62,48992,37.75
harvester2,60,2022-01-08 02:16:23,20841728,129788,0.62,48992,37.75
harvester2,60,2022-01-08 02:17:23,20841728,129788,0.62,48992,37.75
harvester2,60,2022-01-08 02:18:23,20841728,129788,0.62,48992,37.75
harvester2,60,2022-01-08 02:19:23,20841728,129788,0.62,48992,37.75
harvester2,60,2022-01-08 02:20:23,20841728,129788,0.62,48992,37.75
harvester2,60,2022-01-08 02:21:23,20841728,129788,0.62,48996,37.75
harvester2,60,2022-01-08 02:22:23,20841728,129788,0.62,50796,39.14
