# hostname,interval,timestamp,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked
plotter1,60,2021-12-30 11:52:30,1,776,5.77,5.42,4.95,0
plotter1,60,2021-12-30 11:53:30,1,782,3.98,4.98,4.83,0
plotter1,60,2021-12-30 11:54:30,1,782,3.91,4.71,4.74,0
plotter1,60,2021-12-30 11:55:30,5,786,5.52,5.07,4.86,3
plotter1,60,2021-12-30 11:56:30,1,787,5.44,5.16,4.91,8
plotter1,60,2021-12-30 11:57:30,1,785,5.00,5.03,4.88,0
plotter1,60,2021-12-30 11:58:30,2,782,4.45,4.95,4.86,0
plotter1,60,2021-12-30 11:59:30,1,784,4.72,4.90,4.85,0
plotter1,60,2021-12-30 12:00:30,1,785,4.32,4.79,4.81,0
plotter1,60,2021-12-30 12:01:30,8,784,4.45,4.76,4.80,0
plotter1,60,2021-12-30 12:02:30,1,785,8.91,6.04,5.24,0
plotter1,60,2021-12-30 12:03:30,1,785,6.19,5.83,5.22,6
plotter1,60,2021-12-30 12:04:30,1,784,4.12,5.32,5.08,8
plotter1,60,2021-12-30 12:05:30,1,783,4.15,5.18,5.05,0
plotter1,60,2021-12-30 12:06:30,1,782,4.85,5.26,5.09,0
plotter1,60,2021-12-30 12:07:30,1,783,3.66,4.86,4.97,0
plotter1,60,2021-12-30 12:08:30,2,784,3.76,4.72,4.91,0
plotter1,60,2021-12-30 12:09:30,1,784,3.94,4.64,4.87,0
plotter1,60,2021-12-30 12:10:30,1,783,5.28,4.90,4.95,0
plotter1,60,2021-12-30 12:11:30,1,784,6.12,5.19,5.05,0
plotter1,60,2021-12-30 12:12:30,8,783,5.11,4.95,4.97,0
plotter1,60,2021-12-30 12:13:30,7,781,5.35,4.98,4.97,3
plotter1,60,2021-12-30 12:14:30,1,781,6.06,5.20,5.04,0
plotter1,60,2021-12-30 12:15:30,1,783,5.82,5.20,5.04,0
plotter1,60,2021-12-30 12:16:30,1,782,5.90,5.30,5.09,3
plotter1,60,2021-12-30 12:17:30,1,783,5.93,5.42,5.14,0
plotter1,60,2021-12-30 12:18:30,1,784,5.31,5.32,5.12,8
plotter1,60,2021-12-30 12:19:30,1,784,4.00,4.97,5.02,0
plotter1,60,2021-12-30 12:20:30,1,783,3.37,4.59,4.88,8
plotter1,60,2021-12-30 12:21:30,1,783,4.55,4.62,4.87,8
plotter1,60,2021-12-30 12:22:30,1,785,5.62,4.86,4.93,0
plotter1,60,2021-12-30 12:23:30,1,784,6.43,5.15,5.02,0
plotter1,60,2021-12-30 12:24:30,1,784,4.87,4.90,4.94,3
plotter1,60,2021-12-30 12:25:30,1,783,4.84,4.81,4.90,0
plotter1,60,2021-12-30 12:26:30,1,784,6.55,5.31,5.06,0
plotter1,60,2021-12-30 12:27:30,1,784,16.87,8.42,6.14,0
plotter1,60,2021-12-30 12:28:30,1,782,10.85,8.28,6.24,8
plotter1,60,2021-12-30 12:29:30,1,782,7.79,7.92,6.25,8
plotter1,60,2021-12-30 12:30:30,1,782,7.40,7.74,6.29,0
plotter1,60,2021-12-30 12:31:30,1,781,6.67,7.51,6.31,8
plotter1,60,2021-12-30 12:32:30,1,783,6.18,7.27,6.30,0
plotter1,60,2021-12-30 12:33:30,8,783,5.46,6.93,6.25,8
plotter1,60,2021-12-30 12:34:30,1,783,6.38,6.99,6.31,0
