# hostname,interval,timestamp,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
plotter1,60,2021-12-30 16:36:17,117263512,128281620,1870480,1.42,167944,11015672,4877896,1.86,1065356,11579816,224
plotter1,60,2021-12-30 16:37:17,115293268,127885076,2265848,1.72,173856,12583348,10824932,4.12,1257316,13300936,80
plotter1,60,2021-12-30 16:38:17,113669352,127809588,2341084,1.78,174768,14131012,10783700,4.10,1537856,14657368,112
plotter1,60,2021-12-30 16:39:17,112561724,127754696,2396472,1.82,175824,15182696,10784108,4.10,1848932,15469980,1168
plotter1,60,2021-12-30 16:40:17,111572904,127625204,2526080,1.92,176800,16041448,10785488,4.10,2239988,16024400,176
plotter1,60,2021-12-30 16:41:17,110609692,127413104,2738364,2.08,180020,16788980,10819636,4.12,2604196,16656212,44
plotter1,60,2021-12-30 16:42:17,109238984,126695976,3455372,2.62,183100,17439556,10877012,4.14,2865088,17778600,64
plotter1,60,2021-12-30 16:43:17,108187352,126277816,3873404,2.94,183468,18072612,10946688,4.16,3080756,18608592,192
plotter1,60,2021-12-30 16:44:17,107464928,126219196,3931340,2.99,184460,18735936,10999520,4.18,3303568,19119072,72
plotter1,60,2021-12-30 16:45:17,106709452,126129272,4021908,3.05,184816,19400752,11053328,4.21,3446612,19703324,120
plotter1,60,2021-12-30 16:46:17,106056872,126082772,4068540,3.09,185212,20006456,11099572,4.22,3565324,20244252,40
plotter1,60,2021-12-30 16:47:17,105448940,126043336,4107956,3.12,187616,20572544,11129728,4.23,3667180,20748836,52
plotter1,60,2021-12-30 16:48:17,104763888,126018956,4132200,3.14,190572,21230212,11160448,4.25,3763512,21347688,68
plotter1,60,2021-12-30 16:49:17,104128316,125934584,4216508,3.20,192508,21779476,11204196,4.26,3835668,21879772,68
plotter1,60,2021-12-30 16:50:17,103378120,125853256,4297884,3.26,192828,22448096,11275368,4.29,3988580,22473536,152
plotter1,60,2021-12-30 16:51:17,102804288,125845068,4306188,3.27,193200,23013328,11311872,4.30,4093600,22978752,132
plotter1,60,2021-12-30 16:52:17,102093236,125805308,4345868,3.30,193524,23684312,11346820,4.32,4150264,23637728,136
plotter1,60,2021-12-30 16:53:17,101317988,125738600,4412556,3.35,193948,24392448,11391496,4.33,4220244,24336188,144
plotter1,60,2021-12-30 16:54:17,100632716,125662500,4488496,3.41,194304,25001244,11440268,4.35,4275168,24952868,168
plotter1,60,2021-12-30 16:55:17,99965680,125616704,4534072,3.44,194564,25622228,11481496,4.37,4334232,25567780,176
plotter1,60,2021-12-30 16:56:17,99363776,125556904,4593888,3.49,194840,26164036,11512860,4.38,4407076,26082400,60
plotter1,60,2021-12-30 16:57:17,98662596,125506224,4644656,3.53,195156,26814256,11555620,4.40,4457344,26733896,72
plotter1,60,2021-12-30 16:58:17,97993968,125462116,4688700,3.56,195456,27438512,11588804,4.41,4503280,27353508,152
plotter1,60,2021-12-30 16:59:17,97344776,125420916,4729792,3.59,195764,28046236,11624068,4.42,4542784,27966348,68
plotter1,60,2021-12-30 17:00:17,96768156,125384736,4766480,3.62,197040,28585384,11659916,4.44,4574524,28519712,224
plotter1,60,2021-12-30 17:01:17,96091276,125332408,4818804,3.66,197368,29209660,11702512,4.45,4608648,29163648,56
plotter1,60,2021-12-30 17:02:17,95528420,125282864,4868056,3.70,197612,29722684,11743088,4.47,4642908,29690076,24
plotter1,60,2021-12-30 17:03:17,94838436,125176752,4974116,3.78,197864,30306372,11845228,4.51,4696632,30329508,164
plotter1,60,2021-12-30 17:04:17,94262776,125143564,5007008,3.80,198200,30848472,11885296,4.52,4737804,30880100,204
plotter1,60,2021-12-30 17:05:17,93606400,125093952,5057056,3.84,198584,31454828,11900920,4.53,4784940,31458792,40
plotter1,60,2021-12-30 17:06:17,92954412,125053832,5097224,3.87,198908,32064312,11928956,4.54,4824320,32063408,52
plotter1,60,2021-12-30 17:07:17,92363716,125037808,5113016,3.88,199220,32633532,11953664,4.55,4849856,32635904,108
plotter1,60,2021-12-30 17:08:17,91771736,124988452,5162308,3.92,200492,33170208,11978372,4.56,4880572,33174624,52
plotter1,60,2021-12-30 17:09:17,91227804,124976568,5173836,3.93,200716,33697416,12007564,4.57,4910388,33706920,64
plotter1,60,2021-12-30 17:10:17,90523044,124937316,5213064,3.96,201060,34356708,12034320,4.58,4956196,34351852,172
plotter1,60,2021-12-30 17:11:17,89874836,124916068,5234036,3.97,201340,34977968,12062356,4.59,4993540,34968264,164
plotter1,60,2021-12-30 17:12:17,89187988,124864048,5286084,4.01,201616,35607368,12096536,4.60,5078636,35553636,76
plotter1,60,2021-12-30 17:13:17,88457948,124816088,5333740,4.05,201900,36284292,12129060,4.61,5192836,36154680,56
plotter1,60,2021-12-30 17:14:17,87756044,124776104,5374324,4.08,202164,36940168,12160224,4.63,5276552,36762796,136
plotter1,60,2021-12-30 17:15:17,91352720,129433316,718044,0.55,202432,37995476,3125808,1.19,9145452,29339616,172
